domain,n_samples,n_1984,n_1997,n_both,offset_med_m,offset_p25_m,offset_p75_m,offset_min_m,offset_max_m,offset_mean_m,offset_sd_m,offset_med_cells,nearest_med_m,offset_over_nearest,x1984_med,x1997_med
1,500,500,500,500,-12.32,-42.22,-3.93,-61.5,4.14,-20.64,20.96,-1.23,11.64,1.06,451963.87,451959.76
2,500,500,500,500,14.55,-0.6,28.11,-13.14,41.67,13.55,16.74,1.46,14.43,1.01,452135.81,452121.26
3,500,500,500,500,39.63,33.58,42.88,23.16,46.7,37.56,6.2,3.96,39.02,1.02,452216.8,452180.9
4,500,500,500,500,28.75,24.93,32.23,20.76,39.57,28.99,4.95,2.88,28.15,1.02,452304.82,452277.14
5,500,500,500,500,62.33,44.62,69.93,33.86,72.99,58.25,12.38,6.23,59.87,1.04,452473.44,452411.11
6,500,500,500,500,8.68,3.03,13.62,-2.61,77.29,19.37,26.66,0.87,8.08,1.07,452706.12,452695.17
7,500,500,500,500,5.02,-3.21,7.21,-14.68,11.77,1.82,7.89,0.5,6.65,0.75,452783.16,452776.54
8,500,500,500,500,-10.36,-13.94,4.39,-19.15,24.22,-4.0,13.75,-1.04,13.1,0.79,452816.63,452833.49
9,500,500,500,500,-4.55,-8.56,3.12,-14.26,19.97,-2.18,8.73,-0.45,6.75,0.67,452884.13,452895.12
10,500,500,500,500,5.21,2.73,8.49,0.05,12.6,5.62,3.52,0.52,5.1,1.02,452973.16,452961.26
11,500,500,500,500,19.93,14.36,20.25,5.09,26.31,18.04,5.33,1.99,19.68,1.01,453073.73,453053.72
12,500,500,500,500,17.67,6.98,24.19,2.64,27.05,15.78,8.83,1.77,17.38,1.02,453149.36,453131.69
13,500,500,500,500,7.3,5.35,14.46,0.98,20.61,9.42,5.89,0.73,7.2,1.01,453220.13,453209.11
14,500,500,500,500,3.57,1.91,4.86,-0.37,6.99,3.44,1.87,0.36,3.52,1.01,453289.6,453287.55
15,500,500,500,500,-19.16,-22.78,-18.13,-30.46,1.34,-19.49,7.01,-1.92,19.04,1.01,453343.59,453363.88
16,500,500,500,500,-49.47,-53.86,-24.91,-59.4,-9.15,-41.12,16.62,-4.95,47.53,1.04,453406.83,453456.23
17,500,500,500,500,0.37,-1.26,5.33,-39.53,11.52,-0.15,10.09,0.04,2.62,0.14,453552.2,453552.38
