domain,rows,cols,road_line,road_rows,ocean_cells,road_rows_2004,ocean_cells_2004,n1996_landward_of_1984_road,n1996_landward_of_2004_road,start_beach_before_m,start_beach_after_m,start_beach_shift_m,start_beach_shift_cells10,n1996_written,n1996_new_land,n1996_overwrote_2009,cand1996_coverage,dropped_1996_ceiling,dropped_1996_floor_gap,dropped_1996_floor_replace,dropped_1996_connectivity,bias_2009_minus_1996_m,bias_2009_minus_1996_cells,bias_2009_minus_1996_ocean1984_m,bias_2009_minus_1996_ocean1984_cells,n2014_written,cand2014_coverage,dropped_2014_floor,dropped_2014_connectivity,max_elev_m,nodata_before,nodata_after,seam96_seam_n,seam96_ctrl_n,seam96_seam_median_signed_m,seam96_seam_median_abs_m,seam96_seam_p90_abs_m,seam96_ctrl_median_abs_m,seam96_ctrl_p90_abs_m,seam96_seam_over_ctrl,snap_x_m,snap_y_m,trim_x_m,trim_y_m
1,500,2000,False,0,0,0,0,149822,149822,346.0,347.0,-1.0,-0.1,149822,15842,133980,256101,1368,63,10881,7222,-0.1907,215235,0.0,0,10128,40151,0,284,9.59,205467,179419,9059,5181442,0.2841,0.4332,1.0724,0.026,0.1102,16.662,0.1197,0.0166,0.0,0.0
2,500,2000,False,0,0,0,0,80928,80928,401.0,401.0,0.0,0.0,80928,6285,74643,211635,1017,0,15055,16855,-0.2041,152137,0.0,0,213741,450317,0,284,6.54,404633,184085,7393,4053414,0.0702,0.4451,1.3239,0.0227,0.0821,19.639,0.466,0.1798,0.0,0.0
3,500,2000,False,0,0,0,0,77494,77494,407.0,405.0,2.0,0.2,77494,32722,44772,183753,468,45,21049,9732,0.1499,78106,0.0,0,391708,871617,0,0,11.22,606560,168927,3489,2601052,-0.555,0.5727,1.6091,0.0276,0.0891,20.776,0.2983,0.4621,0.0,0.0
4,500,2000,False,0,0,0,0,88901,88901,443.0,441.5,1.5,0.15,88901,59999,28902,174969,360,81,21127,297,-0.0572,70137,0.0,0,366241,841670,0,0,11.45,582472,156149,3200,2775764,-0.6285,0.6921,1.9444,0.0283,0.093,24.433,0.3594,0.2515,0.0,0.0
5,500,2000,False,0,0,0,0,85163,85163,443.5,443.0,0.5,0.05,85163,36326,48837,200460,387,36,27471,486,-0.112,105437,0.0,0,352906,799544,0,0,9.76,552716,163245,4499,2891114,0.0826,0.5017,1.5809,0.028,0.0956,17.914,0.0188,0.1561,0.0,0.0
6,500,2000,False,0,0,0,0,149936,149936,278.5,264.0,14.5,1.45,149936,40243,109693,282105,594,0,19504,243,-0.2562,189061,0.0,0,310439,753539,0,0,11.24,470173,111427,8087,2972160,0.3375,0.4836,1.6771,0.0321,0.1257,15.061,0.0,0.4046,0.0,0.0
7,500,2000,False,0,0,0,0,174676,174676,218.0,192.0,26.0,2.6,174676,41337,133339,314475,822,0,3723,171,-0.3151,225846,0.0,0,356289,821334,0,0,11.98,471703,69604,11100,2890246,0.2466,0.3426,3.2911,0.0341,0.1398,10.045,0.0,0.2629,0.0,0.0
8,500,2000,True,441,368317,443,339585,17377,17377,304.0,282.0,22.0,2.2,162537,41792,120745,275493,1320,0,768,0,-0.3676,195612,-0.3783,163870,323382,768420,0,0,12.0,482906,117289,8435,2891586,0.3049,0.3916,4.7003,0.0329,0.1266,11.892,0.4362,0.2321,0.0,0.0
9,500,2000,True,900,224781,900,231652,34506,27644,379.5,352.0,27.5,2.75,128676,54340,74336,237984,1065,63,234,1224,-0.2723,145243,-0.3311,76588,427475,926520,0,140,11.95,640642,158526,5910,1979490,0.3672,0.4255,1.7923,0.0292,0.1126,14.578,0.4063,0.3014,0.0,0.0
10,500,2000,True,900,262218,900,285869,41814,18277,474.0,441.0,33.0,3.3,112455,45747,66708,222972,369,162,153,1521,0.1452,124884,-0.8333,42987,438988,974180,0,231,10.86,785459,299744,5864,928082,0.2828,0.3737,1.3085,0.0206,0.0851,18.142,0.0618,0.2876,0.0,0.0
11,500,2000,True,900,210923,900,249953,66709,28093,414.0,357.0,57.0,5.7,130863,54933,75930,221610,387,135,0,1191,0.2948,128961,-1.7948,22171,525022,1059446,0,2143,9.53,865706,284940,5154,549552,0.1787,0.4757,1.7577,0.0212,0.0831,22.427,0.0618,0.0,0.0,0.0
12,500,2000,True,900,178464,900,213035,54786,20635,330.5,282.0,48.5,4.85,115350,40896,74454,218835,369,36,0,8538,-0.0448,137424,-2.35,31963,535697,1083471,0,2946,7.97,898474,319993,4252,209928,0.2309,0.4566,1.6511,0.0283,0.115,16.154,0.0618,0.125,0.0,0.0
13,500,2000,True,900,181486,900,207325,62534,36719,303.0,264.0,39.0,3.9,143009,38397,104612,238293,270,0,3886,6123,-0.3485,155747,-2.0527,61762,509473,957680,0,8505,11.4,895797,334559,2506,93710,0.3422,0.4225,1.1471,0.0353,0.1229,11.958,0.0477,0.4917,0.0,0.0
14,500,2000,True,900,228391,900,240927,54678,42142,342.0,323.0,19.0,1.9,130220,9080,121140,266352,81,0,6293,19833,-0.3455,192275,-0.6514,104763,30759,836477,0,766677,7.63,885733,833499,1523,24608,0.3599,0.3599,1.2606,0.0223,0.0812,16.121,0.0622,0.1026,0.0,0.0
15,500,2000,True,900,293777,900,294644,41794,40924,428.0,430.5,-2.5,-0.25,141426,20903,120523,282375,0,0,9511,63,-0.2918,224036,-0.243,137846,32600,457884,0,355672,8.65,879858,821835,3094,78224,0.287,0.5539,1.4329,0.0347,0.1117,15.947,0.1243,0.1322,0.0,0.0
16,500,2000,True,900,260350,900,259517,61563,62396,355.0,355.0,0.0,0.0,158295,26970,131325,294030,0,0,15328,621,-0.2547,243434,0.0343,145329,127102,237450,0,31557,10.15,839282,681592,5933,255740,0.3097,0.6382,1.3742,0.0278,0.105,22.969,0.3092,0.247,0.0,0.0
17,500,2000,True,900,281737,900,281246,50814,51277,363.0,359.5,3.5,0.35,157527,23901,133626,282993,0,0,15068,639,-0.2581,238480,-0.082,159217,139718,256397,320,21122,9.72,761524,597905,10534,787148,0.2778,0.4126,1.1713,0.0278,0.1046,14.818,0.0,0.4109,0.0,0.0
18,500,2000,True,900,308272,900,308020,14040,14283,390.0,390.0,0.0,0.0,109274,20102,89172,249330,0,0,18541,1071,-0.123,202723,0.0563,159782,100855,197811,166,629,10.08,668748,547791,12098,1516956,0.2574,0.4158,1.252,0.0283,0.1079,14.69,0.1192,0.1681,0.0,0.0
19,500,2000,True,900,368945,900,369546,17182,16588,514.0,514.0,0.0,0.0,134895,35007,99888,258813,0,0,19860,2422,-0.1399,202564,0.0524,158575,188656,325451,0,13,10.29,705119,481393,12610,1397006,0.3625,0.4764,1.452,0.028,0.106,17.024,0.2674,0.3474,0.0,0.0
20,500,2000,True,900,303171,900,304224,52370,51323,433.0,439.0,-6.0,-0.6,158032,20644,137388,293862,477,0,12815,2335,-0.2465,243340,-0.1095,164739,219355,402170,0,353,9.46,711573,471443,11855,1218880,0.4022,0.4516,1.5393,0.031,0.1076,14.574,0.2674,0.0,0.0,0.0
21,500,2000,True,900,267743,900,268565,48834,48021,318.0,318.0,0.0,0.0,172734,20181,152553,326991,1170,0,11265,1422,-0.2436,284134,-0.1652,198922,144019,279206,1,12450,12.0,573357,409154,10596,1944740,0.2923,0.4271,3.8946,0.0309,0.1091,13.803,0.2674,0.4196,0.0,0.0
22,500,2000,True,900,237010,900,237129,39025,38906,198.0,199.0,-1.0,-0.1,199610,30661,168949,361530,1923,72,9682,378,-0.2718,310758,-0.2563,236508,129657,223097,1,8212,11.96,495187,334869,11560,2413244,0.28,0.4511,7.1851,0.0314,0.111,14.357,0.2674,0.006,0.0,0.0
23,500,2000,True,900,235731,900,235731,36314,36314,199.0,185.0,14.0,1.4,197494,35397,162097,355869,2412,54,1493,855,-0.3002,295676,-0.2984,231950,106431,202327,0,1937,11.99,473006,330877,12011,2525454,0.403,0.4519,7.694,0.0294,0.1135,15.368,0.2706,0.4929,0.0,0.0
24,500,2000,True,900,238985,900,238787,29396,29594,208.0,209.0,-1.0,-0.1,195727,40352,155375,353634,2289,0,161,639,-0.3218,280414,-0.3212,223715,124599,230447,0,5056,11.99,475688,310277,11387,2665730,0.4458,0.4897,7.0235,0.0258,0.102,18.97,0.3894,0.0949,0.0,0.0
25,500,2000,True,900,240894,900,240513,31323,31704,242.0,216.0,26.0,2.6,187509,39372,148137,349356,2169,0,91,2115,-0.3119,275060,-0.3131,220290,137379,248860,0,43,12.0,468268,291083,8894,2733854,0.4353,0.4718,6.8813,0.0265,0.1059,17.809,0.0164,0.4153,0.0,0.0
26,500,2000,True,900,278224,900,277865,25117,25476,276.0,268.0,8.0,0.8,188774,26994,161780,338640,2583,0,9059,3420,-0.2758,292714,-0.2731,250322,169600,271598,0,1571,11.92,461613,264899,8172,2748004,0.3581,0.4954,6.9907,0.0243,0.1043,20.373,0.2247,0.1541,0.0,0.0
27,500,2000,True,900,354743,900,354699,20633,20677,344.0,344.0,0.0,0.0,180749,11855,168894,339681,2199,0,22223,3183,-0.2437,319834,-0.2401,288212,216808,426107,0,1706,11.99,437373,208710,12108,2842244,0.2703,0.4446,5.2835,0.022,0.0889,20.167,0.3466,0.384,0.0,0.0
28,500,2000,True,900,325219,900,325219,4274,4274,250.0,250.0,0.0,0.0,134577,0,134577,286668,2709,0,20283,4653,-0.1771,280304,-0.165,263601,272721,518870,0,4520,11.94,411781,139060,9033,3184830,0.2331,0.4675,5.6946,0.0238,0.0926,19.606,0.0,0.4169,0.0,0.0
29,500,2000,True,900,339514,900,339514,0,0,293.0,291.0,2.0,0.2,145091,14588,130503,275961,1575,0,22327,3177,-0.1562,247835,-0.1562,247835,172358,420504,0,49829,11.98,402553,215607,4635,3243076,0.2873,0.866,7.6961,0.0234,0.0909,36.931,0.0005,0.0,0.0,0.0
30,500,2000,True,900,296784,900,296784,0,0,192.0,191.0,1.0,0.1,135501,13245,122256,282792,2406,0,22893,3150,-0.1457,250028,-0.1457,250028,197964,365781,0,30117,11.94,488620,277297,4350,2690108,0.3112,1.0592,8.5889,0.0211,0.08,50.118,0.3646,0.3073,0.0,0.0
31,500,2000,True,900,291104,900,291104,0,0,175.0,175.0,0.0,0.0,150534,3162,147372,290484,1917,0,19186,7367,-0.0922,270545,-0.0922,270545,315622,562345,0,2318,11.95,643242,324458,4020,1735582,0.2052,0.9903,8.0411,0.0225,0.083,44.012,0.0084,0.3728,0.0,0.0
32,500,2000,True,900,382973,900,382973,0,0,396.0,396.0,0.0,0.0,161775,20841,140934,321096,678,0,16867,549,-0.0548,281249,-0.0548,281249,382887,738103,0,0,9.63,682936,279208,3952,1218836,0.1721,0.5902,1.7147,0.0293,0.1015,20.145,0.0788,0.243,0.0,0.0
33,500,2000,True,900,430241,900,430241,0,0,452.0,452.0,0.0,0.0,189797,29175,160622,344922,312,0,10982,0,-0.168,288940,-0.168,288940,428279,782598,0,0,6.32,672697,215243,5329,1188890,0.2756,0.4517,1.3251,0.032,0.1087,14.121,0.0229,0.2388,0.0,0.0
34,500,2000,True,900,383761,900,383761,0,0,343.0,317.0,26.0,2.6,192448,23359,169089,355608,432,0,6392,198,-0.2375,288686,-0.2375,288686,358419,729127,428,0,7.77,706502,315058,7001,985070,0.3373,0.3638,0.7057,0.0335,0.1144,10.857,0.0229,0.2994,0.0,0.0
35,500,2000,True,900,421102,900,421102,0,0,414.5,378.0,36.5,3.65,221157,52934,168223,399354,0,0,4312,0,-0.2411,279776,-0.2411,279776,338002,574839,4741,43,9.47,712912,309378,9813,951532,0.3082,0.3164,0.6531,0.0318,0.1112,9.936,0.0,0.4227,0.0,0.0
36,500,2000,True,900,363294,900,363294,0,0,323.0,268.5,54.5,5.45,228969,62569,166400,405675,54,0,522,0,-0.2397,279068,-0.2397,279068,256348,464161,3261,41,11.3,676852,344969,9150,1308356,0.2679,0.2762,0.6497,0.0313,0.108,8.822,0.0,0.0181,0.0,0.0
37,500,2000,True,900,355312,900,355312,0,0,316.0,292.0,24.0,2.4,186915,24322,162593,342396,180,0,2929,1080,-0.2526,263187,-0.2526,263187,217849,470734,117,420,7.83,556724,301310,5667,2036996,0.2807,0.2895,0.8576,0.0334,0.1177,8.659,0.0,0.3682,0.0,0.0
38,500,2000,True,900,333851,900,333851,0,0,290.0,286.0,4.0,0.4,172993,28830,144163,327027,126,0,10576,1611,-0.2229,273139,-0.2226,269733,340110,701868,0,0,8.4,532238,161909,4123,2220846,0.2171,0.3363,1.1493,0.0362,0.127,9.28,0.307,0.3623,0.0,0.0
39,500,2000,True,900,281152,900,281152,16838,16838,242.0,242.0,0.0,0.0,188761,18946,169815,349707,0,0,13017,774,-0.1954,308100,-0.1872,282290,430301,913170,0,963,8.79,592055,142808,5865,1849088,0.1999,0.3912,1.1357,0.0331,0.1161,11.822,0.307,0.1602,0.0,0.0
40,500,2000,True,900,255488,900,255488,15430,15430,212.0,212.0,0.0,0.0,178554,21451,157103,336093,36,0,11934,5739,-0.1877,299822,-0.1717,267732,474566,1045926,0,494,11.4,598124,102107,5829,1624280,0.1812,0.4068,1.0843,0.0311,0.1077,13.097,0.307,0.3884,0.0,0.0
41,500,2000,True,900,235581,900,235581,35439,35439,193.0,194.0,-1.0,-0.1,191421,19557,171864,354072,0,0,15641,318,-0.1913,315574,-0.1644,256039,563534,1164908,0,0,8.33,653132,70041,7138,1358914,0.204,0.354,0.9814,0.0343,0.1203,10.313,0.307,0.3504,0.0,0.0
42,500,2000,True,900,215664,900,215664,42317,42317,156.0,156.0,0.0,0.0,177433,11985,165448,342990,549,0,22482,702,-0.1766,310735,-0.1259,236874,556827,1183784,0,966,10.65,630061,61209,10595,1441054,0.216,0.3394,1.0659,0.0379,0.1322,8.946,0.307,0.4327,0.0,0.0
43,500,2000,True,900,197567,900,197268,30881,31174,156.0,157.0,-1.0,-0.1,150667,6808,143859,294015,669,0,19560,1629,-0.1505,266772,-0.0945,210321,564978,1163547,0,2921,11.11,632992,61206,10787,1577900,0.1804,0.3373,1.0107,0.0399,0.1428,8.457,0.307,0.4854,0.0,0.0
44,500,2000,True,900,244359,900,243969,29907,30285,254.0,254.0,0.0,0.0,151239,13140,138099,298224,666,9,17154,750,-0.1953,264545,-0.1482,199832,513779,941185,298,3097,11.68,647619,120464,11513,1491666,0.2201,0.3409,1.2799,0.0314,0.1227,10.843,0.0,0.4449,0.0,0.0
45,500,2000,True,900,227431,900,226899,46616,47148,223.0,224.0,-1.0,-0.1,174372,21102,153270,314775,1755,9,9582,2195,-0.2307,270296,-0.1792,200385,371312,736256,1902,4278,11.9,662270,269712,9041,1355962,0.232,0.3439,1.4531,0.0273,0.1093,12.616,0.0,0.0434,0.0,0.0
46,500,2000,True,900,211334,900,211266,29999,30067,200.0,188.0,12.0,1.2,166003,23673,142330,303693,2043,0,789,4267,-0.2748,261931,-0.2597,205343,380346,735427,4379,68382,11.99,684957,280898,6109,1183590,0.2331,0.3163,1.1146,0.03,0.1252,10.545,0.4534,0.4452,0.0,0.0
47,500,2000,True,900,194533,900,194605,14406,14334,169.0,167.0,2.0,0.2,135519,10505,125014,258165,585,54,552,5177,-0.2819,227518,-0.2826,197416,334251,782596,4295,137138,6.48,740585,395772,4847,947360,0.1507,0.3136,1.093,0.0365,0.161,8.598,0.4534,0.0,0.0,0.0
48,500,2000,True,900,247653,900,247653,17271,17271,282.0,282.0,0.0,0.0,130859,12995,117864,239796,414,54,8555,2375,-0.2235,216165,-0.2205,187187,405076,683279,2280,11621,11.61,805731,387294,8127,633666,0.0881,0.3583,1.2978,0.0446,0.1896,8.027,0.3818,0.1229,0.0,0.0
49,500,2000,True,900,264685,900,264685,17434,17434,295.0,295.0,0.0,0.0,111719,4100,107619,226827,1077,0,17913,1778,-0.1819,217610,-0.1556,186080,319140,586289,39,25,11.91,813929,490689,11083,506966,0.1278,0.3903,1.2864,0.0425,0.1845,9.184,0.2038,0.3756,0.0,0.0
50,500,2000,True,900,248083,900,248083,13210,13210,274.0,275.0,-1.0,-0.1,118478,3787,114691,232974,288,0,9988,8181,-0.233,215656,-0.2245,190341,166010,406246,0,84266,11.89,826625,656811,9244,436276,0.1278,0.4076,1.0993,0.0452,0.1893,9.025,0.2038,0.4426,0.0,0.0
51,500,2000,True,900,231248,900,231248,19524,19524,276.0,241.0,35.0,3.5,136830,23048,113782,262938,87,0,981,7065,-0.2539,212407,-0.2517,174262,92428,298554,0,104604,10.45,822825,705122,9682,412594,0.1376,0.3817,1.0112,0.0444,0.1809,8.603,0.2038,0.317,0.0,0.0
52,500,2000,True,900,243320,900,243320,26258,26258,275.0,248.0,27.0,2.7,152409,23932,128477,265512,666,0,279,3750,-0.2446,217539,-0.232,176869,127211,221513,0,10892,7.59,821077,668886,9747,400004,0.1392,0.3804,1.1282,0.0364,0.1571,10.439,0.4503,0.2381,0.0,0.0
53,500,2000,True,900,249045,900,249045,15965,15965,289.0,265.0,24.0,2.4,140142,15364,124778,264621,666,0,258,9072,-0.2535,227357,-0.2328,195012,60396,290420,0,180997,11.51,806095,728794,6359,488440,0.1754,0.4033,1.1195,0.0388,0.1622,10.406,0.1209,0.0829,0.0,0.0
54,500,2000,True,900,221796,900,221796,20741,20741,223.0,220.0,3.0,0.3,142889,9753,133136,268332,63,0,4861,4815,-0.2607,237475,-0.2356,201509,289065,423454,0,22,11.76,774612,475389,6151,689042,0.2604,0.3342,0.7563,0.0356,0.1416,9.384,0.1209,0.2766,0.0,0.0
55,500,2000,True,900,269815,900,269815,24321,24321,305.5,302.0,3.5,0.35,150464,10064,140400,282663,828,63,10577,3645,-0.259,257289,-0.2385,215688,102668,282867,0,33253,11.12,728948,616113,5789,888404,0.1925,0.3626,1.0435,0.0315,0.1216,11.514,0.0542,0.2554,0.0,0.0
56,500,2000,True,900,252764,900,252764,22202,22202,246.5,246.5,0.0,0.0,154746,8346,146400,303912,684,63,14358,9072,-0.2477,281571,-0.2291,239358,152496,248213,0,35852,11.69,780187,619345,6578,589212,-0.0068,0.4513,1.0412,0.0345,0.1338,13.089,0.0,0.3403,0.0,0.0
57,500,2000,True,900,275518,900,275518,22403,22403,259.0,259.0,0.0,0.0,183833,21304,162529,340728,174,0,9869,1512,-0.2652,303559,-0.2525,262285,65605,182304,0,17586,11.74,760963,674054,8854,537918,0.2315,0.3823,0.866,0.0371,0.1395,10.302,0.0,0.0,0.0,0.0
58,500,2000,True,900,247999,900,247999,21473,21473,168.0,168.0,0.0,0.0,193000,20914,172086,365355,711,0,15780,2736,-0.2611,324151,-0.252,286108,64648,112071,0,3732,11.86,702384,616822,8316,840526,0.26,0.3515,0.7801,0.0303,0.1152,11.595,0.0,0.0864,0.0,0.0
59,500,2000,True,900,220657,900,220657,16799,16799,84.0,84.0,0.0,0.0,194389,11638,182751,471339,711,0,22680,85686,-0.2638,348333,-0.2578,318490,73124,150680,0,3312,9.56,689438,604665,6966,933046,0.2433,0.3803,1.0868,0.0306,0.1095,12.443,0.0,0.1169,0.0,0.0
60,500,2000,True,900,310739,900,310739,47466,47466,234.0,239.0,-5.0,-0.5,254326,22766,231560,549171,0,0,27596,60967,-0.2656,394726,-0.2662,342085,151558,261106,0,0,9.13,667180,471786,13246,840064,0.2206,0.2802,0.7816,0.0332,0.1213,8.433,0.3259,0.4243,0.0,0.0
61,500,2000,True,900,341270,900,341270,66250,66250,266.0,257.0,9.0,0.9,296411,20611,275800,525264,0,0,13473,3289,-0.2641,444513,-0.2696,368030,234774,431453,0,0,10.21,649921,381908,14703,724074,0.1998,0.2719,0.815,0.0384,0.1486,7.083,0.2904,0.0154,0.0,0.0
62,500,2000,True,900,318182,900,318182,15139,15139,224.5,201.0,23.5,2.35,249226,16431,232795,464586,45,0,3764,2241,-0.2707,426869,-0.2736,387217,336840,558390,0,0,9.04,635080,276206,7039,939056,0.176,0.2888,0.9313,0.0374,0.1426,7.713,0.2454,0.043,0.0,0.0
