domain,topo_version,n_profiles,shift_m_median,shift_cells_median,shift_m_p10,shift_m_p90,shift_m_min,shift_m_max,row0_cell_median,duneline_cell_median
1,v3,50,-61.3,-6.13,-125.5,9.8,-175.0,18.7,18.0,22.01
2,v3,50,22.3,2.23,-0.7,46.9,-6.4,61.3,13.0,10.1
3,v3,50,27.1,2.71,20.1,49.8,17.4,67.6,23.0,20.56
4,v3,50,47.4,4.74,15.7,70.1,10.2,76.9,40.0,34.87
5,v3,50,77.7,7.77,55.9,87.7,42.1,113.7,37.0,29.09
6,v3,50,17.6,1.76,9.9,45.2,4.1,52.5,19.5,17.43
7,v3,50,19.4,1.94,9.3,25.7,2.7,28.0,21.0,19.18
8,v3,50,4.0,0.4,-3.5,31.7,-8.3,38.9,26.0,26.35
9,v3,50,10.4,1.04,4.2,22.0,-1.2,29.5,23.0,21.82
10,v3,50,20.1,2.01,13.0,27.2,-2.6,32.6,23.0,21.13
11,v3,50,32.6,3.26,25.6,38.8,16.9,44.8,18.0,14.68
12,v3,50,31.4,3.14,21.9,39.7,19.5,44.5,19.0,15.84
13,v3,50,41.8,4.18,21.1,50.7,16.0,55.1,24.0,20.0
14,v3,50,18.5,1.85,14.7,46.1,10.0,55.9,25.0,23.38
15,v3,50,6.5,0.65,-2.5,14.1,-7.0,19.8,23.0,22.86
16,v3,50,-6.4,-0.64,-27.4,18.3,-33.8,23.2,26.0,27.25
17,v3,50,16.0,1.6,6.7,29.6,-3.5,34.2,26.0,24.29
18,v3,50,24.6,2.46,18.4,35.8,14.0,42.3,22.0,19.56
19,v3,50,18.6,1.86,12.1,25.1,8.1,27.9,24.0,22.31
20,v3,50,23.1,2.31,10.7,41.1,-4.0,44.3,23.0,20.82
21,v3,50,13.0,1.3,8.4,27.7,5.5,45.7,25.0,23.19
22,v3,50,11.7,1.17,2.9,47.2,-3.0,56.4,21.0,19.3
23,v3,50,9.4,0.94,2.0,15.1,-8.9,19.1,19.0,17.83
24,v3,50,12.5,1.25,7.5,17.3,5.6,20.0,20.0,18.63
25,v3,50,12.4,1.24,5.8,22.8,-5.8,35.1,19.0,18.06
26,v3,50,60.1,6.01,18.1,93.9,11.6,97.4,24.0,17.85
27,v3,50,62.0,6.2,11.3,98.4,-16.6,105.4,28.0,21.26
28,v3,50,25.0,2.5,12.9,73.4,8.1,77.3,15.0,11.13
29,v3,50,12.8,1.28,2.6,22.7,-5.2,26.7,28.0,27.33
30,v3,50,10.9,1.09,4.5,17.0,0.0,21.6,28.0,26.93
31,v3,50,17.5,1.75,4.7,25.4,0.1,29.5,27.0,24.64
32,v3,50,16.7,1.67,7.4,40.0,3.1,58.1,29.0,28.03
33,v3,50,82.9,8.29,72.7,115.0,50.6,127.8,35.0,26.72
34,v3,50,109.2,10.92,93.1,141.3,81.8,144.9,35.0,24.16
35,v3,50,135.5,13.55,110.5,159.7,94.4,163.5,46.0,32.62
36,v3,50,-11.6,-1.16,-39.0,10.2,-46.6,15.1,27.0,28.27
37,v3,50,6.9,0.69,-7.0,13.5,-22.5,21.9,25.0,23.7
38,v3,50,-3.2,-0.32,-15.4,9.9,-26.3,15.3,16.0,16.26
39,v3,50,13.4,1.34,8.2,16.7,6.3,20.8,21.0,19.82
40,v3,50,13.2,1.32,3.2,23.2,0.7,23.3,18.0,16.68
41,v3,50,15.6,1.56,9.0,18.6,6.6,20.0,18.0,17.09
42,v3,50,15.6,1.56,12.5,21.5,5.4,24.7,18.0,16.44
43,v3,50,11.9,1.19,7.8,18.0,6.3,20.2,16.5,15.22
44,v3,50,20.8,2.08,9.6,25.5,7.0,26.7,18.0,15.6
45,v3,50,31.2,3.12,23.6,36.1,-5.7,43.0,22.0,19.4
46,v3,50,29.7,2.97,21.3,37.0,-12.6,56.4,23.0,19.82
47,v3,50,24.7,2.47,21.5,30.8,13.3,36.0,19.0,16.4
48,v3,50,22.5,2.25,15.8,44.1,12.4,57.3,20.0,17.17
49,v3,50,88.7,8.87,69.0,98.8,49.7,99.6,25.0,15.75
50,v3,50,93.7,9.37,61.6,104.5,38.8,106.7,17.0,7.58
51,v3,50,44.1,4.41,20.2,67.1,14.5,73.3,20.0,15.19
52,v3,50,26.7,2.67,15.9,43.0,12.3,46.8,17.0,13.98
53,v3,50,19.8,1.98,11.9,29.7,10.1,40.3,12.0,10.2
54,v3,50,34.9,3.49,18.8,42.2,14.2,47.6,13.0,9.5
55,v3,50,24.0,2.4,18.9,31.2,11.9,36.0,13.0,10.16
56,v3,50,8.6,0.86,-5.5,16.0,-26.2,21.7,16.0,15.4
57,v3,50,15.8,1.58,8.2,22.7,-20.3,31.0,23.0,21.73
58,v3,50,20.4,2.04,9.6,36.9,5.7,44.5,21.0,18.38
59,v3,50,7.9,0.79,0.2,15.0,-5.2,18.3,11.0,10.33
60,v3,50,14.5,1.45,7.3,20.3,3.7,23.7,21.0,19.94
61,v3,50,13.3,1.33,8.8,20.0,5.3,35.1,20.0,18.62
62,v3,50,13.5,1.35,6.5,36.8,-1.3,51.1,22.0,20.25
63,v3,50,40.5,4.05,14.0,48.5,10.1,53.7,25.0,20.67
64,v3,50,37.5,3.75,19.4,44.2,11.1,47.6,29.0,24.93
65,v3,50,57.3,5.73,44.4,65.3,21.4,68.6,35.0,29.21
66,v3,50,64.4,6.44,54.5,71.1,45.7,73.1,37.0,30.62
67,v3,50,85.8,8.58,70.1,91.6,65.7,94.5,35.0,26.63
68,v3,50,6.1,0.61,-4.8,15.2,-30.4,20.0,26.0,25.75
69,v3,50,23.4,2.34,16.2,60.3,-16.5,65.4,23.0,19.55
70,v3,50,50.1,5.01,15.7,54.5,9.0,57.3,14.0,9.21
71,v3,50,57.9,5.79,53.6,67.2,48.0,70.6,15.0,9.01
72,v3,50,70.4,7.04,64.5,81.1,61.8,87.0,15.0,7.6
73,v3,50,76.3,7.63,69.7,81.4,64.0,86.8,16.0,7.99
74,v3,50,47.4,4.74,24.3,64.4,22.2,65.3,25.0,20.88
75,v3,50,21.8,2.18,19.3,27.8,15.4,30.2,23.0,20.35
76,v3,50,15.7,1.57,12.3,19.0,9.3,23.8,19.0,17.58
77,v3,50,14.3,1.43,8.9,17.1,7.6,19.4,17.0,15.79
78,v3,50,29.7,2.97,16.1,38.4,9.6,44.0,14.0,10.93
79,v3,50,52.4,5.24,28.1,59.5,7.0,72.5,9.0,4.41
80,v3,50,75.1,7.51,66.7,84.7,60.0,96.5,15.0,6.8
81,v3,50,55.7,5.57,32.0,68.2,24.0,77.1,13.0,7.69
82,v3,50,76.8,7.68,49.0,116.3,38.0,136.8,10.0,3.5
83,v3,50,36.6,3.66,28.1,60.3,18.3,67.9,19.0,15.49
84,v3,50,49.8,4.98,40.7,76.1,35.2,86.8,23.0,18.02
85,v3,50,75.5,7.55,68.3,83.2,62.4,86.5,15.0,7.36
86,v3,50,42.8,4.28,28.3,60.8,22.5,69.0,11.0,6.88
87,v3,50,27.5,2.75,20.1,45.1,17.5,53.8,15.0,12.23
88,v3,50,23.7,2.37,16.5,32.0,13.8,35.0,21.0,18.72
89,v3,50,21.1,2.11,16.1,26.6,12.3,30.6,20.0,18.33
90,v3,50,23.2,2.32,18.9,27.3,16.7,30.5,19.0,16.68
