year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
1984,v3,1,0,30.77,20,-107.7
1984,v3,1,1,30.71,19,-117.1
1984,v3,1,2,30.64,20,-106.4
1984,v3,1,3,30.57,21,-95.7
1984,v3,1,4,30.5,13,-175.0
1984,v3,1,5,30.44,18,-124.4
1984,v3,1,6,30.37,18,-123.7
1984,v3,1,7,29.9,16,-139.0
1984,v3,1,8,30.22,16,-142.2
1984,v3,1,9,29.53,15,-145.3
1984,v3,1,10,28.85,19,-98.5
1984,v3,1,11,28.17,15,-131.7
1984,v3,1,12,27.48,15,-124.8
1984,v3,1,13,26.8,15,-118.0
1984,v3,1,14,26.12,15,-111.2
1984,v3,1,15,25.44,15,-104.4
1984,v3,1,16,24.75,15,-97.5
1984,v3,1,17,24.07,16,-80.7
1984,v3,1,18,23.39,14,-93.9
1984,v3,1,19,22.7,20,-27.0
1984,v3,1,20,23.28,21,-22.8
1984,v3,1,21,23.0,15,-80.0
1984,v3,1,22,22.71,15,-77.1
1984,v3,1,23,22.43,15,-74.3
1984,v3,1,24,22.15,14,-81.5
1984,v3,1,25,21.87,14,-78.7
1984,v3,1,26,21.59,14,-75.9
1984,v3,1,27,21.31,19,-23.1
1984,v3,1,28,21.03,22,9.7
1984,v3,1,29,20.74,22,12.6
1984,v3,1,30,20.44,22,15.6
1984,v3,1,31,20.13,22,18.7
1984,v3,1,32,20.83,16,-48.3
1984,v3,1,33,20.53,16,-45.3
1984,v3,1,34,20.23,21,7.7
1984,v3,1,35,19.93,21,10.7
1984,v3,1,36,19.63,21,13.7
1984,v3,1,37,19.32,20,6.8
1984,v3,1,38,19.02,19,-0.2
1984,v3,1,39,18.72,18,-7.2
1984,v3,1,40,18.42,18,-4.2
1984,v3,1,41,18.12,18,-1.2
1984,v3,1,42,17.82,18,1.8
1984,v3,1,43,17.51,17,-5.1
1984,v3,1,44,18.21,18,-2.1
1984,v3,1,45,17.91,18,0.9
1984,v3,1,46,17.61,18,3.9
1984,v3,1,47,17.29,18,7.1
1984,v3,1,48,16.87,16,-8.7
1984,v3,1,49,16.46,16,-4.6
1984,v3,2,0,15.7,16,3.0
1984,v3,2,1,15.29,15,-2.9
1984,v3,2,2,14.87,15,1.3
1984,v3,2,3,14.46,14,-4.6
1984,v3,2,4,14.05,14,-0.5
1984,v3,2,5,14.64,14,-6.4
1984,v3,2,6,14.22,14,-2.2
1984,v3,2,7,13.81,14,1.9
1984,v3,2,8,13.4,13,-4.0
1984,v3,2,9,12.98,13,0.2
1984,v3,2,10,12.57,13,4.3
1984,v3,2,11,12.17,13,8.3
1984,v3,2,12,12.82,14,11.8
1984,v3,2,13,12.47,14,15.3
1984,v3,2,14,12.13,14,18.7
1984,v3,2,15,11.78,13,12.2
1984,v3,2,16,11.43,13,15.7
1984,v3,2,17,11.08,13,19.2
1984,v3,2,18,10.74,12,12.6
1984,v3,2,19,11.39,13,16.1
1984,v3,2,20,11.04,13,19.6
1984,v3,2,21,10.7,13,23.0
1984,v3,2,22,10.35,13,26.5
1984,v3,2,23,10.08,12,19.2
1984,v3,2,24,9.84,12,21.6
1984,v3,2,25,9.6,12,24.0
1984,v3,2,26,10.36,13,26.4
1984,v3,2,27,10.13,12,18.7
1984,v3,2,28,9.89,12,21.1
1984,v3,2,29,9.65,12,23.5
1984,v3,2,30,9.41,12,25.9
1984,v3,2,31,9.17,12,28.3
1984,v3,2,32,9.93,13,30.7
1984,v3,2,33,9.69,13,33.1
1984,v3,2,34,9.45,13,35.5
1984,v3,2,35,9.22,13,37.8
1984,v3,2,36,8.98,14,50.2
1984,v3,2,37,8.74,13,42.6
1984,v3,2,38,8.5,13,45.0
1984,v3,2,39,9.26,15,57.4
1984,v3,2,40,9.02,15,59.8
1984,v3,2,41,8.78,13,42.2
1984,v3,2,42,8.54,12,34.6
1984,v3,2,43,8.31,12,36.9
1984,v3,2,44,8.07,12,39.3
1984,v3,2,45,7.83,12,41.7
1984,v3,2,46,8.59,13,44.1
1984,v3,2,47,8.35,13,46.5
1984,v3,2,48,8.11,14,58.9
1984,v3,2,49,7.87,14,61.3
1984,v3,3,0,17.71,24,62.9
1984,v3,3,1,17.48,23,55.2
1984,v3,3,2,17.24,24,67.6
1984,v3,3,3,17.0,23,60.0
1984,v3,3,4,17.89,23,51.1
