domain,n_cells,insert_anchor,insert_row,fill,source_rows,crest_row,window_mean_m,window_min_m,window_max_m,window_water_frac,seam_jump_m,flags
1,-1,crest,1,none (rows removed in front of NC-12),1..1 removed,,,,,,0.84,
2,1,crest,1,copy of the next N rows,1..1,0.0,2.89,1.89,4.04,0.0,0.0,NO_ROAD_behind_crest(row 0)
3,3,crest,1,copy of the next N rows,1..3,0.0,2.5,1.72,5.32,0.0,0.54,NO_ROAD_behind_crest(row 0)
4,2,crest,1,copy of the next N rows,1..2,0.0,2.67,1.7,4.05,0.0,0.49,NO_ROAD_behind_crest(row 0)
5,6,crest,1,copy of the next N rows,1..6,0.0,2.15,1.15,6.12,0.0,0.63,NO_ROAD_behind_crest(row 0)
8,-1,crest,1,none (rows removed in front of NC-12),1..1 removed,,,,,,1.92,
11,1,road,4,copy of the next N rows,4..4,,1.6,1.18,2.59,0.0,0.0,
12,1,road,5,copy of the next N rows,5..5,,1.61,1.36,2.84,0.0,0.0,
15,-1,road,5,none (rows removed in front of NC-12),5..5 removed,,,,,,1.1,
16,-4,road,0,none (rows removed in front of NC-12),0..3 removed,,,,,,,
22,-1,road,16,none (rows removed in front of NC-12),16..16 removed,,,,,,1.11,
23,-1,road,22,none (rows removed in front of NC-12),22..22 removed,,,,,,0.46,
30,-1,road,24,none (rows removed in front of NC-12),24..24 removed,,,,,,0.45,
31,-1,road,22,none (rows removed in front of NC-12),22..22 removed,,,,,,0.29,
32,-1,road,20,none (rows removed in front of NC-12),20..20 removed,,,,,,0.21,
33,-1,road,17,none (rows removed in front of NC-12),17..17 removed,,,,,,0.35,
34,-1,road,20,none (rows removed in front of NC-12),20..20 removed,,,,,,0.19,
35,-1,road,18,none (rows removed in front of NC-12),18..18 removed,,,,,,0.28,
36,-1,road,34,none (rows removed in front of NC-12),34..34 removed,,,,,,0.25,
37,-1,road,32,none (rows removed in front of NC-12),32..32 removed,,,,,,0.41,
38,-2,road,28,none (rows removed in front of NC-12),28..29 removed,,,,,,0.43,
45,1,road,19,copy of the next N rows,19..19,,1.28,0.78,4.8,0.0,0.0,
46,1,road,18,copy of the next N rows,18..18,,1.37,1.09,2.04,0.0,0.0,
47,1,road,18,copy of the next N rows,18..18,,1.77,0.94,3.69,0.0,0.0,
48,1,road,18,copy of the next N rows,18..18,,1.66,1.02,3.62,0.0,0.0,
49,3,road,14,copy of the next N rows,14..16,,1.67,0.44,3.78,0.0,0.83,
50,3,road,14,copy of the next N rows,14..16,,1.51,-0.02,3.36,0.007,0.6,WATER_IN_WINDOW
51,2,road,20,copy of the next N rows,20..21,,1.23,-0.19,3.09,0.02,0.35,WATER_IN_WINDOW
52,1,road,20,copy of the next N rows,20..20,,0.85,0.38,1.33,0.0,0.0,
53,1,road,19,copy of the next N rows,19..19,,1.14,0.65,2.42,0.0,0.0,
54,2,road,20,copy of the next N rows,20..21,,1.5,0.08,4.12,0.0,0.55,
59,-1,road,26,none (rows removed in front of NC-12),26..26 removed,,,,,,0.26,
62,-2,road,30,none (rows removed in front of NC-12),30..31 removed,,,,,,0.3,
63,-5,road,25,none (rows removed in front of NC-12),25..29 removed,,,,,,0.45,
64,-5,road,25,none (rows removed in front of NC-12),25..29 removed,,,,,,0.61,
65,-4,road,25,none (rows removed in front of NC-12),25..28 removed,,,,,,0.59,
66,-5,road,24,none (rows removed in front of NC-12),24..28 removed,,,,,,0.5,
67,-5,road,25,none (rows removed in front of NC-12),25..29 removed,,,,,,0.14,
68,-1,road,55,none (rows removed in front of NC-12),55..55 removed,,,,,,0.25,
72,2,road,51,copy of the next N rows,51..52,,0.67,0.18,1.36,0.0,0.12,
73,5,road,61,copy of the next N rows,61..65,,0.87,0.44,2.22,0.0,0.25,
74,2,road,64,copy of the next N rows,64..65,,0.86,0.35,2.36,0.0,0.21,
78,2,road,59,copy of the next N rows,59..60,,0.69,-3.0,1.87,0.07,0.37,WATER_IN_WINDOW
79,4,road,61,copy of the next N rows,61..64,,1.13,-0.21,2.01,0.005,0.34,WATER_IN_WINDOW
80,7,road,61,copy of the next N rows,61..67,,0.73,-0.73,2.86,0.04,0.49,WATER_IN_WINDOW
81,3,road,46,copy of the next N rows,46..48,,0.76,0.17,1.7,0.0,0.22,
82,5,road,22,copy of the next N rows,22..26,,0.91,0.25,7.88,0.0,0.58,
83,2,road,12,copy of the next N rows,12..13,,1.09,0.35,10.98,0.0,0.39,OUTLIER_COPIED(11.0 m)
84,3,road,7,copy of the next N rows,7..9,,1.37,0.74,2.26,0.0,0.4,
85,5,road,6,copy of the next N rows,6..10,,1.14,0.64,5.61,0.0,0.47,
86,2,road,3,copy of the next N rows,3..4,,1.47,0.69,3.11,0.0,0.17,
87,1,road,8,copy of the next N rows,8..8,,1.17,0.85,4.17,0.0,0.0,
