domain,n_cells,insert_anchor,insert_row,fill,source_rows,crest_row,window_mean_m,window_min_m,window_max_m,window_water_frac,seam_jump_m,flags
1,-1,dune,0,none (rows removed),,,,,,,,
2,1,dune,0,copy of the next N rows,1..1,0.0,2.89,1.89,4.04,0.0,0.68,NO_ROAD_window_behind_crest(row 0)
3,3,dune,0,copy of the next N rows,1..3,0.0,2.5,1.72,5.32,0.0,0.76,NO_ROAD_window_behind_crest(row 0)
4,2,dune,0,copy of the next N rows,1..2,0.0,2.67,1.7,4.05,0.0,0.7,NO_ROAD_window_behind_crest(row 0)
5,6,dune,0,copy of the next N rows,1..6,0.0,2.15,1.15,6.12,0.0,1.07,NO_ROAD_window_behind_crest(row 0)
8,-1,dune,0,none (rows removed),,,,,,,,
11,1,road,3,copy of the next N rows,3..3,,1.54,1.16,3.63,0.0,0.0,
12,1,road,4,copy of the next N rows,4..4,,1.63,1.37,1.86,0.0,0.0,
15,-1,road,8,none (rows removed),,,,,,,,
16,-4,road,6,none (rows removed),,,,,,,,
22,-1,road,19,none (rows removed),,,,,,,,
23,-1,road,25,none (rows removed),,,,,,,,
30,-1,road,27,none (rows removed),,,,,,,,
31,-1,road,25,none (rows removed),,,,,,,,
32,-1,road,23,none (rows removed),,,,,,,,
33,-1,road,20,none (rows removed),,,,,,,,
34,-1,road,23,none (rows removed),,,,,,,,
35,-1,road,21,none (rows removed),,,,,,,,
36,-1,road,37,none (rows removed),,,,,,,,
37,-1,road,35,none (rows removed),,,,,,,,
38,-2,road,32,none (rows removed),,,,,,,,
45,1,road,17,copy of the next N rows,17..17,,1.21,0.64,1.82,0.0,0.0,
46,1,road,17,copy of the next N rows,17..17,,1.45,0.71,1.77,0.0,0.0,
47,1,road,17,copy of the next N rows,17..17,,1.56,1.02,3.02,0.0,0.0,
48,1,road,17,copy of the next N rows,17..17,,1.48,1.03,2.82,0.0,0.0,
49,3,road,11,copy of the next N rows,11..13,,1.45,0.75,3.22,0.0,0.38,
50,3,road,11,copy of the next N rows,11..13,,1.61,0.07,3.64,0.0,0.48,
51,2,road,17,copy of the next N rows,17..18,,1.41,0.79,3.02,0.0,0.49,
52,1,road,19,copy of the next N rows,19..19,,0.9,0.66,1.09,0.0,0.0,
53,1,road,19,copy of the next N rows,19..19,,1.14,0.65,2.42,0.0,0.0,
54,2,road,18,copy of the next N rows,18..19,,1.16,0.81,1.79,0.0,0.2,
59,-1,road,29,none (rows removed),,,,,,,,
62,-2,road,34,none (rows removed),,,,,,,,
63,-5,road,32,none (rows removed),,,,,,,,
64,-5,road,32,none (rows removed),,,,,,,,
65,-4,road,31,none (rows removed),,,,,,,,
66,-5,road,31,none (rows removed),,,,,,,,
67,-5,road,32,none (rows removed),,,,,,,,
68,-1,road,58,none (rows removed),,,,,,,,
72,2,road,49,copy of the next N rows,49..50,,0.61,0.24,1.37,0.0,0.22,
73,5,road,57,copy of the next N rows,57..61,,0.74,0.28,1.61,0.0,0.35,
74,2,road,61,copy of the next N rows,61..62,,0.78,0.31,2.18,0.0,0.22,
78,2,road,57,copy of the next N rows,57..58,,0.66,-0.17,1.37,0.01,0.23,WATER_IN_WINDOW
79,4,road,58,copy of the next N rows,58..61,,0.97,0.15,2.55,0.0,0.34,
80,7,road,54,copy of the next N rows,54..60,,0.78,0.36,1.57,0.0,0.19,
81,3,road,43,copy of the next N rows,43..45,,0.78,0.23,1.87,0.0,0.27,
82,5,road,16,copy of the next N rows,16..20,,1.47,0.44,10.29,0.0,0.73,OUTLIER_COPIED(10.3 m)
83,2,road,11,copy of the next N rows,11..12,,1.21,0.4,10.98,0.0,0.22,OUTLIER_COPIED(11.0 m)
84,3,road,4,copy of the next N rows,4..6,,1.32,0.76,3.67,0.0,0.45,
85,5,road,2,copy of the next N rows,2..6,,1.43,0.81,5.61,0.0,0.61,
86,2,road,2,copy of the next N rows,2..3,,1.51,0.72,3.11,0.0,0.18,
87,1,road,7,copy of the next N rows,7..7,,1.15,0.82,1.88,0.0,0.0,
