domain,n_rows,shift_m,shift_p10_m,shift_p90_m,shift_m_easting,n_rows_easting,rows_now,rows_after,setback_v2_m,insert_anchor,insert_row_behind_road,modified
1,-1,-12.4,-54.2,0.6,-12.32,-1,161,160,nan,dune,0.0,1
2,1,14.6,-10.8,35.8,14.55,1,159,160,nan,dune,0.0,1
3,3,39.8,27.9,43.2,39.63,3,157,160,nan,dune,0.0,1
4,2,28.7,22.7,36.2,28.75,2,155,157,nan,dune,0.0,1
5,6,62.3,42.4,70.8,62.33,6,158,164,nan,dune,0.0,1
6,0,8.8,-0.5,74.7,8.68,0,174,174,nan,,nan,0
7,0,5.1,-13.1,8.2,5.02,0,178,178,nan,,nan,0
8,-1,-10.3,-16.3,21.3,-10.36,-1,170,169,nan,dune,0.0,1
9,0,-4.5,-11.8,12.5,-4.55,0,163,163,40.0,,nan,0
10,0,5.2,1.3,10.4,5.21,0,154,154,20.0,,nan,0
11,1,19.9,9.5,24.0,19.93,1,162,163,10.0,road,4.0,1
12,1,17.7,3.0,26.6,17.67,1,170,171,20.0,road,5.0,1
13,0,7.3,2.4,18.7,7.3,0,168,168,20.0,,nan,0
14,0,3.6,0.7,5.8,3.57,0,35,35,60.0,,nan,0
15,-1,-19.1,-29.2,-9.8,-19.16,-1,32,31,60.0,road,9.0,1
16,-4,-49.5,-56.7,-14.1,-49.47,-4,61,57,40.0,road,9.0,1
17,0,0.3,-10.8,11.3,0.37,0,71,71,90.0,,nan,0
18,0,7.7,0.4,11.1,7.83,0,87,87,120.0,,nan,0
19,0,-1.6,-2.8,1.0,-1.51,0,97,97,130.0,,nan,0
20,0,-7.3,-15.9,-5.9,-7.3,0,103,103,70.0,,nan,0
21,0,-4.6,-12.7,2.1,-4.51,0,113,113,120.0,,nan,0
22,-1,-17.8,-25.1,-4.9,-17.84,-1,128,127,170.0,road,25.0,1
23,-1,-11.6,-23.1,-6.9,-11.41,-1,134,133,230.0,road,26.0,1
24,0,-6.6,-16.5,-4.1,-6.56,0,141,141,210.0,,nan,0
25,0,-4.7,-8.2,10.5,-4.75,0,138,138,200.0,,nan,0
26,0,6.4,0.7,18.6,6.76,0,148,148,195.0,,nan,0
27,0,-3.9,-10.5,16.1,-3.79,0,161,161,220.0,,nan,0
28,0,-0.0,-6.3,6.4,-0.14,0,166,166,250.0,,nan,0
29,0,-8.8,-16.5,-0.1,-8.96,0,154,154,260.0,,nan,0
30,-1,-12.3,-27.3,-6.3,-12.37,-1,140,139,250.0,road,28.0,1
31,-1,-12.7,-29.6,-5.7,-12.44,-1,139,138,230.0,road,27.0,1
32,-1,-10.2,-17.0,-3.7,-10.2,-1,141,140,210.0,road,25.0,1
33,-1,-13.7,-19.7,-8.3,-13.39,-1,137,136,180.0,road,24.0,1
34,-1,-14.8,-19.5,0.3,-14.84,-1,136,135,210.0,road,26.0,1
35,-1,-10.0,-20.1,-0.4,-10.28,-1,116,115,195.0,road,23.0,1
36,-1,-14.1,-19.4,-6.2,-14.12,-1,134,133,350.0,road,42.0,1
37,-1,-15.1,-32.9,-9.1,-15.08,-1,159,158,330.0,road,38.0,1
38,-2,-21.3,-37.6,-7.1,-21.2,-2,166,164,300.0,road,35.0,1
39,0,-9.1,-12.5,-3.2,-9.22,0,170,170,230.0,,nan,0
40,0,-8.1,-14.1,-4.6,-8.09,0,172,172,210.0,,nan,0
41,0,-5.0,-10.4,3.2,-5.06,0,174,174,200.0,,nan,0
42,0,-6.2,-11.0,0.4,-6.19,0,176,176,180.0,,nan,0
43,0,-5.4,-11.1,7.0,-5.45,0,179,179,170.0,,nan,0
44,0,8.2,-0.4,12.5,8.22,0,169,169,160.0,,nan,0
45,1,15.6,11.1,23.6,15.65,1,155,156,150.0,road,21.0,1
46,1,13.2,12.3,19.8,13.17,1,142,143,150.0,road,21.0,1
47,1,13.2,7.9,19.5,13.26,1,127,128,150.0,road,18.0,1
48,1,11.0,7.4,32.7,11.14,1,118,119,150.0,road,18.0,1
