gis_domain,model_superseded_20260915_flat_m,model_v1_m,model_diff_m,abs_superseded_20260915_flat_m,abs_v1_m,abs_diff_m
1,6300.60,6300.05,-0.55,8236.00,8234.30,-1.70
2,6127.20,6126.73,-0.47,8062.60,8060.98,-1.62
3,6039.20,6038.87,-0.33,7974.60,7973.12,-1.48
4,5950.20,5950.09,-0.11,7885.60,7884.34,-1.26
5,5781.60,5781.18,-0.42,7717.00,7715.44,-1.56
6,5563.60,5563.39,-0.21,7499.00,7497.64,-1.36
7,5484.60,5484.46,-0.14,7420.00,7418.71,-1.29
8,5436.40,5436.07,-0.33,7371.80,7370.33,-1.47
9,5373.40,5373.34,-0.06,7308.80,7307.59,-1.21
10,5294.20,5294.12,-0.08,7229.60,7228.38,-1.22
11,5195.40,5195.30,-0.10,7130.80,7129.55,-1.25
12,5119.60,5119.53,-0.07,7055.00,7053.78,-1.22
13,5045.60,5045.50,-0.10,6981.00,6979.76,-1.24
14,4974.80,4974.74,-0.06,6910.20,6908.99,-1.21
15,4918.20,4918.20,0.00,6853.60,6852.46,-1.14
16,4854.80,4854.49,-0.31,6790.20,6788.74,-1.46
17,4721.00,4720.75,-0.25,6656.40,6655.01,-1.39
18,4621.60,4621.35,-0.25,6557.00,6555.60,-1.40
19,4548.00,4547.71,-0.29,6483.40,6481.96,-1.44
20,4469.60,4469.52,-0.08,6405.00,6403.77,-1.23
21,4357.00,4356.58,-0.42,6292.40,6290.83,-1.57
22,4232.40,4232.21,-0.19,6167.80,6166.46,-1.34
23,4109.00,4108.80,-0.20,6044.40,6043.06,-1.34
24,3984.40,3984.05,-0.35,5919.80,5918.31,-1.49
25,3882.00,3882.05,0.05,5817.40,5816.31,-1.09
26,3783.80,3783.60,-0.20,5719.20,5717.86,-1.34
27,3709.00,3708.91,-0.09,5644.40,5643.17,-1.23
28,3612.60,3612.30,-0.30,5548.00,5546.55,-1.45
29,3512.20,3511.71,-0.49,5447.60,5445.96,-1.64
30,3414.60,3414.12,-0.48,5350.00,5348.38,-1.62
31,3294.60,3294.25,-0.35,5230.00,5228.50,-1.50
32,3172.00,3171.77,-0.23,5107.40,5106.02,-1.38
33,3031.20,3030.96,-0.24,4966.60,4965.22,-1.38
34,2889.80,2889.30,-0.50,4825.20,4823.56,-1.64
35,2762.00,2761.71,-0.29,4697.40,4695.97,-1.43
36,2639.00,2638.77,-0.23,4574.40,4573.03,-1.37
37,2528.00,2527.68,-0.32,4463.40,4461.93,-1.47
38,2455.00,2454.94,-0.06,4390.40,4389.20,-1.20
39,2396.60,2396.50,-0.10,4332.00,4330.75,-1.25
40,2366.60,2366.65,0.05,4302.00,4300.90,-1.10
41,2343.60,2343.43,-0.17,4279.00,4277.69,-1.31
42,2321.20,2321.08,-0.12,4256.60,4255.33,-1.27
43,2299.60,2299.66,0.06,4235.00,4233.91,-1.09
44,2264.60,2264.57,-0.03,4200.00,4198.82,-1.18
45,2229.80,2229.73,-0.07,4165.20,4163.98,-1.22
46,2201.80,2201.99,0.19,4137.20,4136.24,-0.96
47,2171.00,2171.08,0.08,4106.40,4105.33,-1.07
48,2137.60,2137.54,-0.06,4073.00,4071.79,-1.21
49,2099.80,2099.49,-0.31,4035.20,4033.74,-1.46
50,2057.80,2057.76,-0.04,3993.20,3992.02,-1.18
51,2015.80,2015.80,0.00,3951.20,3950.06,-1.14
52,1981.00,1980.83,-0.17,3916.40,3915.08,-1.32
53,1941.40,1941.38,-0.02,3876.80,3875.63,-1.17
54,1880.80,1880.71,-0.09,3816.20,3814.97,-1.23
55,1823.80,1823.62,-0.18,3759.20,3757.88,-1.32
56,1778.80,1778.80,0.00,3714.20,3713.06,-1.14
57,1696.20,1696.15,-0.05,3631.60,3630.40,-1.20
58,1601.00,1600.67,-0.33,3536.40,3534.93,-1.47
59,1529.40,1529.32,-0.08,3464.80,3463.57,-1.23
60,1428.00,1427.99,-0.01,3363.40,3362.24,-1.16
61,1336.00,1335.74,-0.26,3271.40,3269.99,-1.41
62,1234.80,1234.60,-0.20,3170.20,3168.85,-1.35
63,1147.00,1146.98,-0.02,3082.40,3081.23,-1.17
64,1067.60,1067.52,-0.08,3003.00,3001.77,-1.23
