gis_domain,model_duneline_m,model_shoreline_m,model_diff_m,datum_duneline_m,datum_shoreline_m,seaward_gap_m
1,6245.11,6218.64,-26.47,8198.31,8126.25,72.06
2,6124.17,6148.42,24.25,8077.37,8056.03,21.34
3,6057.40,6076.09,18.70,8010.59,7983.70,26.90
4,5959.78,5980.32,20.53,7912.98,7887.92,25.06
5,5820.73,5842.64,21.91,7773.93,7750.25,23.68
6,5564.44,5573.78,9.34,7517.63,7481.39,36.25
7,5466.74,5487.84,21.10,7419.94,7395.45,24.50
8,5413.79,5436.60,22.81,7366.99,7344.20,22.78
9,5349.23,5378.06,28.82,7302.43,7285.66,16.77
10,5278.06,5305.58,27.52,7231.26,7213.19,18.07
11,5194.20,5223.06,28.86,7147.40,7130.67,16.73
12,5116.98,5142.23,25.25,7070.18,7049.84,20.34
13,5034.49,5060.72,26.23,6987.69,6968.33,19.36
14,4958.85,4961.99,3.14,6912.05,6869.59,42.45
15,4880.71,4873.57,-7.14,6833.91,6781.18,52.73
16,4799.32,4796.55,-2.77,6752.52,6704.16,48.36
17,4699.91,4714.47,14.56,6653.10,6622.08,31.03
18,4608.34,4622.39,14.05,6561.54,6529.99,31.55
19,4527.80,4541.84,14.04,6481.00,6449.45,31.55
20,4441.71,4444.51,2.80,6394.91,6352.12,42.79
21,4330.41,4334.79,4.38,6283.61,6242.40,41.21
22,4197.52,4213.96,16.44,6150.72,6121.56,29.15
23,4075.24,4091.89,16.65,6028.44,5999.49,28.94
24,3956.89,3976.31,19.41,5910.09,5883.91,26.18
25,3861.73,3875.37,13.64,5814.92,5782.97,31.95
26,3773.89,3786.74,12.85,5727.09,5694.35,32.74
27,3689.20,3711.59,22.39,5642.39,5619.19,23.20
28,3593.70,3616.43,22.73,5546.90,5524.04,22.86
29,3481.62,3496.59,14.97,5434.82,5404.20,30.62
30,3379.59,3363.37,-16.22,5332.79,5270.98,61.81
31,3265.86,3230.11,-35.76,5219.06,5137.72,81.35
32,3142.88,3091.91,-50.97,5096.08,4999.51,96.56
33,2997.39,2948.06,-49.32,4950.58,4855.67,94.91
34,2841.07,2803.78,-37.29,4794.27,4711.39,82.88
35,2667.43,2678.28,10.85,4620.63,4585.89,34.74
36,2580.77,2575.83,-4.94,4533.97,4483.43,50.54
37,2485.76,2494.34,8.59,4438.96,4401.95,37.00
38,2414.49,2433.62,19.14,4367.68,4341.23,26.45
39,2368.58,2391.29,22.71,4321.78,4298.90,22.89
40,2338.83,2356.07,17.24,4292.03,4263.68,28.35
41,2320.88,2328.96,8.08,4274.08,4236.57,37.51
42,2296.35,2305.10,8.74,4249.55,4212.70,36.85
43,2276.67,2294.53,17.86,4229.87,4202.14,27.73
44,2252.60,2278.13,25.52,4205.80,4185.73,20.07
45,2227.77,2245.79,18.02,4180.97,4153.40,27.57
46,2202.70,2194.04,-8.66,4155.90,4101.64,54.26
47,2163.65,2159.98,-3.67,4116.85,4067.59,49.26
48,2133.28,2152.16,18.88,4086.48,4059.76,26.72
49,2113.22,2133.43,20.21,4066.42,4041.04,25.38
50,2071.94,2086.83,14.89,4025.14,3994.43,30.70
51,2023.71,2040.04,16.33,3976.91,3947.64,29.27
52,1978.70,1996.41,17.71,3931.90,3904.02,27.88
53,1935.84,1948.35,12.51,3889.04,3855.96,33.08
54,1889.06,1894.84,5.78,3842.26,3802.44,39.82
55,1813.55,1830.65,17.10,3766.75,3738.26,28.49
56,1751.43,1772.69,21.25,3704.63,3680.29,24.34
57,1680.70,1690.29,9.60,3633.89,3597.90,35.99
58,1586.13,1602.79,16.65,3539.33,3510.40,28.94
59,1497.02,1519.77,22.75,3450.22,3427.38,22.84
60,1406.13,1416.22,10.09,3359.33,3323.83,35.51
61,1310.73,1308.99,-1.74,3263.93,3216.60,47.33
62,1190.46,1185.23,-5.23,3143.66,3092.84,50.82
63,1073.98,1087.35,13.38,3027.17,2994.96,32.21
64,995.44,989.44,-6.00,2948.64,2897.05,51.59
65,905.44,884.68,-20.77,2858.64,2792.28,66.36
66,808.40,787.80,-20.60,2761.60,2695.41,66.19
67,691.19,687.34,-3.85,2644.39,2594.95,49.44
68,580.32,584.72,4.40,2533.52,2492.33,41.19
69,478.83,488.04,9.21,2432.03,2395.65,36.38
70,381.01,389.03,8.02,2334.21,2296.64,37.57
71,290.76,310.10,19.33,2243.96,2217.71,26.26
72,222.89,244.18,21.29,2176.08,2151.78,24.30
73,178.38,182.62,4.23,2131.58,2090.22,41.36
74,127.46,130.39,2.93,2080.66,2038.00,42.66
75,84.46,69.50,-14.97,2037.66,1977.10,60.56
76,28.07,0.00,-28.07,1981.27,1907.61,73.66
77,0.00,8.05,8.05,1953.20,1915.66,37.54
78,3.93,22.11,18.18,1957.12,1929.71,27.41
79,64.87,56.69,-8.18,2018.07,1964.30,53.77
80,119.91,96.41,-23.51,2073.11,2004.01,69.10
81,155.38,163.31,7.92,2108.58,2070.91,37.67
82,244.24,264.59,20.35,2197.44,2172.20,25.25
83,310.95,333.22,22.27,2264.15,2240.82,23.32
84,383.74,406.51,22.77,2336.94,2314.12,22.82
85,474.95,494.80,19.85,2428.15,2402.41,25.74
86,547.07,560.22,13.15,2500.27,2467.83,32.44
87,620.80,632.16,11.36,2574.00,2539.77,34.23
88,690.90,708.87,17.96,2644.10,2616.47,27.63
89,761.25,785.18,23.93,2714.45,2692.79,21.66
90,844.29,863.80,19.51,2797.49,2771.40,26.08
