domain_id,LineID,ORIG_LEN,n_crossings,x,y,feature_type,year,source_type,method,editor,edit_date,notes,duneline_file,transect_file,built,built_by
1,12,8269.301238763961,1,451929.15106123604,3898862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
1,13,8244.028585961554,1,451954.42371403845,3898962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
1,14,8225.867852450174,1,451972.58444754983,3899062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
1,15,8187.2964141778075,1,452011.1558858222,3899162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
1,16,8149.709575538291,1,452048.7427244617,3899262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
2,17,8114.523950495699,1,452083.9283495043,3899362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
2,18,8090.386010041112,1,452108.0662899589,3899462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
2,19,8073.658914152067,1,452124.79338584794,3899562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
2,20,8060.6452110619875,1,452137.807088938,3899662.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
2,21,8047.631507971965,1,452150.82079202804,3899762.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
3,22,8034.617804881884,1,452163.8344951181,3899862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
3,23,8026.054492104915,1,452172.3978078951,3899962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
3,24,8013.929505072767,1,452184.52279492724,3900062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
3,25,7998.0204059794205,1,452200.4318940206,3900162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
3,26,7980.34837845224,1,452218.10392154776,3900262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
4,27,7957.897024122824,1,452240.5552758772,3900362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
4,28,7937.049932343769,1,452261.40236765624,3900462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
4,29,7916.9833261002195,1,452281.4689738998,3900562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
4,30,7890.197601946478,1,452308.2546980535,3900662.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
4,31,7863.737731129921,1,452334.7145688701,3900762.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
5,32,7839.688756032557,1,452358.76354396745,3900862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
5,33,7809.819787558575,1,452388.6325124414,3900962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
5,34,7782.650702302984,1,452415.801597697,3901062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
5,35,7743.146698160097,1,452455.3056018399,3901162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
5,36,7700.440031371604,1,452498.0122686284,3901262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
6,37,7649.317275743932,1,452549.1350242561,3901362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
6,38,7521.867933493049,1,452676.58436650696,3901462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
6,39,7498.848226595322,1,452699.6040734047,3901562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
6,40,7468.739262257121,1,452729.7130377429,3901662.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
6,41,7449.401131555205,1,452749.0511684448,3901762.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
7,42,7435.278890559508,1,452763.1734094405,3901862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
7,43,7432.068474394154,1,452766.38382560585,3901962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
7,44,7420.9837223540535,1,452777.46857764595,3902062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
7,45,7411.480300000286,1,452786.9719999997,3902162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
7,46,7399.899534405151,1,452798.55276559485,3902262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
8,47,7391.971632555011,1,452806.480667445,3902362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
8,48,7384.310161645058,1,452814.14213835495,3902462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
8,49,7363.379884116934,1,452835.07241588307,3902562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
8,50,7348.419935362297,1,452850.0323646377,3902662.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
8,51,7346.859520811063,1,452851.59277918894,3902762.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
9,52,7331.222821343225,1,452867.2294786568,3902862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
9,53,7318.173989962088,1,452880.2783100379,3902962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
9,54,7300.225498103595,1,452898.2268018964,3903062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
9,55,7291.955913137936,1,452906.49638686207,3903162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
9,56,7278.320864327078,1,452920.1314356729,3903262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
10,57,7262.150372364442,1,452936.30192763556,3903362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
10,58,7246.403540981817,1,452952.0487590182,3903462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
10,59,7237.778912849666,1,452960.67338715034,3903562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997_v2.geojson,transects_100m.geojson,2026-09-15,duneline_to_raw_offsets.py
