gis_domain,model_v1_m,model_v2_m,model_diff_m,abs_v1_m,abs_v2_m,abs_diff_m
1,6258.00,6258.12,0.12,8215.24,8215.24,0.00
2,6120.40,6120.25,-0.15,8077.37,8077.37,0.00
3,6053.40,6053.47,0.07,8010.59,8010.59,0.00
4,5956.00,5956.05,0.05,7913.17,7913.17,0.00
5,5818.20,5818.03,-0.17,7775.15,7775.15,0.00
6,5560.60,5560.51,-0.09,7517.63,7517.63,0.00
7,5462.80,5462.82,0.02,7419.94,7419.94,0.00
8,5409.60,5409.86,0.26,7366.99,7366.99,0.00
9,5346.60,5346.86,0.26,7303.98,7303.98,0.00
10,5277.40,5277.33,-0.07,7234.46,7234.46,0.00
11,5190.40,5190.28,-0.12,7147.40,7147.40,0.00
12,5113.00,5113.06,0.06,7070.18,7070.18,0.00
13,5031.80,5032.04,0.24,6989.16,6989.16,0.00
14,4954.80,4954.92,0.12,6912.05,6912.05,0.00
15,4876.80,4876.79,-0.01,6833.91,6833.91,0.00
16,4791.00,4811.38,20.38,6748.34,6768.50,20.16
17,4694.60,4697.85,3.25,6651.94,6654.97,3.03
18,4606.20,4606.34,0.14,6563.46,6563.46,0.00
19,4523.80,4523.88,0.08,6481.00,6481.00,0.00
20,4437.60,4437.79,0.19,6394.91,6394.91,0.00
21,4326.60,4326.71,0.11,6283.83,6283.83,0.00
22,4193.80,4193.60,-0.20,6150.72,6150.72,0.00
23,4071.40,4071.31,-0.09,6028.44,6028.44,0.00
24,3953.00,3952.97,-0.03,5910.09,5910.09,0.00
25,3857.80,3857.80,-0.00,5814.92,5814.92,0.00
26,3770.00,3769.96,-0.04,5727.09,5727.09,0.00
27,3685.20,3685.27,0.07,5642.39,5642.39,0.00
28,3589.60,3589.77,0.17,5546.90,5546.90,0.00
29,3478.00,3477.90,-0.10,5435.03,5435.03,0.00
30,3377.60,3381.65,4.05,5334.58,5338.78,4.19
31,3259.80,3261.94,2.14,5216.90,5219.06,2.17
32,3138.80,3138.95,0.15,5096.08,5096.08,0.00
33,2993.40,2993.46,0.06,4950.58,4950.58,0.00
34,2854.00,2854.02,0.02,4811.15,4811.15,0.00
35,2727.60,2729.71,2.11,4684.88,4686.84,1.96
36,2602.80,2602.60,-0.20,4559.72,4559.72,0.00
37,2489.00,2488.85,-0.15,4445.98,4445.98,0.00
38,2410.40,2410.56,0.16,4367.68,4367.68,0.00
39,2365.60,2365.67,0.07,4322.79,4322.79,0.00
40,2334.80,2334.90,0.10,4292.03,4292.03,0.00
41,2316.80,2316.95,0.15,4274.08,4274.08,0.00
42,2292.40,2292.43,0.03,4249.55,4249.55,0.00
43,2272.80,2272.74,-0.06,4229.87,4229.87,0.00
44,2248.60,2248.68,0.08,4205.80,4205.80,0.00
45,2223.60,2223.84,0.24,4180.92,4180.97,0.05
46,2194.00,2240.43,46.43,4150.91,4197.56,46.65
47,2160.80,2164.32,3.52,4117.99,4121.44,3.45
48,2129.40,2137.06,7.66,4086.48,4094.18,7.70
49,2109.00,2126.33,17.33,4066.24,4083.45,17.22
50,2069.00,2105.23,36.23,4026.14,4062.35,36.21
51,2019.60,2032.71,13.11,3976.91,3989.84,12.93
52,1974.80,1974.77,-0.03,3931.90,3931.90,0.00
53,1932.00,1931.91,-0.09,3889.04,3889.04,0.00
54,1885.00,1884.99,-0.01,3842.12,3842.12,0.00
55,1809.40,1809.43,0.03,3766.56,3766.56,0.00
56,1747.20,1747.50,0.30,3704.63,3704.63,0.00
57,1676.80,1676.77,-0.03,3633.89,3633.89,0.00
58,1582.00,1582.21,0.21,3539.33,3539.33,0.00
59,1493.00,1493.10,0.10,3450.22,3450.22,0.00
60,1402.00,1402.21,0.21,3359.33,3359.33,0.00
61,1304.00,1306.80,2.80,3261.38,3263.93,2.54
62,1181.40,1212.12,30.72,3138.58,3169.25,30.67
63,1073.60,1124.18,50.58,3030.86,3081.30,50.44
64,985.20,1040.99,55.79,2942.13,2998.11,55.99
65,900.00,943.70,43.70,2857.23,2900.82,43.59
66,802.20,865.63,63.43,2759.43,2822.75,63.33
67,683.60,728.30,44.70,2640.89,2685.42,44.54
68,576.40,576.54,0.14,2533.67,2533.67,0.00
69,474.80,474.90,0.10,2432.03,2432.03,0.00
70,377.00,377.09,0.09,2334.21,2334.21,0.00
71,286.00,286.84,0.84,2243.96,2243.96,0.00
72,218.80,218.96,0.16,2176.08,2176.08,0.00
73,174.40,174.45,0.05,2131.58,2131.58,0.00
74,123.60,123.53,-0.07,2080.66,2080.66,0.00
75,80.40,80.54,0.14,2037.66,2037.66,0.00
76,47.40,47.62,0.22,2004.75,2004.75,0.00
77,16.00,15.93,-0.07,1973.05,1973.05,0.00
78,0.00,0.00,0.00,1957.12,1957.12,0.00
79,42.40,95.74,53.34,1999.67,2052.87,53.19
80,110.60,153.72,43.12,2067.72,2110.85,43.13
81,149.40,159.50,10.10,2106.46,2116.62,10.16
82,239.60,240.32,0.72,2196.96,2197.44,0.49
83,306.80,307.02,0.22,2264.15,2264.15,0.00
84,379.80,379.81,0.01,2336.94,2336.94,0.00
85,471.00,471.03,0.03,2428.15,2428.15,0.00
86,542.80,558.10,15.30,2500.03,2515.22,15.19
87,616.80,616.87,0.07,2574.00,2574.00,0.00
88,686.80,686.97,0.17,2644.10,2644.10,0.00
89,757.40,757.33,-0.07,2714.45,2714.45,0.00
90,840.40,840.36,-0.04,2797.49,2797.49,0.00
