gis_domain,model_superseded_20260915_flat_m,model_v1_m,model_diff_m,abs_superseded_20260915_flat_m,abs_v1_m,abs_diff_m
1,6163.80,6163.79,-0.01,8155.60,8154.64,-0.96
2,6095.80,6095.58,-0.22,8087.60,8086.43,-1.17
3,6017.60,6017.44,-0.16,8009.40,8008.29,-1.11
4,5913.00,5912.78,-0.22,7904.80,7903.63,-1.17
5,5742.60,5742.35,-0.25,7734.40,7733.20,-1.20
6,5490.60,5490.55,-0.05,7482.40,7481.40,-1.00
7,5417.20,5417.30,0.10,7409.00,7408.15,-0.85
8,5366.60,5366.45,-0.15,7358.40,7357.31,-1.09
9,5311.40,5311.45,0.05,7303.20,7302.30,-0.90
10,5247.60,5247.31,-0.29,7239.40,7238.16,-1.24
11,5182.80,5182.87,0.07,7174.60,7173.72,-0.88
12,5097.20,5097.23,0.03,7089.00,7088.08,-0.92
13,5022.00,5021.95,-0.05,7013.80,7012.81,-0.99
14,4929.80,4929.70,-0.10,6921.60,6920.55,-1.05
15,4852.60,4852.48,-0.12,6844.40,6843.33,-1.07
16,4778.80,4778.68,-0.12,6770.60,6769.53,-1.07
17,4670.20,4670.01,-0.19,6662.00,6660.86,-1.14
18,4570.20,4570.16,-0.04,6562.00,6561.01,-0.99
19,4493.00,4493.07,0.07,6484.80,6483.93,-0.87
20,4411.00,4411.04,0.04,6402.80,6401.89,-0.91
21,4298.60,4298.55,-0.05,6290.40,6289.41,-0.99
22,4170.00,4169.59,-0.41,6161.80,6160.44,-1.36
23,4055.80,4055.82,0.02,6047.60,6046.68,-0.92
24,3929.80,3929.65,-0.15,5921.60,5920.50,-1.10
25,3832.40,3832.56,0.16,5824.20,5823.41,-0.79
26,3740.00,3740.07,0.07,5731.80,5730.93,-0.87
27,3647.40,3647.59,0.19,5639.20,5638.44,-0.76
28,3535.00,3534.96,-0.04,5526.80,5525.81,-0.99
29,3403.60,3403.37,-0.23,5395.40,5394.22,-1.18
30,3285.20,3284.73,-0.47,5277.00,5275.58,-1.42
31,3169.00,3168.94,-0.06,5160.80,5159.80,-1.00
32,3047.00,3046.84,-0.16,5038.80,5037.69,-1.11
33,2912.80,2912.61,-0.19,4904.60,4903.47,-1.13
34,2772.00,2772.02,0.02,4763.80,4762.88,-0.92
35,2642.20,2641.99,-0.21,4634.00,4632.84,-1.16
36,2534.60,2534.79,0.19,4526.40,4525.65,-0.75
37,2444.80,2444.73,-0.07,4436.60,4435.58,-1.02
38,2402.00,2401.86,-0.14,4393.80,4392.71,-1.09
39,2356.60,2356.63,0.03,4348.40,4347.49,-0.91
40,2329.80,2329.74,-0.06,4321.60,4320.60,-1.00
41,2304.20,2304.16,-0.04,4296.00,4295.01,-0.99
42,2280.60,2280.45,-0.15,4272.40,4271.30,-1.10
43,2257.20,2257.17,-0.03,4249.00,4248.02,-0.98
44,2233.80,2233.83,0.03,4225.60,4224.68,-0.92
45,2209.20,2209.06,-0.14,4201.00,4199.91,-1.09
46,2181.00,2180.87,-0.13,4172.80,4171.73,-1.07
47,2147.20,2147.19,-0.01,4139.00,4138.05,-0.95
48,2114.40,2114.23,-0.17,4106.20,4105.09,-1.11
49,2095.60,2095.60,-0.00,4087.40,4086.45,-0.95
50,2081.80,2081.82,0.02,4073.60,4072.68,-0.92
51,2057.80,2057.75,-0.05,4049.60,4048.60,-1.00
52,2028.40,2028.31,-0.09,4020.20,4019.16,-1.04
53,1986.20,1986.38,0.18,3978.00,3977.23,-0.77
54,1927.20,1927.27,0.07,3919.00,3918.13,-0.87
55,1837.00,1837.02,0.02,3828.80,3827.88,-0.92
56,1726.20,1726.18,-0.02,3718.00,3717.04,-0.96
57,1656.40,1656.43,0.03,3648.20,3647.28,-0.92
58,1566.00,1565.87,-0.13,3557.80,3556.73,-1.07
59,1475.20,1475.13,-0.07,3467.00,3465.99,-1.01
60,1385.20,1385.19,-0.01,3377.00,3376.04,-0.96
61,1295.20,1295.24,0.04,3287.00,3286.10,-0.90
62,1187.20,1187.31,0.11,3179.00,3178.16,-0.84
63,1097.20,1097.37,0.17,3089.00,3088.22,-0.78
64,1007.20,1007.22,0.02,2999.00,2998.07,-0.93
65,917.20,916.80,-0.40,2909.00,2907.65,-1.35
66,815.20,815.32,0.12,2807.00,2806.17,-0.83
67,689.80,689.69,-0.11,2681.60,2680.54,-1.06
68,563.40,563.22,-0.18,2555.20,2554.07,-1.13
69,449.60,449.47,-0.13,2441.40,2440.33,-1.07
70,351.00,350.90,-0.10,2342.80,2341.75,-1.05
71,261.60,261.48,-0.12,2253.40,2252.33,-1.07
72,191.20,191.32,0.12,2183.00,2182.17,-0.83
73,151.40,151.21,-0.19,2143.20,2142.06,-1.14
74,104.80,104.71,-0.09,2096.60,2095.57,-1.03
75,55.80,55.81,0.01,2047.60,2046.66,-0.94
76,19.00,18.86,-0.14,2010.80,2009.71,-1.09
77,6.20,6.16,-0.04,1998.00,1997.01,-0.99
78,0.00,0.00,0.00,1991.80,1990.85,-0.95
79,26.60,26.62,0.02,2018.40,2017.47,-0.93
80,70.80,70.66,-0.14,2062.60,2061.52,-1.08
81,145.60,145.54,-0.06,2137.40,2136.39,-1.01
82,214.80,214.66,-0.14,2206.60,2205.51,-1.09
83,287.00,286.78,-0.22,2278.80,2277.64,-1.16
84,364.80,364.70,-0.10,2356.60,2355.55,-1.05
85,460.20,460.09,-0.11,2452.00,2450.95,-1.05
86,549.40,549.27,-0.13,2541.20,2540.12,-1.08
87,616.60,616.78,0.18,2608.40,2607.63,-0.77
88,678.40,678.46,0.06,2670.20,2669.31,-0.89
89,745.00,744.81,-0.19,2736.80,2735.67,-1.13
90,817.20,817.26,0.06,2809.00,2808.12,-0.88
