Year,Month,Decimal_Year,Monthly_MSL_m,Monthly_MSL_mm,Trend_m,Trend_mm,Residual_m,Residual_mm
2010,1,2010.04167,0.16400,164.00000,0.07591,75.91196,0.08809,88.08804
2010,2,2010.12500,0.16900,169.00000,0.07645,76.45442,0.09255,92.54558
2010,3,2010.20833,0.25000,250.00000,0.07700,76.99687,0.17300,173.00313
2010,4,2010.29167,0.11600,116.00000,0.07754,77.53933,0.03846,38.46067
2010,5,2010.37500,0.08500,85.00000,0.07808,78.08178,0.00692,6.91822
2010,6,2010.45833,0.09100,91.00000,0.07862,78.62424,0.01238,12.37576
2010,7,2010.54167,0.07700,77.00000,0.07917,79.16669,-0.00217,-2.16669
2010,8,2010.62500,0.12900,129.00000,0.07971,79.70915,0.04929,49.29085
2010,9,2010.70833,0.04900,49.00000,0.08025,80.25160,-0.03125,-31.25160
2010,10,2010.79167,0.05000,50.00000,0.08079,80.79406,-0.03079,-30.79406
2010,11,2010.87500,0.14600,146.00000,0.08134,81.33651,0.06466,64.66349
2010,12,2010.95833,0.16700,167.00000,0.08188,81.87897,0.08512,85.12103
2011,1,2011.04167,0.09300,93.00000,0.08242,82.42142,0.01058,10.57858
2011,2,2011.12500,0.03300,33.00000,0.08296,82.96387,-0.04996,-49.96387
2011,3,2011.20833,0.10700,107.00000,0.08351,83.50633,0.02349,23.49367
2011,4,2011.29167,0.00300,3.00000,0.08405,84.04878,-0.08105,-81.04878
2011,5,2011.37500,0.12700,127.00000,0.08459,84.59124,0.04241,42.40876
2011,6,2011.45833,0.12800,128.00000,0.08513,85.13369,0.04287,42.86631
2011,7,2011.54167,0.09900,99.00000,0.08568,85.67615,0.01332,13.32385
2011,8,2011.62500,0.09000,90.00000,0.08622,86.21860,0.00378,3.78140
2011,9,2011.70833,0.09500,95.00000,0.08676,86.76106,0.00824,8.23894
2011,10,2011.79167,0.06500,65.00000,0.08730,87.30351,-0.02230,-22.30351
2011,11,2011.87500,0.04900,49.00000,0.08785,87.84597,-0.03885,-38.84597
2011,12,2011.95833,0.06600,66.00000,0.08839,88.38842,-0.02239,-22.38842
2012,2,2012.12500,0.06200,62.00000,0.08947,89.47333,-0.02747,-27.47333
2012,3,2012.20833,0.08300,83.00000,0.09002,90.01579,-0.00702,-7.01579
2012,4,2012.29167,0.14800,148.00000,0.09056,90.55824,0.05744,57.44176
2012,5,2012.37500,0.10700,107.00000,0.09110,91.10070,0.01590,15.89930
2012,6,2012.45833,0.21400,214.00000,0.09164,91.64315,0.12236,122.35685
2012,7,2012.54167,0.14500,145.00000,0.09219,92.18561,0.05281,52.81439
