DomainID,PointCount,AverageElevation
1,16,1.707
2,15,1.892
3,15,1.836
4,15,1.674
5,15,1.672
6,16,1.812
7,15,1.706
8,15,1.273
9,15,1.259
10,15,1.318
11,16,1.283
12,15,1.334
13,15,1.059
14,16,1.009
15,16,1.032
16,15,1.051
17,15,0.986
18,16,0.98
19,15,1.01
20,16,0.752
21,15,0.76
22,16,0.764
23,16,0.822
24,16,0.814
25,15,0.775
26,15,0.772
27,15,0.788
28,16,0.825
29,15,0.966
30,16,1.07
31,15,1.301
32,15,1.144
33,15,1.168
34,15,0.944
35,15,0.928
36,15,1.088
37,15,1.263
38,15,1.245
39,15,1.271
40,16,1.351
41,15,1.217
42,15,1.242
43,15,0.994
44,15,0.928
45,16,1.143
46,16,1.203
47,15,1.057
48,15,0.944
49,15,0.953
50,15,0.949
51,16,0.865
52,15,0.862
53,15,0.918
54,15,0.988
55,15,1.016
56,16,1.075
57,16,0.943
58,15,0.916
59,15,0.908
60,16,1.233
61,17,0.986
62,15,0.663
63,15,0.817
64,15,0.977
65,15,0.834
66,15,1.052
67,15,1.05
68,15,0.882
69,13,0.911
70,9,1.018
71,15,0.992
72,12,1.089
73,17,0.782
79,10,0.743
80,15,1.163
81,16,0.891
82,15,0.756
83,15,0.836
84,15,0.728
85,15,0.646
86,15,0.714
87,15,0.791
88,15,0.672
89,15,0.811
90,15,1.086
91,17,1.144
92,15,1.072
