domain,n_cells,nodata_frac,elev_navd,elev_mhw,elev_median_navd,mean_minus_median,elev_std_m,elev_p10_navd,elev_p90_navd,elev_min_navd,elev_max_navd,flags
9,3519,0.0,1.691,1.331,1.696,-0.005,0.064,1.607,1.768,1.42,1.862,RELOCATED_PRE_2004
10,3531,0.0,1.744,1.384,1.716,0.028,0.091,1.646,1.878,1.578,2.026,RELOCATED_PRE_2004
11,3537,0.0,1.925,1.565,1.913,0.012,0.084,1.821,2.051,1.725,2.174,RELOCATED_PRE_2004
12,3542,0.0,1.733,1.373,1.702,0.031,0.093,1.637,1.888,1.549,2.018,RELOCATED_PRE_2004
13,3559,0.0,1.659,1.299,1.658,0.001,0.046,1.603,1.718,1.51,1.829,RELOCATED_PRE_2004
14,3553,0.0,1.679,1.319,1.677,0.001,0.046,1.621,1.737,1.502,1.86,RELOCATED_PRE_2004
15,3578,0.0,1.937,1.577,1.971,-0.034,0.125,1.743,2.074,1.582,2.207,RELOCATED_PRE_2004
16,3540,0.0,1.365,1.005,1.275,0.089,0.196,1.194,1.718,1.052,1.893,JUMP(-0.57)
17,3534,0.0,1.239,0.879,1.239,0.0,0.049,1.176,1.301,1.071,1.39,
18,3524,0.0,1.264,0.904,1.262,0.002,0.051,1.2,1.329,1.109,1.449,
19,3598,0.0,1.304,0.944,1.296,0.009,0.07,1.219,1.4,1.114,1.526,
20,3595,0.0,1.334,0.974,1.353,-0.02,0.098,1.188,1.443,1.014,1.56,
21,3522,0.0,1.252,0.892,1.242,0.01,0.125,1.091,1.422,0.939,1.549,
22,3527,0.0,1.025,0.665,1.026,-0.001,0.064,0.941,1.11,0.828,1.209,
23,3588,0.0,1.1,0.74,1.101,-0.001,0.046,1.04,1.159,0.962,1.247,
24,3591,0.0,1.04,0.68,1.04,-0.0,0.047,0.98,1.102,0.862,1.167,
25,3567,0.0,1.048,0.688,1.047,0.001,0.06,0.973,1.127,0.85,1.247,
26,3515,0.0,0.969,0.609,0.967,0.002,0.049,0.907,1.034,0.799,1.155,
27,3522,0.0,1.06,0.7,1.066,-0.006,0.062,0.972,1.136,0.857,1.223,
28,3590,0.0,0.911,0.551,0.925,-0.014,0.077,0.798,1.004,0.686,1.093,
29,3597,0.0,0.759,0.399,0.758,0.001,0.043,0.703,0.814,0.624,0.92,
30,3592,0.0,0.785,0.425,0.787,-0.001,0.042,0.729,0.839,0.635,0.932,
31,3639,0.0,0.824,0.464,0.821,0.002,0.055,0.755,0.896,0.674,1.008,
32,3611,0.0,0.807,0.447,0.808,-0.001,0.043,0.753,0.863,0.661,0.946,
33,3560,0.0,0.785,0.425,0.776,0.009,0.062,0.712,0.875,0.598,0.991,
34,3574,0.0,0.77,0.41,0.769,0.001,0.045,0.711,0.83,0.639,0.916,
35,3590,0.0,0.764,0.404,0.763,0.0,0.046,0.705,0.824,0.613,0.892,
36,3592,0.0,0.767,0.407,0.768,-0.001,0.043,0.712,0.822,0.623,0.894,
37,3592,0.0,0.864,0.504,0.847,0.017,0.08,0.774,0.991,0.686,1.086,
38,3597,0.0,0.985,0.625,0.993,-0.008,0.073,0.879,1.074,0.799,1.17,
39,3551,0.0,1.131,0.771,1.112,0.019,0.104,1.01,1.28,0.904,1.386,
40,3513,0.0,1.262,0.902,1.247,0.015,0.108,1.132,1.424,1.046,1.542,
41,3514,0.0,1.178,0.818,1.191,-0.013,0.094,1.039,1.291,0.948,1.404,
42,3517,0.0,1.045,0.685,0.99,0.055,0.16,0.863,1.262,0.75,1.403,
43,3505,0.0,0.927,0.567,0.928,-0.001,0.056,0.853,0.996,0.765,1.106,
44,3509,0.0,0.943,0.583,0.938,0.005,0.065,0.862,1.035,0.758,1.132,
45,3508,0.0,1.124,0.764,1.115,0.008,0.082,1.024,1.244,0.919,1.391,
46,3508,0.0,1.265,0.905,1.265,-0.001,0.054,1.193,1.336,1.086,1.422,
47,3507,0.0,1.233,0.873,1.233,-0.001,0.057,1.16,1.305,1.022,1.472,
48,3508,0.0,1.299,0.939,1.298,0.001,0.072,1.205,1.394,1.094,1.478,
49,3505,0.0,1.304,0.944,1.291,0.013,0.079,1.211,1.425,1.111,1.542,
50,3506,0.0,1.197,0.837,1.196,0.001,0.053,1.131,1.268,1.034,1.35,
51,3505,0.0,1.177,0.817,1.192,-0.014,0.084,1.05,1.276,0.931,1.368,
52,3512,0.0,0.93,0.57,0.927,0.003,0.07,0.84,1.033,0.746,1.127,
53,3521,0.0,0.947,0.587,0.957,-0.01,0.116,0.78,1.09,0.617,1.211,
54,3519,0.0,1.172,0.812,1.174,-0.002,0.063,1.089,1.25,0.978,1.37,
55,3524,0.0,1.161,0.801,1.168,-0.007,0.076,1.064,1.25,0.889,1.379,
56,3520,0.0,1.009,0.649,1.01,-0.002,0.074,0.909,1.105,0.804,1.215,
57,3516,0.0,0.94,0.58,0.939,0.0,0.054,0.869,1.011,0.754,1.085,
58,3520,0.0,0.937,0.577,0.936,0.001,0.046,0.877,0.997,0.77,1.095,
59,3520,0.0,0.915,0.555,0.914,0.001,0.045,0.858,0.972,0.755,1.058,
