year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags
1984,1,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[7,22]",NO_ROAD
1984,2,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[6,26]",NO_ROAD
1984,3,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[5,24]",NO_ROAD
1984,4,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[3,22]",NO_DUNE
1984,5,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[5,26]",NO_ROAD
1984,6,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[1,29]",NO_ROAD
1984,7,Buxton,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[3,11]",NO_DUNE
1984,8,Buxton,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[3,11]",NO_DUNE
1984,9,Buxton-Avon,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[4,12]",NO_DUNE
1984,10,Buxton-Avon,45.0,45.0,nan,,0.0,18,30.0,60.0,30.0,60.0,52.5,20.0,1.63,1.782,0.597,1.99,43,0.0,0.0,0,0,"[2,14]","PARTIAL(18/50),SCATTER_ELEV(0.60)"
1984,11,Buxton-Avon,40.0,40.0,nan,,0.0,6,40.0,85.0,40.0,130.0,47.5,20.0,2.053,2.187,0.444,2.413,14,0.0,0.0,0,0,"[3,15]","PARTIAL(6/50),SCATTER_SETBACK(45m)"
1984,12,Buxton-Avon,50.0,50.0,nan,,0.0,13,50.0,60.0,50.0,60.0,60.0,20.0,1.812,2.051,0.48,2.172,29,0.0,0.0,0,0,"[5,16]",PARTIAL(13/50)
1984,13,Buxton-Avon,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,0,0,"[4,18]",NO_DUNE
1984,14,Buxton-Avon,100.0,100.0,nan,,0.0,36,70.0,110.0,60.0,110.0,105.0,20.0,1.776,1.86,0.261,2.136,84,0.0,0.0,0,0,"[7,18]",
1984,15,Buxton-Avon,65.0,65.0,nan,,0.0,50,40.0,110.0,40.0,120.0,72.5,20.0,1.806,1.888,0.265,2.166,120,0.0,0.0,0,0,"[6,23]",SCATTER_SETBACK(70m)
1984,16,Buxton-Avon,110.0,110.0,nan,,0.0,46,80.0,130.0,80.0,140.0,115.0,20.0,1.212,1.228,0.181,1.572,107,0.0,0.0,0,0,"[8,21]",SCATTER_SETBACK(50m)
1984,17,Buxton-Avon,160.0,160.0,nan,,0.0,50,120.0,170.0,110.0,240.0,165.0,20.0,1.094,1.105,0.141,1.454,117,0.0,0.0,0,0,"[7,23]",SCATTER_SETBACK(50m)
