scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses,topo_product,topo_version
1984 initial,initial,9,40.0,FITS,False,0.0,0.0,0.0,0.0,0.0,4,6,7,163,11,14,18,73,1540.0,HOLED,100.0,98,2,,,,,1984-start,v2
1984 initial,initial,10,30.0,FITS,False,0.0,0.0,0.0,0.0,0.0,3,5,6,155,14,16,18,23,140.0,HOLED,100.0,7,3,,,,,1984-start,v2
1984 initial,initial,11,30.0,FITS,False,0.0,0.0,0.0,0.0,0.0,3,5,6,165,15,16,18,24,130.0,HOLED,72.0,4,26,,,,,1984-start,v2
1984 initial,initial,12,40.0,FITS,False,0.0,0.0,0.0,0.0,0.0,4,6,7,172,15,16,19,23,140.0,TRUE_END,14.0,0,1,,,,,1984-start,v2
1984 initial,initial,13,40.0,FITS,False,0.0,0.0,0.0,0.0,0.0,4,6,7,170,15,17,18,20,140.0,TRUE_END,4.0,0,1,,,,,1984-start,v2
1984 initial,initial,14,60.0,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,35,13,13,16,25,100.0,TRUE_END,14.0,0,1,,,,,1984-start,v2
1984 initial,initial,15,60.0,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,32,12,13,14,20,100.0,TRUE_END,0.0,0,0,,,,,1984-start,v2
1984 initial,initial,16,50.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,63,15,18,20,23,150.0,MIXED,24.0,0,1,,,,,1984-start,v2
1984 initial,initial,17,90.0,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,71,18,22,28,47,210.0,HOLED,68.0,3,1,,,,,1984-start,v2
1984 initial,initial,18,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,87,16,30,35,54,350.0,HOLED,82.0,12,2,,,,,1984-start,v2
1984 initial,initial,19,130.0,FITS,False,0.0,0.0,2.0,2.0,4.0,13,15,16,97,8,18,26,47,270.0,HOLED,90.0,13,1,,,,,1984-start,v2
1984 initial,initial,20,70.0,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,103,28,32,43,54,350.0,MIXED,30.0,0,2,,,,,1984-start,v2
1984 initial,initial,21,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,113,25,42,44,71,600.0,HOLED,90.0,24,2,,,,,1984-start,v2
1984 initial,initial,22,190.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,128,34,38,44,100,890.0,HOLED,98.0,42,2,,,,,1984-start,v2
1984 initial,initial,23,230.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,134,43,51,68,94,900.0,HOLED,100.0,39,1,,,,,1984-start,v2
1984 initial,initial,24,210.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,141,50,59,90,111,980.0,HOLED,100.0,21,2,,,,,1984-start,v2
1984 initial,initial,25,200.0,FITS,False,0.0,0.0,0.0,0.0,0.0,20,22,23,138,42,52,80,116,1050.0,HOLED,96.0,26,1,,,,,1984-start,v2
1984 initial,initial,26,230.0,FITS,False,0.0,0.0,0.0,0.0,4.0,23,25,26,148,17,45,70,117,1070.0,HOLED,86.0,35,1,,,,,1984-start,v2
1984 initial,initial,27,260.0,FITS,False,0.0,0.0,0.0,0.0,0.0,26,28,29,161,40,71,82,121,1080.0,HOLED,84.0,30,1,,,,,1984-start,v2
1984 initial,initial,28,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,168,46,48,79,114,1150.0,HOLED,100.0,36,1,,,,,1984-start,v2
1984 initial,initial,29,260.0,FITS,False,0.0,0.0,0.0,0.0,0.0,26,28,29,154,37,47,87,121,1010.0,HOLED,94.0,26,1,,,,,1984-start,v2
1984 initial,initial,30,250.0,FITS,False,0.0,0.0,0.0,0.0,0.0,25,27,28,140,29,50,59,81,720.0,HOLED,90.0,20,1,,,,,1984-start,v2
1984 initial,initial,31,230.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,139,30,32,41,65,340.0,HOLED,60.0,1,2,,,,,1984-start,v2
1984 initial,initial,32,210.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,141,32,43,45,48,410.0,TRUE_END,12.0,0,2,,,,,1984-start,v2
1984 initial,initial,33,250.0,FITS,False,0.0,0.0,0.0,0.0,0.0,25,27,28,148,30,43,46,52,430.0,MIXED,36.0,0,1,,,,,1984-start,v2
1984 initial,initial,34,310.0,FITS,False,0.0,0.0,0.0,0.0,0.0,31,33,34,149,40,42,46,50,400.0,TRUE_END,12.0,0,1,,,,,1984-start,v2
1984 initial,initial,35,400.0,FITS,False,2.0,0.0,0.0,0.0,4.0,40,42,43,137,39,49,51,58,470.0,MIXED,22.0,0,1,,,,,1984-start,v2
1984 initial,initial,36,370.0,FITS,False,0.0,0.0,0.0,0.0,0.0,37,39,40,136,56,57,58,63,540.0,TRUE_END,14.0,0,4,,,,,1984-start,v2
1984 initial,initial,37,335.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,159,55,58,80,89,740.0,HOLED,56.0,1,1,,,,,1984-start,v2
1984 initial,initial,38,300.0,FITS,False,0.0,0.0,0.0,0.0,0.0,30,32,33,166,70,80,83,89,790.0,TRUE_END,20.0,0,1,,,,,1984-start,v2
1984 initial,initial,39,230.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,170,68,69,71,78,660.0,TRUE_END,10.0,0,1,,,,,1984-start,v2
1984 initial,initial,40,210.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,172,54,63,71,77,640.0,MIXED,34.0,0,1,,,,,1984-start,v2
1984 initial,initial,41,200.0,FITS,False,0.0,0.0,0.0,0.0,0.0,20,22,23,174,43,52,55,59,500.0,HOLED,58.0,1,3,,,,,1984-start,v2
1984 initial,initial,42,180.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,176,41,43,60,65,560.0,HOLED,56.0,1,1,,,,,1984-start,v2
1984 initial,initial,43,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,179,54,61,63,66,590.0,TRUE_END,18.0,0,1,,,,,1984-start,v2
1984 initial,initial,44,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,169,46,50,53,66,530.0,HOLED,58.0,4,1,,,,,1984-start,v2
1984 initial,initial,45,155.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,155,32,39,42,57,380.0,HOLED,88.0,5,2,,,,,1984-start,v2
1984 initial,initial,46,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,142,35,39,40,49,360.0,HOLED,90.0,2,2,,,,,1984-start,v2
1984 initial,initial,47,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,127,30,32,35,42,300.0,HOLED,70.0,1,2,,,,,1984-start,v2
1984 initial,initial,48,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,118,25,27,29,31,240.0,TRUE_END,20.0,0,1,,,,,1984-start,v2
1984 initial,initial,49,130.0,FITS,False,0.0,0.0,0.0,0.0,0.0,13,15,16,98,19,23,24,28,200.0,TRUE_END,2.0,0,1,,,,,1984-start,v2
1984 initial,initial,50,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,88,18,23,24,29,200.0,TRUE_END,8.0,0,1,,,,,1984-start,v2
1984 initial,initial,51,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,58,19,25,27,34,230.0,TRUE_END,10.0,0,2,,,,,1984-start,v2
1984 initial,initial,52,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,66,22,26,28,32,240.0,TRUE_END,10.0,0,1,,,,,1984-start,v2
1984 initial,initial,53,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,56,24,27,29,38,240.0,MIXED,36.0,0,1,,,,,1984-start,v2
1984 initial,initial,54,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,114,25,27,31,46,250.0,HOLED,62.0,1,2,,,,,1984-start,v2
1984 initial,initial,55,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,107,24,34,37,49,340.0,HOLED,70.0,4,1,,,,,1984-start,v2
1984 initial,initial,56,180.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,77,24,28,30,34,250.0,MIXED,28.0,0,2,,,,,1984-start,v2
1984 initial,initial,57,210.0,FITS,False,0.0,0.0,0.0,0.0,0.0,21,23,24,69,27,30,37,45,280.0,TRUE_END,12.0,0,1,,,,,1984-start,v2
1984 initial,initial,58,240.0,FITS,False,0.0,0.0,0.0,0.0,0.0,24,26,27,69,32,41,45,53,400.0,MIXED,36.0,0,2,,,,,1984-start,v2
1984 initial,initial,59,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,78,42,44,48,61,440.0,HOLED,68.0,2,1,,,,,1984-start,v2
1984 initial,initial,60,320.0,FITS,False,0.0,0.0,0.0,0.0,0.0,32,34,35,102,48,56,63,79,590.0,HOLED,78.0,6,1,,,,,1984-start,v2
1984 initial,initial,61,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,116,47,55,65,91,870.0,HOLED,96.0,35,1,,,,,1984-start,v2
1984 initial,initial,62,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,136,56,62,70,103,660.0,HOLED,96.0,13,1,,,,,1984-start,v2
1984 initial,initial,63,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,135,58,60,65,73,610.0,HOLED,84.0,20,1,,,,,1984-start,v2
1984 initial,initial,64,320.0,FITS,False,0.0,0.0,0.0,0.0,0.0,32,34,35,138,57,62,66,92,920.0,HOLED,100.0,43,1,,,,,1984-start,v2
1984 initial,initial,65,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,138,58,66,74,114,780.0,HOLED,100.0,33,1,,,,,1984-start,v2
1984 initial,initial,66,340.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,131,64,66,69,86,630.0,HOLED,100.0,13,2,,,,,1984-start,v2
1984 initial,initial,67,425.0,FITS,False,0.0,0.0,2.0,0.0,0.0,42,44,45,144,44,66,68,74,630.0,MIXED,26.0,0,1,,,,,1984-start,v2
1984 initial,initial,68,565.0,FITS,False,2.0,0.0,2.0,2.0,8.0,56,58,59,103,45,62,73,90,610.0,MIXED,46.0,0,1,,,,,1984-start,v2
1984 initial,initial,69,570.0,FITS,False,0.0,0.0,0.0,0.0,0.0,57,59,60,106,68,70,75,94,710.0,HOLED,88.0,7,1,,,,,1984-start,v2
1984 initial,initial,70,480.0,FITS,False,0.0,0.0,0.0,0.0,0.0,48,50,51,141,54,70,73,78,670.0,HOLED,60.0,1,1,,,,,1984-start,v2
1984 initial,initial,71,420.0,FITS,False,5.0,2.0,0.0,0.0,10.0,42,44,45,137,39,55,73,83,680.0,HOLED,78.0,3,1,,,,,1984-start,v2
1984 initial,initial,72,470.0,FITS,False,0.0,0.0,0.0,0.0,0.0,47,49,50,123,67,76,79,90,730.0,MIXED,48.0,0,2,,,,,1984-start,v2
1984 initial,initial,73,550.0,FITS,False,0.0,0.0,0.0,0.0,22.0,55,57,58,132,21,24,82,99,830.0,HOLED,76.0,8,9,,,,,1984-start,v2
1984 initial,initial,74,590.0,FITS,False,0.0,0.0,0.0,0.0,20.0,59,61,62,131,22,61,74,87,700.0,HOLED,72.0,4,2,,,,,1984-start,v2
1984 initial,initial,75,530.0,FITS,False,0.0,0.0,0.0,0.0,0.0,53,55,56,103,68,72,75,82,690.0,TRUE_END,18.0,0,1,,,,,1984-start,v2
1984 initial,initial,76,500.0,FITS,False,0.0,0.0,2.0,0.0,0.0,50,52,53,140,52,62,65,74,600.0,TRUE_END,4.0,0,1,,,,,1984-start,v2
1984 initial,initial,77,530.0,FITS,False,3.0,0.0,6.0,0.0,18.0,53,55,56,146,39,55,66,81,610.0,MIXED,50.0,0,1,,,,,1984-start,v2
1984 initial,initial,78,550.0,FITS,False,0.0,0.0,2.0,0.0,12.0,55,57,58,137,0,59,68,73,650.0,MIXED,48.0,0,1,,,,,1984-start,v2
1984 initial,initial,79,560.0,FITS,False,0.0,0.0,0.0,0.0,8.0,56,58,59,108,25,64,68,71,640.0,TRUE_END,20.0,0,1,,,,,1984-start,v2
1984 initial,initial,80,565.0,FITS,False,0.0,0.0,0.0,0.0,0.0,56,58,59,99,69,70,71,81,680.0,TRUE_END,2.0,0,1,,,,,1984-start,v2
1984 initial,initial,81,410.0,FITS,False,0.0,0.0,0.0,0.0,2.0,41,43,44,105,1,66,68,92,630.0,HOLED,58.0,2,2,,,,,1984-start,v2
1984 initial,initial,82,155.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,106,41,46,50,62,440.0,TRUE_END,16.0,0,1,,,,,1984-start,v2
1984 initial,initial,83,90.0,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,108,42,49,50,54,460.0,TRUE_END,6.0,0,1,,,,,1984-start,v2
1984 initial,initial,84,30.0,FITS,False,0.0,0.0,0.0,0.0,0.0,3,5,6,149,19,22,25,52,190.0,HOLED,96.0,15,4,,,,,1984-start,v2
1984 initial,initial,85,0.0,FITS,False,0.0,0.0,0.0,0.0,0.0,0,2,3,178,23,27,37,53,360.0,HOLED,80.0,4,1,,,,,1984-start,v2
1984 initial,initial,86,0.0,FITS,False,0.0,0.0,0.0,0.0,0.0,0,2,3,189,16,17,28,44,140.0,HOLED,58.0,1,2,,,,,1984-start,v2
1984 initial,initial,87,60.0,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,185,15,17,22,26,180.0,HOLED,78.0,3,3,,,,,1984-start,v2
1984 initial,initial,88,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,177,24,31,36,51,290.0,HOLED,66.0,1,2,,,,,1984-start,v2
1984 initial,initial,89,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,179,49,56,59,70,550.0,MIXED,40.0,0,1,,,,,1984-start,v2
1984 initial,initial,90,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,182,27,37,49,81,340.0,HOLED,90.0,23,2,,,,,1984-start,v2
2004 initial,initial,9,50.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,162,11,14,17,73,1530.0,HOLED,100.0,98,3,,,,,2004-start,v1
2004 initial,initial,10,40.0,FITS,False,0.0,0.0,0.0,0.0,0.0,4,6,7,151,10,11,14,18,90.0,HOLED,100.0,7,2,,,,,2004-start,v1
2004 initial,initial,11,20.0,FITS,False,0.0,0.0,0.0,0.0,0.0,2,4,5,157,6,8,9,16,50.0,HOLED,72.0,3,28,,,,,2004-start,v1
2004 initial,initial,12,30.0,FITS,False,0.0,0.0,0.0,0.0,0.0,3,5,6,165,7,8,11,15,50.0,TRUE_END,16.0,0,1,,,,,2004-start,v1
2004 initial,initial,13,50.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,166,8,10,12,15,70.0,TRUE_END,2.0,0,1,,,,,2004-start,v1
2004 initial,initial,14,65.0,FITS,False,0.0,0.0,16.0,0.0,0.0,6,8,9,34,8,9,12,20,60.0,TRUE_END,8.0,0,2,,,,,2004-start,v1
2004 initial,initial,15,50.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,29,8,9,10,18,60.0,TRUE_END,2.0,0,1,,,,,2004-start,v1
2004 initial,initial,16,60.0,FITS,False,0.0,0.0,0.0,0.0,0.0,6,8,9,64,15,18,20,22,150.0,TRUE_END,4.0,0,1,,,,,2004-start,v1
2004 initial,initial,17,90.0,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,71,17,21,26,47,200.0,HOLED,68.0,4,1,,,,,2004-start,v1
2004 initial,initial,18,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,87,16,29,35,54,390.0,HOLED,82.0,12,2,,,,,2004-start,v1
2004 initial,initial,19,130.0,FITS,False,0.0,0.0,2.0,2.0,4.0,13,15,16,97,8,18,25,48,270.0,HOLED,90.0,13,1,,,,,2004-start,v1
2004 initial,initial,20,80.0,FITS,False,0.0,0.0,0.0,0.0,0.0,8,10,11,106,30,33,45,55,350.0,MIXED,30.0,0,2,,,,,2004-start,v1
2004 initial,initial,21,125.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,113,25,42,44,71,610.0,HOLED,90.0,24,2,,,,,2004-start,v1
2004 initial,initial,22,190.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,128,34,38,44,100,890.0,HOLED,98.0,42,2,,,,,2004-start,v1
2004 initial,initial,23,190.0,FITS,False,0.0,0.0,0.0,0.0,0.0,19,21,22,133,41,48,64,93,890.0,HOLED,100.0,39,1,,,,,2004-start,v1
2004 initial,initial,24,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,137,46,55,86,106,920.0,HOLED,100.0,21,2,,,,,2004-start,v1
2004 initial,initial,25,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,134,38,48,76,112,1010.0,HOLED,96.0,26,1,,,,,2004-start,v1
2004 initial,initial,26,205.0,FITS,False,2.0,0.0,0.0,6.0,8.0,20,22,23,147,17,45,67,116,1050.0,HOLED,86.0,35,1,,,,,2004-start,v1
2004 initial,initial,27,260.0,FITS,False,0.0,0.0,0.0,0.0,0.0,26,28,29,161,40,72,83,121,1080.0,HOLED,84.0,30,1,,,,,2004-start,v1
2004 initial,initial,28,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,166,46,48,79,114,1150.0,HOLED,100.0,36,1,,,,,2004-start,v1
2004 initial,initial,29,260.0,FITS,False,0.0,0.0,0.0,0.0,0.0,26,28,29,155,38,47,87,121,990.0,HOLED,94.0,26,1,,,,,2004-start,v1
2004 initial,initial,30,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,142,33,52,62,83,740.0,HOLED,90.0,20,1,,,,,2004-start,v1
2004 initial,initial,31,230.0,FITS,False,0.0,0.0,0.0,0.0,0.0,23,25,26,140,30,32,41,67,340.0,HOLED,60.0,1,2,,,,,2004-start,v1
