year,domain,profile,dune_crest_cell,interior_row0_cell,road_seaward_cell,road_landward_cell,road_center_cell,setback_m,road_width_m,n_road_cells,n_wet_road_cells
2004,9,0,4,5,9,11,10.0,40.0,30.0,3,0
2004,9,1,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,2,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,3,3,4,8,10,9.0,40.0,30.0,3,0
2004,9,4,3,4,8,10,9.0,40.0,30.0,3,0
2004,9,5,4,5,8,10,9.0,30.0,30.0,3,0
2004,9,6,4,5,8,9,8.5,30.0,20.0,2,0
2004,9,7,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,8,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,9,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,10,5,6,8,10,9.0,20.0,30.0,3,0
2004,9,11,5,6,8,10,9.0,20.0,30.0,3,0
2004,9,12,5,6,8,10,9.0,20.0,30.0,3,0
2004,9,13,4,5,8,9,8.5,30.0,20.0,2,0
2004,9,14,4,5,8,9,8.5,30.0,20.0,2,0
2004,9,15,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,16,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,17,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,18,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,19,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,20,4,5,8,10,9.0,30.0,30.0,3,0
2004,9,21,4,5,8,10,9.0,30.0,30.0,3,0
2004,9,22,4,5,8,10,9.0,30.0,30.0,3,0
2004,9,23,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,24,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,25,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,26,5,6,9,10,9.5,30.0,20.0,2,0
2004,9,27,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,28,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,29,4,5,9,10,9.5,40.0,20.0,2,0
2004,9,30,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,31,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,32,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,33,4,5,10,11,10.5,50.0,20.0,2,0
2004,9,34,4,5,10,11,10.5,50.0,20.0,2,0
2004,9,35,4,5,9,11,10.0,40.0,30.0,3,0
2004,9,36,4,5,9,11,10.0,40.0,30.0,3,0
2004,9,37,4,5,9,11,10.0,40.0,30.0,3,0
2004,9,38,5,6,10,12,11.0,40.0,30.0,3,0
2004,9,39,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,40,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,41,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,42,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,43,4,5,10,11,10.5,50.0,20.0,2,0
2004,9,44,4,5,10,11,10.5,50.0,20.0,2,0
2004,9,45,4,5,10,11,10.5,50.0,20.0,2,0
2004,9,46,5,6,10,12,11.0,40.0,30.0,3,0
2004,9,47,5,6,10,12,11.0,40.0,30.0,3,0
2004,9,48,5,6,10,11,10.5,40.0,20.0,2,0
2004,9,49,5,6,10,11,10.5,40.0,20.0,2,0
2004,10,0,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,1,8,9,10,11,10.5,10.0,20.0,2,0
2004,10,2,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,3,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,4,8,9,11,12,11.5,20.0,20.0,2,0
2004,10,5,8,9,11,12,11.5,20.0,20.0,2,0
2004,10,6,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,7,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,8,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,9,8,9,10,11,10.5,10.0,20.0,2,0
2004,10,10,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,11,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,12,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,13,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,14,9,10,10,12,11.0,0.0,30.0,3,0
2004,10,15,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,16,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,17,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,18,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,19,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,20,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,21,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,22,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,23,8,9,10,12,11.0,10.0,30.0,3,0
2004,10,24,9,10,11,13,12.0,10.0,30.0,3,0
2004,10,25,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,26,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,27,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,28,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,29,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,30,5,6,10,12,11.0,40.0,30.0,3,0
2004,10,31,6,7,11,13,12.0,40.0,30.0,3,0
2004,10,32,6,7,11,13,12.0,40.0,30.0,3,0
2004,10,33,6,7,11,12,11.5,40.0,20.0,2,0
2004,10,34,9,10,11,12,11.5,10.0,20.0,2,0
2004,10,35,8,9,11,12,11.5,20.0,20.0,2,0
2004,10,36,8,9,11,12,11.5,20.0,20.0,2,0
