scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses
1984 initial,initial,9,20.0,FITS,False,0.0,0.0,0.0,0.0,0.0,2,4,5,99,10,13,16,71,100.0,HOLED,98.0,33,3,,,,
1984 initial,initial,10,0.0,FITS,False,0.0,0.0,0.0,0.0,0.0,0,2,3,59,8,9,11,17,70.0,HOLED,100.0,6,2,,,,
1984 initial,initial,11,0.0,FITS,False,0.0,0.0,0.0,0.0,0.0,0,2,3,60,5,7,8,15,40.0,HOLED,72.0,3,28,,,,
1984 initial,initial,12,0.0,FITS,False,0.0,0.0,0.0,0.0,0.0,0,2,3,58,6,7,10,14,40.0,TRUE_END,16.0,0,1,,,,
1984 initial,initial,13,0.0,FITS,False,0.0,0.0,0.0,0.0,0.0,0,2,3,16,8,9,11,15,70.0,TRUE_END,2.0,0,1,,,,
1984 initial,initial,14,20.0,FITS,False,0.0,0.0,0.0,0.0,0.0,2,4,5,22,7,8,11,19,50.0,TRUE_END,4.0,0,1,,,,
1984 initial,initial,15,50.0,FITS,False,0.0,0.0,0.0,0.0,0.0,5,7,8,21,9,9,10,19,60.0,TRUE_END,2.0,0,1,,,,
1984 initial,initial,16,75.0,FITS,False,0.0,0.0,0.0,0.0,0.0,7,9,10,25,17,19,21,24,170.0,TRUE_END,4.0,0,1,,,,
1984 initial,initial,17,90.0,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,47,17,21,26,46,200.0,HOLED,68.0,4,1,,,,
1984 initial,initial,18,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,62,16,29,35,54,390.0,HOLED,82.0,12,2,,,,
1984 initial,initial,19,130.0,FITS,False,0.0,0.0,2.0,2.0,4.0,13,15,16,55,8,18,25,48,270.0,HOLED,90.0,13,1,,,,
1984 initial,initial,20,80.0,FITS,False,0.0,0.0,0.0,0.0,0.0,8,10,11,58,29,33,45,55,390.0,MIXED,30.0,0,2,,,,
1984 initial,initial,21,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,92,25,42,44,71,610.0,HOLED,90.0,24,2,,,,
1984 initial,initial,22,185.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,100,33,38,43,97,870.0,HOLED,98.0,40,2,,,,
1984 initial,initial,23,220.0,FITS,False,0.0,0.0,0.0,0.0,0.0,22,24,25,101,42,49,66,93,880.0,HOLED,100.0,30,1,,,,
1984 initial,initial,24,170.0,FITS,False,0.0,0.0,0.0,0.0,0.0,17,19,20,99,46,56,86,97,920.0,HOLED,78.0,7,2,,,,
