year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
1984,9,Buxton-Avon,40.0,10.0,47.0,30.0,-37.0,-7.0,880.0,0.007954545454545454,1.905,1.331,SCATTER_ELEV(1.59)
1984,10,Buxton-Avon,20.0,-40.0,39.0,60.0,-79.0,-19.0,420.0,0.04523809523809524,3.841,1.384,SCATTER_ELEV(0.90)
1984,11,Buxton-Avon,-60.0,-70.0,52.0,10.0,-122.0,-112.0,190.0,0.5894736842105263,1.785,1.565,"NEGATIVE(-60->floored 0),SCATTER_ELEV(0.80)"
1984,12,Buxton-Avon,-50.0,-60.0,54.0,10.0,-114.0,-104.0,130.0,0.8,2.148,1.373,NEGATIVE(-50->floored 0)
1984,13,Buxton-Avon,-10.0,-40.0,77.0,30.0,-117.0,-87.0,140.0,0.6214285714285714,2.325,1.299,"NEGATIVE(-10->floored 0),SCATTER_SETBACK(51m),SCATTER_ELEV(0.67)"
1984,14,Buxton-Avon,30.0,20.0,89.0,10.0,-69.0,-59.0,160.0,0.36875,1.616,1.319,
1984,15,Buxton-Avon,50.0,50.0,65.0,0.0,-15.0,-15.0,130.0,0.11538461538461539,1.565,1.577,
1984,16,Buxton-Avon,75.0,60.0,46.0,15.0,14.0,29.0,240.0,0.12083333333333333,0.883,1.005,
1984,17,Buxton-Avon,90.0,90.0,141.0,0.0,-51.0,-51.0,370.0,0.13783783783783785,0.756,0.879,
1984,18,Buxton-Avon,120.0,120.0,156.0,0.0,-36.0,-36.0,565.0,0.06371681415929203,0.82,0.904,
1984,19,Buxton-Avon,130.0,130.0,138.0,0.0,-8.0,-8.0,525.0,0.015238095238095238,0.818,0.944,
1984,20,Buxton-Avon,80.0,70.0,96.0,10.0,-26.0,-16.0,480.0,0.03333333333333333,0.965,0.974,
1984,21,Avon,120.0,120.0,163.0,0.0,-43.0,-43.0,775.0,0.05548387096774193,0.813,0.892,SCATTER_SETBACK(50m)
1984,22,Avon,185.0,180.0,225.0,5.0,-45.0,-40.0,965.0,0.04145077720207254,0.582,0.665,SCATTER_SETBACK(41m)
1984,23,Avon,220.0,180.0,244.0,40.0,-64.0,-24.0,1000.0,0.024,0.651,0.74,
