year,domain,section,setback_new_straight_m,setback_new_raw_m,setback_legacy_m,component_frame_m,component_reference_m,total_change_m,island_width_m,total_change_frac_width,elev_new_mhw,elev_legacy_mhw,flags
1984,9,Buxton-Avon,40.0,nan,47.0,nan,nan,-7.0,1580.0,0.004430379746835443,1.456,1.332,
1984,10,Buxton-Avon,20.0,45.0,39.0,-25.0,6.0,-19.0,1320.0,0.014393939393939395,1.7,1.384,
1984,11,Buxton-Avon,10.0,40.0,52.0,-30.0,-12.0,-42.0,1290.0,0.03255813953488372,1.735,1.565,SCATTER_ELEV(0.57)
1984,12,Buxton-Avon,20.0,50.0,54.0,-30.0,-4.0,-34.0,1260.0,0.026984126984126985,1.898,1.374,
1984,13,Buxton-Avon,30.0,nan,77.0,nan,nan,-47.0,1200.0,0.03916666666666667,1.762,1.299,
1984,14,Buxton-Avon,60.0,100.0,89.0,-40.0,11.0,-29.0,230.0,0.12608695652173912,1.757,1.319,
1984,15,Buxton-Avon,60.0,65.0,65.0,-5.0,0.0,-5.0,200.0,0.025,1.806,1.577,
1984,16,Buxton-Avon,40.0,110.0,46.0,-70.0,64.0,-6.0,515.0,0.011650485436893204,1.219,1.011,
1984,17,Buxton-Avon,90.0,160.0,141.0,-70.0,19.0,-51.0,640.0,0.0796875,1.094,0.879,
1984,18,Buxton-Avon,120.0,160.0,156.0,-40.0,4.0,-36.0,755.0,0.04768211920529802,1.155,0.903,
1984,19,Buxton-Avon,130.0,180.0,138.0,-50.0,42.0,-8.0,820.0,0.00975609756097561,1.151,0.94,
1984,20,Buxton-Avon,60.0,80.0,96.0,-20.0,-16.0,-36.0,890.0,0.04044943820224719,1.24,0.98,
1984,21,Avon,130.0,150.0,163.0,-20.0,-13.0,-33.0,1050.0,0.03142857142857143,1.14,0.893,SCATTER_SETBACK(60m)
1984,22,Avon,190.0,200.0,225.0,-10.0,-25.0,-35.0,1180.0,0.029661016949152543,0.901,0.664,SCATTER_SETBACK(60m)
1984,23,Avon,230.0,230.0,244.0,0.0,-14.0,-14.0,1210.0,0.011570247933884297,0.953,0.741,
1984,24,Avon,210.0,230.0,225.0,-20.0,5.0,-15.0,1240.0,0.012096774193548387,0.95,0.681,
1984,25,Avon,200.0,200.0,234.0,0.0,-34.0,-34.0,1310.0,0.025954198473282442,1.002,0.687,
1984,26,Avon,230.0,240.0,271.0,-10.0,-31.0,-41.0,1370.0,0.029927007299270073,0.866,0.61,
1984,27,Avon,260.0,300.0,298.0,-40.0,2.0,-38.0,1530.0,0.02483660130718954,0.899,0.697,SCATTER_SETBACK(80m)
1984,28,Avon,270.0,230.0,284.0,40.0,-54.0,-14.0,1590.0,0.00880503144654088,0.526,0.551,
1984,29,Avon,260.0,290.0,281.0,-30.0,9.0,-21.0,1380.0,0.015217391304347827,0.361,0.399,
1984,30,Avon,250.0,330.0,259.0,-80.0,71.0,-9.0,1260.0,0.007142857142857143,0.368,0.424,
1984,31,Avon,230.0,295.0,239.0,-65.0,56.0,-9.0,1135.0,0.007929515418502203,0.41,0.464,
1984,32,Avon-Tri-Village / Wimble Shoals,210.0,300.0,251.0,-90.0,49.0,-41.0,1275.0,0.03215686274509804,0.396,0.447,
1984,33,Avon-Tri-Village / Wimble Shoals,250.0,240.0,307.0,10.0,-67.0,-57.0,1360.0,0.04191176470588235,0.383,0.425,SCATTER_SETBACK(60m)
