year,domain,setback_legacy_m,setback_paired_m,legacy_minus_paired_m,n_shared_transects,road_spread_m,dune_spread_m,flags
1984,9,47.0,52.0,-5.0,5,71.0,41.0,
1984,10,39.0,51.0,-12.0,5,73.0,61.0,
1984,11,52.0,45.0,7.0,5,70.0,79.0,
1984,12,54.0,57.0,-3.0,5,50.0,49.0,
1984,13,77.0,74.0,3.0,5,50.0,69.0,
1984,14,89.0,79.0,10.0,5,52.0,63.0,
1984,15,65.0,71.0,-6.0,5,65.0,45.0,
1984,16,46.0,45.0,1.0,5,61.0,49.0,
1984,17,141.0,113.0,28.0,5,52.0,120.0,DISAGREE(+28)
1984,18,156.0,146.0,10.0,5,53.0,63.0,
1984,19,138.0,153.0,-15.0,5,81.0,69.0,
1984,20,96.0,93.0,3.0,5,90.0,72.0,
1984,21,163.0,136.0,27.0,5,51.0,106.0,DISAGREE(+27)
1984,22,225.0,201.0,24.0,5,51.0,99.0,
1984,23,244.0,241.0,3.0,5,91.0,92.0,
1984,24,225.0,229.0,-4.0,5,92.0,78.0,
1984,25,234.0,221.0,13.0,5,75.0,88.0,
1984,26,271.0,271.0,0.0,5,38.0,66.0,
1984,27,298.0,292.0,6.0,5,45.0,59.0,
1984,28,284.0,291.0,-7.0,5,95.0,76.0,
1984,29,281.0,281.0,0.0,5,94.0,94.0,
1984,30,259.0,259.0,0.0,5,93.0,81.0,
1984,31,239.0,257.0,-18.0,5,122.0,98.0,
1984,32,251.0,230.0,21.0,5,96.0,116.0,
1984,33,307.0,273.0,34.0,5,74.0,123.0,DISAGREE(+34)
1984,34,339.0,324.0,15.0,5,85.0,102.0,
1984,35,354.0,340.0,14.0,5,94.0,109.0,
1984,36,344.0,350.0,-6.0,5,94.0,88.0,
1984,37,342.0,342.0,0.0,5,95.0,98.0,
1984,38,290.0,293.0,-3.0,5,94.0,62.0,
1984,39,242.0,247.0,-5.0,5,64.0,28.0,
1984,40,234.0,236.0,-2.0,5,34.0,25.0,
1984,41,217.0,217.0,0.0,5,34.0,24.0,
1984,42,189.0,202.0,-13.0,5,33.0,8.0,
1984,43,186.0,189.0,-3.0,5,29.0,23.0,
1984,44,191.0,191.0,0.0,5,29.0,35.0,
1984,45,192.0,191.0,1.0,5,29.0,24.0,
1984,46,184.0,184.0,0.0,5,30.0,26.0,
1984,47,184.0,184.0,0.0,5,28.0,30.0,
1984,48,191.0,183.0,8.0,5,28.0,39.0,
1984,49,188.0,188.0,0.0,5,28.0,24.0,
1984,50,197.0,197.0,0.0,5,29.0,30.0,
1984,51,212.0,205.0,7.0,5,29.0,44.0,
1984,52,200.0,205.0,-5.0,5,34.0,19.0,
1984,53,194.0,194.0,0.0,5,46.0,32.0,
1984,54,204.0,203.0,1.0,5,46.0,48.0,
1984,55,203.0,205.0,-2.0,5,46.0,45.0,
