domain,number_of_samples,road_1984_length_m,mean_relocation_m,median_relocation_m,minimum_relocation_m,maximum_relocation_m,std_relocation_m,mean_signed_landward_m,median_signed_landward_m,landward_fraction,sign_agreement,coincident_fraction,oblique_fraction,classification,flags
8,239,1188.623387258726,2.4468931311327413,1.0273863482013483,0.0,56.59883182366377,7.297257466971674,1.512907535958145,-0.8053478155960172,0.4578313253012048,0.5421686746987953,0.3054393305439331,0.6736401673640168,relocated,ROADS_CROSS;OBLIQUE_SIGN
9,103,507.78632765781737,13.798040822716567,10.631356851143988,0.0,34.71619860563882,12.546928580887643,17.97479768385311,18.057725747487048,1.0,1.0,0.23300970873786409,0.0,relocated,
10,103,508.4013955756679,46.92372301151031,47.80040594088928,34.95678151063378,59.422894098526186,6.5889138885558225,46.92372301151031,47.80040594088928,1.0,1.0,0.0,0.0,relocated,
11,103,509.3538500437917,77.07311306507242,78.5098281008458,60.03001164817293,82.87693766676225,5.507461489405637,77.07311306507242,78.5098281008458,1.0,1.0,0.0,0.0,relocated,
12,102,503.58088428036285,68.39231658798096,68.52369361934433,61.52418642475959,75.3093987314558,3.8632409217400907,68.39231658798096,68.52369361934433,1.0,1.0,0.0,0.0,relocated,
13,102,503.4945325924682,50.92743521437591,51.733664040429,37.20282657962591,61.48747740748723,7.484718278674186,50.92743521437591,51.733664040429,1.0,1.0,0.0,0.0,relocated,
14,102,503.98284238791246,24.684022596276257,25.192872355050852,12.512581963232963,37.06368220539134,7.067223857265683,24.684022596276257,25.192872355050852,1.0,1.0,0.0,0.0,relocated,
15,103,508.02259205465367,4.006541873313475,3.318782416691717,0.15211222047581563,12.226015268117637,3.3255360208492957,1.7756789149428527,-0.9539069231528617,0.4444444444444444,0.5555555555555556,0.038834951456310676,0.0,relocated,ROADS_CROSS
16,103,506.0260321166544,1.652424958601721,1.7855950271906795,0.4699834514482916,3.141883244716632,0.7166988364566971,-1.6755569051999095,-1.8254749442123763,0.0,1.0,0.019417475728155338,0.0,redigitized,REDIGITIZED
17,102,503.80737258547964,0.9568625045761726,0.9918780626631692,0.5641610986737512,1.3315323574572895,0.17715371803202243,-0.9568625045761726,-0.9918780626631692,0.0,1.0,0.0,0.0,redigitized,REDIGITIZED
18,102,503.9746987608292,0.4936972262317503,0.5173232351356867,0.0,1.3077279066485994,0.4582563693360774,-0.8843745238884652,-0.8758521262481753,0.0,1.0,0.4803921568627451,0.0,redigitized,REDIGITIZED
19,104,514.0054491037628,1.163565400753301,0.4770779177831731,0.0,3.190073303407144,1.2226122033990743,2.2520473777479926,2.4880133042389576,1.0,1.0,0.5096153846153846,0.0,redigitized,REDIGITIZED
20,104,512.2970419737412,2.0571478044844227,1.953655109717706,1.668677808182394,3.245559406875906,0.34820425313587644,2.0571478044844227,1.953655109717706,1.0,1.0,0.0,0.0,redigitized,REDIGITIZED
21,102,503.7889122217848,1.6126682793949942,1.6100158172088022,0.8796829319603635,2.438019735796071,0.4721785777885569,1.6126682793949942,1.6100158172088022,1.0,1.0,0.0,0.0,redigitized,REDIGITIZED
22,102,503.96532222988543,0.24156762540506513,0.06218010530085162,0.0,0.8912784387457792,0.29409721830514063,0.7024738677586592,0.702473867722446,1.0,1.0,0.7647058823529411,0.0,redigitized,REDIGITIZED
23,104,512.2173091913706,2.630538522050931e-11,0.0,0.0,5.820766091346741e-11,2.896897739848878e-11,,,,,1.0,0.0,no_edit,NO_EDIT
24,104,512.5535642338455,0.3902491735503229,5.820766091346741e-11,0.0,1.1788736480979567,0.5124054266209781,-1.0697524384208401,-1.1676122464226628,0.0,1.0,0.6538461538461539,0.0,redigitized,REDIGITIZED
25,103,509.5932305253348,0.7443455176317715,0.8226403855913738,0.0,1.3500583313455408,0.44220984744447117,-0.9976975745578487,-1.1362287086967802,0.0,1.0,0.3106796116504854,0.0,redigitized,REDIGITIZED
26,102,502.0174067203449,0.7145734488662382,0.820131399449959,0.012960687771602229,1.3666188747558983,0.3518107717702654,-0.9099748047508095,-0.8750648631751509,0.0,1.0,0.29411764705882354,0.0,redigitized,REDIGITIZED
27,102,503.19840756869763,0.08912584977784178,0.0,0.0,0.7426988930774323,0.20761491960360104,-0.6293779048252623,-0.6284283739132572,0.0,1.0,0.8921568627450981,0.0,redigitized,REDIGITIZED
28,104,513.3802343040178,2.7984452362243947e-11,0.0,0.0,5.820766091346741e-11,2.9082295988038444e-11,,,,,1.0,0.0,no_edit,NO_EDIT
29,104,513.1582213440839,2.5186007126019552e-11,0.0,0.0,5.820766091346741e-11,2.8838925215819197e-11,,,,,1.0,0.0,no_edit,NO_EDIT
30,104,512.964770611277,3.358134283469273e-11,5.820766091346741e-11,0.0,5.820766091346741e-11,2.8757343934367863e-11,,,,,1.0,0.0,no_edit,NO_EDIT
