domain_number,n_transects,step_m,step_sd_within_m,r_with_index,nourished
1,9,71.51,19.93,0.553,False
2,11,34.74,7.2,0.614,False
3,10,16.08,3.08,0.608,False
4,13,18.01,1.7,0.543,False
5,13,9.33,9.64,0.198,False
6,6,8.85,3.51,0.365,True
7,4,12.0,3.69,0.579,True
8,8,15.57,3.62,0.607,True
9,9,17.72,2.27,0.685,True
10,10,23.86,2.7,0.709,True
11,10,21.2,1.05,0.648,True
12,10,23.16,2.07,0.594,True
13,11,26.77,2.01,0.573,True
14,10,26.4,1.36,0.659,True
15,10,19.95,2.58,0.662,True
16,10,23.91,1.73,0.502,False
17,10,25.32,2.3,0.506,False
18,10,25.41,3.46,0.641,False
19,10,18.13,3.25,0.51,False
20,10,15.56,3.27,0.688,False
21,11,15.11,3.49,0.638,True
22,10,19.55,3.51,0.638,True
23,10,32.19,5.14,0.614,True
24,10,41.66,3.7,0.744,True
25,10,30.46,1.32,0.683,True
26,10,27.04,3.72,0.733,True
27,10,10.98,6.82,-0.066,True
28,10,13.69,5.4,0.26,True
29,10,18.11,2.08,0.459,False
30,10,10.77,4.39,0.613,False
31,11,12.93,7.91,0.368,False
32,10,26.98,4.36,0.568,False
33,11,19.38,3.02,0.598,False
34,10,19.02,3.56,0.623,False
35,11,14.0,1.38,0.5,False
36,10,15.12,3.01,0.472,False
37,11,20.23,2.49,0.561,False
38,10,17.38,4.45,0.591,False
39,10,8.95,1.33,0.349,False
40,10,5.22,1.37,0.322,False
41,10,13.93,1.81,0.466,False
42,10,14.64,1.64,0.319,False
43,10,9.16,3.57,0.217,False
44,10,1.81,2.62,0.034,False
45,10,7.32,4.19,0.313,False
46,10,11.98,3.23,0.387,False
47,10,9.91,1.78,0.682,False
48,10,6.24,4.04,0.385,False
49,10,4.06,4.53,0.134,False
50,10,1.75,1.89,0.023,False
51,10,1.65,1.66,0.042,False
52,10,3.49,2.01,0.06,False
53,10,6.58,0.94,0.29,False
54,10,7.69,1.69,0.191,False
55,10,4.35,1.79,0.175,False
56,11,6.31,1.1,0.168,False
57,10,9.45,2.48,0.498,False
58,10,13.28,1.18,0.484,False
59,10,18.68,2.97,0.389,False
60,10,15.35,2.62,0.41,False
61,10,10.44,2.72,0.244,False
62,10,7.41,3.95,0.073,False
63,10,19.03,1.9,0.721,False
64,10,19.41,2.81,0.742,False
65,10,26.69,1.34,0.773,False
66,11,26.26,2.88,0.755,False
67,10,16.09,4.23,0.717,False
68,10,9.3,1.17,0.094,False
69,10,16.86,1.89,0.271,False
70,10,10.57,1.88,0.569,False
71,10,8.61,1.05,0.393,False
72,10,1.12,4.82,0.18,False
73,10,-11.89,4.3,-0.203,False
74,10,-2.3,3.67,-0.234,False
75,10,6.04,4.46,0.316,False
76,10,-1.27,6.22,0.271,False
77,10,-9.76,3.91,0.125,False
78,10,-10.25,10.84,-0.132,False
79,10,11.34,1.85,0.485,False
80,10,10.48,1.71,0.476,False
81,10,8.02,4.91,0.511,False
82,10,-3.17,2.16,0.045,False
83,10,2.36,1.7,0.329,False
84,11,1.92,2.04,0.315,True
85,12,6.92,1.48,0.502,True
86,12,4.59,1.26,0.464,True
87,11,8.09,3.87,0.429,True
88,10,17.09,2.72,0.546,True
89,9,5.7,3.84,0.303,True
90,10,11.49,6.45,0.353,False
