domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
1,9,49.47,14.942,38.219,76.538,3.512,1.061,0.0,4.0,37.0,0
2,11,30.092,3.82,24.735,35.262,2.136,0.271,0.0,7.0,38.0,0
3,10,28.689,3.61,23.844,32.954,2.037,0.256,0.0,5.0,37.5,0
4,13,33.291,4.915,26.928,39.33,2.363,0.349,0.0,7.0,36.0,0
5,13,34.58,6.562,20.533,42.603,2.455,0.466,0.0,5.0,38.0,0
6,6,-18.128,22.713,-38.924,20.085,-1.287,1.612,83.333,6.0,36.0,0
7,4,-4.647,11.13,-20.027,4.267,-0.33,0.79,50.0,4.0,37.0,0
8,8,10.069,6.917,2.196,20.41,0.715,0.491,0.0,7.0,37.0,0
9,9,18.291,2.548,13.851,21.159,1.299,0.181,0.0,5.0,37.0,0
10,10,35.258,6.887,23.073,44.335,2.503,0.489,0.0,7.0,37.0,0
11,10,42.583,4.379,35.55,50.621,3.023,0.311,0.0,4.0,34.5,0
12,10,46.643,3.078,42.161,52.091,3.311,0.218,0.0,6.0,35.0,0
13,11,41.453,1.395,38.576,42.845,2.943,0.099,0.0,6.0,35.0,0
14,10,38.198,2.687,34.546,43.271,2.712,0.191,0.0,5.0,35.0,0
15,10,25.9,8.566,12.129,34.862,1.839,0.608,0.0,6.5,36.0,0
16,10,11.482,2.131,8.207,13.601,0.815,0.151,0.0,5.0,39.0,0
17,10,6.012,2.018,3.376,9.593,0.427,0.143,0.0,7.0,37.0,0
18,10,19.21,9.193,9.317,34.581,1.364,0.653,0.0,5.0,36.0,0
19,10,38.635,3.512,35.046,45.782,2.743,0.249,0.0,7.0,36.0,0
20,10,42.832,6.602,30.895,49.544,3.041,0.469,0.0,5.0,36.0,0
21,11,-2.946,14.275,-21.884,22.125,-0.209,1.013,63.636,7.0,39.0,0
22,10,-22.243,8.008,-33.395,-8.643,-1.579,0.568,100.0,5.0,39.0,0
23,10,-13.767,1.773,-17.494,-10.967,-0.977,0.126,100.0,9.5,39.0,0
24,10,-6.076,2.895,-12.09,-2.905,-0.431,0.206,100.0,8.0,39.0,0
25,10,-19.19,9.35,-31.368,-7.319,-1.362,0.664,100.0,9.0,39.0,0
26,10,-12.455,8.059,-29.073,-5.884,-0.884,0.572,100.0,8.0,38.0,0
27,10,-13.052,4.957,-18.46,-0.877,-0.927,0.352,100.0,9.0,38.0,0
28,10,36.689,17.547,9.162,57.377,2.605,1.246,0.0,8.0,39.0,0
29,10,58.883,8.36,46.907,69.751,4.18,0.593,0.0,8.5,39.0,0
30,10,49.773,11.61,32.881,68.264,3.533,0.824,0.0,8.0,39.0,0
31,11,23.895,2.513,20.625,28.834,1.696,0.178,0.0,9.0,39.0,0
32,10,19.229,2.41,15.582,21.69,1.365,0.171,0.0,9.5,40.0,0
33,11,18.403,9.319,6.394,34.572,1.306,0.662,0.0,9.0,39.0,0
34,10,42.548,2.425,37.821,44.9,3.021,0.172,0.0,9.5,40.0,0
35,11,38.318,6.76,29.526,48.18,2.72,0.48,0.0,8.0,40.0,0
36,10,41.242,8.965,26.832,50.835,2.928,0.636,0.0,10.0,40.0,0
37,11,22.519,3.337,14.89,25.37,1.599,0.237,0.0,8.0,40.0,0
38,10,-10.554,12.475,-23.565,8.602,-0.749,0.886,70.0,10.0,40.0,0
39,10,-13.806,5.371,-22.548,-6.484,-0.98,0.381,100.0,8.0,40.0,0
40,10,-1.811,1.172,-3.522,0.426,-0.129,0.083,90.0,9.0,38.0,0
41,10,11.584,5.753,2.39,19.851,0.822,0.408,0.0,8.0,36.5,0
42,10,-8.934,5.143,-14.769,-1.169,-0.634,0.365,100.0,10.0,36.0,0
43,10,4.19,2.866,-0.589,8.634,0.297,0.203,10.0,8.0,35.0,0
44,10,-10.999,3.928,-15.032,-2.019,-0.781,0.279,100.0,9.5,36.0,0
45,10,-24.508,8.265,-35.096,-12.169,-1.74,0.587,100.0,8.0,36.0,0
46,10,-25.133,3.848,-32.35,-21.418,-1.784,0.273,100.0,10.5,39.0,0
47,10,-19.935,3.708,-24.861,-14.695,-1.415,0.263,100.0,11.0,41.0,0
48,10,-15.566,3.137,-21.174,-12.194,-1.105,0.223,100.0,11.0,40.0,0
49,10,-25.689,2.062,-28.084,-21.175,-1.824,0.146,100.0,10.5,40.0,0
50,10,-7.726,6.239,-17.408,0.165,-0.548,0.443,90.0,11.0,40.0,0
