transect_id,domain_number,match_method,lrr_m_yr,r_squared,p_value,unc_m_yr,n_obs,start_date,end_date
usa_NC_0032_0021,1.0,point_in_polygon,-3.1173,0.4713,0.0,0.408,256,1984-09-21,2004-12-17
usa_NC_0032_0022,1.0,point_in_polygon,-3.4789,0.5105,0.0,0.4235,253,1984-09-21,2004-12-17
usa_NC_0032_0023,1.0,point_in_polygon,-3.6936,0.5124,0.0,0.4488,252,1984-09-21,2004-12-17
usa_NC_0032_0024,1.0,point_in_polygon,-3.8589,0.5317,0.0,0.4502,253,1984-09-21,2004-12-17
usa_NC_0032_0025,1.0,point_in_polygon,-4.1028,0.5538,0.0,0.456,255,1984-09-21,2004-12-17
usa_NC_0032_0026,1.0,point_in_polygon,-4.4744,0.5986,0.0,0.4564,252,1984-09-21,2004-12-17
usa_NC_0032_0027,1.0,point_in_polygon,-4.7457,0.6223,0.0,0.4614,251,1984-09-21,2004-12-17
usa_NC_0032_0028,1.0,point_in_polygon,-4.906,0.6443,0.0,0.455,251,1984-09-21,2004-12-17
usa_NC_0032_0029,1.0,point_in_polygon,-5.085,0.6544,0.0,0.466,246,1984-09-21,2004-12-17
usa_NC_0032_0030,2.0,point_in_polygon,-5.1039,0.6804,0.0,0.4402,247,1984-09-21,2004-12-17
usa_NC_0032_0031,2.0,point_in_polygon,-5.0636,0.6633,0.0,0.454,247,1984-09-21,2004-12-17
usa_NC_0032_0032,2.0,point_in_polygon,-5.0344,0.6433,0.0,0.4718,247,1984-09-21,2004-12-17
usa_NC_0032_0033,2.0,point_in_polygon,-4.9954,0.6014,0.0,0.5117,247,1984-09-21,2004-12-17
usa_NC_0032_0034,2.0,point_in_polygon,-4.8307,0.5567,0.0,0.5414,248,1984-09-21,2004-12-17
usa_NC_0032_0035,2.0,point_in_polygon,-4.871,0.5546,0.0,0.5471,249,1984-09-21,2004-12-17
usa_NC_0032_0036,2.0,point_in_polygon,-4.8371,0.5515,0.0,0.5467,249,1984-09-21,2004-12-17
usa_NC_0032_0037,2.0,point_in_polygon,-4.7125,0.5392,0.0,0.5505,245,1984-09-21,2004-12-17
usa_NC_0032_0038,2.0,point_in_polygon,-4.5115,0.5157,0.0,0.5524,245,1984-09-21,2004-12-17
usa_NC_0032_0039,2.0,point_in_polygon,-4.4484,0.5167,0.0,0.5425,246,1984-09-21,2004-12-17
usa_NC_0032_0040,2.0,point_in_polygon,-4.3675,0.5207,0.0,0.5251,249,1984-09-21,2004-12-17
usa_NC_0032_0041,3.0,point_in_polygon,-4.3616,0.5405,0.0,0.5009,252,1984-09-21,2004-12-17
usa_NC_0032_0042,3.0,point_in_polygon,-4.5733,0.5605,0.0,0.5106,246,1984-09-21,2004-12-17
usa_NC_0032_0043,3.0,point_in_polygon,-4.7272,0.5998,0.0,0.4973,236,1984-09-21,2004-12-17
usa_NC_0032_0044,3.0,point_in_polygon,-4.8283,0.6182,0.0,0.4919,233,1984-09-21,2004-12-17
usa_NC_0032_0045,3.0,point_in_polygon,-4.9465,0.6485,0.0,0.4742,231,1984-09-21,2004-12-17
usa_NC_0032_0046,3.0,point_in_polygon,-4.9827,0.654,0.0,0.4699,233,1984-09-21,2004-12-17
usa_NC_0032_0047,3.0,point_in_polygon,-5.0296,0.6676,0.0,0.4591,234,1984-09-21,2004-12-17
usa_NC_0032_0048,3.0,point_in_polygon,-4.8875,0.6277,0.0,0.4786,242,1984-09-21,2004-12-17
usa_NC_0032_0049,3.0,point_in_polygon,-4.7281,0.6075,0.0,0.4802,245,1984-09-21,2004-12-17
usa_NC_0032_0050,3.0,point_in_polygon,-4.6248,0.5907,0.0,0.4855,246,1984-09-21,2004-12-17
usa_NC_0032_0051,4.0,point_in_polygon,-4.6038,0.5819,0.0,0.4881,250,1984-09-21,2004-12-17
usa_NC_0032_0052,4.0,point_in_polygon,-4.5832,0.5792,0.0,0.4866,252,1984-09-21,2004-12-17
usa_NC_0032_0053,4.0,point_in_polygon,-4.4875,0.569,0.0,0.4865,252,1984-09-21,2004-12-17
usa_NC_0032_0054,4.0,point_in_polygon,-4.3468,0.5461,0.0,0.4926,253,1984-09-21,2004-12-17
usa_NC_0032_0055,4.0,point_in_polygon,-4.2015,0.5274,0.0,0.4954,252,1984-09-21,2004-12-17
usa_NC_0032_0056,4.0,point_in_polygon,-4.0946,0.5181,0.0,0.4909,253,1984-09-21,2004-12-17
usa_NC_0032_0057,4.0,point_in_polygon,-3.9445,0.4955,0.0,0.4938,254,1984-09-21,2004-12-17
usa_NC_0032_0058,4.0,point_in_polygon,-3.7948,0.4759,0.0,0.494,254,1984-09-21,2004-12-17
usa_NC_0032_0059,4.0,point_in_polygon,-3.6539,0.4531,0.0,0.5,252,1984-09-21,2004-12-17
