transect_id,domain_number,lrr_m_yr,unc_m_yr,r_squared,n_obs,start_date,end_date,position_start_m,n_start,position_end_m,n_end,projected_change_m,projected_unc_m,observed_change_m,observed_minus_projected_m,window,lrr_window,span_years
usa_NC_0032_0021,1,3.1570,0.4865,0.2427,509,1996-01-26,2024-12-08,62.6000,12,66.4188,16,44.1980,6.8110,3.8188,-40.3792,1996_2010,1996_2024,14
usa_NC_0032_0022,1,3.1842,0.4598,0.2625,522,1996-01-26,2024-12-08,56.7000,12,64.1688,16,44.5788,6.4372,7.4688,-37.1100,1996_2010,1996_2024,14
usa_NC_0032_0023,1,2.8737,0.4205,0.2619,510,1996-01-26,2024-12-08,57.6750,12,68.9813,16,40.2318,5.8870,11.3063,-28.9255,1996_2010,1996_2024,14
usa_NC_0032_0024,1,2.8488,0.3913,0.2855,514,1996-01-26,2024-12-08,71.1083,12,81.5312,16,39.8832,5.4782,10.4229,-29.4603,1996_2010,1996_2024,14
usa_NC_0032_0025,1,2.7908,0.3518,0.3188,521,1996-01-26,2024-12-01,51.2077,13,62.7071,14,39.0712,4.9252,11.4995,-27.5717,1996_2010,1996_2024,14
usa_NC_0032_0026,1,2.7617,0.3239,0.3522,518,1996-01-26,2024-12-08,58.8846,13,72.3385,13,38.6638,4.5346,13.4538,-25.2100,1996_2010,1996_2024,14
usa_NC_0032_0027,1,2.6717,0.3015,0.3691,520,1996-01-26,2024-12-08,49.7231,13,65.9615,13,37.4038,4.2210,16.2385,-21.1653,1996_2010,1996_2024,14
usa_NC_0032_0028,1,2.6677,0.2850,0.3977,514,1996-01-26,2024-12-08,48.5308,13,64.4615,13,37.3478,3.9900,15.9308,-21.4170,1996_2010,1996_2024,14
usa_NC_0032_0029,1,2.6343,0.2595,0.4362,516,1996-01-26,2024-12-08,50.6846,13,64.2857,14,36.8802,3.6330,13.6011,-23.2791,1996_2010,1996_2024,14
usa_NC_0032_0030,2,2.6630,0.2425,0.4752,516,1996-01-26,2024-12-08,75.4308,13,88.3462,13,37.2820,3.3950,12.9154,-24.3666,1996_2010,1996_2024,14
usa_NC_0032_0031,2,2.5684,0.2432,0.4539,520,1996-01-26,2024-12-08,74.8846,13,82.7385,13,35.9576,3.4048,7.8538,-28.1038,1996_2010,1996_2024,14
usa_NC_0032_0032,2,2.5575,0.2324,0.4762,516,1996-01-26,2024-12-08,83.5077,13,82.3833,12,35.8050,3.2536,-1.1244,-36.9294,1996_2010,1996_2024,14
usa_NC_0032_0033,2,2.5714,0.2336,0.4788,511,1996-01-26,2024-12-08,69.4692,13,61.9231,13,35.9996,3.2704,-7.5462,-43.5458,1996_2010,1996_2024,14
usa_NC_0032_0034,2,2.5133,0.2259,0.4843,511,1996-01-26,2024-12-08,88.7615,13,76.8800,15,35.1862,3.1626,-11.8815,-47.0677,1996_2010,1996_2024,14
usa_NC_0032_0035,2,2.5625,0.2121,0.5228,516,1996-01-26,2024-12-08,74.2000,13,63.4867,15,35.8750,2.9694,-10.7133,-46.5883,1996_2010,1996_2024,14
usa_NC_0032_0036,2,2.5167,0.2011,0.5384,520,1996-01-26,2024-12-08,61.0462,13,51.7400,15,35.2338,2.8154,-9.3062,-44.5400,1996_2010,1996_2024,14
usa_NC_0032_0037,2,2.5049,0.1896,0.5649,521,1996-01-26,2024-12-08,53.8154,13,47.0333,15,35.0686,2.6544,-6.7821,-41.8507,1996_2010,1996_2024,14
usa_NC_0032_0038,2,2.4707,0.1831,0.5753,521,1996-01-26,2024-12-08,45.1077,13,38.7133,15,34.5898,2.5634,-6.3944,-40.9842,1996_2010,1996_2024,14
usa_NC_0032_0039,2,2.4586,0.1726,0.6009,522,1996-01-26,2024-12-08,50.1077,13,42.5176,17,34.4204,2.4164,-7.5900,-42.0104,1996_2010,1996_2024,14
usa_NC_0032_0040,2,2.4106,0.1641,0.6147,524,1996-01-26,2024-12-08,46.5923,13,41.7875,16,33.7484,2.2974,-4.8048,-38.5532,1996_2010,1996_2024,14
usa_NC_0032_0041,3,2.2817,0.1555,0.6128,527,1996-01-26,2024-12-08,45.1077,13,44.4176,17,31.9438,2.1770,-0.6900,-32.6338,1996_2010,1996_2024,14
usa_NC_0032_0042,3,2.3051,0.1534,0.6286,517,1996-01-26,2024-12-08,42.9231,13,44.9062,16,32.2714,2.1476,1.9832,-30.2882,1996_2010,1996_2024,14
usa_NC_0032_0043,3,2.4358,0.1501,0.6647,515,1996-01-26,2024-12-08,41.5250,12,45.4625,16,34.1012,2.1014,3.9375,-30.1637,1996_2010,1996_2024,14
usa_NC_0032_0044,3,2.5379,0.1471,0.6922,513,1996-01-26,2024-12-08,35.1083,12,39.9437,16,35.5306,2.0594,4.8354,-30.6952,1996_2010,1996_2024,14
usa_NC_0032_0045,3,2.5800,0.1473,0.7018,505,1996-01-26,2024-12-08,43.0667,12,41.0154,13,36.1200,2.0622,-2.0513,-38.1713,1996_2010,1996_2024,14
usa_NC_0032_0046,3,2.5488,0.1487,0.6936,503,1996-01-26,2024-12-08,45.6417,12,40.7000,13,35.6832,2.0818,-4.9417,-40.6249,1996_2010,1996_2024,14
usa_NC_0032_0047,3,2.5308,0.1471,0.6942,505,1996-01-26,2024-12-08,41.0417,12,38.5846,13,35.4312,2.0594,-2.4571,-37.8883,1996_2010,1996_2024,14
usa_NC_0032_0048,3,2.4689,0.1493,0.6735,514,1996-01-26,2024-12-08,39.7250,12,39.6000,13,34.5646,2.0902,-0.1250,-34.6896,1996_2010,1996_2024,14
usa_NC_0032_0049,3,2.4811,0.1513,0.6695,514,1996-01-26,2024-12-08,38.0667,12,42.0571,14,34.7354,2.1182,3.9905,-30.7449,1996_2010,1996_2024,14
usa_NC_0032_0050,3,2.4667,0.1529,0.6602,519,1996-01-26,2024-12-08,36.3083,12,44.8750,12,34.5338,2.1406,8.5667,-25.9671,1996_2010,1996_2024,14
usa_NC_0032_0051,4,2.3757,0.1557,0.6338,521,1996-01-26,2024-12-08,32.3250,12,40.5462,13,33.2598,2.1798,8.2212,-25.0386,1996_2010,1996_2024,14
usa_NC_0032_0052,4,2.3436,0.1550,0.6301,520,1996-01-26,2024-12-08,25.2077,13,36.6615,13,32.8104,2.1700,11.4538,-21.3566,1996_2010,1996_2024,14
usa_NC_0032_0053,4,2.3196,0.1573,0.6182,520,1996-01-26,2024-12-08,24.8000,13,34.9583,12,32.4744,2.2022,10.1583,-22.3161,1996_2010,1996_2024,14
usa_NC_0032_0054,4,2.2292,0.1594,0.5967,512,1996-01-26,2024-12-08,17.9231,13,28.8154,13,31.2088,2.2316,10.8923,-20.3165,1996_2010,1996_2024,14
usa_NC_0032_0055,4,2.1177,0.1615,0.5620,519,1996-01-26,2024-12-08,15.7538,13,24.7600,15,29.6478,2.2610,9.0062,-20.6416,1996_2010,1996_2024,14
usa_NC_0032_0056,4,2.0336,0.1613,0.5422,520,1996-01-26,2024-12-08,23.2462,13,34.1867,15,28.4704,2.2582,10.9405,-17.5299,1996_2010,1996_2024,14
usa_NC_0032_0057,4,1.9336,0.1602,0.5190,523,1996-01-26,2024-12-08,14.9846,13,28.2800,15,27.0704,2.2428,13.2954,-13.7750,1996_2010,1996_2024,14
usa_NC_0032_0058,4,1.8176,0.1608,0.4872,521,1996-01-26,2024-12-08,16.4000,13,33.1867,15,25.4464,2.2512,16.7867,-8.6597,1996_2010,1996_2024,14
usa_NC_0032_0059,4,1.7534,0.1646,0.4557,525,1996-01-26,2024-12-08,18.2615,13,38.2867,15,24.5476,2.3044,20.0251,-4.5225,1996_2010,1996_2024,14
usa_NC_0032_0060,4,1.6514,0.1686,0.4149,524,1996-01-26,2024-12-08,21.1923,13,41.4733,15,23.1196,2.3604,20.2810,-2.8386,1996_2010,1996_2024,14
usa_NC_0032_0061,4,1.5283,0.1728,0.3692,518,1996-01-26,2024-12-08,21.1385,13,39.4824,17,21.3962,2.4192,18.3439,-3.0523,1996_2010,1996_2024,14
usa_NC_0032_0062,4,1.4762,0.1757,0.3446,520,1996-01-26,2024-12-08,18.9615,13,28.3125,16,20.6668,2.4598,9.3510,-11.3158,1996_2010,1996_2024,14
usa_NC_0032_0063,4,1.3717,0.1790,0.3011,528,1996-01-26,2024-12-08,20.2231,13,28.3353,17,19.2038,2.5060,8.1122,-11.0916,1996_2010,1996_2024,14
usa_NC_0032_0064,5,1.2622,0.1830,0.2610,522,1996-01-26,2024-12-08,24.7308,13,29.6400,15,17.6708,2.5620,4.9092,-12.7616,1996_2010,1996_2024,14
usa_NC_0032_0065,5,1.1759,0.1777,0.2461,520,1996-01-26,2024-12-08,20.8538,13,25.8600,15,16.4626,2.4878,5.0062,-11.4564,1996_2010,1996_2024,14
usa_NC_0032_0066,5,1.1133,0.1756,0.2298,522,1996-01-26,2024-12-08,19.4923,13,26.1133,15,15.5862,2.4584,6.6210,-8.9652,1996_2010,1996_2024,14
usa_NC_0032_0067,5,0.9857,0.1833,0.1756,526,1996-01-26,2024-12-08,17.1385,13,25.8733,15,13.7998,2.5662,8.7349,-5.0649,1996_2010,1996_2024,14
usa_NC_0032_0068,5,0.8810,0.1828,0.1480,518,1996-01-26,2024-12-08,19.1538,13,26.4231,13,12.3340,2.5592,7.2692,-5.0648,1996_2010,1996_2024,14
usa_NC_0032_0069,5,0.7710,0.1932,0.1053,524,1996-01-26,2024-12-08,20.1923,13,29.7077,13,10.7940,2.7048,9.5154,-1.2786,1996_2010,1996_2024,14
usa_NC_0032_0070,5,0.7255,0.1989,0.0899,522,1996-01-26,2024-12-08,20.5692,13,31.6923,13,10.1570,2.7846,11.1231,0.9661,1996_2010,1996_2024,14
usa_NC_0032_0071,5,0.6461,0.1951,0.0758,518,1996-01-26,2024-12-08,22.8231,13,34.0154,13,9.0454,2.7314,11.1923,2.1469,1996_2010,1996_2024,14
usa_NC_0032_0072,5,0.6016,0.1992,0.0636,520,1996-01-26,2024-12-08,21.9462,13,33.0500,14,8.4224,2.7888,11.1038,2.6814,1996_2010,1996_2024,14
usa_NC_0032_0073,5,0.6271,0.1948,0.0723,515,1996-01-26,2024-12-08,21.2692,13,34.2077,13,8.7794,2.7272,12.9385,4.1591,1996_2010,1996_2024,14
usa_NC_0032_0074,5,0.6311,0.1783,0.0863,514,1996-01-26,2024-12-08,21.2077,13,33.7538,13,8.8354,2.4962,12.5462,3.7108,1996_2010,1996_2024,14
usa_NC_0032_0075,5,0.6427,0.1843,0.0834,518,1996-01-26,2024-12-08,14.1154,13,31.3833,12,8.9978,2.5802,17.2679,8.2701,1996_2010,1996_2024,14
usa_NC_0032_0076,5,0.6046,0.1630,0.0959,503,1996-01-26,2024-12-08,15.6833,12,29.8000,12,8.4644,2.2820,14.1167,5.6523,1996_2010,1996_2024,14
usa_NC_0032_0077,6,0.6713,0.1680,0.1098,502,1996-01-26,2024-12-08,30.4231,13,35.4769,13,9.3982,2.3520,5.0538,-4.3444,1996_2010,1996_2024,14
usa_NC_0032_0078,6,-0.8735,0.1908,0.1777,377,1996-01-26,2024-12-08,124.2667,3,133.6833,6,-12.2290,2.6712,9.4167,21.6457,1996_2010,1996_2024,14
usa_NC_0032_0079,6,-1.7048,0.1317,0.5508,529,1996-01-26,2024-12-08,56.2923,13,48.6400,15,-23.8672,1.8438,-7.6523,16.2149,1996_2010,1996_2024,14
usa_NC_0032_0080,6,-2.1297,0.1310,0.6600,527,1996-01-26,2024-12-08,70.7231,13,49.3471,17,-29.8158,1.8340,-21.3760,8.4398,1996_2010,1996_2024,14
usa_NC_0032_0081,6,-2.2630,0.1302,0.6890,528,1996-01-26,2024-12-08,77.9846,13,45.4500,16,-31.6820,1.8228,-32.5346,-0.8526,1996_2010,1996_2024,14
usa_NC_0032_0082,6,-2.0291,0.1400,0.6056,530,1996-01-26,2024-12-08,75.1077,13,42.7533,15,-28.4074,1.9600,-32.3544,-3.9470,1996_2010,1996_2024,14
usa_NC_0032_0083,7,-1.8490,0.1442,0.5502,521,1996-01-26,2024-12-08,71.0154,13,38.5917,12,-25.8860,2.0188,-32.4237,-6.5377,1996_2010,1996_2024,14
usa_NC_0032_0084,7,-1.4845,0.1537,0.4128,514,1996-01-26,2024-12-08,59.6000,12,34.8083,12,-20.7830,2.1518,-24.7917,-4.0087,1996_2010,1996_2024,14
usa_NC_0032_0085,7,-1.0170,0.1765,0.1965,526,1996-01-26,2024-12-08,76.0750,12,51.6923,13,-14.2380,2.4710,-24.3827,-10.1447,1996_2010,1996_2024,14
usa_NC_0032_0086,7,-0.9048,0.1774,0.1612,524,1996-01-26,2024-12-08,57.8750,12,31.2500,12,-12.6672,2.4836,-26.6250,-13.9578,1996_2010,1996_2024,14
