domain_number,n_transects,mean_lrr_m_yr,mean_projected_change_m,std_projected_change_m,pct_projected_landward,n_observed,mean_observed_change_m,std_observed_change_m,pct_observed_landward,mean_observed_minus_projected_m
1,9,2.843,39.807,2.839,0.0,9,124.745,34.726,0.0,84.938
2,11,2.527,35.379,0.955,0.0,11,69.444,6.79,0.0,34.066
3,10,2.464,34.492,1.401,0.0,10,53.065,1.753,0.0,18.574
4,13,1.919,26.871,4.877,0.0,13,40.245,5.77,0.0,13.374
5,13,0.821,11.488,3.331,0.0,13,21.084,7.569,0.0,9.596
6,6,-1.388,-19.434,15.755,83.333,6,-22.725,21.823,83.333,-3.291
7,4,-1.314,-18.394,6.108,100.0,4,-17.734,7.458,100.0,0.659
8,8,-0.324,-4.53,4.048,100.0,8,-7.939,3.247,100.0,-3.409
9,9,0.137,1.92,1.521,11.111,9,8.16,3.793,0.0,6.24
10,10,0.714,10.0,2.387,0.0,10,28.552,4.715,0.0,18.552
11,10,0.792,11.081,1.098,0.0,10,37.623,3.967,0.0,26.542
12,10,0.617,8.637,1.183,0.0,10,29.175,5.712,0.0,20.538
13,11,0.564,7.896,1.191,0.0,11,22.78,2.77,0.0,14.884
14,10,1.057,14.797,2.011,0.0,10,42.683,6.776,0.0,27.886
15,10,1.252,17.532,1.087,0.0,10,54.639,4.35,0.0,37.107
16,10,1.033,14.467,0.575,0.0,10,38.103,1.785,0.0,23.636
17,10,1.308,18.306,1.878,0.0,10,38.928,2.014,0.0,20.622
18,10,1.678,23.489,1.77,0.0,10,42.598,3.539,0.0,19.109
19,10,1.833,25.668,0.67,0.0,10,45.558,2.759,0.0,19.89
20,10,1.197,16.761,5.883,0.0,10,37.628,4.31,0.0,20.867
21,11,-0.043,-0.603,4.386,54.545,11,13.754,12.201,18.182,14.356
22,10,-0.843,-11.798,3.107,100.0,10,-10.768,2.091,100.0,1.03
23,10,-1.863,-26.084,4.507,100.0,10,-17.18,3.991,100.0,8.904
24,10,-2.273,-31.818,0.427,100.0,10,7.888,4.607,10.0,39.706
25,10,-2.477,-34.677,1.413,100.0,10,6.803,1.745,0.0,41.48
26,10,-1.547,-21.655,6.797,100.0,10,6.511,6.372,20.0,28.165
27,10,0.007,0.095,6.15,60.0,10,-21.431,4.034,100.0,-21.526
28,10,1.902,26.632,7.457,0.0,10,2.686,12.224,50.0,-23.946
29,10,2.921,40.896,2.185,0.0,10,42.33,9.444,0.0,1.434
30,10,3.173,44.423,0.767,0.0,10,59.835,4.982,0.0,15.412
31,11,2.595,36.327,4.332,0.0,11,45.363,2.924,0.0,9.036
32,10,1.48,20.725,4.182,0.0,10,24.843,16.499,0.0,4.118
33,11,1.353,18.949,3.152,0.0,11,11.245,10.845,18.182,-7.704
34,10,1.816,25.42,2.645,0.0,10,30.618,2.7,0.0,5.198
35,11,0.6,8.398,5.322,0.0,11,39.303,2.792,0.0,30.905
36,10,0.006,0.083,3.506,40.0,10,30.925,7.867,0.0,30.842
37,11,-0.121,-1.689,3.76,54.545,11,12.275,4.522,0.0,13.964
38,10,0.129,1.803,0.943,0.0,10,-0.86,1.934,70.0,-2.663
39,10,0.205,2.867,0.508,0.0,10,3.559,1.04,0.0,0.692
40,10,0.334,4.678,1.351,0.0,10,2.553,2.807,20.0,-2.125
41,10,0.611,8.554,1.693,0.0,10,-1.563,2.177,70.0,-10.117
42,10,0.393,5.497,0.732,0.0,10,-0.703,4.097,80.0,-6.2
43,10,0.19,2.661,1.275,0.0,10,11.768,2.956,0.0,9.108
44,10,0.061,0.854,1.201,40.0,10,6.778,2.834,0.0,5.925
45,10,-0.504,-7.053,4.158,100.0,10,-1.812,10.989,50.0,5.241
46,10,-1.094,-15.31,0.938,100.0,10,-20.936,8.899,100.0,-5.626
47,10,-1.028,-14.395,1.748,100.0,10,-6.517,4.182,90.0,7.877
48,10,-0.401,-5.612,2.514,100.0,10,0.626,2.254,50.0,6.238
49,10,-0.293,-4.097,1.394,100.0,10,-8.702,2.815,100.0,-4.605
50,10,-0.591,-8.279,1.127,100.0,10,-15.222,1.487,100.0,-6.943
51,10,-0.663,-9.282,0.776,100.0,10,-20.728,7.866,100.0,-11.446
52,10,-0.896,-12.544,0.37,100.0,10,-40.04,2.055,100.0,-27.496
53,10,-0.987,-13.814,0.444,100.0,10,-19.615,6.113,100.0,-5.801
54,10,-0.853,-11.94,2.125,100.0,10,-14.32,1.935,100.0,-2.38
55,10,-0.449,-6.285,0.853,100.0,10,-12.313,2.275,100.0,-6.028
56,11,-0.205,-2.875,1.315,100.0,11,-9.375,5.046,90.909,-6.499
57,10,-0.004,-0.06,0.38,60.0,10,3.888,2.771,0.0,3.948
58,10,0.314,4.395,1.717,0.0,10,4.452,4.446,20.0,0.056
59,10,0.247,3.458,1.923,10.0,10,-1.402,1.48,80.0,-4.861
60,10,-0.562,-7.862,4.08,100.0,10,-1.941,1.797,80.0,5.921
61,10,-1.299,-18.182,2.429,100.0,10,-7.06,6.898,100.0,11.122
62,10,-1.546,-21.638,1.651,100.0,10,-24.804,13.195,100.0,-3.166
63,10,-0.816,-11.428,4.116,100.0,10,20.871,9.429,0.0,32.299
64,10,-0.161,-2.249,1.353,90.0,10,30.488,1.875,0.0,32.737
65,10,0.478,6.688,5.598,0.0,10,39.804,7.974,0.0,33.116
66,11,2.142,29.986,6.438,0.0,11,66.931,4.89,0.0,36.945
67,10,2.771,38.795,1.667,0.0,10,58.739,13.88,0.0,19.944
68,10,2.263,31.682,3.099,0.0,10,19.216,5.894,0.0,-12.465
69,10,1.529,21.408,2.786,0.0,10,13.777,4.062,0.0,-7.631
70,10,0.842,11.79,1.545,0.0,10,23.989,1.935,0.0,12.199
71,10,0.687,9.624,1.099,0.0,10,5.364,4.83,0.0,-4.259
72,10,1.018,14.256,1.425,0.0,10,16.785,8.052,0.0,2.53
73,10,1.056,14.788,1.425,0.0,10,18.068,8.958,0.0,3.28
74,10,0.39,5.457,5.397,20.0,10,-16.789,7.829,100.0,-22.246
75,10,-0.937,-13.12,3.139,100.0,10,-9.112,12.919,60.0,4.008
76,10,-1.954,-27.362,2.887,100.0,10,-15.807,11.181,90.0,11.555
77,10,-1.734,-24.27,1.291,100.0,10,-16.896,4.662,100.0,7.375
78,10,-1.936,-27.102,2.995,100.0,10,-33.19,8.506,100.0,-6.088
79,10,-1.62,-22.681,2.553,100.0,10,-14.049,11.901,100.0,8.632
80,10,-2.516,-35.225,4.809,100.0,10,-8.184,4.44,90.0,27.042
81,10,-1.883,-26.358,6.245,100.0,10,-13.697,10.875,100.0,12.662
82,10,-1.489,-20.849,2.295,100.0,10,-36.702,6.26,100.0,-15.854
83,10,-2.126,-29.763,1.26,100.0,10,-18.038,6.839,100.0,11.725
84,11,-1.587,-22.218,4.684,100.0,11,1.199,3.914,18.182,23.417
85,12,-1.038,-14.539,2.244,100.0,12,2.551,2.728,16.667,17.089
86,12,-0.544,-7.611,1.691,100.0,12,7.181,6.233,8.333,14.792
87,11,0.032,0.445,3.335,54.545,11,15.911,1.365,0.0,15.466
88,10,1.004,14.057,3.738,0.0,10,17.897,7.521,0.0,3.839
89,9,1.182,16.552,0.856,0.0,9,25.283,4.346,0.0,8.731
90,10,1.194,16.719,1.336,0.0,10,29.17,4.385,0.0,12.45
