domain_number,n_transects,mean_lrr_m_yr,mean_total_change_m,std_total_change_m,pct_total_landward,n_observed,mean_observed_change_m,std_observed_change_m,pct_observed_landward,mean_observed_minus_total_m
1,9,3.23,45.22,4.786,0.0,9,11.527,3.981,0.0,-33.694
2,11,2.787,39.025,5.496,0.0,11,-4.125,7.808,81.818,-43.15
3,10,2.07,28.975,3.226,0.0,10,1.305,4.086,50.0,-27.671
4,13,1.839,25.753,6.298,0.0,13,12.836,4.473,0.0,-12.917
5,13,0.1,1.395,3.585,38.462,13,10.18,3.651,0.0,8.785
6,6,-1.345,-18.837,10.68,100.0,6,-13.241,18.347,66.667,5.596
7,4,-2.054,-28.751,2.988,100.0,4,-27.056,3.709,100.0,1.696
8,8,-1.096,-15.339,1.621,100.0,8,-18.935,2.911,100.0,-3.595
9,9,-1.274,-17.83,0.78,100.0,9,-25.403,4.055,100.0,-7.573
10,10,-1.362,-19.074,1.721,100.0,10,-35.035,4.315,100.0,-15.961
11,10,-1.95,-27.304,2.519,100.0,10,-38.836,4.941,100.0,-11.531
12,10,-2.387,-33.42,1.296,100.0,10,-33.486,3.5,100.0,-0.067
13,11,-1.985,-27.791,5.416,100.0,11,-17.371,7.968,100.0,10.42
14,10,-1.093,-15.303,3.422,100.0,10,-16.955,4.124,100.0,-1.652
15,10,0.088,1.236,7.939,30.0,10,-12.893,7.991,90.0,-14.129
16,10,1.259,17.632,2.023,0.0,10,17.08,5.965,0.0,-0.552
17,10,1.279,17.9,1.867,0.0,10,20.599,5.485,0.0,2.699
18,10,1.703,23.845,2.106,0.0,10,15.515,2.04,0.0,-8.33
19,10,1.602,22.428,3.951,0.0,10,19.464,1.593,0.0,-2.964
20,10,-0.213,-2.979,10.583,60.0,10,-8.247,11.549,70.0,-5.268
21,11,-0.812,-11.367,7.788,90.909,11,-9.629,8.334,90.909,1.738
22,10,-0.56,-7.84,5.86,90.0,10,-6.343,5.676,80.0,1.497
23,10,-1.67,-23.376,3.187,100.0,10,-18.08,3.59,100.0,5.296
24,10,-2.749,-38.483,2.855,100.0,10,-41.06,4.499,100.0,-2.577
25,10,-3.189,-44.644,3.215,100.0,10,-52.328,1.644,100.0,-7.684
26,10,-1.931,-27.038,10.768,100.0,10,-32.237,18.874,90.0,-5.199
27,10,2.113,29.584,11.699,0.0,10,38.626,9.35,0.0,9.043
28,10,3.092,43.288,6.271,0.0,10,57.546,4.812,0.0,14.259
29,10,3.158,44.213,10.408,0.0,10,47.603,11.719,0.0,3.39
30,10,1.576,22.064,2.508,0.0,10,16.595,4.918,0.0,-5.469
31,11,1.988,27.838,1.489,0.0,11,7.611,2.244,0.0,-20.227
32,10,1.991,27.874,2.034,0.0,10,16.25,2.649,0.0,-11.624
33,11,1.659,23.232,6.499,0.0,11,-2.213,15.819,45.455,-25.446
34,10,-0.241,-3.374,8.485,60.0,10,-31.05,3.899,100.0,-27.676
35,11,-2.595,-36.336,10.778,100.0,11,-53.75,6.064,100.0,-17.414
36,10,-3.566,-49.924,1.233,100.0,10,-49.356,4.18,100.0,0.568
37,11,-2.39,-33.456,9.88,100.0,11,-19.228,13.243,90.909,14.228
38,10,0.537,7.514,10.512,30.0,10,6.884,2.42,0.0,-0.629
39,10,0.528,7.398,3.81,0.0,10,3.106,1.656,0.0,-4.292
40,10,0.732,10.25,4.204,0.0,10,5.927,3.993,20.0,-4.323
41,10,1.557,21.804,1.439,0.0,10,3.177,4.683,50.0,-18.627
42,10,1.269,17.772,2.444,0.0,10,10.88,5.155,10.0,-6.892
43,10,0.825,11.545,3.397,0.0,10,13.231,2.158,0.0,1.686
44,10,1.165,16.315,1.511,0.0,10,13.226,3.721,0.0,-3.089
45,10,0.503,7.041,6.405,10.0,10,-2.686,5.767,70.0,-9.727
46,10,-1.016,-14.22,7.202,100.0,10,-11.352,15.387,70.0,2.868
47,10,-1.437,-20.123,2.776,100.0,10,-28.752,6.925,100.0,-8.629
48,10,-0.11,-1.536,10.688,60.0,10,-5.99,13.36,60.0,-4.453
49,10,1.485,20.789,2.925,0.0,10,8.246,4.734,0.0,-12.543
50,10,-0.014,-0.201,9.753,60.0,10,-11.081,10.81,80.0,-10.879
51,10,-0.581,-8.136,4.051,100.0,10,-11.424,4.709,100.0,-3.288
52,10,0.37,5.18,2.702,0.0,10,1.179,3.713,50.0,-4.001
53,10,-0.543,-7.598,2.296,100.0,10,-15.808,4.182,100.0,-8.21
54,10,0.193,2.701,4.371,20.0,10,-8.025,3.859,100.0,-10.726
55,10,0.393,5.495,0.996,0.0,10,-5.031,2.367,100.0,-10.527
56,11,0.357,4.997,4.037,9.091,11,-2.427,2.79,90.909,-7.424
57,10,-0.191,-2.671,0.922,100.0,10,-7.914,2.758,100.0,-5.243
58,10,0.209,2.926,3.68,30.0,10,9.1,9.938,20.0,6.174
59,10,0.31,4.337,1.187,0.0,10,21.177,1.99,0.0,16.84
60,10,-0.311,-4.352,5.354,70.0,10,4.115,8.412,30.0,8.468
61,10,-0.736,-10.303,3.353,100.0,10,-8.111,7.436,80.0,2.192
62,10,-0.368,-5.159,8.592,50.0,10,4.495,11.891,40.0,9.654
63,10,-2.022,-28.309,4.906,100.0,10,-30.824,8.381,100.0,-2.516
64,10,-2.074,-29.038,1.963,100.0,10,-40.945,1.633,100.0,-11.907
65,10,-2.299,-32.182,2.4,100.0,10,-41.903,3.766,100.0,-9.721
66,11,-1.072,-15.004,9.444,90.909,11,-28.374,5.982,100.0,-13.37
67,10,2.21,30.938,16.906,0.0,10,4.645,14.688,40.0,-26.293
68,10,5.065,70.903,3.788,0.0,10,41.665,3.412,0.0,-29.238
69,10,3.786,53.006,12.978,0.0,10,38.172,8.489,0.0,-14.833
70,10,0.681,9.541,9.29,20.0,10,4.524,5.028,10.0,-5.016
