domain_number,window_domains,window_km,total_change_m,observed_m,observed_minus_total_m
1,0,,45.22,11.527,-33.693
2,0,,39.025,-4.125,-43.15
3,0,,28.975,1.305,-27.67
4,0,,25.753,12.836,-12.917
5,0,,1.395,10.18,8.785
6,0,,-18.837,-13.241,5.596
7,0,,-28.751,-27.056,1.695
8,0,,-15.339,-18.935,-3.596
9,0,,-17.83,-25.403,-7.573
10,0,,-19.074,-35.035,-15.961
11,0,,-27.304,-38.836,-11.532
12,0,,-33.42,-33.486,-0.066
13,0,,-27.791,-17.371,10.42
14,0,,-15.303,-16.955,-1.652
15,0,,1.236,-12.893,-14.129
16,0,,17.632,17.08,-0.552
17,0,,17.9,20.599,2.699
18,0,,23.845,15.515,-8.33
19,0,,22.428,19.464,-2.964
20,0,,-2.979,-8.247,-5.268
21,0,,-11.367,-9.629,1.738
22,0,,-7.84,-6.343,1.497
23,0,,-23.376,-18.08,5.296
24,0,,-38.483,-41.06,-2.577
25,0,,-44.644,-52.328,-7.684
26,0,,-27.038,-32.237,-5.199
27,0,,29.584,38.626,9.042
28,0,,43.288,57.546,14.258
29,0,,44.213,47.603,3.39
30,0,,22.064,16.595,-5.469
31,0,,27.838,7.611,-20.227
32,0,,27.874,16.25,-11.624
33,0,,23.232,-2.213,-25.445
34,0,,-3.374,-31.05,-27.676
35,0,,-36.336,-53.75,-17.414
36,0,,-49.924,-49.356,0.568
37,0,,-33.456,-19.228,14.228
38,0,,7.514,6.884,-0.63
39,0,,7.398,3.106,-4.292
40,0,,10.25,5.927,-4.323
41,0,,21.804,3.177,-18.627
42,0,,17.772,10.88,-6.892
43,0,,11.545,13.231,1.686
44,0,,16.315,13.226,-3.089
45,0,,7.041,-2.686,-9.727
46,0,,-14.22,-11.352,2.868
47,0,,-20.123,-28.752,-8.629
48,0,,-1.536,-5.99,-4.454
49,0,,20.789,8.246,-12.543
50,0,,-0.201,-11.081,-10.88
51,0,,-8.136,-11.424,-3.288
52,0,,5.18,1.179,-4.001
53,0,,-7.598,-15.808,-8.21
54,0,,2.701,-8.025,-10.726
55,0,,5.495,-5.031,-10.526
56,0,,4.997,-2.427,-7.424
57,0,,-2.671,-7.914,-5.243
58,0,,2.926,9.1,6.174
59,0,,4.337,21.177,16.84
60,0,,-4.352,4.115,8.467
61,0,,-10.303,-8.111,2.192
62,0,,-5.159,4.495,9.654
63,0,,-28.309,-30.824,-2.515
64,0,,-29.038,-40.945,-11.907
65,0,,-32.182,-41.903,-9.721
66,0,,-15.004,-28.374,-13.37
67,0,,30.938,4.645,-26.293
68,0,,70.903,41.665,-29.238
69,0,,53.006,38.172,-14.834
70,0,,9.541,4.524,-5.017
71,0,,-6.155,8.151,14.306
72,0,,-12.536,3.315,15.851
73,0,,-5.847,5.301,11.148
74,0,,24.285,28.884,4.599
75,0,,0.062,-20.228,-20.29
76,0,,-42.633,-71.074,-28.441
77,0,,-45.338,-68.966,-23.628
78,0,,-37.219,-55.935,-18.716
79,0,,-24.284,-38.105,-13.821
80,0,,-76.282,-75.937,0.345
