transect_id,domain_number,lrr_m_yr,unc_m_yr,r_squared,n_obs,start_date,end_date,position_start_m,n_start,position_end_m,n_end,total_change_m,total_unc_m,observed_change_m,observed_minus_total_m,window,lrr_window,span_years
usa_NC_0032_0021,1,2.5023,0.5715,0.2469,229,1996-01-26,2010-12-02,62.6000,12,66.4188,16,35.0322,8.0010,3.8188,-31.2134,1996_2010,1996_2010,14
usa_NC_0032_0022,1,2.8369,0.5752,0.2920,231,1996-01-26,2010-12-02,56.7000,12,64.1688,16,39.7166,8.0528,7.4688,-32.2478,1996_2010,1996_2010,14
usa_NC_0032_0023,1,3.1991,0.6310,0.3035,231,1996-01-26,2010-12-02,57.6750,12,68.9813,16,44.7874,8.8340,11.3063,-33.4811,1996_2010,1996_2010,14
usa_NC_0032_0024,1,3.3678,0.6499,0.3167,227,1996-01-26,2010-12-02,71.1083,12,81.5312,16,47.1492,9.0986,10.4229,-36.7263,1996_2010,1996_2010,14
usa_NC_0032_0025,1,3.5079,0.6678,0.3197,230,1996-01-26,2010-12-02,51.2077,13,62.7071,14,49.1106,9.3492,11.4995,-37.6111,1996_2010,1996_2010,14
usa_NC_0032_0026,1,3.4787,0.6700,0.3205,224,1996-01-26,2010-12-02,58.8846,13,72.3385,13,48.7018,9.3800,13.4538,-35.2480,1996_2010,1996_2010,14
usa_NC_0032_0027,1,3.4830,0.6788,0.3193,220,1996-01-26,2010-12-02,49.7231,13,65.9615,13,48.7620,9.5032,16.2385,-32.5235,1996_2010,1996_2010,14
usa_NC_0032_0028,1,3.3590,0.6951,0.2977,216,1996-01-26,2010-12-02,48.5308,13,64.4615,13,47.0260,9.7314,15.9308,-31.0952,1996_2010,1996_2010,14
usa_NC_0032_0029,1,3.3356,0.6770,0.3039,218,1996-01-26,2010-12-02,50.6846,13,64.2857,14,46.6984,9.4780,13.6011,-33.0973,1996_2010,1996_2010,14
usa_NC_0032_0030,2,3.2457,0.6645,0.3013,217,1996-01-26,2010-12-02,75.4308,13,88.3462,13,45.4398,9.3030,12.9154,-32.5244,1996_2010,1996_2010,14
usa_NC_0032_0031,2,3.3532,0.6838,0.2990,221,1996-01-26,2010-12-02,74.8846,13,82.7385,13,46.9448,9.5732,7.8538,-39.0910,1996_2010,1996_2010,14
usa_NC_0032_0032,2,3.0393,0.7170,0.2487,213,1996-01-26,2010-12-02,83.5077,13,82.3833,12,42.5502,10.0380,-1.1244,-43.6746,1996_2010,1996_2010,14
usa_NC_0032_0033,2,3.0205,0.7586,0.2243,215,1996-01-26,2010-12-02,69.4692,13,61.9231,13,42.2870,10.6204,-7.5462,-49.8332,1996_2010,1996_2010,14
usa_NC_0032_0034,2,2.9200,0.7638,0.2058,221,1996-01-26,2010-12-02,88.7615,13,76.8800,15,40.8800,10.6932,-11.8815,-52.7615,1996_2010,1996_2010,14
usa_NC_0032_0035,2,2.8604,0.7487,0.2049,222,1996-01-26,2010-12-02,74.2000,13,63.4867,15,40.0456,10.4818,-10.7133,-50.7589,1996_2010,1996_2010,14
usa_NC_0032_0036,2,2.7595,0.7245,0.2017,225,1996-01-26,2010-12-02,61.0462,13,51.7400,15,38.6330,10.1430,-9.3062,-47.9392,1996_2010,1996_2010,14
usa_NC_0032_0037,2,2.6068,0.6858,0.2003,226,1996-01-26,2010-12-02,53.8154,13,47.0333,15,36.4952,9.6012,-6.7821,-43.2773,1996_2010,1996_2010,14
usa_NC_0032_0038,2,2.5187,0.6721,0.1958,226,1996-01-26,2010-12-02,45.1077,13,38.7133,15,35.2618,9.4094,-6.3944,-41.6562,1996_2010,1996_2010,14
usa_NC_0032_0039,2,2.1626,0.6519,0.1596,227,1996-01-26,2010-12-02,50.1077,13,42.5176,17,30.2764,9.1266,-7.5900,-37.8664,1996_2010,1996_2010,14
usa_NC_0032_0040,2,2.1756,0.6130,0.1760,231,1996-01-26,2010-12-02,46.5923,13,41.7875,16,30.4584,8.5820,-4.8048,-35.2632,1996_2010,1996_2010,14
usa_NC_0032_0041,3,2.1734,0.5896,0.1859,233,1996-01-26,2010-12-02,45.1077,13,44.4176,17,30.4276,8.2544,-0.6900,-31.1176,1996_2010,1996_2010,14
usa_NC_0032_0042,3,2.1194,0.5905,0.1812,228,1996-01-26,2010-12-02,42.9231,13,44.9062,16,29.6716,8.2670,1.9832,-27.6884,1996_2010,1996_2010,14
usa_NC_0032_0043,3,2.0117,0.5643,0.1839,221,1996-01-26,2010-12-02,41.5250,12,45.4625,16,28.1638,7.9002,3.9375,-24.2263,1996_2010,1996_2010,14
