domain_number,start_year,end_year,moving_year,n_years,window,lrr_m_yr,lrr_median_m_yr,lrr_std_m_yr,unc_m_yr,r_squared,n_obs,n_transects,first_obs,last_obs,unc_if_independent_m_yr,unit_id,transect_id,ref_lrr_m_yr,ref_unc_m_yr,diff_m_yr,abs_diff_m_yr,in_ci,in_abs,in_rel,in_ci3x,in_abs50,in_abs100,in_overlap
1,2016,2020,2016,5,2016_2020,2.4251,2.3051,0.3326,2.0452,0.067,741,9,2016-01-02,2020-12-29,0.6847,GIS 1 mean,GIS 1 mean,0.2239,0.2925,2.2012,2.2012,False,False,False,False,False,False,True
1,2015,2020,2015,6,2015_2020,0.079,0.0138,0.5339,1.7063,0.0037,860,9,2015-02-07,2020-12-29,0.5699,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-0.1449,0.1449,True,True,False,True,True,True,True
1,2014,2020,2014,7,2014_2020,-1.6592,-1.658,0.4514,1.3821,0.0521,1010,9,2014-01-03,2020-12-29,0.4611,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-1.8831,1.8831,False,False,False,False,False,False,False
1,2013,2020,2013,8,2013_2020,-2.8236,-2.7728,0.5257,1.1427,0.1619,1147,9,2013-02-01,2020-12-29,0.3811,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-3.0475,3.0475,False,False,False,False,False,False,False
1,2012,2020,2012,9,2012_2020,-3.2798,-3.1492,0.805,1.0468,0.2243,1209,9,2012-01-14,2020-12-29,0.3491,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-3.5037,3.5037,False,False,False,False,False,False,False
1,2011,2020,2011,10,2011_2020,-3.4878,-3.6018,1.0648,0.842,0.3054,1356,9,2011-01-03,2020-12-29,0.281,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-3.7117,3.7117,False,False,False,False,False,False,False
1,2010,2020,2010,11,2010_2020,-3.7888,-3.9191,0.8355,0.7244,0.3898,1487,9,2010-02-01,2020-12-29,0.2415,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-4.0127,4.0127,False,False,False,False,False,False,False
1,2009,2020,2009,12,2009_2020,-3.8288,-3.9978,0.8828,0.6799,0.416,1534,9,2009-02-06,2020-12-29,0.2267,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-4.0527,4.0527,False,False,False,False,False,False,False
1,2008,2020,2008,13,2008_2020,-3.7069,-4.1035,0.9591,0.5589,0.4669,1697,9,2008-01-27,2020-12-29,0.1864,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-3.9308,3.9308,False,False,False,False,False,False,False
1,2007,2020,2007,14,2007_2020,-3.3628,-3.6147,0.8293,0.5269,0.4365,1788,9,2007-01-24,2020-12-29,0.1757,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-3.5867,3.5867,False,False,False,False,False,False,False
1,2006,2020,2006,15,2006_2020,-2.8777,-3.1207,0.8045,0.4967,0.3764,1894,9,2006-02-06,2020-12-29,0.1656,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-3.1016,3.1016,False,False,False,False,False,False,False
1,2005,2020,2005,16,2005_2020,-2.2651,-2.384,0.7247,0.4709,0.2841,2015,9,2005-01-18,2020-12-29,0.1571,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-2.489,2.489,False,False,False,False,False,False,False
1,2004,2020,2004,17,2004_2020,-2.0627,-2.2157,0.6599,0.4257,0.2742,2163,9,2004-01-08,2020-12-29,0.142,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-2.2866,2.2866,False,False,False,False,False,False,False
1,2003,2020,2003,18,2003_2020,-1.8324,-1.9818,0.7332,0.394,0.2517,2275,9,2003-01-05,2020-12-29,0.1314,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-2.0563,2.0563,False,False,False,False,False,False,False
1,2002,2020,2002,19,2002_2020,-1.0783,-1.1315,0.6183,0.3739,0.115,2500,9,2002-01-10,2020-12-29,0.1248,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-1.3022,1.3022,False,False,False,False,False,False,False
1,2001,2020,2001,20,2001_2020,-0.6308,-0.7664,0.6227,0.3486,0.0653,2702,9,2001-01-31,2020-12-29,0.1163,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-0.8547,0.8547,False,False,False,True,False,True,False
1,2000,2020,2000,21,2000_2020,0.123,0.0245,0.6352,0.3404,0.0376,2977,9,2000-01-06,2020-12-29,0.1135,GIS 1 mean,GIS 1 mean,0.2239,0.2925,-0.1009,0.1009,True,True,False,True,True,True,True
1,1999,2020,1999,22,1999_2020,0.3883,0.348,0.6298,0.3249,0.0518,3148,9,1999-03-07,2020-12-29,0.1084,GIS 1 mean,GIS 1 mean,0.2239,0.2925,0.1644,0.1644,True,True,False,True,True,True,True
1,1998,2020,1998,23,1998_2020,0.4206,0.3916,0.6161,0.3124,0.0553,3228,9,1998-01-31,2020-12-29,0.1042,GIS 1 mean,GIS 1 mean,0.2239,0.2925,0.1967,0.1967,True,True,False,True,True,True,True
1,1997,2020,1997,24,1997_2020,0.3709,0.3551,0.5933,0.307,0.0499,3269,9,1997-01-12,2020-12-29,0.1024,GIS 1 mean,GIS 1 mean,0.2239,0.2925,0.147,0.147,True,True,False,True,True,True,True
1,1996,2020,1996,25,1996_2020,0.2239,0.2077,0.5289,0.2925,0.0359,3382,9,1996-01-26,2020-12-29,0.0976,GIS 1 mean,GIS 1 mean,0.2239,0.2925,0.0,0.0,True,True,True,True,True,True,True
2,2016,2020,2016,5,2016_2020,1.2703,1.184,0.7013,1.9631,0.0281,942,11,2016-01-02,2020-12-29,0.5966,GIS 2 mean,GIS 2 mean,1.3874,0.2697,-0.1171,0.1171,True,True,True,True,True,True,True
2,2015,2020,2015,6,2015_2020,0.1647,0.376,1.2545,1.6308,0.0235,1050,11,2015-02-07,2020-12-29,0.4936,GIS 2 mean,GIS 2 mean,1.3874,0.2697,-1.2227,1.2227,False,False,False,False,False,False,True
