domain_number,unit_id,transect_id,start_year,end_year,moving_year,window,n_years,lrr_m_yr,intercept_m,unc_m_yr,r_squared,p_value,n_obs,first_obs,last_obs,ref_lrr_m_yr,ref_unc_m_yr,diff_m_yr,abs_diff_m_yr,in_ci,in_abs,in_rel,in_ci3x,in_abs50,in_abs100,in_overlap
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2000,2000,1996_2000,5,-10.635,54.109,1.861,0.6334,0.0,77,1996-01-26,2000-12-30,0.2077,0.3018,-10.8427,10.8427,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2001,2001,1996_2001,6,-4.9714,42.065,2.1652,0.1748,1.5e-05,100,1996-01-26,2001-11-08,0.2077,0.3018,-5.1791,5.1791,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2002,2002,1996_2002,7,-2.1922,34.339,1.7924,0.0451,0.016938,126,1996-01-26,2002-12-29,0.2077,0.3018,-2.3999,2.3999,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2003,2003,1996_2003,8,-0.3562,28.435,1.6623,0.0013,0.672419,137,1996-01-26,2003-12-31,0.2077,0.3018,-0.5639,0.5639,False,False,False,True,False,True,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2004,2004,1996_2004,9,2.0017,20.263,1.5062,0.0434,0.009535,154,1996-01-26,2004-12-17,0.2077,0.3018,1.794,1.794,False,False,False,False,False,False,True
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2005,2005,1996_2005,10,2.0918,19.925,1.2491,0.0611,0.001156,170,1996-01-26,2005-12-12,0.2077,0.3018,1.8841,1.8841,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2006,2006,1996_2006,11,2.4444,18.451,1.0868,0.0986,1.6e-05,182,1996-01-26,2006-12-15,0.2077,0.3018,2.2367,2.2367,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2007,2007,1996_2007,12,2.6656,17.444,0.9628,0.135,0.0,193,1996-01-26,2007-12-18,0.2077,0.3018,2.4579,2.4579,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2008,2008,1996_2008,13,3.4983,13.592,0.8061,0.2584,0.0,212,1996-01-26,2008-11-26,0.2077,0.3018,3.2906,3.2906,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2009,2009,1996_2009,14,3.5682,13.251,0.7733,0.2788,0.0,216,1996-01-26,2009-12-07,0.2077,0.3018,3.3605,3.3605,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2010,2010,1996_2010,15,3.5079,13.567,0.6678,0.3197,0.0,230,1996-01-26,2010-12-02,0.2077,0.3018,3.3002,3.3002,False,False,False,False,False,False,False
1,usa_NC_0032_0025,usa_NC_0032_0025,1996,2011,2011,1996_2011,16,3.1865,15.291,0.5763,0.3262,0.0,247,1996-01-26,2011-11-11,0.2077,0.3018,2.9788,2.9788,False,False,False,False,False,False,False
