domain_number,unit_id,transect_id,start_year,end_year,moving_year,window,n_years,lrr_m_yr,intercept_m,unc_m_yr,r_squared,p_value,n_obs,first_obs,last_obs,ref_lrr_m_yr,ref_unc_m_yr,diff_m_yr,abs_diff_m_yr,in_ci,in_abs,in_rel,in_ci3x,in_abs50,in_abs100,in_overlap
1,usa_NC_0032_0021,usa_NC_0032_0021,2020,2024,2020,2020_2024,5,53.5481,-19.583,4.353,0.8064,0.0,144,2020-01-28,2024-12-08,3.157,0.4865,50.3911,50.3911,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2019,2024,2019,2019_2024,6,44.7284,-35.898,3.6964,0.7844,0.0,159,2019-01-25,2024-12-08,3.157,0.4865,41.5714,41.5714,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2018,2024,2018,2018_2024,7,37.3655,-41.906,3.2139,0.7538,0.0,174,2018-02-07,2024-12-08,3.157,0.4865,34.2085,34.2085,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2017,2024,2017,2017_2024,8,29.5832,-34.916,2.6201,0.7177,0.0,197,2017-01-27,2024-12-08,3.157,0.4865,26.4262,26.4262,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2016,2024,2016,2016_2024,9,25.0787,-34.434,2.3253,0.6807,0.0,214,2016-02-03,2024-12-08,3.157,0.4865,21.9217,21.9217,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2015,2024,2015,2015_2024,10,22.668,-41.046,2.2102,0.6489,0.0,223,2015-02-15,2024-12-08,3.157,0.4865,19.511,19.511,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2014,2024,2014,2014_2024,11,18.164,-28.981,2.0366,0.5647,0.0,240,2014-01-12,2024-12-08,3.157,0.4865,15.007,15.007,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2013,2024,2013,2013_2024,12,14.943,-17.517,1.8672,0.4944,0.0,256,2013-02-01,2024-12-08,3.157,0.4865,11.786,11.786,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2012,2024,2012,2012_2024,13,13.3444,-17.165,1.7947,0.45,0.0,264,2012-01-30,2024-12-08,3.157,0.4865,10.1874,10.1874,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2011,2024,2011,2011_2024,14,10.8496,-5.31,1.6251,0.3832,0.0,280,2011-01-03,2024-12-08,3.157,0.4865,7.6926,7.6926,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2010,2024,2010,2010_2024,15,9.0707,4.605,1.4676,0.3348,0.0,296,2010-02-01,2024-12-08,3.157,0.4865,5.9137,5.9137,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2009,2024,2009,2009_2024,16,8.4086,4.493,1.4162,0.3128,0.0,302,2009-03-18,2024-12-08,3.157,0.4865,5.2516,5.2516,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2008,2024,2008,2008_2024,17,6.745,16.097,1.2437,0.2624,0.0,322,2008-01-27,2024-12-08,3.157,0.4865,3.588,3.588,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2007,2024,2007,2007_2024,18,6.2434,16.046,1.18,0.2483,0.0,330,2007-01-24,2024-12-08,3.157,0.4865,3.0864,3.0864,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2006,2024,2006,2006_2024,19,5.7489,17.07,1.0936,0.2398,0.0,341,2006-02-06,2024-12-08,3.157,0.4865,2.5919,2.5919,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2005,2024,2005,2005_2024,20,5.2739,18.158,0.9995,0.2343,0.0,354,2005-01-18,2024-12-08,3.157,0.4865,2.1169,2.1169,False,False,False,False,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2004,2024,2004,2004_2024,21,4.5615,23.984,0.8921,0.2141,0.0,373,2004-01-08,2024-12-08,3.157,0.4865,1.4045,1.4045,False,False,False,True,False,False,False
1,usa_NC_0032_0021,usa_NC_0032_0021,2003,2024,2003,2003_2024,22,4.1181,26.749,0.8277,0.1991,0.0,387,2003-01-05,2024-12-08,3.157,0.4865,0.9611,0.9611,False,False,False,True,False,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,2002,2024,2002,2002_2024,23,3.8463,27.395,0.7227,0.2107,0.0,412,2002-01-10,2024-12-08,3.157,0.4865,0.6893,0.6893,False,False,False,True,False,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,2001,2024,2001,2001_2024,24,3.672,26.903,0.6482,0.2226,0.0,435,2001-01-31,2024-12-08,3.157,0.4865,0.515,0.515,False,False,True,True,False,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,2000,2024,2000,2000_2024,25,3.6069,24.185,0.5705,0.25,0.0,465,2000-01-06,2024-12-08,3.157,0.4865,0.4499,0.4499,True,False,True,True,True,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1999,2024,1999,1999_2024,26,3.5118,22.994,0.5314,0.2592,0.0,484,1999-03-07,2024-12-08,3.157,0.4865,0.3548,0.3548,True,False,True,True,True,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1998,2024,1998,1998_2024,27,3.4385,20.601,0.514,0.2603,0.0,493,1998-01-31,2024-12-08,3.157,0.4865,0.2815,0.2815,True,False,True,True,True,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1997,2024,1997,1997_2024,28,3.374,18.308,0.5068,0.2569,0.0,497,1997-01-12,2024-12-08,3.157,0.4865,0.217,0.217,True,True,True,True,True,True,True
1,usa_NC_0032_0021,usa_NC_0032_0021,1996,2024,1996,1996_2024,29,3.157,19.646,0.4865,0.2427,0.0,509,1996-01-26,2024-12-08,3.157,0.4865,0.0,0.0,True,True,True,True,True,True,True
1,usa_NC_0032_0022,usa_NC_0032_0022,2020,2024,2020,2020_2024,5,51.4994,-23.922,3.9055,0.8221,0.0,149,2020-01-28,2024-12-08,3.1842,0.4598,48.3152,48.3152,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,2019,2024,2019,2019_2024,6,42.392,-36.248,3.3833,0.7908,0.0,164,2019-01-25,2024-12-08,3.1842,0.4598,39.2078,39.2078,False,False,False,False,False,False,False
1,usa_NC_0032_0022,usa_NC_0032_0022,2018,2024,2018,2018_2024,7,34.5308,-36.843,2.8782,0.7569,0.0,182,2018-02-07,2024-12-08,3.1842,0.4598,31.3466,31.3466,False,False,False,False,False,False,False
