domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
1,GIS 1 mean,GIS 1 mean,backward,1996_2024,2.8433,0.3644,4644,2010_2024,6.8961,1.0737,4.0528,False,False,False,False,False,False,False,2002,2002,23,2001,1997,28,2003,2003,22,2004,2004,21,2003,2003,22,2004,2004,21,2004,2004,21
2,GIS 2 mean,GIS 2 mean,backward,1996_2024,2.5271,0.2091,5698,2010_2024,4.0496,0.5254,1.5225,False,False,False,False,False,False,False,2003,1996,29,2004,1997,28,2006,2006,19,2007,2007,18,2006,2006,19,2008,2008,17,2007,2007,18
3,GIS 3 mean,GIS 3 mean,backward,1996_2024,2.4637,0.1503,5132,2010_2024,3.4409,0.3442,0.9772,False,False,False,False,False,True,False,2002,1996,29,2002,2002,23,2007,2004,21,2006,2004,21,2007,2004,21,2010,2010,15,2006,2003,22
4,GIS 4 mean,GIS 4 mean,backward,1996_2024,1.9194,0.164,6771,2010_2024,3.3107,0.3758,1.3913,False,False,False,False,False,False,False,2002,1999,26,2002,2002,23,2003,2003,22,2004,2004,21,2004,2004,21,2008,2008,17,2003,2003,22
5,GIS 5 mean,GIS 5 mean,backward,1996_2024,0.8206,0.1853,6742,2010_2024,2.4107,0.4668,1.5901,False,False,False,False,False,False,False,2000,2000,25,2000,2000,25,2000,2000,25,2004,2004,21,2004,2004,21,2017,2006,19,2019,2004,21
6,GIS 6 mean,GIS 6 mean,backward,1996_2024,-1.3881,0.1486,2993,2010_2024,-1.1304,0.4074,0.2577,False,False,True,True,True,True,True,2018,2004,21,2019,2009,16,2019,2012,13,2019,2013,12,2019,2014,11,2019,2015,10,2020,2015,10
7,GIS 7 mean,GIS 7 mean,backward,1996_2024,-1.3138,0.1629,2085,2010_2024,-0.1679,0.4832,1.1459,False,False,False,False,False,False,False,2001,2001,24,2002,2002,23,2002,2002,23,2018,2003,22,2018,2003,22,2018,2008,17,2020,2002,23
8,GIS 8 mean,GIS 8 mean,backward,1996_2024,-0.3236,0.2101,4221,2010_2024,1.5732,0.6417,1.8968,False,False,False,False,False,False,False,2001,2001,24,2001,2001,24,1997,1997,28,2018,2003,22,2018,2002,23,2018,2005,20,2020,2003,22
9,GIS 9 mean,GIS 9 mean,backward,1996_2024,0.1371,0.1876,4639,2010_2024,2.6427,0.5137,2.5056,False,False,False,False,False,False,False,2018,1999,26,2018,2000,25,1996,1996,29,2018,2002,23,2018,2001,24,2019,2004,21,2020,2001,24
10,GIS 10 mean,GIS 10 mean,backward,1996_2024,0.7143,0.1879,5147,2010_2024,3.7241,0.4549,3.0098,False,False,False,False,False,False,False,2018,1998,27,2018,1999,26,2018,1997,28,2018,2001,24,2018,2001,24,2018,2003,22,2020,2000,25
11,GIS 11 mean,GIS 11 mean,backward,1996_2024,0.7915,0.191,4841,2010_2024,4.0478,0.4199,3.2563,False,False,False,False,False,False,False,2018,1997,28,2018,1998,27,2018,1996,29,2018,2000,25,2018,2000,25,2020,2002,23,2020,2000,25
12,GIS 12 mean,GIS 12 mean,backward,1996_2024,0.617,0.1871,4976,2010_2024,3.531,0.4013,2.914,False,False,False,False,False,False,False,1997,1997,28,1998,1998,27,1996,1996,29,2000,2000,25,2000,2000,25,2018,2002,23,2020,2000,25
13,GIS 13 mean,GIS 13 mean,backward,1996_2024,0.564,0.1733,5413,2010_2024,2.8283,0.4082,2.2643,False,False,False,False,False,False,False,1998,1998,27,1999,1999,26,1996,1996,29,2001,2001,24,2001,2001,24,2003,2003,22,2020,2000,25
