domain_number,start_year,end_year,moving_year,n_years,window,lrr_m_yr,lrr_median_m_yr,lrr_std_m_yr,unc_m_yr,r_squared,n_obs,n_transects,first_obs,last_obs,unc_if_independent_m_yr,unit_id,transect_id,ref_lrr_m_yr,ref_unc_m_yr,diff_m_yr,abs_diff_m_yr,in_ci,in_abs,in_rel,in_ci3x,in_abs50,in_abs100,in_overlap
1,1996,2000,2000,5,1996_2000,-10.5453,-10.635,1.46,1.7225,0.6627,680,9,1996-01-26,2000-12-30,0.5751,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-13.3886,13.3886,False,False,False,False,False,False,False
1,1996,2001,2001,6,1996_2001,-5.8001,-5.0798,1.1517,1.9409,0.2698,882,9,1996-01-26,2001-11-08,0.6486,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-8.6434,8.6434,False,False,False,False,False,False,False
1,1996,2002,2002,7,1996_2002,-2.5654,-2.5436,0.4233,1.7272,0.068,1107,9,1996-01-26,2002-12-29,0.5764,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-5.4087,5.4087,False,False,False,False,False,False,False
1,1996,2003,2003,8,1996_2003,-0.3844,-0.3562,0.5569,1.6147,0.0047,1219,9,1996-01-26,2003-12-31,0.5385,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-3.2277,3.2277,False,False,False,False,False,False,False
1,1996,2004,2004,9,1996_2004,1.7165,1.6614,0.4722,1.4616,0.037,1367,9,1996-01-26,2004-12-17,0.4879,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-1.1268,1.1268,False,False,False,False,False,False,True
1,1996,2005,2005,10,1996_2005,1.8515,1.8359,0.3052,1.241,0.0517,1488,9,1996-01-26,2005-12-12,0.4143,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-0.9918,0.9918,False,False,False,True,False,True,True
1,1996,2006,2006,11,1996_2006,2.1875,2.3104,0.3001,1.0779,0.0844,1594,9,1996-01-26,2006-12-15,0.3596,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-0.6558,0.6558,False,False,False,True,False,True,True
1,1996,2007,2007,12,1996_2007,2.4988,2.5849,0.2442,0.9606,0.1243,1685,9,1996-01-26,2007-12-18,0.3204,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-0.3445,0.3445,True,False,True,True,True,True,True
1,1996,2008,2008,13,1996_2008,3.1164,3.1405,0.3246,0.7951,0.2272,1848,9,1996-01-26,2008-12-04,0.2655,GIS 1 mean,GIS 1 mean,2.8433,0.3644,0.2731,0.2731,True,False,True,True,True,True,True
1,1996,2009,2009,14,1996_2009,3.2044,3.2113,0.2991,0.7505,0.2539,1895,9,1996-01-26,2009-12-23,0.2507,GIS 1 mean,GIS 1 mean,2.8433,0.3644,0.3611,0.3611,True,False,True,True,True,True,True
1,1996,2010,2010,15,1996_2010,3.23,3.359,0.3419,0.6463,0.3022,2026,9,1996-01-26,2010-12-02,0.2159,GIS 1 mean,GIS 1 mean,2.8433,0.3644,0.3867,0.3867,False,False,True,True,True,True,True
1,1996,2011,2011,16,1996_2011,2.9317,3.0089,0.2775,0.5607,0.3063,2173,9,1996-01-26,2011-12-13,0.1872,GIS 1 mean,GIS 1 mean,2.8433,0.3644,0.0884,0.0884,True,True,True,True,True,True,True
1,1996,2012,2012,17,1996_2012,2.8368,2.8969,0.2401,0.5296,0.3107,2235,9,1996-01-26,2012-11-29,0.1768,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-0.0065,0.0065,True,True,True,True,True,True,True
1,1996,2013,2013,18,1996_2013,2.4729,2.5856,0.2694,0.4714,0.2889,2372,9,1996-01-26,2013-12-27,0.1573,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-0.3704,0.3704,False,False,True,True,True,True,True
1,1996,2014,2014,19,1996_2014,2.0152,2.0935,0.3018,0.4291,0.2351,2522,9,1996-01-26,2014-12-14,0.1432,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-0.8281,0.8281,False,False,False,True,False,True,False
1,1996,2015,2015,20,1996_2015,1.697,1.701,0.3416,0.3988,0.1966,2641,9,1996-01-26,2015-12-16,0.133,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-1.1463,1.1463,False,False,False,False,False,False,False
1,1996,2016,2016,21,1996_2016,1.132,1.1235,0.4343,0.3814,0.1089,2801,9,1996-01-26,2016-12-10,0.1272,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-1.7113,1.7113,False,False,False,False,False,False,False
1,1996,2017,2017,22,1996_2017,0.6525,0.6399,0.5255,0.3544,0.059,2987,9,1996-01-26,2017-12-21,0.1182,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-2.1908,2.1908,False,False,False,False,False,False,False
1,1996,2018,2018,23,1996_2018,0.3966,0.4116,0.5318,0.3294,0.0407,3143,9,1996-01-26,2018-12-25,0.1098,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-2.4467,2.4467,False,False,False,False,False,False,False
1,1996,2019,2019,24,1996_2019,0.2232,0.2092,0.5254,0.3055,0.0337,3302,9,1996-01-26,2019-12-27,0.1019,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-2.6201,2.6201,False,False,False,False,False,False,False
1,1996,2020,2020,25,1996_2020,0.2239,0.2077,0.5289,0.2925,0.0359,3382,9,1996-01-26,2020-12-29,0.0976,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-2.6194,2.6194,False,False,False,False,False,False,False
1,1996,2021,2021,26,1996_2021,0.6291,0.5956,0.4358,0.2694,0.0706,3646,9,1996-01-26,2021-12-25,0.0899,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-2.2142,2.2142,False,False,False,False,False,False,False
1,1996,2022,2022,27,1996_2022,0.9186,0.9509,0.3779,0.2378,0.1298,4002,9,1996-01-26,2022-12-28,0.0794,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-1.9247,1.9247,False,False,False,False,False,False,False
1,1996,2023,2023,28,1996_2023,1.6997,1.6832,0.1226,0.2781,0.2451,4345,9,1996-01-26,2023-12-31,0.0941,GIS 1 mean,GIS 1 mean,2.8433,0.3644,-1.1436,1.1436,False,False,False,False,False,False,False
1,1996,2024,2024,29,1996_2024,2.8433,2.7908,0.2028,0.3644,0.3252,4644,9,1996-01-26,2024-12-08,0.124,GIS 1 mean,GIS 1 mean,2.8433,0.3644,0.0,0.0,True,True,True,True,True,True,True
2,1996,2000,2000,5,1996_2000,-12.841,-12.9945,1.8716,2.3249,0.6174,832,11,1996-01-26,2000-12-30,0.7097,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-15.3681,15.3681,False,False,False,False,False,False,False
2,1996,2001,2001,6,1996_2001,-6.4198,-7.3633,1.6599,2.5131,0.2209,1076,11,1996-01-26,2001-11-08,0.7623,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-8.9469,8.9469,False,False,False,False,False,False,False
2,1996,2002,2002,7,1996_2002,-1.1604,-1.142,1.5281,2.2629,0.0251,1345,11,1996-01-26,2002-12-29,0.6855,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-3.6875,3.6875,False,False,False,False,False,False,False
2,1996,2003,2003,8,1996_2003,0.6803,1.038,1.5032,1.9493,0.0198,1504,11,1996-01-26,2003-12-31,0.5904,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-1.8468,1.8468,False,False,False,False,False,False,True
2,1996,2004,2004,9,1996_2004,1.5721,1.8334,0.9779,1.6622,0.0303,1662,11,1996-01-26,2004-12-17,0.503,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.955,0.955,False,False,False,False,False,True,True
2,1996,2005,2005,10,1996_2005,1.4894,1.7273,0.474,1.4461,0.0271,1784,11,1996-01-26,2005-12-12,0.4378,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-1.0377,1.0377,False,False,False,False,False,False,True
2,1996,2006,2006,11,1996_2006,1.8178,1.9229,0.2972,1.2466,0.0471,1901,11,1996-01-26,2006-12-15,0.3773,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.7093,0.7093,False,False,False,False,False,True,True
2,1996,2007,2007,12,1996_2007,2.4359,2.4913,0.2117,1.0875,0.098,2023,11,1996-01-26,2007-12-18,0.3289,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.0912,0.0912,True,True,True,True,True,True,True
2,1996,2008,2008,13,1996_2008,2.732,2.8223,0.2595,0.8869,0.1572,2208,11,1996-01-26,2008-12-04,0.2683,GIS 2 mean,GIS 2 mean,2.5271,0.2091,0.2049,0.2049,True,True,True,True,True,True,True
2,1996,2009,2009,14,1996_2009,2.9017,2.9965,0.2967,0.8178,0.1926,2285,11,1996-01-26,2009-12-23,0.2471,GIS 2 mean,GIS 2 mean,2.5271,0.2091,0.3746,0.3746,False,False,True,True,True,True,True
2,1996,2010,2010,15,1996_2010,2.7875,2.8604,0.3926,0.6985,0.2198,2444,11,1996-01-26,2010-12-02,0.2111,GIS 2 mean,GIS 2 mean,2.5271,0.2091,0.2604,0.2604,False,False,True,True,True,True,True
2,1996,2011,2011,16,1996_2011,2.5006,2.5799,0.3448,0.5923,0.2248,2649,11,1996-01-26,2011-12-29,0.1789,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.0265,0.0265,True,True,True,True,True,True,True
2,1996,2012,2012,17,1996_2012,2.5897,2.7378,0.3609,0.5532,0.2559,2740,11,1996-01-26,2012-11-29,0.167,GIS 2 mean,GIS 2 mean,2.5271,0.2091,0.0626,0.0626,True,True,True,True,True,True,True
2,1996,2013,2013,18,1996_2013,2.5837,2.7102,0.2673,0.4931,0.2899,2890,11,1996-01-26,2013-12-27,0.1489,GIS 2 mean,GIS 2 mean,2.5271,0.2091,0.0566,0.0566,True,True,True,True,True,True,True
2,1996,2014,2014,19,1996_2014,2.5254,2.5968,0.2107,0.437,0.3186,3067,11,1996-01-26,2014-12-14,0.132,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.0017,0.0017,True,True,True,True,True,True,True
2,1996,2015,2015,20,1996_2015,2.3791,2.4197,0.1478,0.4088,0.3148,3175,11,1996-01-26,2015-12-16,0.1235,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.148,0.148,True,True,True,True,True,True,True
2,1996,2016,2016,21,1996_2016,2.0654,2.0826,0.1041,0.3755,0.2801,3345,11,1996-01-26,2016-12-10,0.1135,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.4617,0.4617,False,False,True,True,True,True,True
2,1996,2017,2017,22,1996_2017,1.7533,1.7671,0.0616,0.3289,0.2531,3621,11,1996-01-26,2017-12-21,0.0994,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.7738,0.7738,False,False,False,False,False,True,False
2,1996,2018,2018,23,1996_2018,1.5622,1.6346,0.1672,0.3057,0.2303,3811,11,1996-01-26,2018-12-25,0.0924,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.9649,0.9649,False,False,False,False,False,True,False
2,1996,2019,2019,24,1996_2019,1.412,1.4508,0.1907,0.2808,0.216,4021,11,1996-01-26,2019-12-27,0.0848,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-1.1151,1.1151,False,False,False,False,False,False,False
2,1996,2020,2020,25,1996_2020,1.3874,1.4373,0.1841,0.2697,0.2199,4117,11,1996-01-26,2020-12-29,0.0815,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-1.1397,1.1397,False,False,False,False,False,False,False
2,1996,2021,2021,26,1996_2021,1.6526,1.6977,0.1922,0.2417,0.3126,4447,11,1996-01-26,2021-12-25,0.0731,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.8745,0.8745,False,False,False,False,False,True,False
2,1996,2022,2022,27,1996_2022,1.7772,1.8163,0.1671,0.2113,0.3845,4863,11,1996-01-26,2022-12-28,0.0639,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.7499,0.7499,False,False,False,False,False,True,False
2,1996,2023,2023,28,1996_2023,2.0621,2.1096,0.092,0.1969,0.4702,5303,11,1996-01-26,2023-12-31,0.0596,GIS 2 mean,GIS 2 mean,2.5271,0.2091,-0.465,0.465,False,False,True,True,True,True,False
2,1996,2024,2024,29,1996_2024,2.5271,2.5167,0.0682,0.2091,0.5259,5698,11,1996-01-26,2024-12-08,0.0636,GIS 2 mean,GIS 2 mean,2.5271,0.2091,0.0,0.0,True,True,True,True,True,True,True
3,1996,2000,2000,5,1996_2000,-6.0442,-6.1002,1.4647,2.3553,0.2912,713,10,1996-01-26,2000-12-30,0.7523,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-8.5079,8.5079,False,False,False,False,False,False,False
3,1996,2001,2001,6,1996_2001,-1.6168,-2.1355,1.0028,2.0936,0.035,953,10,1996-01-26,2001-11-08,0.6641,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-4.0805,4.0805,False,False,False,False,False,False,False
3,1996,2002,2002,7,1996_2002,1.7603,1.7036,0.7566,1.8388,0.0327,1182,10,1996-01-26,2002-12-29,0.5822,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.7034,0.7034,False,False,False,False,False,True,True
3,1996,2003,2003,8,1996_2003,2.5177,2.7254,0.7195,1.6044,0.0714,1291,10,1996-01-26,2003-12-31,0.5081,GIS 3 mean,GIS 3 mean,2.4637,0.1503,0.054,0.054,True,True,True,True,True,True,True
3,1996,2004,2004,9,1996_2004,2.4349,2.546,0.4862,1.3144,0.0857,1448,10,1996-01-26,2004-12-17,0.416,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.0288,0.0288,True,True,True,True,True,True,True
3,1996,2005,2005,10,1996_2005,1.3839,1.4699,0.4646,1.1381,0.0365,1584,10,1996-01-26,2005-12-12,0.3603,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-1.0798,1.0798,False,False,False,False,False,False,True
3,1996,2006,2006,11,1996_2006,1.5401,1.5774,0.3218,0.9706,0.0553,1705,10,1996-01-26,2006-12-15,0.3074,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.9236,0.9236,False,False,False,False,False,True,True
3,1996,2007,2007,12,1996_2007,1.7239,1.6682,0.374,0.8599,0.0818,1801,10,1996-01-26,2007-12-18,0.2723,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.7398,0.7398,False,False,False,False,False,True,True
3,1996,2008,2008,13,1996_2008,2.128,2.1997,0.2408,0.703,0.1537,1979,10,1996-01-26,2008-12-04,0.2225,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.3357,0.3357,False,False,True,True,True,True,True
3,1996,2009,2009,14,1996_2009,2.2318,2.3102,0.2475,0.6673,0.1779,2028,10,1996-01-26,2009-12-23,0.2111,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.2319,0.2319,False,True,True,True,True,True,True
3,1996,2010,2010,15,1996_2010,2.0697,2.1023,0.2304,0.5751,0.1892,2171,10,1996-01-26,2010-12-02,0.1819,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.394,0.394,False,False,True,True,True,True,True
3,1996,2011,2011,16,1996_2011,1.8856,1.856,0.1593,0.4912,0.1973,2355,10,1996-01-26,2011-12-29,0.1554,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.5781,0.5781,False,False,False,False,False,True,True
3,1996,2012,2012,17,1996_2012,1.9596,1.9675,0.1248,0.4619,0.2254,2429,10,1996-01-26,2012-11-29,0.1462,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.5041,0.5041,False,False,False,False,False,True,True
3,1996,2013,2013,18,1996_2013,2.2429,2.2076,0.1117,0.4118,0.3112,2579,10,1996-01-26,2013-12-27,0.1303,GIS 3 mean,GIS 3 mean,2.4637,0.1503,-0.2208,0.2208,False,True,True,True,True,True,True
