domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
91,10,-0.172,-0.146,0.108,-0.41,-0.06,100.0,10
92,10,0.698,0.536,0.96,-0.37,2.195,30.0,10
93,10,1.385,1.674,0.814,-0.022,2.23,10.0,10
94,11,0.249,0.116,0.573,-0.32,1.22,45.455,11
95,10,1.406,1.501,0.336,0.81,1.76,0.0,10
96,10,-0.281,-0.403,0.362,-0.678,0.485,80.0,10
97,10,-1.682,-1.865,0.447,-2.117,-0.81,100.0,10
98,11,-2.084,-2.156,0.225,-2.3,-1.623,100.0,11
99,10,-2.14,-2.065,0.442,-2.682,-1.553,100.0,10
100,11,-3.616,-3.758,0.4,-3.953,-2.739,100.0,11
101,10,-3.055,-3.076,0.622,-3.85,-2.006,100.0,10
102,10,0.108,0.068,1.346,-1.727,2.016,50.0,10
103,10,1.045,1.049,0.866,-0.23,2.192,10.0,10
104,11,-0.947,-0.928,0.275,-1.315,-0.437,100.0,11
105,10,0.701,0.635,1.005,-0.641,2.294,30.0,10
106,11,0.228,0.332,1.643,-2.128,2.166,45.455,11
107,10,-2.629,-2.565,0.297,-3.094,-2.248,100.0,10
108,11,-1.809,-1.899,0.355,-2.262,-1.246,100.0,11
109,11,-0.591,-0.619,0.374,-1.159,-0.03,100.0,11
110,10,0.458,0.344,0.597,-0.186,1.492,30.0,10
111,11,2.048,2.001,0.329,1.562,2.606,0.0,11
112,11,2.715,2.701,0.326,2.383,3.39,0.0,11
113,11,4.025,4.121,0.218,3.612,4.225,0.0,11
114,11,2.543,2.264,0.859,1.561,3.897,0.0,11
115,11,2.493,2.516,0.219,2.12,2.777,0.0,11
116,11,3.073,3.133,0.23,2.612,3.384,0.0,11
117,12,3.74,3.674,0.56,3.092,4.548,0.0,12
118,12,4.66,4.62,0.343,4.172,5.312,0.0,12
119,14,2.362,2.761,1.89,-1.199,4.212,21.429,14
120,5,-1.313,-1.624,1.01,-2.283,0.282,80.0,5
