transect_id,domain_number,match_method,lrr_m_yr,r_squared,p_value,unc_m_yr,n_obs,start_date,end_date
usa_NC_0032_0021,1.0,point_in_polygon,2.5023,0.2469,0.0,0.5715,229,1996-01-26,2010-12-02
usa_NC_0032_0022,1.0,point_in_polygon,2.8369,0.292,0.0,0.5752,231,1996-01-26,2010-12-02
usa_NC_0032_0023,1.0,point_in_polygon,3.1991,0.3035,0.0,0.631,231,1996-01-26,2010-12-02
usa_NC_0032_0024,1.0,point_in_polygon,3.3678,0.3167,0.0,0.6499,227,1996-01-26,2010-12-02
usa_NC_0032_0025,1.0,point_in_polygon,3.5079,0.3197,0.0,0.6678,230,1996-01-26,2010-12-02
usa_NC_0032_0026,1.0,point_in_polygon,3.4787,0.3205,0.0,0.67,224,1996-01-26,2010-12-02
usa_NC_0032_0027,1.0,point_in_polygon,3.483,0.3193,0.0,0.6788,220,1996-01-26,2010-12-02
usa_NC_0032_0028,1.0,point_in_polygon,3.359,0.2977,0.0,0.6951,216,1996-01-26,2010-12-02
usa_NC_0032_0029,1.0,point_in_polygon,3.3356,0.3039,0.0,0.677,218,1996-01-26,2010-12-02
usa_NC_0032_0030,2.0,point_in_polygon,3.2457,0.3013,0.0,0.6645,217,1996-01-26,2010-12-02
usa_NC_0032_0031,2.0,point_in_polygon,3.3532,0.299,0.0,0.6838,221,1996-01-26,2010-12-02
usa_NC_0032_0032,2.0,point_in_polygon,3.0393,0.2487,0.0,0.717,213,1996-01-26,2010-12-02
usa_NC_0032_0033,2.0,point_in_polygon,3.0205,0.2243,0.0,0.7586,215,1996-01-26,2010-12-02
usa_NC_0032_0034,2.0,point_in_polygon,2.92,0.2058,0.0,0.7638,221,1996-01-26,2010-12-02
usa_NC_0032_0035,2.0,point_in_polygon,2.8604,0.2049,0.0,0.7487,222,1996-01-26,2010-12-02
usa_NC_0032_0036,2.0,point_in_polygon,2.7595,0.2017,0.0,0.7245,225,1996-01-26,2010-12-02
usa_NC_0032_0037,2.0,point_in_polygon,2.6068,0.2003,0.0,0.6858,226,1996-01-26,2010-12-02
usa_NC_0032_0038,2.0,point_in_polygon,2.5187,0.1958,0.0,0.6721,226,1996-01-26,2010-12-02
usa_NC_0032_0039,2.0,point_in_polygon,2.1626,0.1596,0.0,0.6519,227,1996-01-26,2010-12-02
usa_NC_0032_0040,2.0,point_in_polygon,2.1756,0.176,0.0,0.613,231,1996-01-26,2010-12-02
usa_NC_0032_0041,3.0,point_in_polygon,2.1734,0.1859,0.0,0.5896,233,1996-01-26,2010-12-02
usa_NC_0032_0042,3.0,point_in_polygon,2.1194,0.1812,0.0,0.5905,228,1996-01-26,2010-12-02
usa_NC_0032_0043,3.0,point_in_polygon,2.0117,0.1839,0.0,0.5643,221,1996-01-26,2010-12-02
usa_NC_0032_0044,3.0,point_in_polygon,1.8959,0.1721,0.0,0.559,217,1996-01-26,2010-12-02
usa_NC_0032_0045,3.0,point_in_polygon,1.693,0.1497,0.0,0.5556,207,1996-01-26,2010-12-02
usa_NC_0032_0046,3.0,point_in_polygon,1.7689,0.1598,0.0,0.5584,207,1996-01-26,2010-12-02
usa_NC_0032_0047,3.0,point_in_polygon,2.0852,0.2101,0.0,0.5568,207,1996-01-26,2010-12-02
usa_NC_0032_0048,3.0,point_in_polygon,2.2607,0.2149,0.0,0.5835,215,1996-01-26,2010-12-02
usa_NC_0032_0049,3.0,point_in_polygon,2.2697,0.2136,0.0,0.5855,217,1996-01-26,2010-12-02
usa_NC_0032_0050,3.0,point_in_polygon,2.4188,0.221,0.0,0.6076,219,1996-01-26,2010-12-02
usa_NC_0032_0051,4.0,point_in_polygon,2.2733,0.1933,0.0,0.6143,224,1996-01-26,2010-12-02
usa_NC_0032_0052,4.0,point_in_polygon,2.3417,0.2104,0.0,0.607,219,1996-01-26,2010-12-02
usa_NC_0032_0053,4.0,point_in_polygon,2.3483,0.2056,0.0,0.6162,220,1996-01-26,2010-12-02
usa_NC_0032_0054,4.0,point_in_polygon,2.2705,0.1863,0.0,0.6349,219,1996-01-26,2010-12-02
usa_NC_0032_0055,4.0,point_in_polygon,1.9934,0.1608,0.0,0.6009,225,1996-01-26,2010-12-02
usa_NC_0032_0056,4.0,point_in_polygon,1.8876,0.1534,0.0,0.5838,226,1996-01-26,2010-12-02
usa_NC_0032_0057,4.0,point_in_polygon,1.9324,0.1538,0.0,0.5942,228,1996-01-26,2010-12-02
usa_NC_0032_0058,4.0,point_in_polygon,1.917,0.148,0.0,0.6042,227,1996-01-26,2010-12-02
usa_NC_0032_0059,4.0,point_in_polygon,1.7753,0.1287,0.0,0.6068,227,1996-01-26,2010-12-02
usa_NC_0032_0060,4.0,point_in_polygon,1.6458,0.1106,0.0,0.6117,228,1996-01-26,2010-12-02
usa_NC_0032_0061,4.0,point_in_polygon,1.4565,0.0887,5e-06,0.6135,227,1996-01-26,2010-12-02
usa_NC_0032_0062,4.0,point_in_polygon,1.1415,0.0583,0.000217,0.5984,230,1996-01-26,2010-12-02
usa_NC_0032_0063,4.0,point_in_polygon,0.93,0.0438,0.001286,0.5622,234,1996-01-26,2010-12-02
usa_NC_0032_0064,5.0,point_in_polygon,0.5805,0.0184,0.039138,0.5514,231,1996-01-26,2010-12-02
usa_NC_0032_0065,5.0,point_in_polygon,0.4746,0.0136,0.078027,0.5283,230,1996-01-26,2010-12-02
usa_NC_0032_0066,5.0,point_in_polygon,0.3703,0.0077,0.187311,0.5517,226,1996-01-26,2010-12-02
usa_NC_0032_0067,5.0,point_in_polygon,0.2564,0.003,0.409732,0.6117,227,1996-01-26,2010-12-02
usa_NC_0032_0068,5.0,point_in_polygon,0.0654,0.0002,0.84036,0.6395,222,1996-01-26,2010-12-02
usa_NC_0032_0069,5.0,point_in_polygon,-0.0385,0.0001,0.912635,0.6905,222,1996-01-26,2010-12-02
usa_NC_0032_0070,5.0,point_in_polygon,-0.0282,0.0,0.937634,0.7102,220,1996-01-26,2010-12-02
usa_NC_0032_0071,5.0,point_in_polygon,0.0283,0.0,0.938486,0.7217,219,1996-01-26,2010-12-02
usa_NC_0032_0072,5.0,point_in_polygon,-0.1959,0.0013,0.590879,0.7172,221,1996-01-26,2010-12-02
usa_NC_0032_0073,5.0,point_in_polygon,-0.1602,0.001,0.645157,0.6846,221,1996-01-26,2010-12-02
usa_NC_0032_0074,5.0,point_in_polygon,0.0542,0.0001,0.863471,0.6199,225,1996-01-26,2010-12-02
usa_NC_0032_0075,5.0,point_in_polygon,0.1315,0.0008,0.676424,0.62,226,1996-01-26,2010-12-02
usa_NC_0032_0076,5.0,point_in_polygon,-0.2431,0.0034,0.392578,0.5592,219,1996-01-26,2010-12-02
usa_NC_0032_0077,6.0,point_in_polygon,-0.6424,0.0262,0.016498,0.524,219,1996-01-26,2010-12-02
usa_NC_0032_0078,6.0,point_in_polygon,-0.4113,0.0152,0.22448,0.6677,99,1996-01-26,2010-11-24
usa_NC_0032_0079,6.0,point_in_polygon,-1.0173,0.1113,0.0,0.3694,237,1996-01-26,2010-12-02
usa_NC_0032_0080,6.0,point_in_polygon,-1.6894,0.2434,0.0,0.382,238,1996-01-26,2010-12-02
usa_NC_0032_0081,6.0,point_in_polygon,-2.1902,0.318,0.0,0.4105,239,1996-01-26,2010-12-02
usa_NC_0032_0082,6.0,point_in_polygon,-2.1223,0.3003,0.0,0.4182,235,1996-01-26,2010-12-02
usa_NC_0032_0083,7.0,point_in_polygon,-2.3219,0.3447,0.0,0.4215,226,1996-01-26,2010-12-02
usa_NC_0032_0084,7.0,point_in_polygon,-2.1011,0.3236,0.0,0.4083,217,1996-01-26,2010-12-02
usa_NC_0032_0085,7.0,point_in_polygon,-1.9754,0.3047,0.0,0.3938,225,1996-01-26,2010-12-02
usa_NC_0032_0086,7.0,point_in_polygon,-1.8163,0.3042,0.0,0.365,222,1996-01-26,2010-12-02
usa_NC_0032_0088,8.0,point_in_polygon,-1.265,0.1544,0.0,0.3863,230,1996-01-26,2010-12-02
usa_NC_0032_0089,8.0,point_in_polygon,-1.0367,0.1257,0.0,0.356,231,1996-01-26,2010-12-02
usa_NC_0032_0090,8.0,point_in_polygon,-1.2043,0.1852,0.0,0.3296,230,1996-01-26,2010-12-02
usa_NC_0032_0091,8.0,point_in_polygon,-1.1664,0.1609,0.0,0.3468,231,1996-01-26,2010-12-02
usa_NC_0032_0092,8.0,point_in_polygon,-1.0768,0.1416,0.0,0.3452,231,1996-01-26,2010-12-02
usa_NC_0032_0093,8.0,point_in_polygon,-0.9203,0.1032,1e-06,0.3509,234,1996-01-26,2010-12-02
usa_NC_0032_0094,8.0,point_in_polygon,-0.9802,0.1066,0.0,0.3694,231,1996-01-26,2010-12-02
usa_NC_0032_0095,8.0,point_in_polygon,-1.1156,0.1232,0.0,0.391,227,1996-01-26,2010-12-02
usa_NC_0032_0096,9.0,point_in_polygon,-1.2234,0.1625,0.0,0.3625,230,1996-01-26,2010-12-02
usa_NC_0032_0097,9.0,point_in_polygon,-1.3699,0.2001,0.0,0.3631,223,1996-01-26,2010-12-02
usa_NC_0032_0098,9.0,point_in_polygon,-1.3205,0.1985,0.0,0.3533,221,1996-01-26,2010-12-02
usa_NC_0032_0099,9.0,point_in_polygon,-1.2306,0.1733,0.0,0.3579,221,1996-01-26,2010-12-02
usa_NC_0032_0100,9.0,point_in_polygon,-1.2405,0.1444,0.0,0.405,218,1996-01-26,2010-12-02
usa_NC_0032_0101,9.0,point_in_polygon,-1.2281,0.1524,0.0,0.384,223,1996-01-26,2010-12-02
usa_NC_0032_0102,9.0,point_in_polygon,-1.2458,0.1541,0.0,0.3878,222,1996-01-26,2010-12-02
usa_NC_0032_0103,9.0,point_in_polygon,-1.2599,0.1618,0.0,0.3846,218,1996-01-26,2010-12-02
usa_NC_0032_0104,9.0,point_in_polygon,-1.3434,0.1758,0.0,0.3839,225,1996-01-26,2010-12-02
usa_NC_0032_0105,10.0,point_in_polygon,-1.392,0.1781,0.0,0.3964,223,1996-01-26,2010-12-02
usa_NC_0032_0106,10.0,point_in_polygon,-1.3592,0.1634,0.0,0.4078,223,1996-01-26,2010-12-02
usa_NC_0032_0107,10.0,point_in_polygon,-1.1921,0.1333,0.0,0.4003,226,1996-01-26,2010-12-02
usa_NC_0032_0108,10.0,point_in_polygon,-1.1505,0.1166,0.0,0.4151,228,1996-01-26,2010-12-02
usa_NC_0032_0109,10.0,point_in_polygon,-1.3516,0.1819,0.0,0.3774,226,1996-01-26,2010-12-02
usa_NC_0032_0110,10.0,point_in_polygon,-1.545,0.2059,0.0,0.4031,222,1996-01-26,2010-12-02
usa_NC_0032_0111,10.0,point_in_polygon,-1.3327,0.1419,0.0,0.4276,230,1996-01-26,2010-12-02
usa_NC_0032_0112,10.0,point_in_polygon,-1.3487,0.147,0.0,0.4268,227,1996-01-26,2010-12-02
usa_NC_0032_0113,10.0,point_in_polygon,-1.4952,0.18,0.0,0.4221,224,1996-01-26,2010-12-02
usa_NC_0032_0114,10.0,point_in_polygon,-1.4574,0.1767,0.0,0.4151,225,1996-01-26,2010-12-02
usa_NC_0032_0115,11.0,point_in_polygon,-1.4899,0.1791,0.0,0.4298,216,1996-01-26,2010-12-02
usa_NC_0032_0116,11.0,point_in_polygon,-1.9295,0.2903,0.0,0.4196,203,1996-01-26,2010-12-02
usa_NC_0032_0117,11.0,point_in_polygon,-1.9452,0.2984,0.0,0.4181,200,1996-01-26,2010-12-02
usa_NC_0032_0118,11.0,point_in_polygon,-1.9543,0.31,0.0,0.4096,199,1996-01-26,2010-12-02
usa_NC_0032_0119,11.0,point_in_polygon,-1.9654,0.3237,0.0,0.3961,202,1996-01-26,2010-12-02
usa_NC_0032_0120,11.0,point_in_polygon,-1.9742,0.3232,0.0,0.3954,205,1996-01-26,2010-12-02
usa_NC_0032_0121,11.0,point_in_polygon,-1.9784,0.2904,0.0,0.4118,221,1996-01-26,2010-12-02
usa_NC_0032_0122,11.0,point_in_polygon,-1.995,0.2979,0.0,0.4079,221,1996-01-26,2010-12-02
usa_NC_0032_0123,11.0,point_in_polygon,-2.0779,0.3287,0.0,0.3919,225,1996-01-26,2010-12-02
usa_NC_0032_0124,11.0,point_in_polygon,-2.1934,0.36,0.0,0.385,226,1996-01-26,2010-12-02
usa_NC_0032_0125,12.0,point_in_polygon,-2.2591,0.3646,0.0,0.39,229,1996-01-26,2010-12-02
usa_NC_0032_0126,12.0,point_in_polygon,-2.3411,0.3864,0.0,0.3841,231,1996-01-26,2010-12-02
usa_NC_0032_0127,12.0,point_in_polygon,-2.3334,0.4127,0.0,0.3805,210,1996-01-26,2010-12-02
usa_NC_0032_0128,12.0,point_in_polygon,-2.4699,0.4364,0.0,0.3828,211,1996-01-26,2010-12-02
usa_NC_0032_0129,12.0,point_in_polygon,-2.5261,0.4052,0.0,0.4039,225,1996-01-26,2010-12-02
usa_NC_0032_0130,12.0,point_in_polygon,-2.4368,0.3678,0.0,0.4169,230,1996-01-26,2010-12-02
usa_NC_0032_0131,12.0,point_in_polygon,-2.4437,0.3545,0.0,0.4342,226,1996-01-26,2010-12-02
usa_NC_0032_0132,12.0,point_in_polygon,-2.4451,0.333,0.0,0.4557,226,1996-01-26,2010-12-02
usa_NC_0032_0133,12.0,point_in_polygon,-2.3713,0.3118,0.0,0.4681,222,1996-01-26,2010-12-02
usa_NC_0032_0134,12.0,point_in_polygon,-2.2446,0.2866,0.0,0.4772,216,1996-01-26,2010-12-02
usa_NC_0032_0135,13.0,point_in_polygon,-2.2054,0.2822,0.0,0.4728,217,1996-01-26,2010-12-02
usa_NC_0032_0136,13.0,point_in_polygon,-2.2721,0.2828,0.0,0.4887,215,1996-01-26,2010-12-02
usa_NC_0032_0137,13.0,point_in_polygon,-2.3477,0.3036,0.0,0.4779,217,1996-01-26,2010-12-02
usa_NC_0032_0138,13.0,point_in_polygon,-2.2898,0.3345,0.0,0.4362,215,1996-01-26,2010-12-02
usa_NC_0032_0139,13.0,point_in_polygon,-2.3498,0.3339,0.0,0.441,222,1996-01-26,2010-12-02
usa_NC_0032_0140,13.0,point_in_polygon,-2.2346,0.3346,0.0,0.4197,221,1996-01-26,2010-12-02
usa_NC_0032_0141,13.0,point_in_polygon,-2.0301,0.2991,0.0,0.4138,221,1996-01-26,2010-12-02
usa_NC_0032_0142,13.0,point_in_polygon,-1.6852,0.2085,0.0,0.4343,224,1996-01-26,2010-12-02
usa_NC_0032_0143,13.0,point_in_polygon,-1.2916,0.1444,0.0,0.414,226,1996-01-26,2010-12-02
usa_NC_0032_0144,13.0,point_in_polygon,-1.4647,0.1796,0.0,0.4149,223,1996-01-26,2010-12-02
usa_NC_0032_0145,13.0,point_in_polygon,-1.6649,0.2215,0.0,0.4147,222,1996-01-26,2010-12-02
usa_NC_0032_0146,14.0,point_in_polygon,-1.5488,0.1972,0.0,0.4142,223,1996-01-26,2010-12-02
usa_NC_0032_0147,14.0,point_in_polygon,-1.3524,0.1526,0.0,0.4206,225,1996-01-26,2010-12-02
usa_NC_0032_0148,14.0,point_in_polygon,-1.2947,0.1348,0.0,0.4348,223,1996-01-26,2010-12-02
usa_NC_0032_0149,14.0,point_in_polygon,-1.1658,0.104,1e-06,0.4505,226,1996-01-26,2010-12-02
usa_NC_0032_0150,14.0,point_in_polygon,-1.0316,0.0754,2.3e-05,0.4704,231,1996-01-26,2010-12-02
usa_NC_0032_0151,14.0,point_in_polygon,-0.8783,0.0525,0.000458,0.4867,230,1996-01-26,2010-12-02
usa_NC_0032_0152,14.0,point_in_polygon,-0.7499,0.037,0.00369,0.5036,226,1996-01-26,2010-12-02
usa_NC_0032_0153,14.0,point_in_polygon,-0.9323,0.0492,0.000953,0.5485,219,1996-01-26,2010-12-02
usa_NC_0032_0154,14.0,point_in_polygon,-1.0154,0.0541,0.000489,0.5654,221,1996-01-26,2010-12-02
usa_NC_0032_0155,14.0,point_in_polygon,-0.9616,0.0444,0.001665,0.5953,220,1996-01-26,2010-12-02
usa_NC_0032_0156,15.0,point_in_polygon,-0.9609,0.0443,0.001744,0.5974,219,1996-01-26,2010-12-02
usa_NC_0032_0157,15.0,point_in_polygon,-0.5242,0.0156,0.0656,0.5584,218,1996-01-26,2010-12-02
usa_NC_0032_0158,15.0,point_in_polygon,-0.3652,0.0084,0.1804,0.5356,216,1996-01-26,2010-12-02
usa_NC_0032_0159,15.0,point_in_polygon,0.0354,0.0001,0.881231,0.4665,216,1996-01-26,2010-12-02
usa_NC_0032_0160,15.0,point_in_polygon,0.0027,0.0,0.990693,0.4511,215,1996-01-26,2010-12-02
usa_NC_0032_0161,15.0,point_in_polygon,0.2059,0.0039,0.360413,0.4428,218,1996-01-26,2010-12-02
usa_NC_0032_0162,15.0,point_in_polygon,0.4871,0.0235,0.022765,0.4185,221,1996-01-26,2010-12-02
usa_NC_0032_0163,15.0,point_in_polygon,0.5919,0.0337,0.005868,0.4193,224,1996-01-26,2010-12-02
usa_NC_0032_0164,15.0,point_in_polygon,0.6181,0.0396,0.002785,0.4028,224,1996-01-26,2010-12-02
usa_NC_0032_0165,15.0,point_in_polygon,0.7922,0.0668,8.2e-05,0.389,227,1996-01-26,2010-12-02
usa_NC_0032_0166,16.0,point_in_polygon,1.0324,0.1051,0.0,0.393,230,1996-01-26,2010-12-02
usa_NC_0032_0167,16.0,point_in_polygon,1.036,0.1065,0.0,0.3925,229,1996-01-26,2010-12-02
usa_NC_0032_0168,16.0,point_in_polygon,1.233,0.1451,0.0,0.3915,229,1996-01-26,2010-12-02
usa_NC_0032_0169,16.0,point_in_polygon,1.2875,0.1442,0.0,0.4066,233,1996-01-26,2010-12-02
usa_NC_0032_0170,16.0,point_in_polygon,1.3634,0.1478,0.0,0.4262,231,1996-02-11,2010-12-02
usa_NC_0032_0171,16.0,point_in_polygon,1.4891,0.1698,0.0,0.4307,229,1996-02-11,2010-12-02
usa_NC_0032_0172,16.0,point_in_polygon,1.369,0.1416,0.0,0.4459,224,1996-02-11,2010-12-02
usa_NC_0032_0173,16.0,point_in_polygon,1.3088,0.1391,0.0,0.4337,221,1996-02-11,2010-12-02
usa_NC_0032_0174,16.0,point_in_polygon,1.2924,0.13,0.0,0.4452,221,1996-02-11,2010-12-02
usa_NC_0032_0175,16.0,point_in_polygon,1.1828,0.0976,3e-06,0.4845,216,1996-02-11,2010-12-02
usa_NC_0032_0176,17.0,point_in_polygon,1.3029,0.11,1e-06,0.5005,215,1996-02-11,2010-12-02
usa_NC_0032_0177,17.0,point_in_polygon,1.2001,0.092,5e-06,0.5055,218,1996-02-11,2010-12-02
usa_NC_0032_0178,17.0,point_in_polygon,1.2329,0.0863,9e-06,0.5355,220,1996-02-11,2010-12-02
usa_NC_0032_0179,17.0,point_in_polygon,1.2286,0.0835,1.3e-05,0.5435,220,1996-02-11,2010-12-02
usa_NC_0032_0180,17.0,point_in_polygon,1.0524,0.0636,0.000156,0.539,220,1996-01-26,2010-12-02
usa_NC_0032_0181,17.0,point_in_polygon,1.1817,0.0784,2.4e-05,0.5397,221,1996-01-26,2010-12-02
usa_NC_0032_0182,17.0,point_in_polygon,1.2909,0.0961,3e-06,0.5274,221,1996-01-26,2010-12-02
usa_NC_0032_0183,17.0,point_in_polygon,1.3428,0.1108,0.0,0.5031,224,1996-01-26,2010-12-02
usa_NC_0032_0184,17.0,point_in_polygon,1.4252,0.1272,0.0,0.4961,222,1996-01-26,2010-12-02
usa_NC_0032_0185,17.0,point_in_polygon,1.5285,0.1465,0.0,0.488,224,1996-01-26,2010-12-02
usa_NC_0032_0186,18.0,point_in_polygon,1.5474,0.1705,0.0,0.4495,226,1996-01-26,2010-12-02
usa_NC_0032_0187,18.0,point_in_polygon,1.4921,0.1751,0.0,0.4304,222,1996-01-26,2010-12-02
usa_NC_0032_0188,18.0,point_in_polygon,1.539,0.1928,0.0,0.4128,228,1996-01-26,2010-12-02
usa_NC_0032_0189,18.0,point_in_polygon,1.6015,0.1971,0.0,0.4237,228,1996-01-26,2010-12-02
usa_NC_0032_0190,18.0,point_in_polygon,1.6855,0.216,0.0,0.4218,227,1996-01-26,2010-12-02
usa_NC_0032_0191,18.0,point_in_polygon,1.7542,0.2325,0.0,0.4235,222,1996-01-26,2010-12-02
usa_NC_0032_0192,18.0,point_in_polygon,1.8045,0.2342,0.0,0.4336,222,1996-01-26,2010-12-02
usa_NC_0032_0193,18.0,point_in_polygon,1.8398,0.2461,0.0,0.4269,223,1996-01-26,2010-12-02
usa_NC_0032_0194,18.0,point_in_polygon,1.8939,0.2671,0.0,0.4168,222,1996-01-26,2010-12-02
usa_NC_0032_0195,18.0,point_in_polygon,1.8742,0.2648,0.0,0.4159,221,1996-01-26,2010-12-02
usa_NC_0032_0196,19.0,point_in_polygon,1.9197,0.2639,0.0,0.4251,223,1996-01-26,2010-12-02
usa_NC_0032_0197,19.0,point_in_polygon,2.0321,0.2897,0.0,0.4219,223,1996-01-26,2010-12-02
usa_NC_0032_0198,19.0,point_in_polygon,1.7837,0.2554,0.0,0.4056,221,1996-01-26,2010-12-02
usa_NC_0032_0199,19.0,point_in_polygon,1.6985,0.2326,0.0,0.4108,221,1996-01-26,2010-12-02
usa_NC_0032_0200,19.0,point_in_polygon,1.6408,0.2127,0.0,0.4175,224,1996-01-26,2010-12-02
usa_NC_0032_0201,19.0,point_in_polygon,1.5678,0.2137,0.0,0.3942,228,1996-01-26,2010-12-02
usa_NC_0032_0202,19.0,point_in_polygon,1.618,0.2288,0.0,0.3912,226,1996-01-26,2010-12-02
usa_NC_0032_0203,19.0,point_in_polygon,1.3635,0.1869,0.0,0.3736,227,1996-01-26,2010-12-02
usa_NC_0032_0204,19.0,point_in_polygon,1.2314,0.1683,0.0,0.3604,226,1996-01-26,2010-12-02
usa_NC_0032_0205,19.0,point_in_polygon,1.1647,0.1473,0.0,0.3673,228,1996-01-26,2010-12-02
usa_NC_0032_0206,20.0,point_in_polygon,0.8175,0.0741,3.3e-05,0.3804,226,1996-01-26,2010-12-02
usa_NC_0032_0207,20.0,point_in_polygon,0.6171,0.038,0.003044,0.406,229,1996-01-26,2010-12-02
usa_NC_0032_0208,20.0,point_in_polygon,0.4906,0.0222,0.023982,0.4254,229,1996-01-26,2010-12-02
usa_NC_0032_0209,20.0,point_in_polygon,0.1686,0.0025,0.45135,0.4404,230,1996-01-26,2010-12-02
usa_NC_0032_0210,20.0,point_in_polygon,-0.032,0.0001,0.887497,0.4458,225,1996-01-26,2010-12-02
usa_NC_0032_0211,20.0,point_in_polygon,-0.3148,0.0071,0.215567,0.4996,219,1996-01-26,2010-12-02
usa_NC_0032_0212,20.0,point_in_polygon,-0.6086,0.0269,0.014482,0.4866,222,1996-01-26,2010-12-02
usa_NC_0032_0213,20.0,point_in_polygon,-0.7795,0.0398,0.002909,0.5102,221,1996-01-26,2010-12-02
