domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
1.0,9,6.896,6.777,1.492,4.845,9.071,0.0,9
2.0,11,4.05,3.991,0.305,3.705,4.542,0.0,11
3.0,10,3.441,3.436,0.089,3.295,3.61,0.0,10
4.0,13,3.311,3.32,0.162,3.085,3.587,0.0,13
5.0,13,2.411,2.736,0.657,1.28,3.211,0.0,13
6.0,6,-1.13,-1.736,1.576,-2.465,1.626,83.333,6
7.0,4,-0.168,-0.01,0.983,-1.46,0.808,50.0,4
8.0,8,1.573,1.592,0.428,0.939,2.184,0.0,8
9.0,9,2.643,2.644,0.171,2.371,2.921,0.0,9
10.0,10,3.724,3.875,0.337,3.149,4.013,0.0,10
11.0,10,4.048,4.003,0.277,3.635,4.463,0.0,10
12.0,10,3.531,3.654,0.261,3.129,3.824,0.0,10
13.0,11,2.828,2.848,0.135,2.534,3.046,0.0,11
14.0,10,3.603,3.551,0.393,3.002,4.106,0.0,10
15.0,10,3.585,3.75,0.438,2.93,4.097,0.0,10
16.0,10,2.756,2.779,0.132,2.551,2.932,0.0,10
17.0,10,2.981,2.996,0.134,2.732,3.159,0.0,10
18.0,10,3.371,3.365,0.27,3.018,3.782,0.0,10
19.0,10,3.307,3.328,0.094,3.159,3.465,0.0,10
20.0,10,3.223,3.288,0.307,2.602,3.56,0.0,10
21.0,11,1.667,1.755,0.714,0.362,2.459,0.0,11
22.0,10,-0.026,-0.022,0.173,-0.243,0.295,50.0,10
23.0,10,-0.582,-0.575,0.217,-0.909,-0.224,100.0,10
24.0,10,0.705,0.789,0.348,-0.062,1.06,10.0,10
25.0,10,0.442,0.488,0.145,0.212,0.638,0.0,10
26.0,10,0.292,0.334,0.464,-0.422,0.91,30.0,10
27.0,10,-0.587,-0.678,0.272,-0.827,0.086,90.0,10
28.0,10,2.23,2.149,1.185,0.496,3.818,0.0,10
29.0,10,4.642,4.75,0.51,3.944,5.25,0.0,10
30.0,10,4.601,4.802,0.68,3.384,5.252,0.0,10
31.0,11,2.518,2.551,0.293,2.122,3.086,0.0,11
32.0,10,2.255,2.428,0.326,1.778,2.578,0.0,10
33.0,11,2.536,2.336,0.757,1.581,3.77,0.0,11
34.0,10,3.805,3.789,0.09,3.662,3.937,0.0,10
35.0,11,3.464,3.515,0.169,3.203,3.696,0.0,11
36.0,10,2.489,2.642,0.702,1.38,3.222,0.0,10
37.0,11,1.02,1.007,0.155,0.829,1.281,0.0,11
38.0,10,0.962,0.959,0.137,0.786,1.275,0.0,10
39.0,10,1.401,1.422,0.108,1.186,1.562,0.0,10
40.0,10,0.835,0.734,0.237,0.634,1.238,0.0,10
41.0,10,0.774,0.903,0.316,0.26,1.154,0.0,10
42.0,10,0.133,0.116,0.101,0.016,0.315,0.0,10
43.0,10,0.302,0.344,0.207,-0.025,0.562,10.0,10
44.0,10,0.07,0.108,0.203,-0.233,0.315,40.0,10
45.0,10,-0.109,0.081,0.399,-0.721,0.29,50.0,10
46.0,10,-0.994,-0.948,0.341,-1.447,-0.607,100.0,10
47.0,10,-0.037,-0.089,0.21,-0.339,0.363,70.0,10
48.0,10,0.09,0.09,0.14,-0.131,0.33,20.0,10
49.0,10,-0.75,-0.731,0.412,-1.32,-0.122,100.0,10
50.0,10,-1.355,-1.372,0.334,-1.815,-0.916,100.0,10
51.0,10,-1.31,-1.244,0.256,-1.811,-1.006,100.0,10
52.0,10,-1.808,-1.939,0.226,-2.037,-1.418,100.0,10
53.0,10,-1.242,-1.258,0.155,-1.425,-0.989,100.0,10
54.0,10,-1.314,-1.343,0.076,-1.417,-1.192,100.0,10
55.0,10,-1.037,-1.086,0.174,-1.231,-0.773,100.0,10
56.0,11,-0.507,-0.542,0.25,-0.853,-0.042,100.0,11
57.0,10,0.289,0.254,0.191,0.064,0.58,0.0,10
58.0,10,0.617,0.603,0.12,0.418,0.794,0.0,10
59.0,10,0.435,0.444,0.095,0.206,0.533,0.0,10
60.0,10,-0.251,-0.209,0.212,-0.65,0.026,90.0,10
61.0,10,-1.116,-1.216,0.308,-1.509,-0.622,100.0,10
62.0,10,-1.247,-1.602,0.631,-1.775,-0.1,100.0,10
63.0,10,1.441,1.464,0.654,0.236,2.353,0.0,10
64.0,10,2.272,2.227,0.142,2.102,2.488,0.0,10
65.0,10,2.905,2.854,0.495,2.1,3.724,0.0,10
66.0,11,4.799,4.914,0.387,4.012,5.182,0.0,11
67.0,10,3.927,4.097,0.872,2.499,5.071,0.0,10
68.0,10,1.656,1.848,0.46,0.962,2.326,0.0,10
69.0,10,1.51,1.428,0.26,1.141,1.911,0.0,10
70.0,10,1.923,1.926,0.091,1.784,2.034,0.0,10
71.0,10,1.429,1.452,0.223,1.141,1.757,0.0,10
72.0,10,1.752,1.769,0.078,1.6,1.856,0.0,10
73.0,10,0.403,0.394,0.84,-0.807,1.565,40.0,10
74.0,10,-0.882,-0.877,0.119,-1.062,-0.723,100.0,10
75.0,10,0.062,0.424,0.692,-1.127,0.694,40.0,10
76.0,10,-0.619,-0.798,0.536,-1.36,0.316,80.0,10
77.0,10,-2.126,-1.977,0.552,-3.041,-1.53,100.0,10
78.0,10,-3.527,-3.705,0.574,-4.09,-2.369,100.0,10
79.0,10,-0.86,-0.868,0.624,-1.732,0.046,90.0,10
80.0,10,-0.14,-0.099,0.18,-0.455,0.096,80.0,10
81.0,10,-0.16,0.012,0.641,-1.014,0.506,50.0,10
82.0,10,-1.723,-1.764,0.301,-2.054,-1.074,100.0,10
83.0,10,-1.257,-1.291,0.259,-1.635,-0.89,100.0,10
84.0,11,-0.415,-0.342,0.249,-0.894,-0.078,100.0,11
85.0,12,-0.12,-0.14,0.07,-0.21,0.034,91.667,12
86.0,12,0.145,0.147,0.236,-0.162,0.559,33.333,12
87.0,11,0.793,0.71,0.343,0.388,1.322,0.0,11
88.0,10,2.023,2.182,0.433,1.226,2.453,0.0,10
89.0,9,1.766,1.629,0.274,1.497,2.329,0.0,9
90.0,10,1.912,1.993,0.229,1.42,2.145,0.0,10
