domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
1,5,-0.156,19.645,-28.479,24.511,-0.013,1.689,40.0
2,5,-55.325,3.982,-59.649,-50.379,-4.757,0.342,100.0
3,5,-35.694,7.526,-46.052,-25.34,-3.069,0.647,100.0
4,5,-12.282,3.36,-16.502,-8.225,-1.056,0.289,100.0
5,5,4.854,14.751,-17.258,19.312,0.417,1.268,40.0
6,5,-6.277,27.366,-42.505,32.957,-0.54,2.353,80.0
7,5,-27.05,16.303,-52.668,-15.938,-2.326,1.402,100.0
8,5,-12.009,6.942,-20.871,-4.085,-1.033,0.597,100.0
9,5,-25.64,3.253,-30.547,-21.68,-2.205,0.28,100.0
10,5,-33.847,3.235,-38.345,-30.346,-2.91,0.278,100.0
11,5,-56.187,5.494,-62.675,-47.712,-4.831,0.472,100.0
12,5,-69.25,7.185,-77.102,-61.321,-5.954,0.618,100.0
13,5,-60.793,15.464,-75.796,-39.856,-5.227,1.33,100.0
14,5,-30.938,9.228,-45.694,-23.01,-2.66,0.793,100.0
15,5,-16.445,17.261,-33.905,6.299,-1.414,1.484,80.0
16,5,14.13,2.702,9.513,16.581,1.215,0.232,0.0
17,5,-12.401,8.939,-20.586,2.137,-1.066,0.769,80.0
18,5,-8.343,2.882,-12.105,-4.681,-0.717,0.248,100.0
19,5,-6.113,1.25,-7.46,-4.729,-0.526,0.108,100.0
20,5,-6.676,4.642,-10.498,1.082,-0.574,0.399,80.0
21,5,-5.631,6.016,-16.094,-1.41,-0.484,0.517,100.0
22,5,-10.922,7.359,-16.796,0.473,-0.939,0.633,80.0
23,5,-20.953,3.647,-25.653,-17.212,-1.802,0.314,100.0
24,5,-33.996,7.88,-43.961,-22.398,-2.923,0.678,100.0
25,5,-24.096,5.394,-29.854,-17.025,-2.072,0.464,100.0
26,5,-27.999,7.081,-35.787,-17.317,-2.407,0.609,100.0
27,5,-7.93,2.484,-10.771,-4.272,-0.682,0.214,100.0
28,5,-3.46,1.676,-4.943,-1.167,-0.298,0.144,100.0
29,5,1.919,3.133,-3.249,4.535,0.165,0.269,20.0
30,5,27.073,7.687,15.713,37.067,2.328,0.661,0.0
31,5,29.252,5.559,20.298,34.656,2.515,0.478,0.0
32,5,16.97,8.861,3.695,27.621,1.459,0.762,0.0
33,5,12.595,9.806,-2.215,21.424,1.083,0.843,20.0
34,5,3.395,14.525,-10.549,25.739,0.292,1.249,40.0
35,5,-47.686,15.815,-58.079,-19.848,-4.1,1.36,100.0
36,5,-27.111,22.317,-58.859,-2.808,-2.331,1.919,100.0
37,5,-24.88,8.496,-35.624,-13.474,-2.139,0.73,100.0
38,5,-24.258,3.4,-28.977,-19.391,-2.086,0.292,100.0
39,5,-13.873,2.74,-17.873,-10.4,-1.193,0.236,100.0
40,5,-16.89,2.098,-19.125,-14.609,-1.452,0.18,100.0
41,5,-13.511,4.18,-18.109,-7.219,-1.162,0.359,100.0
42,5,-10.077,10.437,-17.922,8.021,-0.866,0.897,80.0
43,5,3.992,7.215,-7.182,10.825,0.343,0.62,20.0
44,5,-1.593,0.467,-2.282,-1.148,-0.137,0.04,100.0
45,5,-1.496,4.099,-3.896,5.779,-0.129,0.352,80.0
46,5,2.543,5.179,-2.719,9.585,0.219,0.445,40.0
47,5,-7.64,1.661,-9.191,-5.005,-0.657,0.143,100.0
48,5,-19.041,7.059,-26.215,-10.55,-1.637,0.607,100.0
49,5,-11.01,6.682,-21.45,-5.07,-0.947,0.575,100.0
50,5,-22.362,9.648,-33.936,-9.103,-1.923,0.83,100.0
51,5,-33.58,8.302,-39.995,-19.471,-2.887,0.714,100.0
52,5,-25.413,2.782,-29.365,-22.368,-2.185,0.239,100.0
53,5,-21.427,2.619,-24.366,-17.351,-1.842,0.225,100.0
54,5,-3.808,4.172,-9.268,0.436,-0.327,0.359,60.0
55,5,-11.462,1.512,-13.29,-9.852,-0.985,0.13,100.0
56,5,-5.626,2.712,-9.442,-1.86,-0.484,0.233,100.0
57,5,-6.189,7.587,-12.819,6.209,-0.532,0.652,80.0
