transect_id,domain_number,line_id,position_1997_m,position_2009_m,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr
dune_12,1,12,8241.367,8216.856,24.511,2.1075,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_13,1,13,8220.764,8211.681,9.083,0.781,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_14,1,14,8200.161,8199.098,1.063,0.0914,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_15,1,15,8179.558,8186.516,-6.958,-0.5982,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_16,1,16,8149.71,8178.189,-28.479,-2.4487,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_17,2,17,8114.524,8167.377,-52.853,-4.5444,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_18,2,18,8090.386,8150.035,-59.649,-5.1288,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_19,2,19,8073.659,8132.694,-59.035,-5.0759,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_20,2,20,8060.645,8115.352,-54.707,-4.7038,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_21,2,21,8047.632,8098.011,-50.379,-4.3317,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_22,3,22,8034.618,8080.669,-46.052,-3.9596,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_23,3,23,8026.054,8064.523,-38.469,-3.3076,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_24,3,24,8013.93,8048.75,-34.821,-2.994,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_25,3,25,7998.02,8031.809,-33.788,-2.9052,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_26,3,26,7980.348,8005.688,-25.34,-2.1788,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_27,4,27,7957.897,7974.399,-16.502,-1.4188,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_28,4,28,7937.05,7947.611,-10.561,-0.9081,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_29,4,29,7916.983,7931.875,-14.892,-1.2804,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_30,4,30,7890.198,7901.427,-11.229,-0.9655,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_31,4,31,7862.784,7871.009,-8.225,-0.7072,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
