domain,dsas_1978_1997,coastsat_1978_1997,difference_1978_1997,coastsat_archived_1978_1997,dsas_1997_2019,coastsat_1997_2019,difference_1997_2019,coastsat_archived_1997_2019
1,-4.99,-3.689,1.301,-0.586,,0.377,,-2.507
2,-2.834,-4.353,-1.519,-4.353,,1.723,,1.723
3,-3.68,-5.625,-1.945,-5.625,,2.099,,2.099
4,-2.972,-6.92,-3.948,-6.92,,1.152,,1.152
5,-1.428,-7.009,-5.581,-7.009,,0.01,,0.01
6,-0.033,-2.728,-2.695,-2.728,,-1.68,,-1.68
7,0.56,-3.029,-3.589,-3.029,,-1.818,,-1.818
8,-0.082,-2.319,-2.237,-2.352,-2.06,-0.973,1.087,-1.053
9,-0.922,-2.62,-1.698,-2.62,-1.6,-0.832,0.768,-0.832
10,-1.518,-2.865,-1.347,-2.865,-1.515,-0.37,1.145,-0.37
11,-0.966,-2.205,-1.239,-2.205,-1.438,-0.269,1.169,-0.269
12,-0.802,-1.677,-0.875,-1.677,-1.074,-0.593,0.481,-0.593
13,-0.526,-1.137,-0.611,-1.137,-0.552,-0.677,-0.124,-0.677
14,0.15,0.27,0.12,0.27,-0.622,-0.215,0.407,-0.215
15,-0.092,0.273,0.365,0.273,0.14,0.291,0.151,0.291
16,-0.24,0.325,0.565,0.325,0.896,-0.076,-0.972,-0.076
17,0.142,-0.558,-0.7,-0.558,1.268,0.217,-1.051,0.217
18,0.778,-1.317,-2.095,-1.317,0.554,0.736,0.182,0.736
19,1.212,-2.014,-3.226,-2.014,0.728,1.043,0.315,1.043
20,2.518,-0.935,-3.453,-0.935,-1.394,0.39,1.784,0.39
21,2.522,1.023,-1.499,1.023,-1.396,-0.831,0.565,-0.831
22,2.396,0.472,-1.924,0.472,-3.342,-1.516,1.826,-1.516
23,2.604,-0.583,-3.187,-0.583,-4.188,-3.083,1.105,-3.083
24,1.63,-0.717,-2.347,-0.717,-4.814,-4.057,0.757,-4.057
25,1.59,0.005,-1.585,0.005,-4.772,-3.872,0.901,-3.872
26,-0.276,-0.279,-0.003,-0.279,-3.142,-2.631,0.511,-2.631
27,-0.378,-1.624,-1.246,-1.561,-0.306,-0.239,0.067,-0.332
28,0.332,-1.894,-2.226,-1.894,0.414,1.428,1.014,1.428
29,1.128,-0.985,-2.113,-0.985,1.948,2.071,0.123,2.071
30,2.322,1.957,-0.365,1.957,2.688,2.743,0.055,2.743
31,3.452,3.117,-0.335,3.117,2.278,2.666,0.388,2.666
32,4.394,3.229,-1.165,3.229,0.364,0.743,0.379,0.743
33,3.516,2.674,-0.842,2.674,-0.414,0.849,1.263,0.849
34,1.822,2.704,0.882,2.704,-0.138,1.16,1.298,1.16
35,1.368,0.38,-0.988,0.38,-0.025,-0.324,-0.299,-0.324
36,1.08,-0.998,-2.078,-0.998,-0.49,-1.01,-0.52,-1.01
37,0.602,-0.536,-1.138,-0.536,-0.54,-0.943,-0.403,-0.943
38,1.098,-1.461,-2.559,-1.461,-0.865,-0.478,0.387,-0.478
39,-0.132,-1.788,-1.656,-1.788,-0.056,-0.379,-0.323,-0.379
40,0.912,-0.911,-1.823,-0.911,-0.644,0.185,0.829,0.185
41,1.982,-1.102,-3.084,-1.08,-1.104,0.401,1.505,0.411
42,1.4,-2.306,-3.706,-2.306,-1.762,0.156,1.918,0.156
43,0.754,-2.8,-3.554,-2.8,-0.132,-0.088,0.044,-0.088
44,-0.288,-2.409,-2.121,-2.409,-0.81,0.063,0.873,0.063
45,-0.04,-1.604,-1.564,-1.604,-0.83,-0.797,0.033,-0.797
46,0.78,0.927,0.147,0.927,-2.32,-1.396,0.924,-1.396
47,0.836,1.145,0.309,1.145,-2.096,-1.392,0.704,-1.392
48,0.292,-1.304,-1.596,-1.304,-1.338,-0.52,0.818,-0.52
49,-0.172,-3.025,-2.853,-3.025,-1.13,-0.191,0.939,-0.191
50,-0.93,-1.819,-0.889,-1.819,-0.942,-0.301,0.641,-0.301
51,-0.266,-0.91,-0.644,-0.91,-1.346,-0.471,0.875,-0.471
52,0.912,-0.912,-1.824,-0.912,-1.842,-0.777,1.065,-0.777
53,0.04,-1.327,-1.367,-1.327,-1.484,-0.96,0.524,-0.96
54,-0.686,-1.584,-0.898,-1.584,-1.454,-0.768,0.686,-0.768
55,-0.784,-1.764,-0.98,-1.764,-0.662,-0.242,0.42,-0.242
56,-0.704,-2.373,-1.669,-2.373,0.448,-0.196,-0.644,-0.196
57,0.618,-1.301,-1.919,-1.301,-0.886,-0.218,0.668,-0.218
58,2.242,-0.871,-3.113,-0.871,-1.698,-0.079,1.619,-0.079
59,1.558,-0.368,-1.926,-0.368,-1.16,-0.335,0.825,-0.335
60,2.492,1.045,-1.447,1.045,-1.562,-1.058,0.504,-1.058
61,2.906,1.757,-1.149,1.739,-1.96,-1.609,0.351,-1.612
62,4.12,1.843,-2.277,1.843,-3.03,-1.908,1.122,-1.908
63,4.852,0.628,-4.224,0.628,-2.14,-1.847,0.293,-1.847
64,5.034,-0.337,-5.371,-0.337,-0.644,-1.177,-0.533,-1.177
65,5.018,-0.714,-5.732,-0.714,-0.918,-0.603,0.315,-0.603
66,3.524,-1.313,-4.837,-1.313,0.258,0.993,0.735,0.993
67,1.034,-0.938,-1.972,-0.938,1.896,2.412,0.516,2.412
68,1.522,0.374,-1.148,0.374,2.126,2.349,0.223,2.349
69,2.486,1.15,-1.336,1.128,-0.396,1.258,1.654,1.212
70,2.482,0.117,-2.365,0.117,-0.724,0.385,1.109,0.385
71,0.81,-1.823,-2.633,-1.823,-0.544,0.202,0.746,0.202
