dune_vintage,gis,beach_width_m,min_m,max_m,n_transects
1997,1,62.98,42.48,87.15,9
1997,2,0.74,-11.70,31.05,11
1997,3,3.41,-6.32,7.92,10
1997,4,5.02,-3.64,10.27,13
1997,5,22.62,-0.46,61.91,13
1997,6,39.63,28.35,71.58,6
1997,7,24.85,19.07,28.14,4
1997,8,17.32,7.95,30.38,8
1997,9,18.48,14.45,23.74,9
1997,10,16.32,10.73,21.04,10
1997,11,11.43,5.36,19.71,10
1997,12,11.16,8.16,14.52,10
1997,13,14.98,9.88,20.20,11
1997,14,35.69,23.52,41.59,10
1997,15,39.91,31.71,45.31,10
1997,16,44.20,37.84,48.27,10
1997,17,32.97,25.59,43.05,10
1997,18,29.57,24.06,34.01,10
1997,19,37.81,33.96,41.98,10
1997,20,50.32,44.11,58.32,10
1997,21,45.43,36.10,56.51,11
1997,22,32.70,30.31,38.49,10
1997,23,35.04,32.16,38.49,10
1997,24,29.12,21.24,36.76,10
1997,25,26.86,18.46,30.28,10
1997,26,23.80,18.76,29.61,10
1997,27,21.25,16.77,28.56,10
1997,28,34.39,19.52,51.38,10
1997,29,44.10,40.00,49.70,10
1997,30,57.58,52.84,64.98,10
1997,31,64.72,54.59,75.13,11
1997,32,92.79,80.87,101.80,10
1997,33,90.15,71.19,106.61,11
1997,34,63.23,36.40,85.61,10
1997,35,19.20,7.71,32.49,11
1997,36,34.57,9.40,50.46,10
1997,37,29.72,24.34,44.60,11
1997,38,27.65,16.72,35.54,10
1997,39,23.74,13.64,32.42,10
1997,40,34.52,23.71,47.06,10
1997,41,46.53,35.54,59.74,10
1997,42,31.34,20.53,49.05,10
1997,43,28.85,16.64,48.26,10
1997,44,19.24,16.45,21.61,10
1997,45,32.64,22.76,43.01,10
1997,46,40.00,34.15,45.90,10
1997,47,34.84,32.09,39.73,10
1997,48,29.56,22.83,37.81,10
1997,49,34.18,28.13,41.69,10
1997,50,21.16,11.33,30.17,10
1997,51,23.90,20.57,30.09,10
1997,52,28.94,22.93,34.10,10
1997,53,30.16,27.21,34.35,10
1997,54,26.00,17.24,29.66,10
1997,55,11.48,6.54,17.49,10
1997,56,20.75,5.37,62.70,11
1997,57,53.56,45.92,63.29,10
1997,58,52.92,46.90,59.85,10
1997,59,33.60,25.44,48.81,10
1997,60,41.41,33.75,48.87,10
1997,61,54.66,44.09,63.32,10
1997,62,62.78,52.71,72.32,10
1997,63,32.61,22.73,47.47,10
1997,64,39.82,30.39,51.31,10
1997,65,52.78,44.61,67.44,10
1997,66,61.51,41.83,84.39,11
1997,67,37.59,27.50,52.61,10
1997,68,29.15,21.53,40.39,10
1997,69,49.81,45.99,52.92,10
1997,70,48.57,44.66,54.82,10
1997,71,30.37,18.59,43.09,10
1997,72,23.71,17.97,31.55,10
1997,73,43.84,32.80,54.65,10
1997,74,49.27,46.21,51.18,10
1997,75,46.59,42.36,50.91,10
1997,76,40.15,21.63,49.93,10
1997,77,8.00,1.98,15.24,10
1997,78,12.76,5.59,27.41,10
1997,79,49.08,25.91,73.59,10
1997,80,63.73,43.40,82.62,10
1997,81,33.49,14.95,65.18,10
1997,82,22.24,15.71,30.97,10
1997,83,18.99,16.09,21.44,10
1997,84,17.41,7.46,30.03,11
1997,85,27.06,23.39,31.11,12
1997,86,28.33,25.47,32.08,12
1997,87,26.76,17.63,33.30,11
1997,88,24.40,17.42,34.76,10
1997,89,17.60,11.46,21.00,9
1997,90,23.40,18.31,28.04,10
2009,1,82.87,76.65,89.94,9
2009,2,78.77,70.12,91.17,11
2009,3,71.65,67.18,77.57,10
2009,4,58.87,50.03,67.00,13
2009,5,31.29,21.32,48.11,13
2009,6,31.78,17.10,44.78,6
2009,7,21.53,8.95,44.13,4
2009,8,18.47,9.14,25.38,8
2009,9,24.98,19.09,33.45,9
