dune_vintage,gis,dune_to_road_m,min_m,max_m,n_transects
1997,1,,,,0
1997,2,,,,0
1997,3,,,,0
1997,4,,,,0
1997,5,,,,0
1997,6,,,,0
1997,7,,,,0
1997,8,118.51,82.57,154.45,2
1997,9,63.08,54.17,69.28,5
1997,10,45.94,40.13,52.84,5
1997,11,27.66,23.73,34.33,5
1997,12,40.16,27.62,50.96,5
1997,13,62.79,55.08,71.15,5
1997,14,77.73,74.09,83.74,5
1997,15,89.54,85.80,92.26,5
1997,16,77.80,69.36,87.45,5
1997,17,112.80,93.75,129.92,5
1997,18,142.11,135.31,148.16,5
1997,19,151.87,139.83,160.78,5
1997,20,106.34,98.62,123.21,5
1997,21,143.94,115.58,168.13,5
1997,22,215.62,181.26,244.10,5
1997,23,255.61,250.90,259.71,5
1997,24,238.83,228.23,245.63,5
1997,25,225.46,218.10,232.28,5
1997,26,253.36,243.50,261.42,5
1997,27,292.03,267.18,307.57,5
1997,28,294.37,281.61,304.40,5
1997,29,290.86,289.32,293.52,5
1997,30,277.69,270.57,287.39,5
1997,31,263.70,253.86,275.80,5
1997,32,242.31,230.85,262.38,5
1997,33,291.35,268.80,325.70,5
1997,34,354.54,326.52,386.72,5
1997,35,415.73,397.31,422.81,5
1997,36,387.47,363.71,416.56,5
1997,37,367.19,358.63,371.90,5
1997,38,322.77,297.46,345.50,5
1997,39,264.37,252.88,285.71,5
1997,40,244.44,238.54,252.22,5
1997,41,222.58,213.73,233.35,5
1997,42,207.42,185.80,218.56,5
1997,43,191.36,183.71,194.98,5
1997,44,182.22,179.69,185.35,5
1997,45,173.27,167.10,178.51,5
1997,46,164.28,162.21,166.59,5
1997,47,169.70,168.34,172.35,5
1997,48,167.38,158.91,175.33,5
1997,49,154.71,151.36,157.53,5
1997,50,163.11,150.01,175.66,5
1997,51,177.97,175.35,180.54,5
1997,52,189.69,183.53,192.70,5
1997,53,182.97,176.98,185.93,5
1997,54,175.35,172.79,180.37,5
1997,55,196.25,188.50,200.57,5
1997,56,203.65,198.99,209.08,5
1997,57,220.25,190.02,234.55,5
1997,58,260.30,242.32,275.56,5
1997,59,295.10,277.79,304.84,5
1997,60,330.98,310.58,346.17,5
1997,61,352.18,349.18,354.21,5
1997,62,369.35,348.07,387.82,5
1997,63,401.11,395.48,405.46,5
1997,64,394.20,388.33,399.40,5
1997,65,398.44,386.31,411.70,5
1997,66,409.87,391.63,423.18,5
1997,67,452.41,426.91,489.77,5
1997,68,583.89,526.16,614.47,5
1997,69,587.07,563.14,605.40,5
1997,70,492.40,443.49,539.28,5
1997,71,450.58,426.37,484.04,5
1997,72,521.32,498.33,547.85,5
1997,73,572.54,557.13,595.62,5
1997,74,614.14,602.05,625.52,5
1997,75,557.54,538.24,585.33,5
1997,76,553.35,539.56,573.52,5
1997,77,571.09,565.94,580.81,5
1997,78,563.77,550.76,568.74,5
1997,79,553.24,540.03,566.22,5
1997,80,528.71,493.32,567.54,5
1997,81,414.26,315.11,486.11,5
1997,82,184.63,142.20,262.92,5
1997,83,102.61,78.23,129.73,5
1997,84,28.97,-12.75,68.19,5
1997,85,11.45,-20.62,41.75,5
1997,86,10.84,-6.40,29.93,5
1997,87,87.67,45.60,123.73,5
1997,88,181.99,144.81,207.67,5
1997,89,201.87,194.48,208.23,5
1997,90,185.27,176.04,192.70,5
2009,1,,,,0
2009,2,,,,0
2009,3,,,,0
2009,4,,,,0
2009,5,,,,0
2009,6,,,,0
2009,7,,,,0
2009,8,106.03,78.48,133.58,2
2009,9,51.12,46.10,60.20,5
2009,10,59.20,56.99,60.16,5
2009,11,49.49,42.30,54.45,5
2009,12,40.40,37.24,44.85,5
2009,13,54.34,40.96,72.77,5
2009,14,72.67,65.84,77.83,5
2009,15,75.41,65.49,88.21,5
2009,16,90.22,81.69,103.18,5
2009,17,99.45,94.12,108.50,5
2009,18,133.28,122.71,143.48,5
2009,19,146.85,136.41,154.10,5
2009,20,101.88,90.28,119.92,5
2009,21,139.97,115.50,167.71,5
2009,22,205.02,182.61,227.30,5
2009,23,234.66,232.66,236.81,5
2009,24,204.33,190.53,220.59,5
2009,25,200.60,198.22,201.75,5
2009,26,224.64,206.60,243.82,5
2009,27,284.09,259.37,303.30,5
2009,28,290.91,280.44,300.17,5
2009,29,292.78,286.61,295.57,5
2009,30,304.77,303.02,307.63,5
2009,31,292.95,283.60,304.02,5
2009,32,259.28,249.86,267.98,5
2009,33,303.94,266.58,338.72,5
2009,34,357.93,342.57,376.18,5
2009,35,368.04,364.55,377.46,5
2009,36,360.36,357.70,361.51,5
2009,37,342.31,323.01,357.07,5
2009,38,298.51,273.39,321.39,5
2009,39,250.50,239.95,267.84,5
2009,40,227.55,219.75,237.28,5
2009,41,209.07,206.51,215.24,5
2009,42,197.35,193.07,204.44,5
2009,43,194.75,183.96,200.26,5
2009,44,179.84,177.63,182.91,5
2009,45,170.71,166.17,174.91,5
2009,46,166.67,164.09,170.90,5
2009,47,162.21,160.12,164.24,5
2009,48,148.34,141.04,159.45,5
2009,49,143.70,133.70,148.93,5
2009,50,140.74,136.34,147.10,5
2009,51,144.39,138.08,155.88,5
2009,52,164.27,160.16,166.82,5
2009,53,161.54,159.63,164.78,5
2009,54,171.55,164.69,176.54,5
2009,55,184.79,178.64,190.44,5
2009,56,198.03,194.73,203.16,5
2009,57,214.06,196.23,224.16,5
2009,58,249.85,229.62,266.65,5
2009,59,285.21,269.07,295.50,5
2009,60,329.26,312.03,342.16,5
2009,61,363.33,349.28,371.90,5
2009,62,378.00,370.99,386.33,5
2009,63,388.25,385.87,392.14,5
2009,64,388.74,385.43,391.72,5
2009,65,394.34,384.96,406.33,5
2009,66,404.93,398.96,412.79,5
2009,67,446.48,413.99,482.64,5
2009,68,586.65,518.55,624.04,5
2009,69,597.76,562.78,620.78,5
2009,70,488.18,442.19,537.22,5
2009,71,446.78,426.90,476.93,5
2009,72,518.12,491.14,546.72,5
2009,73,579.94,557.55,597.88,5
2009,74,630.03,610.50,645.86,5
2009,75,571.59,547.95,602.84,5
