window,domain_number,shoreline_change_m,dune_change_m,beach_width_change_m,same_sign,n_coastsat_transects,n_dune_transects
1996_2024,1,73.64,14.522,59.118,True,9,5
1996_2024,2,54.86,-36.86,91.72,False,11,5
1996_2024,3,60.525,-13.153,73.678,False,10,5
1996_2024,4,74.565,7.132,67.433,True,13,5
1996_2024,5,47.169,10.11,37.059,True,13,5
1996_2024,6,-35.831,-36.613,0.782,True,6,5
1996_2024,7,-32.513,-65.874,33.361,True,4,5
1996_2024,8,-1.326,-51.757,50.431,True,8,5
1996_2024,9,0.835,-37.421,38.256,False,9,5
1996_2024,10,9.677,-40.522,50.199,False,10,5
1996_2024,11,3.698,-43.223,46.921,False,10,5
1996_2024,12,7.959,-46.537,54.496,False,10,5
1996_2024,13,11.293,-41.629,52.922,False,11,5
1996_2024,14,24.077,-12.647,36.724,False,10,5
1996_2024,15,32.214,3.13,29.084,True,10,5
1996_2024,16,39.811,13.163,26.648,True,10,5
1996_2024,17,42.128,9.712,32.416,True,10,5
1996_2024,18,50.047,12.967,37.08,True,10,5
1996_2024,19,51.254,26.865,24.389,True,10,5
1996_2024,20,33.581,22.278,11.303,True,10,5
1996_2024,21,0.612,1.634,-1.022,True,11,5
1996_2024,22,-22.713,-35.339,12.626,True,10,5
1996_2024,23,-42.313,-65.696,23.383,True,10,5
1996_2024,24,-40.543,-73.337,32.794,True,10,5
1996_2024,25,-40.903,-66.919,26.016,True,10,5
1996_2024,26,-22.495,-40.78,18.285,True,10,5
1996_2024,27,14.103,-5.956,20.059,False,10,5
1996_2024,28,68.098,29.791,38.307,True,10,5
1996_2024,29,91.837,39.549,52.288,True,10,5
1996_2024,30,82.504,48.508,33.996,True,10,5
1996_2024,31,69.351,54.589,14.762,True,11,5
1996_2024,32,37.606,54.16,-16.554,True,10,5
1996_2024,33,24.862,43.007,-18.145,True,11,5
1996_2024,34,34.455,16.713,17.742,True,10,5
1996_2024,35,11.5,-39.526,51.026,False,11,5
1996_2024,36,2.777,-19.359,22.136,False,10,5
1996_2024,37,-0.359,-22.721,22.362,True,11,5
1996_2024,38,-2.391,-17.471,15.08,True,10,5
1996_2024,39,5.203,-14.649,19.852,False,10,5
1996_2024,40,3.856,-26.896,30.752,False,10,5
1996_2024,41,6.355,-11.779,18.134,False,10,5
1996_2024,42,17.237,-5.008,22.245,False,10,5
1996_2024,43,13.664,-3.602,17.266,False,10,5
1996_2024,44,11.715,-3.203,14.918,False,10,5
1996_2024,45,-8.358,-4.505,-3.853,True,10,5
1996_2024,46,-19.997,-10.683,-9.314,True,10,5
1996_2024,47,-26.588,-24.957,-1.631,True,10,5
1996_2024,48,-14.723,-17.797,3.074,True,10,5
1996_2024,49,-5.856,-6.797,0.941,True,10,5
1996_2024,50,0.748,-19.884,20.632,False,10,5
1996_2024,51,-12.424,-30.351,17.927,True,10,5
1996_2024,52,-21.644,-38.706,17.062,True,10,5
1996_2024,53,-29.176,-38.237,9.061,True,10,5
1996_2024,54,-15.769,-24.811,9.042,True,10,5
1996_2024,55,-1.909,-34.057,32.148,True,10,5
1996_2024,56,8.609,-9.01,17.619,False,11,5
1996_2024,57,-14.634,1.546,-16.18,False,10,5
1996_2024,58,-16.211,-9.718,-6.493,True,10,5
1996_2024,59,1.89,-5.469,7.359,False,10,5
1996_2024,60,-14.218,-5.285,-8.933,True,10,5
1996_2024,61,-28.527,-4.503,-24.024,True,10,5
1996_2024,62,-35.279,-13.112,-22.167,True,10,5
1996_2024,63,-12.75,-29.226,16.476,True,10,5
1996_2024,64,-4.37,-10.688,6.318,True,10,5
1996_2024,65,11.508,2.58,8.928,True,10,5
1996_2024,66,42.533,16.435,26.098,True,11,5
1996_2024,67,67.525,24.45,43.075,True,10,5
1996_2024,68,63.371,27.165,36.206,True,10,5
1996_2024,69,34.333,24.315,10.018,True,10,5
1996_2024,70,9.804,12.19,-2.386,True,10,5
1996_2024,71,21.305,2.578,18.727,True,10,5
1996_2024,72,39.247,17.783,21.464,True,10,5
1996_2024,73,31.928,36.96,-5.032,True,10,5
1996_2024,74,22.398,25.999,-3.601,True,10,5
1996_2024,75,-1.208,-2.65,1.442,True,10,5
1996_2024,76,-53.764,-43.965,-9.799,True,10,5
1996_2024,77,-65.253,-79.613,14.36,True,10,5
1996_2024,78,-69.413,-90.43,21.017,True,10,5
1996_2024,79,-47.171,-39.467,-7.704,True,10,5
1996_2024,80,-70.301,-45.377,-24.924,True,10,5
1996_2024,81,-64.227,-59.145,-5.082,True,10,5
1996_2024,82,-40.795,-48.591,7.796,True,10,5
1996_2024,83,-56.854,-70.302,13.448,True,10,5
1996_2024,84,-58.311,-79.329,21.018,True,11,5
1996_2024,85,-37.341,-48.922,11.581,True,12,5
1996_2024,86,-29.121,-44.43,15.309,True,12,5
1996_2024,87,-8.035,-42.403,34.368,True,11,5
1996_2024,88,24.064,-19.536,43.6,False,10,5
1996_2024,89,34.661,-4.577,39.238,False,9,5
1996_2024,90,51.108,2.857,48.251,True,10,5
1996_2010,1,24.17,-0.156,24.326,False,9,5
1996_2010,2,24.769,-55.325,80.094,False,11,5
1996_2010,3,31.836,-35.694,67.53,False,10,5
1996_2010,4,41.274,-12.282,53.556,False,13,5
1996_2010,5,12.589,4.854,7.735,True,13,5
1996_2010,6,-17.703,-6.277,-11.426,True,6,5
1996_2010,7,-27.867,-27.05,-0.817,True,4,5
1996_2010,8,-11.394,-12.009,0.615,True,8,5
