domain_number,lrr_interval_yr,dune_interval_yr,n_coastsat_transects,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,n_dune_transects,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m
1,14.0,14.086,9,2.843,39.807,40.052,5,14.678,1.042,25.129,25.374
2,14.0,14.086,11,2.527,35.379,35.597,5,18.465,1.311,16.914,17.132
3,14.0,14.086,10,2.464,34.492,34.704,5,22.541,1.6,11.951,12.163
4,14.0,14.086,13,1.919,26.871,27.036,5,19.414,1.378,7.457,7.622
5,14.0,14.086,13,0.821,11.488,11.559,5,5.255,0.373,6.233,6.304
6,14.0,14.086,6,-1.388,-19.434,-19.554,5,-30.336,-2.154,10.902,10.782
7,14.0,14.086,4,-1.314,-18.394,-18.507,5,-38.824,-2.756,20.43,20.317
8,14.0,14.086,8,-0.324,-4.53,-4.558,5,-39.748,-2.822,35.218,35.19
9,14.0,14.086,9,0.137,1.92,1.932,5,-11.782,-0.836,13.702,13.714
10,14.0,14.086,10,0.714,10.0,10.061,5,-6.676,-0.474,16.676,16.737
11,14.0,14.086,10,0.792,11.081,11.15,5,12.964,0.92,-1.883,-1.814
12,14.0,14.086,10,0.617,8.637,8.69,5,22.712,1.612,-14.075,-14.022
13,14.0,14.086,11,0.564,7.896,7.945,5,19.164,1.36,-11.268,-11.219
14,14.0,14.086,10,1.057,14.797,14.888,5,18.292,1.299,-3.495,-3.404
15,14.0,14.086,10,1.252,17.532,17.64,5,19.575,1.39,-2.043,-1.935
16,14.0,14.086,10,1.033,14.467,14.556,5,-0.967,-0.069,15.434,15.523
17,14.0,14.086,10,1.308,18.306,18.419,5,22.114,1.57,-3.808,-3.695
18,14.0,14.086,10,1.678,23.489,23.634,5,21.31,1.513,2.179,2.324
19,14.0,14.086,10,1.833,25.668,25.826,5,32.978,2.341,-7.31,-7.152
20,14.0,14.086,10,1.197,16.761,16.864,5,28.954,2.055,-12.193,-12.09
21,14.0,14.086,11,-0.043,-0.603,-0.606,5,7.266,0.516,-7.869,-7.872
22,14.0,14.086,10,-0.843,-11.798,-11.87,5,-24.416,-1.733,12.618,12.546
23,14.0,14.086,10,-1.863,-26.084,-26.245,5,-44.744,-3.176,18.66,18.499
24,14.0,14.086,10,-2.273,-31.818,-32.014,5,-39.341,-2.793,7.523,7.327
25,14.0,14.086,10,-2.477,-34.677,-34.891,5,-42.823,-3.04,8.146,7.932
26,14.0,14.086,10,-1.547,-21.655,-21.788,5,-12.782,-0.907,-8.873,-9.006
27,14.0,14.086,10,0.007,0.095,0.096,5,1.974,0.14,-1.879,-1.878
28,14.0,14.086,10,1.902,26.632,26.796,5,33.251,2.361,-6.619,-6.455
29,14.0,14.086,10,2.921,40.896,41.148,5,37.63,2.671,3.266,3.518
30,14.0,14.086,10,3.173,44.423,44.697,5,21.435,1.522,22.988,23.262
31,14.0,14.086,11,2.595,36.327,36.551,5,25.337,1.799,10.99,11.214
32,14.0,14.086,10,1.48,20.725,20.852,5,37.19,2.64,-16.465,-16.338
33,14.0,14.086,11,1.353,18.949,19.065,5,30.413,2.159,-11.464,-11.348
34,14.0,14.086,10,1.816,25.42,25.576,5,13.318,0.945,12.102,12.258
35,14.0,14.086,11,0.6,8.398,8.45,5,8.16,0.579,0.238,0.29
36,14.0,14.086,10,0.006,0.083,0.083,5,7.752,0.55,-7.669,-7.669
37,14.0,14.086,11,-0.121,-1.689,-1.699,5,2.159,0.153,-3.848,-3.858
38,14.0,14.086,10,0.129,1.803,1.814,5,6.786,0.482,-4.983,-4.972
39,14.0,14.086,10,0.205,2.867,2.885,5,-0.776,-0.055,3.643,3.661
40,14.0,14.086,10,0.334,4.678,4.706,5,-10.006,-0.71,14.684,14.712
41,14.0,14.086,10,0.611,8.554,8.607,5,1.732,0.123,6.822,6.875
42,14.0,14.086,10,0.393,5.497,5.53,5,5.069,0.36,0.428,0.461
43,14.0,14.086,10,0.19,2.661,2.677,5,-7.594,-0.539,10.255,10.271
44,14.0,14.086,10,0.061,0.854,0.859,5,-1.61,-0.114,2.464,2.469
45,14.0,14.086,10,-0.504,-7.053,-7.096,5,-3.009,-0.214,-4.044,-4.087
46,14.0,14.086,10,-1.094,-15.31,-15.404,5,-13.226,-0.939,-2.084,-2.178
47,14.0,14.086,10,-1.028,-14.395,-14.483,5,-17.317,-1.229,2.922,2.834
48,14.0,14.086,10,-0.401,-5.612,-5.646,5,1.244,0.088,-6.856,-6.89
49,14.0,14.086,10,-0.293,-4.097,-4.122,5,4.213,0.299,-8.31,-8.335
50,14.0,14.086,10,-0.591,-8.279,-8.33,5,2.478,0.176,-10.757,-10.808
51,14.0,14.086,10,-0.663,-9.282,-9.339,5,3.229,0.229,-12.511,-12.568
52,14.0,14.086,10,-0.896,-12.544,-12.621,5,-13.293,-0.944,0.749,0.672
53,14.0,14.086,10,-0.987,-13.814,-13.899,5,-16.81,-1.193,2.996,2.911
54,14.0,14.086,10,-0.853,-11.94,-12.013,5,-21.004,-1.491,9.064,8.991
55,14.0,14.086,10,-0.449,-6.285,-6.323,5,-22.596,-1.604,16.311,16.273
56,14.0,14.086,11,-0.205,-2.875,-2.893,5,-3.384,-0.24,0.509,0.491
57,14.0,14.086,10,-0.004,-0.06,-0.06,5,7.735,0.549,-7.795,-7.795
58,14.0,14.086,10,0.314,4.395,4.422,5,0.729,0.052,3.666,3.693
59,14.0,14.086,10,0.247,3.458,3.48,5,4.421,0.314,-0.963,-0.941
60,14.0,14.086,10,-0.562,-7.862,-7.91,5,-3.571,-0.254,-4.291,-4.339
61,14.0,14.086,10,-1.299,-18.182,-18.294,5,-15.65,-1.111,-2.532,-2.644
62,14.0,14.086,10,-1.546,-21.638,-21.771,5,-21.765,-1.545,0.127,-0.006
63,14.0,14.086,10,-0.816,-11.428,-11.498,5,-16.37,-1.162,4.942,4.872
64,14.0,14.086,10,-0.161,-2.249,-2.263,5,-5.223,-0.371,2.974,2.96
65,14.0,14.086,10,0.478,6.688,6.729,5,6.68,0.474,0.008,0.049
66,14.0,14.086,11,2.142,29.986,30.171,5,21.382,1.518,8.604,8.789
67,14.0,14.086,10,2.771,38.795,39.034,5,30.379,2.157,8.416,8.655
68,14.0,14.086,10,2.263,31.682,31.877,5,24.403,1.732,7.279,7.474
69,14.0,14.086,10,1.529,21.408,21.54,5,13.63,0.968,7.778,7.91
70,14.0,14.086,10,0.842,11.79,11.863,5,16.41,1.165,-4.62,-4.547
71,14.0,14.086,10,0.687,9.624,9.683,5,6.378,0.453,3.246,3.305
72,14.0,14.086,10,1.018,14.256,14.344,5,20.983,1.49,-6.727,-6.639
73,14.0,14.086,10,1.056,14.788,14.879,5,29.56,2.099,-14.772,-14.681
74,14.0,14.086,10,0.39,5.457,5.491,5,10.116,0.718,-4.659,-4.625
75,14.0,14.086,10,-0.937,-13.12,-13.201,5,-16.704,-1.186,3.584,3.503
76,14.0,14.086,10,-1.954,-27.362,-27.531,5,-21.164,-1.502,-6.198,-6.367
77,14.0,14.086,10,-1.734,-24.27,-24.42,5,-22.295,-1.583,-1.975,-2.125
78,14.0,14.086,10,-1.936,-27.102,-27.269,5,-31.684,-2.249,4.582,4.415
79,14.0,14.086,10,-1.62,-22.681,-22.821,5,-15.731,-1.117,-6.95,-7.09
80,14.0,14.086,10,-2.516,-35.225,-35.442,5,-16.581,-1.177,-18.644,-18.861
81,14.0,14.086,10,-1.883,-26.358,-26.521,5,2.138,0.152,-28.496,-28.659
82,14.0,14.086,10,-1.489,-20.849,-20.977,5,-1.134,-0.081,-19.715,-19.843
83,14.0,14.086,10,-2.126,-29.763,-29.946,5,-35.456,-2.517,5.693,5.51
84,14.0,14.086,11,-1.587,-22.218,-22.355,5,-22.138,-1.572,-0.08,-0.217
85,14.0,14.086,12,-1.038,-14.539,-14.628,5,4.355,0.309,-18.894,-18.983
86,14.0,14.086,12,-0.544,-7.611,-7.658,5,9.193,0.653,-16.804,-16.851
87,14.0,14.086,11,0.032,0.445,0.447,5,4.241,0.301,-3.796,-3.794
88,14.0,14.086,10,1.004,14.057,14.144,5,15.005,1.065,-0.948,-0.861
89,14.0,14.086,9,1.182,16.552,16.653,5,18.938,1.344,-2.386,-2.285
90,14.0,14.086,10,1.194,16.719,16.822,5,15.932,1.131,0.787,0.89
