domain_number,lrr_interval_yr,dune_interval_yr,n_coastsat_transects,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,n_dune_transects,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m
1,14.0,14.086,9,6.896,96.545,97.139,5,14.678,1.042,81.867,82.461
2,14.0,14.086,11,4.05,56.694,57.043,5,18.465,1.311,38.229,38.578
3,14.0,14.086,10,3.441,48.173,48.469,5,22.541,1.6,25.632,25.928
4,14.0,14.086,13,3.311,46.35,46.636,5,19.414,1.378,26.936,27.222
5,14.0,14.086,13,2.411,33.75,33.957,5,5.255,0.373,28.495,28.702
6,14.0,14.086,6,-1.13,-15.825,-15.923,5,-30.336,-2.154,14.511,14.413
7,14.0,14.086,4,-0.168,-2.351,-2.365,5,-38.824,-2.756,36.473,36.459
8,14.0,14.086,8,1.573,22.024,22.16,5,-39.748,-2.822,61.772,61.908
9,14.0,14.086,9,2.643,36.998,37.226,5,-11.782,-0.836,48.78,49.008
10,14.0,14.086,10,3.724,52.137,52.458,5,-6.676,-0.474,58.813,59.134
11,14.0,14.086,10,4.048,56.67,57.019,5,12.964,0.92,43.706,44.055
12,14.0,14.086,10,3.531,49.434,49.739,5,22.712,1.612,26.722,27.027
13,14.0,14.086,11,2.828,39.596,39.84,5,19.164,1.36,20.432,20.676
14,14.0,14.086,10,3.603,50.446,50.756,5,18.292,1.299,32.154,32.464
15,14.0,14.086,10,3.585,50.194,50.503,5,19.575,1.39,30.619,30.928
16,14.0,14.086,10,2.756,38.587,38.825,5,-0.967,-0.069,39.554,39.792
17,14.0,14.086,10,2.981,41.735,41.992,5,22.114,1.57,19.621,19.878
18,14.0,14.086,10,3.371,47.194,47.485,5,21.31,1.513,25.884,26.175
19,14.0,14.086,10,3.307,46.302,46.587,5,32.978,2.341,13.324,13.609
20,14.0,14.086,10,3.223,45.123,45.401,5,28.954,2.055,16.169,16.447
21,14.0,14.086,11,1.667,23.341,23.485,5,7.266,0.516,16.075,16.219
22,14.0,14.086,10,-0.026,-0.366,-0.369,5,-24.416,-1.733,24.05,24.047
23,14.0,14.086,10,-0.582,-8.154,-8.204,5,-44.744,-3.176,36.59,36.54
24,14.0,14.086,10,0.705,9.867,9.928,5,-39.341,-2.793,49.208,49.269
25,14.0,14.086,10,0.442,6.193,6.231,5,-42.823,-3.04,49.016,49.054
26,14.0,14.086,10,0.292,4.084,4.11,5,-12.782,-0.907,16.866,16.892
27,14.0,14.086,10,-0.587,-8.224,-8.275,5,1.974,0.14,-10.198,-10.249
28,14.0,14.086,10,2.23,31.227,31.419,5,33.251,2.361,-2.024,-1.832
29,14.0,14.086,10,4.642,64.994,65.394,5,37.63,2.671,27.364,27.764
30,14.0,14.086,10,4.601,64.418,64.815,5,21.435,1.522,42.983,43.38
31,14.0,14.086,11,2.518,35.25,35.467,5,25.337,1.799,9.913,10.13
32,14.0,14.086,10,2.255,31.567,31.761,5,37.19,2.64,-5.623,-5.429
33,14.0,14.086,11,2.536,35.511,35.729,5,30.413,2.159,5.098,5.316
34,14.0,14.086,10,3.805,53.276,53.604,5,13.318,0.945,39.958,40.286
35,14.0,14.086,11,3.464,48.5,48.798,5,8.16,0.579,40.34,40.638
36,14.0,14.086,10,2.489,34.848,35.063,5,7.752,0.55,27.096,27.311
37,14.0,14.086,11,1.02,14.283,14.371,5,2.159,0.153,12.124,12.212
38,14.0,14.086,10,0.962,13.463,13.546,5,6.786,0.482,6.677,6.76
39,14.0,14.086,10,1.401,19.61,19.73,5,-0.776,-0.055,20.386,20.506
40,14.0,14.086,10,0.835,11.692,11.764,5,-10.006,-0.71,21.698,21.77
41,14.0,14.086,10,0.774,10.831,10.898,5,1.732,0.123,9.099,9.166
42,14.0,14.086,10,0.133,1.863,1.875,5,5.069,0.36,-3.206,-3.194
43,14.0,14.086,10,0.302,4.23,4.256,5,-7.594,-0.539,11.824,11.85
44,14.0,14.086,10,0.07,0.977,0.983,5,-1.61,-0.114,2.587,2.593
45,14.0,14.086,10,-0.109,-1.529,-1.538,5,-3.009,-0.214,1.48,1.471
