window,domain_number,lrr_interval_yr,dune_interval_yr,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m,n_coastsat_transects,n_dune_transects
1996_2024,1,28.0,25.717,2.843,79.613,73.121,14.522,0.565,65.091,58.599,9,5
1996_2024,2,28.0,25.717,2.527,70.758,64.987,-36.86,-1.433,107.618,101.847,11,5
1996_2024,3,28.0,25.717,2.464,68.983,63.357,-13.153,-0.511,82.136,76.51,10,5
1996_2024,4,28.0,25.717,1.919,53.742,49.359,7.132,0.277,46.61,42.227,13,5
1996_2024,5,28.0,25.717,0.821,22.977,21.103,10.11,0.393,12.867,10.993,13,5
1996_2024,6,28.0,25.717,-1.388,-38.868,-35.698,-36.613,-1.424,-2.255,0.915,6,5
1996_2024,7,28.0,25.717,-1.314,-36.787,-33.787,-65.874,-2.562,29.087,32.087,4,5
1996_2024,8,28.0,25.717,-0.324,-9.06,-8.321,-51.757,-2.013,42.697,43.436,8,5
1996_2024,9,28.0,25.717,0.137,3.84,3.527,-37.421,-1.455,41.261,40.948,9,5
1996_2024,10,28.0,25.717,0.714,20.0,18.369,-40.522,-1.576,60.522,58.891,10,5
1996_2024,11,28.0,25.717,0.792,22.163,20.355,-43.223,-1.681,65.386,63.578,10,5
1996_2024,12,28.0,25.717,0.617,17.275,15.866,-46.537,-1.81,63.812,62.403,10,5
1996_2024,13,28.0,25.717,0.564,15.792,14.504,-41.629,-1.619,57.421,56.133,11,5
1996_2024,14,28.0,25.717,1.057,29.594,27.18,-12.647,-0.492,42.241,39.827,10,5
1996_2024,15,28.0,25.717,1.252,35.065,32.205,3.13,0.122,31.935,29.075,10,5
1996_2024,16,28.0,25.717,1.033,28.935,26.575,13.163,0.512,15.772,13.412,10,5
1996_2024,17,28.0,25.717,1.308,36.612,33.626,9.712,0.378,26.9,23.914,10,5
1996_2024,18,28.0,25.717,1.678,46.979,43.148,12.967,0.504,34.012,30.181,10,5
1996_2024,19,28.0,25.717,1.833,51.337,47.15,26.865,1.045,24.472,20.285,10,5
1996_2024,20,28.0,25.717,1.197,33.522,30.788,22.278,0.866,11.244,8.51,10,5
1996_2024,21,28.0,25.717,-0.043,-1.205,-1.107,1.634,0.064,-2.839,-2.741,11,5
1996_2024,22,28.0,25.717,-0.843,-23.595,-21.671,-35.339,-1.374,11.744,13.668,10,5
1996_2024,23,28.0,25.717,-1.863,-52.169,-47.914,-65.696,-2.555,13.527,17.782,10,5
1996_2024,24,28.0,25.717,-2.273,-63.636,-58.446,-73.337,-2.852,9.701,14.891,10,5
1996_2024,25,28.0,25.717,-2.477,-69.354,-63.698,-66.919,-2.602,-2.435,3.221,10,5
1996_2024,26,28.0,25.717,-1.547,-43.309,-39.777,-40.78,-1.586,-2.529,1.003,10,5
1996_2024,27,28.0,25.717,0.007,0.19,0.175,-5.956,-0.232,6.146,6.131,10,5
1996_2024,28,28.0,25.717,1.902,53.264,48.92,29.791,1.158,23.473,19.129,10,5
1996_2024,29,28.0,25.717,2.921,81.792,75.122,39.549,1.538,42.243,35.573,10,5
1996_2024,30,28.0,25.717,3.173,88.847,81.601,48.508,1.886,40.339,33.093,10,5
1996_2024,31,28.0,25.717,2.595,72.655,66.73,54.589,2.123,18.066,12.141,11,5
1996_2024,32,28.0,25.717,1.48,41.449,38.069,54.16,2.106,-12.711,-16.091,10,5
1996_2024,33,28.0,25.717,1.353,37.897,34.807,43.007,1.672,-5.11,-8.2,11,5
1996_2024,34,28.0,25.717,1.816,50.84,46.694,16.713,0.65,34.127,29.981,10,5
1996_2024,35,28.0,25.717,0.6,16.796,15.426,-39.526,-1.537,56.322,54.952,11,5
1996_2024,36,28.0,25.717,0.006,0.166,0.152,-19.359,-0.753,19.525,19.511,10,5
1996_2024,37,28.0,25.717,-0.121,-3.377,-3.102,-22.721,-0.884,19.344,19.619,11,5
1996_2024,38,28.0,25.717,0.129,3.606,3.312,-17.471,-0.679,21.077,20.783,10,5
1996_2024,39,28.0,25.717,0.205,5.735,5.267,-14.649,-0.57,20.384,19.916,10,5
1996_2024,40,28.0,25.717,0.334,9.355,8.592,-26.896,-1.046,36.251,35.488,10,5
1996_2024,41,28.0,25.717,0.611,17.108,15.713,-11.779,-0.458,28.887,27.492,10,5
1996_2024,42,28.0,25.717,0.393,10.993,10.097,-5.008,-0.195,16.001,15.105,10,5
