domain_number,position_1997_m,position_2009_m,position_2023_m,change_1997_2009_m,change_2009_2023_m,change_1997_2023_m
1,8198.31,8198.47,8183.79,-0.16,14.68,14.52
2,8077.37,8132.69,8114.23,-55.32,18.46,-36.86
3,8010.59,8046.29,8023.75,-35.69,22.54,-13.15
4,7912.98,7925.26,7905.85,-12.28,19.41,7.13
5,7773.93,7769.07,7763.82,4.85,5.26,10.11
6,7517.63,7523.91,7554.25,-6.28,-30.34,-36.61
7,7419.94,7446.99,7485.82,-27.05,-38.82,-65.87
8,7366.99,7379.0,7418.75,-12.01,-39.75,-51.76
9,7302.43,7328.07,7339.85,-25.64,-11.78,-37.42
10,7231.26,7265.1,7271.78,-33.85,-6.68,-40.52
11,7147.4,7203.59,7190.62,-56.19,12.96,-43.22
12,7070.18,7139.43,7116.72,-69.25,22.71,-46.54
13,6987.69,7048.48,7029.32,-60.79,19.16,-41.63
14,6912.05,6942.98,6924.69,-30.94,18.29,-12.65
15,6833.91,6850.36,6830.78,-16.45,19.58,3.13
16,6752.52,6738.39,6739.35,14.13,-0.97,13.16
17,6653.1,6665.51,6643.39,-12.4,22.11,9.71
18,6561.54,6569.88,6548.57,-8.34,21.31,12.97
19,6481.0,6487.12,6454.14,-6.11,32.98,26.86
20,6394.91,6401.59,6372.63,-6.68,28.95,22.28
21,6283.61,6289.24,6281.97,-5.63,7.27,1.63
22,6150.72,6161.64,6186.06,-10.92,-24.42,-35.34
23,6028.44,6049.39,6094.13,-20.95,-44.74,-65.7
24,5910.09,5944.09,5983.43,-34.0,-39.34,-73.34
25,5814.92,5839.02,5881.84,-24.1,-42.82,-66.92
26,5727.09,5755.08,5767.87,-28.0,-12.78,-40.78
27,5642.39,5650.32,5648.35,-7.93,1.97,-5.96
28,5546.9,5550.36,5517.11,-3.46,33.25,29.79
29,5434.82,5432.9,5395.27,1.92,37.63,39.55
30,5332.79,5305.71,5284.28,27.07,21.44,48.51
31,5219.06,5189.81,5164.47,29.25,25.34,54.59
32,5096.08,5079.11,5041.92,16.97,37.19,54.16
33,4950.58,4937.99,4907.58,12.59,30.41,43.01
34,4794.27,4790.87,4777.55,3.39,13.32,16.71
35,4620.63,4668.32,4660.16,-47.69,8.16,-39.53
36,4533.97,4561.08,4553.33,-27.11,7.75,-19.36
37,4438.96,4463.84,4461.68,-24.88,2.16,-22.72
38,4367.68,4391.94,4385.16,-24.26,6.79,-17.47
39,4321.78,4335.66,4336.43,-13.87,-0.78,-14.65
40,4292.03,4308.92,4318.92,-16.89,-10.01,-26.9
41,4274.08,4287.59,4285.86,-13.51,1.73,-11.78
42,4249.55,4259.63,4254.56,-10.08,5.07,-5.01
43,4229.87,4225.88,4233.47,3.99,-7.59,-3.6
44,4205.8,4207.39,4209.01,-1.59,-1.61,-3.2
45,4180.97,4182.46,4185.47,-1.5,-3.01,-4.5
46,4155.9,4153.36,4166.58,2.54,-13.23,-10.68
47,4116.85,4124.49,4141.81,-7.64,-17.32,-24.96
48,4086.48,4105.52,4104.27,-19.04,1.24,-17.8
49,4066.42,4077.43,4073.21,-11.01,4.21,-6.8
50,4025.14,4047.5,4045.02,-22.36,2.48,-19.88
51,3976.91,4010.49,4007.26,-33.58,3.23,-30.35
52,3931.9,3957.31,3970.6,-25.41,-13.29,-38.71
53,3889.04,3910.47,3927.28,-21.43,-16.81,-38.24
54,3842.26,3846.07,3867.07,-3.81,-21.0,-24.81
55,3766.75,3778.21,3800.81,-11.46,-22.6,-34.06
56,3704.63,3710.25,3713.64,-5.63,-3.38,-9.01
57,3633.89,3640.08,3632.35,-6.19,7.74,1.55
58,3539.33,3549.78,3549.05,-10.45,0.73,-9.72
59,3450.22,3460.11,3455.69,-9.89,4.42,-5.47
60,3359.33,3361.05,3364.62,-1.71,-3.57,-5.29
61,3263.93,3252.78,3268.43,11.15,-15.65,-4.5
62,3143.66,3135.0,3156.77,8.65,-21.77,-13.11
63,3027.17,3040.03,3056.4,-12.86,-16.37,-29.23
64,2948.64,2954.1,2959.33,-5.47,-5.22,-10.69
65,2858.64,2862.74,2856.06,-4.1,6.68,2.58
66,2761.6,2766.55,2745.17,-4.95,21.38,16.43
67,2644.39,2650.31,2619.94,-5.93,30.38,24.45
68,2533.52,2530.76,2506.36,2.76,24.4,27.17
69,2432.03,2421.34,2407.71,10.68,13.63,24.32
70,2334.21,2338.43,2322.02,-4.22,16.41,12.19
71,2243.96,2247.76,2241.38,-3.8,6.38,2.58
72,2176.08,2179.28,2158.3,-3.2,20.98,17.78
73,2131.58,2124.18,2094.62,7.4,29.56,36.96
74,2080.66,2064.77,2054.66,15.88,10.12,26.0
75,2037.66,2023.61,2040.31,14.05,-16.7,-2.65
76,1981.27,2004.07,2025.23,-22.8,-21.16,-43.96
77,1953.2,2010.52,2032.81,-57.32,-22.3,-79.61
78,1957.12,2015.87,2047.55,-58.75,-31.68,-90.43
79,2018.07,2041.81,2057.54,-23.74,-15.73,-39.47
80,2073.11,2101.91,2118.49,-28.8,-16.58,-45.38
81,2108.58,2169.87,2167.73,-61.28,2.14,-59.15
82,2197.44,2244.9,2246.03,-47.46,-1.13,-48.59
83,2264.15,2298.99,2334.45,-34.85,-35.46,-70.3
84,2336.94,2394.13,2416.27,-57.19,-22.14,-79.33
85,2428.15,2481.43,2477.07,-53.28,4.35,-48.92
86,2500.27,2553.89,2544.7,-53.62,9.19,-44.43
87,2574.0,2620.64,2616.4,-46.64,4.24,-42.4
88,2644.1,2678.64,2663.63,-34.54,15.0,-19.54
89,2714.45,2737.96,2719.03,-23.52,18.94,-4.58
90,2797.49,2810.56,2794.63,-13.07,15.93,2.86
