domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
1.0,29,-0.586,-0.86,2.947,-4.962,5.345,68.966,98
2.0,11,-4.353,-4.244,0.208,-4.744,-4.143,100.0,11
3.0,10,-5.625,-5.71,0.402,-6.074,-4.837,100.0,10
4.0,13,-6.92,-6.842,0.423,-7.55,-6.283,100.0,13
5.0,13,-7.009,-7.022,0.567,-7.696,-5.666,100.0,13
6.0,6,-2.728,-2.297,1.427,-5.588,-1.766,100.0,6
7.0,4,-3.029,-3.062,0.136,-3.155,-2.836,100.0,4
8.0,9,-2.352,-2.391,0.181,-2.622,-2.086,100.0,9
9.0,9,-2.62,-2.675,0.163,-2.83,-2.283,100.0,9
10.0,10,-2.865,-2.842,0.165,-3.092,-2.565,100.0,10
11.0,10,-2.205,-2.222,0.246,-2.634,-1.747,100.0,10
12.0,10,-1.677,-1.709,0.409,-2.185,-0.994,100.0,10
13.0,11,-1.137,-1.144,0.131,-1.318,-0.965,100.0,11
14.0,10,0.27,0.366,0.529,-0.773,0.813,20.0,10
15.0,10,0.273,0.268,0.232,-0.108,0.819,10.0,10
16.0,10,0.325,0.37,0.297,-0.219,0.74,20.0,10
17.0,10,-0.558,-0.513,0.277,-1.075,-0.05,100.0,10
18.0,10,-1.317,-1.309,0.15,-1.604,-1.136,100.0,10
19.0,10,-2.014,-2.052,0.127,-2.176,-1.739,100.0,10
20.0,10,-0.935,-0.907,1.028,-2.223,0.457,80.0,10
21.0,11,1.023,1.064,0.109,0.746,1.136,0.0,11
22.0,10,0.472,0.588,0.321,-0.082,0.807,20.0,10
23.0,10,-0.583,-0.678,0.256,-0.884,-0.252,100.0,10
24.0,10,-0.717,-0.777,0.173,-0.912,-0.355,100.0,10
25.0,10,0.005,0.048,0.275,-0.435,0.334,50.0,10
26.0,10,-0.279,-0.166,0.476,-1.041,0.265,60.0,10
27.0,11,-1.561,-1.435,0.421,-2.226,-0.935,100.0,11
28.0,10,-1.894,-1.897,0.081,-2.03,-1.759,100.0,10
29.0,10,-0.985,-1.388,1.201,-2.204,1.054,70.0,10
30.0,10,1.957,1.915,0.428,1.34,2.653,0.0,10
31.0,11,3.117,3.207,0.274,2.653,3.426,0.0,11
32.0,10,3.229,3.206,0.281,2.868,3.664,0.0,10
33.0,11,2.674,2.523,0.51,2.078,3.459,0.0,11
34.0,10,2.704,2.653,0.693,1.624,3.513,0.0,10
35.0,11,0.38,0.338,0.851,-0.955,1.601,36.364,11
36.0,10,-0.998,-1.04,0.225,-1.263,-0.467,100.0,10
37.0,11,-0.536,-0.545,0.091,-0.697,-0.346,100.0,11
38.0,10,-1.461,-1.36,0.673,-2.389,-0.633,100.0,10
39.0,10,-1.788,-1.796,0.327,-2.15,-1.207,100.0,10
40.0,10,-0.911,-0.882,0.142,-1.109,-0.681,100.0,10
41.0,11,-1.08,-1.076,0.184,-1.526,-0.854,100.0,11
42.0,10,-2.306,-2.358,0.291,-2.756,-1.825,100.0,10
43.0,10,-2.8,-2.776,0.105,-3.0,-2.669,100.0,10
44.0,10,-2.409,-2.556,0.435,-3.039,-1.747,100.0,10
45.0,10,-1.604,-1.635,0.216,-1.82,-1.09,100.0,10
46.0,10,0.927,0.926,1.091,-0.658,2.353,30.0,10
47.0,10,1.145,1.141,0.607,0.228,1.894,0.0,10
48.0,10,-1.304,-1.309,0.821,-2.699,-0.005,100.0,10
49.0,10,-3.025,-3.048,0.081,-3.129,-2.85,100.0,10
50.0,10,-1.819,-1.864,0.576,-2.767,-1.071,100.0,10
51.0,10,-0.91,-0.956,0.22,-1.141,-0.514,100.0,10
52.0,10,-0.912,-1.08,0.379,-1.311,-0.292,100.0,10
53.0,10,-1.327,-1.337,0.187,-1.624,-1.049,100.0,10
54.0,10,-1.584,-1.599,0.114,-1.757,-1.41,100.0,10
55.0,10,-1.764,-1.774,0.125,-1.968,-1.528,100.0,10
56.0,11,-2.373,-2.422,0.222,-2.692,-1.911,100.0,11
57.0,10,-1.301,-1.19,0.328,-1.932,-0.962,100.0,10
58.0,10,-0.871,-0.857,0.151,-1.142,-0.642,100.0,10
59.0,10,-0.368,-0.527,0.341,-0.677,0.271,80.0,10
60.0,10,1.045,1.051,0.27,0.524,1.349,0.0,10
61.0,11,1.739,1.664,0.165,1.557,2.025,0.0,11
62.0,10,1.843,1.858,0.318,1.263,2.267,0.0,10
63.0,10,0.628,0.714,0.332,0.118,1.082,0.0,10
64.0,10,-0.337,-0.302,0.311,-0.717,0.011,80.0,10
65.0,10,-0.714,-0.716,0.151,-1.007,-0.48,100.0,10
66.0,11,-1.313,-1.434,0.41,-1.72,-0.415,100.0,11
67.0,10,-0.938,-0.98,0.458,-1.536,-0.075,100.0,10
68.0,10,0.374,0.236,0.378,-0.1,0.844,20.0,10
69.0,11,1.128,1.064,0.205,0.902,1.521,0.0,11
70.0,10,0.117,0.1,0.479,-0.572,0.827,40.0,10
71.0,10,-1.823,-1.826,0.535,-2.523,-1.024,100.0,10
72.0,10,-3.33,-3.389,0.621,-4.202,-2.401,100.0,10
73.0,11,-3.76,-3.898,0.77,-4.671,-2.394,100.0,11
74.0,10,-1.192,-1.418,0.831,-2.126,0.456,90.0,10
75.0,10,2.956,3.002,1.285,0.899,4.863,0.0,10
76.0,10,5.839,6.024,0.708,4.355,6.549,0.0,10
77.0,10,-0.236,-0.308,2.483,-3.651,3.488,50.0,10
78.0,10,-6.001,-6.323,1.167,-7.217,-4.093,100.0,10
79.0,10,-6.351,-6.214,0.506,-7.075,-5.736,100.0,10
