transect_id,domain_number,match_method,lrr_m_yr,r_squared,p_value,unc_m_yr,n_obs,start_date,end_date
dune_12,1.0,duneline_transect,7.119,0.9074,0.1969,2.2747,3,1984-09-19,2004-05-25
dune_13,1.0,duneline_transect,4.0535,0.7291,0.3485,2.4708,3,1984-09-19,2004-05-25
dune_14,1.0,duneline_transect,3.0792,0.567,0.4572,2.6911,3,1984-09-19,2004-05-25
dune_15,1.0,duneline_transect,2.5116,0.7007,0.3685,1.6416,3,1984-09-19,2004-05-25
dune_16,1.0,duneline_transect,1.6656,0.9176,0.1853,0.4991,3,1984-09-19,2004-05-25
dune_17,2.0,duneline_transect,0.2166,0.2832,0.6428,0.3445,3,1984-09-19,2004-05-25
dune_18,2.0,duneline_transect,-0.8009,0.8267,0.2733,0.3666,3,1984-09-19,2004-05-25
dune_19,2.0,duneline_transect,-1.4566,0.9953,0.0438,0.1004,3,1984-09-19,2004-05-25
dune_20,2.0,duneline_transect,-1.9371,0.9892,0.0661,0.202,3,1984-09-19,2004-05-25
dune_21,2.0,duneline_transect,-2.4617,0.9654,0.1192,0.4663,3,1984-09-19,2004-05-25
dune_22,3.0,duneline_transect,-2.3464,0.9578,0.1317,0.4925,3,1984-09-19,2004-05-25
dune_23,3.0,duneline_transect,-1.5382,0.9004,0.2044,0.5116,3,1984-09-19,2004-05-25
dune_24,3.0,duneline_transect,-1.9042,0.847,0.2559,0.8095,3,1984-09-19,2004-05-25
dune_25,3.0,duneline_transect,-2.031,0.7847,0.3072,1.0639,3,1984-09-19,2004-05-25
dune_26,3.0,duneline_transect,-1.8716,0.7346,0.3445,1.1249,3,1984-09-19,2004-05-25
dune_27,4.0,duneline_transect,-1.6393,0.7654,0.3219,0.9075,3,1984-09-19,2004-05-25
dune_28,4.0,duneline_transect,-1.3459,0.7157,0.358,0.8483,3,1984-09-19,2004-05-25
dune_29,4.0,duneline_transect,-1.0648,0.603,0.4339,0.8639,3,1984-09-19,2004-05-25
dune_30,4.0,duneline_transect,-0.7438,0.4352,0.5414,0.8473,3,1984-09-19,2004-05-25
dune_31,4.0,duneline_transect,-0.9653,0.4476,0.5334,1.0723,3,1984-09-19,2004-05-25
dune_32,5.0,duneline_transect,-1.3909,0.3988,0.5649,1.7079,3,1984-09-19,2004-05-25
dune_33,5.0,duneline_transect,-1.329,0.2809,0.6444,2.1265,3,1984-09-19,2004-05-25
dune_34,5.0,duneline_transect,-1.695,0.263,0.6572,2.8378,3,1984-09-19,2004-05-25
dune_35,5.0,duneline_transect,-1.6907,0.2188,0.6902,3.195,3,1984-09-19,2004-05-25
dune_36,5.0,duneline_transect,-0.9737,0.0646,0.8365,3.7067,3,1984-09-19,2004-05-25
dune_37,6.0,duneline_transect,-0.7662,0.0313,0.8867,4.2613,3,1984-09-19,2004-05-25
dune_38,6.0,duneline_transect,1.1392,0.4211,0.5504,1.3357,3,1984-09-19,2004-05-25
dune_39,6.0,duneline_transect,1.0542,0.3131,0.622,1.5615,3,1984-09-19,2004-05-25
dune_40,6.0,duneline_transect,0.8495,0.4545,0.529,0.9307,3,1984-09-19,2004-05-25
dune_41,6.0,duneline_transect,0.2017,0.0939,0.8017,0.6265,3,1984-09-19,2004-05-25
dune_42,7.0,duneline_transect,0.2036,0.1695,0.7299,0.4507,3,1984-09-19,2004-05-25
dune_43,7.0,duneline_transect,0.1308,0.0262,0.8965,0.7976,3,1984-09-19,2004-05-25
dune_44,7.0,duneline_transect,0.2277,0.1234,0.7715,0.607,3,1984-09-19,2004-05-25
dune_45,7.0,duneline_transect,0.5635,0.6467,0.4052,0.4165,3,1984-09-19,2004-05-25
dune_46,7.0,duneline_transect,1.1164,0.9969,0.0355,0.0624,3,1984-09-19,2004-05-25
dune_47,8.0,duneline_transect,1.463,0.9294,0.1712,0.4032,3,1984-09-19,2004-05-25
dune_48,8.0,duneline_transect,1.3242,0.9128,0.1908,0.4091,3,1984-09-19,2004-05-25
dune_49,8.0,duneline_transect,0.9735,0.9522,0.1402,0.218,3,1984-09-19,2004-05-25
dune_50,8.0,duneline_transect,-0.0368,0.5542,0.4655,0.033,3,1984-09-19,2004-05-25
dune_51,8.0,duneline_transect,-0.6988,0.3895,0.5709,0.8748,3,1984-09-19,2004-05-25
dune_52,9.0,duneline_transect,-0.3944,0.3627,0.5886,0.5228,3,1984-09-19,2004-05-25
dune_53,9.0,duneline_transect,0.2917,0.9985,0.0249,0.0114,3,1984-09-19,2004-05-25
dune_54,9.0,duneline_transect,0.5133,0.5265,0.4831,0.4868,3,1984-09-19,2004-05-25
dune_55,9.0,duneline_transect,0.5196,0.9251,0.1765,0.1478,3,1984-09-19,2004-05-25
dune_56,9.0,duneline_transect,0.4184,0.9716,0.1079,0.0716,3,1984-09-19,2004-05-25
dune_57,10.0,duneline_transect,0.0065,0.0426,0.8677,0.0308,3,1984-09-19,2004-05-25
dune_58,10.0,duneline_transect,-0.6859,0.9993,0.0167,0.018,3,1984-09-19,2004-05-25
dune_59,10.0,duneline_transect,-0.7021,0.9327,0.1671,0.1887,3,1984-09-19,2004-05-25
dune_60,10.0,duneline_transect,-0.5551,0.8121,0.2855,0.267,3,1984-09-19,2004-05-25
dune_61,10.0,duneline_transect,-0.5279,0.9727,0.1057,0.0884,3,1984-09-19,2004-05-25
dune_62,11.0,duneline_transect,-1.3946,0.8461,0.2566,0.5948,3,1984-09-19,2004-05-25
dune_63,11.0,duneline_transect,-2.0577,0.8983,0.2067,0.6925,3,1984-09-19,2004-05-25
dune_64,11.0,duneline_transect,-2.357,0.917,0.186,0.7091,3,1984-09-19,2004-05-25
dune_65,11.0,duneline_transect,-2.4425,0.9043,0.2003,0.7947,3,1984-09-19,2004-05-25
dune_66,11.0,duneline_transect,-2.3561,0.9638,0.1218,0.4565,3,1984-09-19,2004-05-25
dune_67,12.0,duneline_transect,-2.0343,1.0,0.0038,0.0122,3,1984-09-19,2004-05-25
dune_68,12.0,duneline_transect,-1.7093,0.9978,0.0299,0.0803,3,1984-09-19,2004-05-25
dune_69,12.0,duneline_transect,-1.7862,0.9733,0.1045,0.2959,3,1984-09-19,2004-05-25
dune_70,12.0,duneline_transect,-1.5346,0.8382,0.2636,0.6743,3,1984-09-19,2004-05-25
dune_71,12.0,duneline_transect,-1.3078,0.6664,0.392,0.9254,3,1984-09-19,2004-05-25
dune_72,13.0,duneline_transect,-1.1595,0.6558,0.3991,0.8399,3,1984-09-19,2004-05-25
dune_73,13.0,duneline_transect,-1.7846,0.9706,0.1097,0.3105,3,1984-09-19,2004-05-25
dune_74,13.0,duneline_transect,-1.4591,0.9269,0.1743,0.4097,3,1984-09-19,2004-05-25
dune_75,13.0,duneline_transect,-1.8488,0.7351,0.3442,1.11,3,1984-09-19,2004-05-25
dune_76,13.0,duneline_transect,-1.4737,0.7372,0.3426,0.8798,3,1984-09-19,2004-05-25
dune_77,14.0,duneline_transect,-0.9812,0.7011,0.3682,0.6406,3,1984-09-19,2004-05-25
dune_78,14.0,duneline_transect,-0.5436,0.9613,0.126,0.109,3,1984-09-19,2004-05-25
dune_79,14.0,duneline_transect,-0.3837,0.8449,0.2577,0.1644,3,1984-09-19,2004-05-25
dune_80,14.0,duneline_transect,-0.2267,0.5174,0.4889,0.2189,3,1984-09-19,2004-05-25
dune_81,14.0,duneline_transect,-0.5549,0.9086,0.1956,0.176,3,1984-09-19,2004-05-25
dune_82,15.0,duneline_transect,-0.193,0.1509,0.746,0.4579,3,1984-09-19,2004-05-25
dune_83,15.0,duneline_transect,0.561,0.3801,0.5771,0.7165,3,1984-09-19,2004-05-25
dune_84,15.0,duneline_transect,0.7996,0.6621,0.3949,0.5713,3,1984-09-19,2004-05-25
dune_85,15.0,duneline_transect,1.1537,0.5902,0.4422,0.9612,3,1984-09-19,2004-05-25
dune_86,15.0,duneline_transect,0.6655,0.3915,0.5696,0.8297,3,1984-09-19,2004-05-25
dune_87,16.0,duneline_transect,0.1755,0.0418,0.869,0.8406,3,1984-09-19,2004-05-25
dune_88,16.0,duneline_transect,0.8268,0.4381,0.5395,0.9364,3,1984-09-19,2004-05-25
dune_89,16.0,duneline_transect,1.76,1.0,0.0039,0.0108,3,1984-09-19,2004-05-25
dune_90,16.0,duneline_transect,1.5621,0.9991,0.0188,0.0462,3,1984-09-19,2004-05-25
dune_91,16.0,duneline_transect,0.9576,0.9061,0.1983,0.3082,3,1984-09-19,2004-05-25
dune_92,17.0,duneline_transect,0.0889,0.0167,0.9175,0.6822,3,1984-09-19,2004-05-25
