domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
1.0,5,-0.699,-0.663,0.456,-1.34,-0.076,100.0,5
2.0,5,-1.416,-1.052,0.845,-2.921,-0.934,100.0,5
3.0,5,-1.075,-1.056,0.113,-1.187,-0.925,100.0,5
4.0,5,-1.031,-1.051,0.454,-1.48,-0.418,100.0,5
5.0,5,-1.454,-1.451,0.12,-1.579,-1.315,100.0,5
6.0,5,-3.546,-3.594,1.372,-4.857,-1.323,100.0,5
7.0,5,-3.782,-3.885,0.644,-4.692,-2.97,100.0,5
8.0,5,-3.131,-3.113,0.289,-3.612,-2.878,100.0,5
9.0,5,-1.72,-1.767,0.269,-2.105,-1.386,100.0,5
10.0,5,-1.053,-1.208,0.267,-1.316,-0.758,100.0,5
11.0,5,-0.699,-0.685,0.204,-1.038,-0.511,100.0,5
12.0,5,-1.45,-1.223,0.405,-1.928,-1.086,100.0,5
13.0,5,-1.073,-1.429,0.54,-1.517,-0.434,100.0,5
14.0,5,-0.842,-0.77,0.213,-1.151,-0.618,100.0,5
15.0,5,-0.062,-0.541,0.843,-0.672,1.289,60.0,5
16.0,5,1.549,1.485,0.158,1.358,1.714,0.0,5
17.0,5,0.28,0.149,0.637,-0.405,1.155,40.0,5
18.0,5,0.458,0.526,0.287,0.076,0.796,0.0,5
19.0,5,0.672,0.928,0.602,-0.222,1.253,20.0,5
20.0,5,0.733,0.829,0.242,0.315,0.916,0.0,5
21.0,5,0.317,0.541,0.555,-0.578,0.877,20.0,5
22.0,5,-1.426,-1.651,0.451,-1.83,-0.805,100.0,5
23.0,5,-2.683,-2.709,0.574,-3.34,-1.975,100.0,5
24.0,5,-3.186,-3.147,0.113,-3.35,-3.056,100.0,5
25.0,5,-3.055,-3.089,0.197,-3.267,-2.771,100.0,5
26.0,5,-1.711,-1.634,0.561,-2.422,-1.011,100.0,5
27.0,5,-0.354,-0.69,0.543,-0.783,0.474,80.0,5
28.0,5,-0.018,-0.137,0.544,-0.536,0.818,60.0,5
29.0,5,-0.52,-0.564,0.396,-0.907,0.125,80.0,5
30.0,5,-0.281,-0.491,0.543,-0.777,0.564,80.0,5
31.0,5,-0.381,-0.431,0.303,-0.777,-0.044,100.0,5
32.0,5,-1.895,-2.038,0.463,-2.354,-1.357,100.0,5
33.0,5,-1.438,-1.843,0.785,-2.17,-0.551,100.0,5
34.0,5,-1.332,-1.221,0.234,-1.734,-1.152,100.0,5
35.0,5,-2.068,-2.054,0.367,-2.55,-1.639,100.0,5
36.0,5,-1.452,-1.374,0.238,-1.812,-1.233,100.0,5
37.0,5,-1.158,-1.12,0.16,-1.327,-0.934,100.0,5
38.0,5,0.212,0.373,0.382,-0.32,0.592,40.0,5
39.0,5,0.435,0.476,0.092,0.313,0.539,0.0,5
40.0,5,-0.085,0.046,0.4,-0.675,0.377,40.0,5
41.0,5,0.402,0.736,0.611,-0.486,0.991,20.0,5
42.0,5,0.806,0.795,0.091,0.709,0.907,0.0,5
43.0,5,0.563,0.577,0.173,0.316,0.771,0.0,5
44.0,5,0.544,0.569,0.367,-0.029,0.987,20.0,5
45.0,5,0.439,0.504,0.136,0.232,0.562,0.0,5
46.0,5,0.093,0.078,0.133,-0.038,0.295,40.0,5
47.0,5,-0.421,-0.445,0.06,-0.478,-0.353,100.0,5
48.0,5,0.179,0.151,0.447,-0.288,0.774,40.0,5
49.0,5,0.69,0.737,0.082,0.594,0.767,0.0,5
50.0,5,1.214,1.246,0.152,0.991,1.383,0.0,5
51.0,5,1.797,1.726,0.266,1.492,2.101,0.0,5
52.0,5,1.41,1.307,0.404,0.971,2.056,0.0,5
53.0,5,2.348,2.393,0.211,2.044,2.622,0.0,5
54.0,5,1.947,1.946,0.314,1.571,2.409,0.0,5
55.0,5,0.801,0.935,0.599,-0.049,1.557,20.0,5
56.0,5,0.087,0.091,0.167,-0.118,0.307,40.0,5
57.0,5,0.751,0.84,0.207,0.528,0.972,0.0,5
58.0,5,0.326,0.367,0.188,0.071,0.562,0.0,5
59.0,5,0.49,0.462,0.147,0.31,0.643,0.0,5
60.0,5,0.458,0.437,0.27,0.104,0.812,0.0,5
61.0,5,0.742,0.776,0.053,0.662,0.782,0.0,5
62.0,5,0.98,1.119,0.23,0.698,1.195,0.0,5
63.0,5,1.113,1.227,0.19,0.89,1.29,0.0,5
64.0,5,1.507,1.557,0.256,1.188,1.833,0.0,5
65.0,5,2.04,2.137,0.373,1.465,2.436,0.0,5
66.0,5,1.652,1.621,0.477,1.115,2.32,0.0,5
67.0,5,1.832,1.992,0.472,1.027,2.178,0.0,5
68.0,5,1.407,1.415,0.182,1.216,1.681,0.0,5
69.0,5,1.255,1.171,0.22,1.036,1.531,0.0,5
70.0,5,0.991,1.005,0.259,0.675,1.252,0.0,5
71.0,5,0.491,0.468,0.122,0.371,0.624,0.0,5
72.0,5,0.286,0.257,0.119,0.177,0.474,0.0,5
73.0,5,1.289,1.582,0.55,0.571,1.812,0.0,5
74.0,5,2.027,1.992,0.337,1.561,2.396,0.0,5
75.0,5,0.18,0.077,0.93,-0.973,1.348,40.0,5
76.0,5,-0.963,-1.006,0.374,-1.505,-0.479,100.0,5
77.0,5,-1.811,-1.856,0.375,-2.221,-1.403,100.0,5
78.0,5,-2.882,-2.765,0.411,-3.479,-2.371,100.0,5
79.0,5,-1.884,-1.728,0.297,-2.38,-1.673,100.0,5
80.0,5,-2.59,-2.779,0.421,-2.941,-1.929,100.0,5
81.0,5,-1.47,-1.24,0.79,-2.691,-0.698,100.0,5
82.0,5,-1.678,-1.601,0.28,-2.129,-1.443,100.0,5
83.0,5,-2.875,-2.525,0.8,-4.147,-2.171,100.0,5
84.0,5,-3.129,-3.564,1.103,-4.235,-1.759,100.0,5
85.0,5,-0.705,-0.593,0.536,-1.316,-0.123,100.0,5
86.0,5,0.058,0.189,0.307,-0.472,0.302,20.0,5
87.0,5,-0.341,-0.288,0.186,-0.633,-0.145,100.0,5
88.0,5,-0.462,-0.525,0.282,-0.85,-0.183,100.0,5
89.0,5,-0.452,-0.578,0.405,-0.857,0.175,80.0,5
90.0,5,-0.035,-0.074,0.084,-0.089,0.112,80.0,5
