domain,dsas_lrr_1997_2019,dsas_std_1997_2019,cs_lrr_1997_2019,cs_std_1997_2019,difference_1997_2019
8,-2.06,0.0,-1.053,0.448,1.0070000000000001
9,-1.6,0.0,-0.832,0.14,0.7680000000000001
10,-1.515,0.403050865276332,-0.37,0.101,1.145
11,-1.4375,0.359756862338997,-0.269,0.113,1.1684999999999999
12,-1.074,0.174728360605827,-0.593,0.156,0.4810000000000001
13,-0.5525,0.185,-0.677,0.065,-0.12450000000000006
14,-0.6225,0.68538918384618,-0.215,0.158,0.4075000000000001
15,0.14,0.313155978174881,0.291,0.115,0.15099999999999997
16,0.896,0.137586336530922,-0.076,0.146,-0.972
17,1.268,0.215800834104041,0.217,0.257,-1.051
18,0.554,0.509539007338987,0.736,0.065,0.18199999999999994
19,0.728,0.450632888280472,1.043,0.149,0.31499999999999995
20,-1.394,0.691794767253988,0.39,0.371,1.7839999999999998
21,-1.396,0.384096342080994,-0.831,0.348,0.565
22,-3.342,0.650822556462205,-1.516,0.367,1.826
23,-4.188,1.00108441202528,-3.083,0.453,1.1049999999999995
24,-4.814,0.687553634271538,-4.057,0.105,0.7569999999999997
25,-4.7725,0.172312700247738,-3.872,0.129,0.9005000000000001
26,-3.142,1.008002976186082,-2.631,0.648,0.5110000000000001
27,-0.306,0.536358089339575,-0.332,0.703,-0.026000000000000023
28,0.414,0.854973683805531,1.428,0.246,1.014
29,1.948,0.311560588008175,2.071,0.12,0.12300000000000022
30,2.688,0.281549285205983,2.743,0.357,0.054999999999999716
31,2.278,0.760243382082343,2.666,0.522,0.3879999999999999
32,0.364,0.392275413453354,0.743,0.324,0.379
33,-0.414,0.234691286587295,0.849,0.133,1.263
34,-0.138,0.527133759116223,1.16,0.231,1.298
35,-0.025,0.487903679018718,-0.324,0.499,-0.299
36,-0.49,0.226274169979695,-1.01,0.228,-0.52
37,-0.54,0.200499376557634,-0.943,0.323,-0.4029999999999999
38,-0.865,0.198410349192442,-0.478,0.137,0.387
39,-0.056,0.617681147518685,-0.379,0.071,-0.323
40,-0.644,0.94049455075508,0.185,0.226,0.829
41,-1.104,0.475899148980117,0.411,0.066,1.5150000000000001
42,-1.762,0.254106276978748,0.156,0.087,1.918
43,-0.132,1.14060071891964,-0.088,0.108,0.04400000000000001
44,-0.81,0.497945780180935,0.063,0.156,0.873
45,-0.83,0.447716428110473,-0.797,0.424,0.03299999999999992
46,-2.32,0.21694853460364,-1.396,0.039,0.9239999999999999
47,-2.096,0.273184919056671,-1.392,0.089,0.7040000000000002
48,-1.338,0.421271883704574,-0.52,0.23,0.8180000000000001
49,-1.13,0.321947200640105,-0.191,0.116,0.9389999999999998
50,-0.942,0.251634655800826,-0.301,0.125,0.641
51,-1.346,0.254617359973746,-0.471,0.049,0.8750000000000001
52,-1.842,0.311721029127006,-0.777,0.168,1.065
53,-1.484,0.212673458616725,-0.96,0.083,0.524
54,-1.454,0.192041662146525,-0.768,0.216,0.6859999999999999
55,-0.662,0.254106276978748,-0.242,0.07,0.42000000000000004
56,0.448,0.41775590959315,-0.196,0.067,-0.644
57,-0.886,0.588667987918487,-0.218,0.065,0.668
58,-1.698,0.361966849310818,-0.079,0.108,1.619
59,-1.16,0.152151240547029,-0.335,0.225,0.825
60,-1.562,0.442741459544958,-1.058,0.261,0.504
61,-1.96,0.722357252334328,-1.612,0.101,0.34799999999999986
62,-3.03,0.378087291508191,-1.908,0.185,1.1219999999999999
63,-2.14,0.294618397253125,-1.847,0.224,0.29300000000000015
64,-0.644,0.362325820222628,-1.177,0.138,-0.533
65,-0.918,0.255773337156163,-0.603,0.358,0.31500000000000006
66,0.258,0.700335633821384,0.993,0.608,0.735
67,1.896,0.724555035866842,2.412,0.201,0.516
68,2.126,0.477943511306514,2.349,0.241,0.2230000000000003
69,-0.396,0.945716659470478,1.212,0.36,1.608
70,-0.724,0.66590539868663,0.385,0.152,1.109
71,-0.544,0.78401530597304,0.202,0.08,0.746
72,0.73,0.20820662813657,0.705,0.258,-0.025000000000000022
73,0.096,0.865060691512451,1.576,0.317,1.48
74,-0.19,0.601456565347823,0.767,0.497,0.9570000000000001
75,-1.572,0.317993710629629,-1.16,0.53,0.41200000000000014
76,-2.304,0.810141962868237,-2.003,0.272,0.3009999999999997
77,-3.264,0.345875700216133,-0.878,0.317,2.3859999999999997
78,-3.6375,0.082209083034257,-0.967,0.47,2.6705
79,-3.44,0.454092501589709,-1.879,0.435,1.561
80,-3.982,0.33640749099864,-3.304,0.455,0.6780000000000004
81,-3.214,0.555004504486225,-2.341,0.821,0.8729999999999998
82,-2.156,0.210546906887753,-1.32,0.261,0.8360000000000001
83,-2.798,0.458552069017249,-2.26,0.133,0.5380000000000003
84,-3.094,0.140996453856117,-1.69,0.403,1.404
85,-2.69,0.250199920063936,-1.321,0.15,1.369
86,-2.364,0.127788888405839,-0.673,0.149,1.6909999999999998
87,-1.63,0.220151463012778,-0.187,0.115,1.4429999999999998
88,-0.968,0.319562200518146,0.428,0.213,1.396
89,-0.072,0.113004424692133,0.946,0.079,1.018
90,0.258,0.226649509154553,0.382,0.899,0.124
