transect_id,domain_number,match_method,lrr_m_yr,r_squared,p_value,unc_m_yr,n_obs,start_date,end_date
usa_NC_0032_0021,1.0,point_in_polygon,-2.269,0.2389,0.0,0.748,117,1984-09-21,1997-08-24
usa_NC_0032_0022,1.0,point_in_polygon,-2.8501,0.3374,0.0,0.7378,117,1984-09-21,1997-08-24
usa_NC_0032_0023,1.0,point_in_polygon,-3.2509,0.4369,0.0,0.6817,117,1984-09-21,1997-08-24
usa_NC_0032_0024,1.0,point_in_polygon,-3.2968,0.4651,0.0,0.6501,118,1984-09-21,1997-08-24
usa_NC_0032_0025,1.0,point_in_polygon,-3.6192,0.5421,0.0,0.6091,119,1984-09-21,1997-12-30
usa_NC_0032_0026,1.0,point_in_polygon,-3.9902,0.5827,0.0,0.6209,118,1984-09-21,1997-12-30
usa_NC_0032_0027,1.0,point_in_polygon,-4.3095,0.6218,0.0,0.618,118,1984-09-21,1997-12-30
usa_NC_0032_0028,1.0,point_in_polygon,-4.6545,0.6799,0.0,0.5874,118,1984-09-21,1997-12-30
usa_NC_0032_0029,1.0,point_in_polygon,-4.9625,0.6844,0.0,0.6309,114,1984-09-21,1997-12-30
usa_NC_0032_0030,2.0,point_in_polygon,-4.7439,0.6559,0.0,0.6404,115,1984-09-21,1997-12-30
usa_NC_0032_0031,2.0,point_in_polygon,-4.6398,0.643,0.0,0.6472,114,1984-09-21,1997-12-30
usa_NC_0032_0032,2.0,point_in_polygon,-4.4197,0.5985,0.0,0.6747,115,1984-09-21,1997-12-30
usa_NC_0032_0033,2.0,point_in_polygon,-4.2439,0.5515,0.0,0.7133,115,1984-09-21,1997-12-30
usa_NC_0032_0034,2.0,point_in_polygon,-4.1793,0.5128,0.0,0.7627,114,1984-09-21,1997-12-30
usa_NC_0032_0035,2.0,point_in_polygon,-4.3145,0.5447,0.0,0.7351,115,1984-09-21,1997-12-30
usa_NC_0032_0036,2.0,point_in_polygon,-4.2376,0.5404,0.0,0.7283,115,1984-09-21,1997-12-30
usa_NC_0032_0037,2.0,point_in_polygon,-4.1434,0.4589,0.0,0.8463,113,1984-09-21,1997-12-30
usa_NC_0032_0038,2.0,point_in_polygon,-4.167,0.4174,0.0,0.9216,114,1984-09-21,1997-12-30
usa_NC_0032_0039,2.0,point_in_polygon,-4.2367,0.4154,0.0,0.9453,113,1984-09-21,1997-12-30
usa_NC_0032_0040,2.0,point_in_polygon,-4.5583,0.4476,0.0,0.9568,112,1984-09-21,1997-12-30
usa_NC_0032_0041,3.0,point_in_polygon,-4.8368,0.5057,0.0,0.8954,114,1984-09-21,1997-12-30
usa_NC_0032_0042,3.0,point_in_polygon,-5.2288,0.5511,0.0,0.8876,113,1984-09-21,1997-12-30
usa_NC_0032_0043,3.0,point_in_polygon,-5.309,0.5624,0.0,0.8889,111,1984-09-21,1997-12-30
usa_NC_0032_0044,3.0,point_in_polygon,-5.7688,0.6115,0.0,0.873,111,1984-09-21,1997-12-30
