transect_id,domain_number,mean_start_m,n_start,sd_start_m,first_obs_start,last_obs_start,mean_end_m,n_end,sd_end_m,first_obs_end,last_obs_end,change_m,endpoint_rate_m_yr
usa_NC_0032_0021,1,51.300,5,4.023,1997-05-04,1998-03-04,78.900,6,6.983,2008-12-04,2009-10-20,27.600,2.373
usa_NC_0032_0022,1,49.500,5,10.320,1997-05-04,1998-03-04,73.257,7,7.740,2008-12-04,2009-10-20,23.757,2.043
usa_NC_0032_0023,1,51.900,5,10.718,1997-05-04,1998-03-04,75.040,5,9.538,2008-12-04,2009-08-17,23.140,1.990
usa_NC_0032_0024,1,60.980,5,9.379,1997-05-04,1998-03-04,91.025,4,13.929,2009-03-18,2009-08-17,30.045,2.583
usa_NC_0032_0025,1,36.800,6,8.356,1997-05-04,1998-03-04,69.433,3,13.705,2009-03-18,2009-08-09,32.633,2.806
usa_NC_0032_0026,1,43.150,6,8.178,1997-05-04,1998-03-04,69.675,4,12.701,2009-03-18,2009-11-05,26.525,2.281
usa_NC_0032_0027,1,35.950,6,9.757,1997-05-04,1998-03-04,58.800,4,10.378,2009-03-18,2009-11-05,22.850,1.965
usa_NC_0032_0028,1,35.083,6,12.669,1997-05-04,1998-03-04,53.925,4,7.325,2009-03-18,2009-11-05,18.842,1.620
usa_NC_0032_0029,1,43.220,5,7.450,1997-05-04,1998-03-04,55.360,5,10.026,2009-02-06,2009-11-05,12.140,1.044
usa_NC_0032_0030,2,68.140,5,9.437,1997-05-04,1998-03-04,82.720,5,8.189,2009-02-06,2009-11-05,14.580,1.254
usa_NC_0032_0031,2,65.220,5,8.246,1997-05-04,1998-03-04,88.883,6,9.652,2009-02-06,2009-11-05,23.663,2.035
usa_NC_0032_0032,2,69.320,5,13.884,1997-05-04,1998-03-04,93.617,6,7.883,2009-02-06,2009-11-05,24.297,2.089
usa_NC_0032_0033,2,46.080,5,20.618,1997-05-04,1998-03-04,72.571,7,8.283,2008-12-04,2009-11-05,26.491,2.278
usa_NC_0032_0034,2,59.760,5,22.555,1997-05-04,1998-03-04,88.500,8,8.011,2008-12-04,2009-11-05,28.740,2.471
usa_NC_0032_0035,2,48.600,5,20.103,1997-05-04,1998-03-04,73.787,8,10.002,2008-12-04,2009-11-05,25.188,2.166
usa_NC_0032_0036,2,38.340,5,15.735,1997-05-04,1998-03-04,58.237,8,9.904,2008-12-04,2009-11-05,19.897,1.711
usa_NC_0032_0037,2,32.500,5,18.587,1997-05-04,1998-03-04,53.000,7,11.022,2008-12-04,2009-10-20,20.500,1.763
usa_NC_0032_0038,2,19.780,5,21.528,1997-05-04,1998-03-04,45.929,7,10.733,2008-12-04,2009-10-20,26.149,2.248
usa_NC_0032_0039,2,23.260,5,19.273,1997-05-04,1998-03-04,51.350,6,11.295,2008-12-04,2009-10-20,28.090,2.415
usa_NC_0032_0040,2,19.540,5,18.683,1997-05-04,1998-03-04,54.400,7,9.290,2008-12-04,2009-10-20,34.860,2.997
usa_NC_0032_0041,3,24.160,5,19.002,1997-05-04,1998-03-04,55.957,7,9.133,2008-12-04,2009-10-20,31.797,2.734
usa_NC_0032_0042,3,26.120,5,12.815,1997-05-04,1998-03-04,56.583,6,12.603,2008-12-04,2009-10-20,30.463,2.619
usa_NC_0032_0043,3,29.280,5,8.580,1997-05-04,1998-03-04,52.520,5,8.912,2008-12-04,2009-08-17,23.240,1.998
usa_NC_0032_0044,3,25.440,5,8.200,1997-05-04,1998-03-04,46.950,4,10.074,2009-03-18,2009-08-17,21.510,1.849
usa_NC_0032_0045,3,24.800,5,5.371,1997-05-04,1998-03-04,52.700,3,9.334,2009-03-18,2009-08-09,27.900,2.399
usa_NC_0032_0046,3,20.860,5,8.098,1997-05-04,1998-03-04,53.725,4,9.536,2009-03-18,2009-11-05,32.865,2.826
usa_NC_0032_0047,3,15.100,5,9.147,1997-05-04,1998-03-04,52.025,4,10.949,2009-03-18,2009-11-05,36.925,3.175
usa_NC_0032_0048,3,14.600,5,6.949,1997-05-04,1998-03-04,53.140,5,12.956,2009-02-06,2009-11-05,38.540,3.314
usa_NC_0032_0049,3,13.980,5,7.465,1997-05-04,1998-03-04,52.540,5,15.551,2009-02-06,2009-11-05,38.560,3.315
usa_NC_0032_0050,3,11.880,5,8.703,1997-05-04,1998-03-04,48.440,5,15.366,2009-02-06,2009-11-05,36.560,3.143
usa_NC_0032_0051,4,8.800,5,6.571,1997-05-04,1998-03-04,40.550,4,12.017,2009-02-06,2009-11-05,31.750,2.730
usa_NC_0032_0052,4,8.260,5,7.820,1997-05-04,1998-03-04,44.017,6,13.367,2009-02-06,2009-11-05,35.757,3.074
usa_NC_0032_0053,4,12.280,5,7.357,1997-05-04,1998-03-04,46.486,7,12.518,2008-12-04,2009-11-05,34.206,2.941
usa_NC_0032_0054,4,5.140,5,7.111,1997-05-04,1998-03-04,39.814,7,11.640,2008-12-04,2009-11-05,34.674,2.981
usa_NC_0032_0055,4,1.000,5,9.256,1997-05-04,1998-03-04,37.675,8,11.600,2008-12-04,2009-11-05,36.675,3.153
usa_NC_0032_0056,4,11.020,5,10.552,1997-05-04,1998-03-04,48.200,8,12.459,2008-12-04,2009-11-05,37.180,3.197
usa_NC_0032_0057,4,-2.140,5,10.518,1997-05-04,1998-03-04,40.513,8,11.795,2008-12-04,2009-11-05,42.653,3.667
usa_NC_0032_0058,4,-1.020,5,11.112,1997-05-04,1998-03-04,45.457,7,12.467,2008-12-04,2009-10-20,46.477,3.996
usa_NC_0032_0059,4,4.900,5,11.258,1997-05-04,1998-03-04,51.314,7,11.453,2008-12-04,2009-10-20,46.414,3.991
usa_NC_0032_0060,4,9.680,5,11.615,1997-05-04,1998-03-04,54.629,7,10.487,2008-12-04,2009-10-20,44.949,3.865
usa_NC_0032_0061,4,6.940,5,10.793,1997-05-04,1998-03-04,55.867,6,10.199,2008-12-04,2009-10-20,48.927,4.207
usa_NC_0032_0062,4,-2.920,5,13.472,1997-05-04,1998-03-04,49.417,6,10.660,2008-12-04,2009-10-20,52.337,4.500
usa_NC_0032_0063,4,-0.320,5,16.134,1997-05-04,1998-03-04,44.243,7,9.455,2008-12-04,2009-10-20,44.563,3.832
usa_NC_0032_0064,5,7.920,5,13.971,1997-05-04,1998-03-04,44.583,6,9.260,2008-12-04,2009-10-20,36.663,3.152
usa_NC_0032_0065,5,6.840,5,16.166,1997-05-04,1998-03-04,37.060,5,8.576,2008-12-04,2009-08-17,30.220,2.598
usa_NC_0032_0066,5,9.940,5,16.463,1997-05-04,1998-03-04,33.300,4,12.376,2009-03-18,2009-08-17,23.360,2.009
usa_NC_0032_0067,5,8.240,5,14.010,1997-05-04,1998-03-04,26.067,3,12.283,2009-03-18,2009-08-09,17.827,1.533
usa_NC_0032_0068,5,10.320,5,12.453,1997-05-04,1998-03-04,29.067,3,15.514,2009-03-18,2009-08-09,18.747,1.612
usa_NC_0032_0069,5,13.500,5,13.095,1997-05-04,1998-03-04,21.650,4,21.598,2009-03-18,2009-11-05,8.150,0.701
usa_NC_0032_0070,5,14.920,5,12.357,1997-05-04,1998-03-04,25.400,4,22.445,2009-03-18,2009-11-05,10.480,0.901
usa_NC_0032_0071,5,18.050,6,12.374,1997-05-04,1998-03-04,29.260,5,20.734,2009-02-06,2009-11-05,11.210,0.964
usa_NC_0032_0072,5,16.900,6,16.238,1997-05-04,1998-03-04,28.300,5,17.149,2009-02-06,2009-11-05,11.400,0.980
usa_NC_0032_0073,5,27.740,5,11.417,1997-05-04,1998-03-04,28.100,5,14.711,2009-02-06,2009-11-05,0.360,0.031
usa_NC_0032_0074,5,30.420,5,11.920,1997-05-04,1998-03-04,28.640,5,9.748,2009-02-06,2009-11-05,-1.780,-0.153
usa_NC_0032_0075,5,26.600,6,8.436,1997-05-04,1998-03-04,28.300,6,10.598,2009-02-06,2009-11-05,1.700,0.146
usa_NC_0032_0076,5,33.933,6,7.142,1997-05-04,1998-03-04,29.250,6,12.285,2009-02-06,2009-11-05,-4.683,-0.403
usa_NC_0032_0077,6,48.717,6,6.162,1997-05-04,1998-03-04,42.283,6,6.945,2008-12-04,2009-11-05,-6.433,-0.553
usa_NC_0032_0078,6,150.000,2,4.500,1998-01-31,1998-03-04,131.333,3,6.456,2009-03-18,2009-08-17,-18.667,-1.605
usa_NC_0032_0079,6,64.467,6,7.176,1997-05-04,1998-03-04,50.100,7,10.291,2008-12-04,2009-10-20,-14.367,-1.235
usa_NC_0032_0080,6,72.583,6,7.677,1997-05-04,1998-03-04,53.933,6,14.576,2008-12-04,2009-10-20,-18.650,-1.604
usa_NC_0032_0081,6,74.250,6,6.699,1997-05-04,1998-03-04,54.157,7,13.921,2008-12-04,2009-10-20,-20.093,-1.728
usa_NC_0032_0082,6,69.850,6,6.634,1997-05-04,1998-03-04,41.840,5,11.068,2008-12-04,2009-08-17,-28.010,-2.408
usa_NC_0032_0083,7,75.800,5,3.835,1997-05-04,1998-03-04,45.300,4,14.024,2009-03-18,2009-11-05,-30.500,-2.622
usa_NC_0032_0084,7,65.283,6,4.319,1997-05-04,1998-03-04,34.875,4,16.877,2009-03-18,2009-11-05,-30.408,-2.615
usa_NC_0032_0085,7,77.183,6,5.420,1997-05-04,1998-03-04,47.825,4,13.105,2009-02-06,2009-11-05,-29.358,-2.524
usa_NC_0032_0086,7,58.317,6,4.849,1997-05-04,1998-03-04,37.117,6,9.929,2009-02-06,2009-11-05,-21.200,-1.823
usa_NC_0032_0088,8,52.800,6,5.430,1997-05-04,1998-03-04,35.712,8,10.054,2008-12-04,2009-11-05,-17.088,-1.469
usa_NC_0032_0089,8,49.183,6,6.194,1997-05-04,1998-03-04,36.188,8,9.506,2008-12-04,2009-11-05,-12.996,-1.117
usa_NC_0032_0090,8,34.350,6,7.418,1997-05-04,1998-03-04,27.114,7,13.157,2008-12-04,2009-10-20,-7.236,-0.622
usa_NC_0032_0091,8,87.533,6,8.104,1997-05-04,1998-03-04,81.383,6,12.085,2008-12-04,2009-10-20,-6.150,-0.529
usa_NC_0032_0092,8,53.350,6,7.203,1997-05-04,1998-03-04,45.586,7,12.074,2008-12-04,2009-10-20,-7.764,-0.668
usa_NC_0032_0093,8,63.033,6,4.749,1997-05-04,1998-03-04,52.800,7,11.644,2008-12-04,2009-10-20,-10.233,-0.880
usa_NC_0032_0094,8,32.483,6,3.438,1997-05-04,1998-03-04,17.420,5,14.570,2008-12-04,2009-08-17,-15.063,-1.295
usa_NC_0032_0095,8,82.250,6,7.274,1997-05-04,1998-03-04,67.625,4,18.703,2009-03-18,2009-08-17,-14.625,-1.257
usa_NC_0032_0096,9,43.400,6,6.950,1997-05-04,1998-03-04,25.550,4,14.484,2009-03-18,2009-08-17,-17.850,-1.535
usa_NC_0032_0097,9,65.750,6,5.614,1997-05-04,1998-03-04,45.100,3,13.682,2009-03-18,2009-08-09,-20.650,-1.776
usa_NC_0032_0098,9,58.700,6,7.706,1997-05-04,1998-03-04,40.400,4,7.676,2009-03-18,2009-11-05,-18.300,-1.573
usa_NC_0032_0099,9,55.233,6,5.814,1997-05-04,1998-03-04,39.200,4,7.218,2009-03-18,2009-11-05,-16.033,-1.379
usa_NC_0032_0100,9,54.200,6,5.547,1997-05-04,1998-03-04,37.500,5,9.410,2009-02-06,2009-11-05,-16.700,-1.436
usa_NC_0032_0101,9,53.550,6,6.489,1997-05-04,1998-03-04,39.800,5,16.034,2009-02-06,2009-11-05,-13.750,-1.182
usa_NC_0032_0102,9,58.183,6,1.154,1997-05-04,1998-03-04,42.533,6,12.303,2009-02-06,2009-11-05,-15.650,-1.346
usa_NC_0032_0103,9,61.233,6,3.158,1997-05-04,1998-03-04,42.086,7,9.968,2008-12-04,2009-11-05,-19.148,-1.646
usa_NC_0032_0104,9,57.850,6,6.009,1997-05-04,1998-03-04,38.825,8,8.402,2008-12-04,2009-11-05,-19.025,-1.636
usa_NC_0032_0105,10,58.483,6,8.355,1997-05-04,1998-03-04,40.462,8,8.890,2008-12-04,2009-11-05,-18.021,-1.549
usa_NC_0032_0106,10,58.500,6,12.511,1997-05-04,1998-03-04,39.387,8,9.178,2008-12-04,2009-11-05,-19.113,-1.643
usa_NC_0032_0107,10,69.267,6,10.845,1997-05-04,1998-03-04,46.514,7,11.061,2008-12-04,2009-10-20,-22.752,-1.956
usa_NC_0032_0108,10,64.200,6,13.269,1997-05-04,1998-03-04,40.371,7,10.624,2008-12-04,2009-10-20,-23.829,-2.049
usa_NC_0032_0109,10,59.783,6,13.740,1997-05-04,1998-03-04,39.700,6,9.925,2008-12-04,2009-10-20,-20.083,-1.727
usa_NC_0032_0110,10,73.700,4,3.903,1997-05-04,1998-03-04,48.171,7,8.863,2008-12-04,2009-10-20,-25.529,-2.195
usa_NC_0032_0111,10,54.320,5,12.042,1997-05-04,1998-03-04,36.443,7,10.742,2008-12-04,2009-10-20,-17.877,-1.537
usa_NC_0032_0112,10,65.460,5,4.914,1997-05-04,1998-03-04,29.620,5,5.291,2008-12-04,2009-08-17,-35.840,-3.082
usa_NC_0032_0113,10,62.980,5,6.719,1997-05-04,1998-03-04,27.080,5,11.083,2008-12-04,2009-08-17,-35.900,-3.087
usa_NC_0032_0114,10,63.760,5,7.970,1997-05-04,1998-03-04,26.900,4,12.004,2009-03-18,2009-08-17,-36.860,-3.169
usa_NC_0032_0115,11,70.150,4,9.230,1997-05-04,1998-03-04,31.267,3,11.172,2009-03-18,2009-08-09,-38.883,-3.343
usa_NC_0032_0116,11,69.225,4,8.268,1997-05-04,1998-03-04,22.467,3,7.412,2009-03-18,2009-11-05,-46.758,-4.020
usa_NC_0032_0117,11,71.650,4,5.997,1997-05-04,1998-03-04,27.500,3,10.904,2009-03-18,2009-11-05,-44.150,-3.796
usa_NC_0032_0118,11,66.025,4,6.029,1997-05-04,1998-03-04,30.175,4,7.582,2009-02-06,2009-11-05,-35.850,-3.082
usa_NC_0032_0119,11,60.150,4,6.168,1997-05-04,1998-03-04,25.650,4,7.024,2009-02-06,2009-11-05,-34.500,-2.966
usa_NC_0032_0120,11,61.325,4,11.197,1997-05-04,1998-03-04,22.950,4,10.653,2009-02-06,2009-11-05,-38.375,-3.300
usa_NC_0032_0121,11,61.950,6,7.198,1997-05-04,1998-03-04,28.117,6,12.364,2009-02-06,2009-11-05,-33.833,-2.909
usa_NC_0032_0122,11,58.483,6,6.920,1997-05-04,1998-03-04,24.950,6,14.139,2009-02-06,2009-11-05,-33.533,-2.883
usa_NC_0032_0123,11,63.850,6,9.179,1997-05-04,1998-03-04,22.178,9,13.815,2008-12-04,2009-11-05,-41.672,-3.583
usa_NC_0032_0124,11,67.633,6,9.882,1997-05-04,1998-03-04,26.333,9,13.296,2008-12-04,2009-11-05,-41.300,-3.551
usa_NC_0032_0125,12,68.350,6,12.853,1997-05-04,1998-03-04,29.100,9,12.187,2008-12-04,2009-11-05,-39.250,-3.375
usa_NC_0032_0126,12,59.900,6,10.574,1997-05-04,1998-03-04,23.875,8,12.292,2008-12-04,2009-10-20,-36.025,-3.097
usa_NC_0032_0127,12,62.440,5,5.352,1997-05-04,1998-03-04,28.067,6,11.172,2008-12-04,2009-08-17,-34.373,-2.955
usa_NC_0032_0128,12,61.400,5,3.554,1997-05-04,1998-03-04,25.517,6,10.599,2008-12-04,2009-08-17,-35.883,-3.085
usa_NC_0032_0129,12,59.067,6,4.263,1997-05-04,1998-03-04,23.367,6,12.518,2008-12-04,2009-10-20,-35.700,-3.070
usa_NC_0032_0130,12,62.450,6,3.293,1997-05-04,1998-03-04,25.343,7,13.139,2008-12-04,2009-10-20,-37.107,-3.191
usa_NC_0032_0131,12,64.417,6,6.649,1997-05-04,1998-03-04,20.180,5,9.948,2008-12-04,2009-08-17,-44.237,-3.804
usa_NC_0032_0132,12,66.033,6,6.963,1997-05-04,1998-03-04,19.820,5,10.485,2008-12-04,2009-08-17,-46.213,-3.973
usa_NC_0032_0133,12,64.333,6,4.981,1997-05-04,1998-03-04,22.275,4,10.105,2009-03-18,2009-08-17,-42.058,-3.616
usa_NC_0032_0134,12,63.333,6,7.486,1997-05-04,1998-03-04,27.333,3,9.180,2009-03-18,2009-08-09,-36.000,-3.095
usa_NC_0032_0135,13,62.417,6,9.173,1997-05-04,1998-03-04,28.400,4,11.223,2009-03-18,2009-11-05,-34.017,-2.925
usa_NC_0032_0136,13,62.083,6,8.197,1997-05-04,1998-03-04,26.875,4,10.184,2009-03-18,2009-11-05,-35.208,-3.027
usa_NC_0032_0137,13,62.433,6,5.423,1997-05-04,1998-03-04,30.500,5,6.794,2009-02-06,2009-11-05,-31.933,-2.746
usa_NC_0032_0138,13,62.567,6,4.835,1997-05-04,1998-03-04,31.280,5,7.921,2009-02-06,2009-11-05,-31.287,-2.690
usa_NC_0032_0139,13,64.100,6,5.393,1997-05-04,1998-03-04,31.280,5,8.552,2009-02-06,2009-11-05,-32.820,-2.822
usa_NC_0032_0140,13,58.083,6,4.543,1997-05-04,1998-03-04,29.400,6,6.286,2009-02-06,2009-11-05,-28.683,-2.466
usa_NC_0032_0141,13,60.317,6,5.148,1997-05-04,1998-03-04,29.683,6,8.667,2009-02-06,2009-11-05,-30.633,-2.634
usa_NC_0032_0142,13,58.333,6,6.161,1997-05-04,1998-03-04,27.600,7,7.022,2008-12-04,2009-11-05,-30.733,-2.643
usa_NC_0032_0143,13,51.750,6,6.708,1997-05-04,1998-03-04,26.150,8,4.710,2008-12-04,2009-11-05,-25.600,-2.201
usa_NC_0032_0144,13,56.633,6,5.946,1997-05-04,1998-03-04,30.657,7,5.039,2008-12-04,2009-11-05,-25.976,-2.233
usa_NC_0032_0145,13,50.750,6,7.622,1997-05-04,1998-03-04,25.871,7,5.672,2008-12-04,2009-11-05,-24.879,-2.139
usa_NC_0032_0146,14,63.200,6,3.631,1997-05-04,1998-03-04,39.100,6,5.620,2008-12-04,2009-08-17,-24.100,-2.072
usa_NC_0032_0147,14,57.133,6,1.281,1997-05-04,1998-03-04,35.000,6,6.572,2008-12-04,2009-08-17,-22.133,-1.903
usa_NC_0032_0148,14,54.820,5,4.378,1997-05-04,1998-03-04,33.940,5,5.326,2008-12-04,2009-08-17,-20.880,-1.795
usa_NC_0032_0149,14,55.860,5,6.971,1997-05-04,1998-03-04,37.950,6,5.846,2008-12-04,2009-08-17,-17.910,-1.540
usa_NC_0032_0150,14,50.100,5,14.633,1997-05-04,1998-03-04,39.533,6,6.748,2008-12-04,2009-10-20,-10.567,-0.909
usa_NC_0032_0151,14,57.320,5,10.746,1997-05-04,1998-03-04,44.480,5,4.840,2008-12-04,2009-08-17,-12.840,-1.104
usa_NC_0032_0152,14,57.140,5,11.134,1997-05-04,1998-03-04,46.125,4,5.597,2009-03-18,2009-08-17,-11.015,-0.947
usa_NC_0032_0153,14,54.920,5,10.473,1997-05-04,1998-03-04,46.333,3,7.505,2009-03-18,2009-08-09,-8.587,-0.738
usa_NC_0032_0154,14,50.840,5,7.577,1997-05-04,1998-03-04,41.175,4,13.433,2009-03-18,2009-11-05,-9.665,-0.831
usa_NC_0032_0155,14,47.960,5,6.856,1997-05-04,1998-03-04,44.450,4,17.577,2009-03-18,2009-11-05,-3.510,-0.302
usa_NC_0032_0156,15,45.660,5,10.008,1997-05-04,1998-03-04,44.900,4,15.437,2009-03-18,2009-11-05,-0.760,-0.065
usa_NC_0032_0157,15,43.240,5,13.181,1997-05-04,1998-03-04,46.140,5,15.828,2009-02-06,2009-11-05,2.900,0.249
usa_NC_0032_0158,15,51.175,4,3.653,1997-05-04,1998-03-04,45.880,5,15.813,2009-02-06,2009-11-05,-5.295,-0.455
usa_NC_0032_0159,15,56.275,4,5.415,1997-05-04,1998-03-04,49.600,4,12.903,2009-02-06,2009-11-05,-6.675,-0.574
usa_NC_0032_0160,15,47.660,5,7.347,1997-05-04,1998-03-04,50.333,6,13.476,2009-02-06,2009-11-05,2.673,0.230
usa_NC_0032_0161,15,42.520,5,3.523,1997-05-04,1998-03-04,46.800,7,12.153,2008-12-04,2009-11-05,4.280,0.368
usa_NC_0032_0162,15,36.320,5,4.970,1997-05-04,1998-03-04,47.737,8,11.063,2008-12-04,2009-11-05,11.417,0.982
usa_NC_0032_0163,15,41.060,5,7.190,1997-05-04,1998-03-04,54.263,8,11.926,2008-12-04,2009-11-05,13.203,1.135
