domain,dom_lrr_p1,dom_lrr_p2,dom_lrr_full,dom_r2_p1,dom_r2_p2,dom_r2_full,dom_n_p1,dom_n_p2,dom_n_full,dom_sc_p1,dom_sc_p2,dom_var_p1,dom_var_p2,dom_var_full,txn_lrr_p1,txn_lrr_p2,txn_class,trajectory,high_var
1,-4.2399350649350644,1.9579220779220778,-0.5704094076655053,0.728817095589161,0.11831466007619536,0.042006289252876326,21,21,41,0.3,0.1,15.660902973058933,32.36448111125054,32.23108067230947,-4.065779220779222,2.0929870129870127,Switching: Ero→Acc,Switching: Ero→Acc,True
2,-4.980194805194806,2.0804545454545456,-0.5894250871080137,0.7358863674877386,0.3697613607606351,0.057350622553239985,21,21,41,0.1,0.2,18.066418929594185,16.446962284505975,28.27474249547074,-4.81051948051948,2.164220779220779,Switching: Ero→Acc,Switching: Ero→Acc,True
3,-4.980616883116883,2.712077922077922,-0.583497386759582,0.7134327232857833,0.8265762719818592,0.05808990310624912,21,21,41,0.0,0.1,19.114178490848698,7.522300358258784,27.80080255634991,-5.052564935064935,2.752662337662338,Switching: Ero→Acc,Switching: Ero→Acc,True
4,-4.634545454545454,2.0137012987012985,-0.6061062717770038,0.680540180178498,0.660246238596432,0.07303950007459531,21,21,41,0.3,0.2,19.227556514000202,8.747016268377322,25.54844746254972,-4.6314935064935066,2.169090909090909,Switching: Ero→Acc,Switching: Ero→Acc,True
5,-3.3561038961038956,0.996818181818182,-0.6925348432055748,0.49778299946808074,0.20496114297409798,0.12366843354157481,21,21,41,0.1,0.2,20.412527696273763,11.888035038945587,21.812751140960394,-3.2370129870129873,1.036233766233766,Switching: Ero→Acc,Decelerating Erosion,True
6,-1.7646753246753246,-1.9452597402597405,-1.8326045296167248,0.6795745886033256,0.7686939908409154,0.9053423773932474,21,21,41,0.5,0.2,7.337454785786212,6.461450603244227,7.011390327244801,-1.662305194805195,-1.9614935064935066,Persistent Erosion,Persistent Erosion,False
7,-2.2695779220779224,-0.990746753246753,-1.842064459930314,0.7930141235521491,0.33367399488278615,0.8569508983767755,21,21,41,0.2631578947368421,0.3,7.021189724387589,8.477749386200657,8.904990069912332,-2.276071428571429,-0.7920779220779219,Decelerating Erosion,Decelerating Erosion,False
8,-1.8088636363636366,-0.34399350649350663,-1.3051742160278748,0.8175070477933981,0.03248084779420941,0.6996346928915415,21,21,41,0.1,0.2,5.175101107454504,11.368471226407927,10.118630093032973,-1.8368506493506496,-0.10191558441558426,Decelerating Erosion,Decelerating Erosion,False
9,-2.352402597402597,0.5687012987012988,-1.1427613240418115,0.9089279208976805,0.07353362554404116,0.5181882031603484,21,21,41,0.3,0.3,4.5089484369427915,12.223393033444186,13.038105926827525,-2.2645454545454546,0.5554545454545455,Decelerating Erosion,Decelerating Erosion,False
10,-2.8163311688311685,1.2517857142857143,-1.0711585365853662,0.8733327276695853,0.20079617212907946,0.35028550245360324,21,21,41,0.2,0.3,6.49474012659454,15.122262383194096,17.2610801153624,-2.7900324675324675,1.3861688311688314,Switching: Ero→Acc,Switching: Ero→Acc,True
