domain,physical_zone,status,eligible_1984_2004,be_final_1984_2004,be_pass0_1984_2004,iteration_added_1984_2004,eligible_2004_2024,be_final_2004_2024,be_pass0_2004_2024,iteration_added_2004_2024,residual_1984_2004,residual_2004_2024
1,Cape Point / Shoal Dynamics,locked (solved separately),False,-42.6,,,False,50.3,,,0.61,0.13
2,Cape Point / Shoal Dynamics,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,0.088,-0.31
3,Cape Point / Shoal Dynamics,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,-0.079,0.266
4,Cape Point / Shoal Dynamics,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,0.36,0.256
5,Cape Point / Shoal Dynamics,reserved for groin module,True,0.0,,,False,0.0,,,1.538,-0.436
6,Cape Point / Shoal Dynamics,reserved for groin module,True,0.0,,,False,0.0,,,2.331,-2.673
7,Cape Point / Shoal Dynamics,reserved for groin module,True,0.0,,,False,0.0,,,0.968,-1.969
8,Cape Point / Shoal Dynamics,correctable,True,2.3,,,True,-1.8,,,0.924,-0.869
9,Cape Point / Shoal Dynamics,correctable,True,0.0,,,True,0.0,,,0.071,-0.194
10,Cape Point / Shoal Dynamics,correctable,True,-2.1,,,True,1.5,,,-0.866,0.438
11,Buxton–Avon Transition,correctable,True,-1.1,,,True,1.2,,,-1.37,0.796
12,Buxton–Avon Transition,correctable,True,-1.2,,,True,1.5,,,-1.041,0.458
13,Buxton–Avon Transition,correctable,True,-0.7,,,True,1.9,,,-0.675,0.223
14,Buxton–Avon Transition,correctable,False,0.0,,,True,2.0,,,0.035,0.796
15,Buxton–Avon Transition,correctable,False,0.0,,,True,2.1,,,0.652,0.655
16,Buxton–Avon Transition,correctable,False,0.0,,,True,2.3,,,1.175,0.041
17,Buxton–Avon Transition,correctable,False,0.0,,,True,2.4,,,0.686,0.674
18,Buxton–Avon Transition,correctable,False,0.0,,,True,2.4,,,0.064,0.96
19,Buxton–Avon Transition,correctable,False,0.0,,,True,2.1,,,-0.019,1.133
20,Buxton–Avon Transition,correctable,False,0.0,,,True,1.7,,,0.268,1.129
21,Avon,correctable,False,0.0,,,True,0.7,,,0.637,-0.091
22,Avon,correctable,True,0.3,,,True,-1.9,,,-0.537,-1.306
23,Avon,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,-1.164,-2.152
24,Avon,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,-0.781,-2.106
25,Avon,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,-0.521,-2.289
26,Avon,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,-0.802,-1.726
27,Avon,correctable,True,0.9,,,True,-1.0,,,-1.168,-1.374
28,Avon,correctable,True,1.2,,,True,1.2,,,-0.303,0.824
29,Avon,correctable,True,2.3,,,True,2.3,,,1.075,2.206
30,Avon,correctable,True,2.9,,,True,2.9,,,1.623,2.766
31,Avon,correctable,True,3.4,,,True,3.6,,,1.397,1.461
32,Mid-island,correctable,True,3.1,,,True,4.0,,,1.593,0.297
33,Mid-island,correctable,True,1.7,,,True,3.8,,,0.319,0.123
34,Mid-island,correctable,True,1.2,,,True,3.8,,,-1.183,1.329
35,Mid-island,correctable,False,0.0,,,True,3.0,,,-1.967,0.695
36,Mid-island,correctable,False,0.0,,,True,2.6,,,-1.484,0.549
37,Mid-island,correctable,False,0.0,,,True,2.2,,,-0.582,0.131
38,Mid-island,correctable,False,0.0,,,True,2.0,,,-0.692,-0.37
39,Mid-island,correctable,False,0.0,,,True,2.3,,,-0.502,-0.21
40,Mid-island,correctable,False,0.0,,,True,2.0,,,-0.297,-0.008
41,Mid-island,correctable,False,0.0,,,True,1.7,,,-0.92,0.014
42,Mid-island,correctable,False,0.0,,,True,1.4,,,-0.512,-0.036
43,Mid-island,correctable,False,0.0,,,True,1.0,,,0.363,0.008
44,Mid-island,correctable,True,0.3,,,True,0.3,,,0.761,-0.181
45,Mid-island,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,1.069,-0.533
46,Mid-island,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,1.34,-0.603
47,Mid-island,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,0.673,-0.276
48,Mid-island,correctable,True,-0.4,,,True,-0.4,,,-0.207,0.171
49,Mid-island,correctable,True,-1.1,,,False,0.0,,,-0.762,-0.243
50,Mid-island,correctable,True,-2.1,,,True,-1.3,,,-0.492,-0.246
51,Mid-island,correctable,True,-2.4,,,True,-1.6,,,-0.536,-0.124
52,Mid-island,correctable,True,-2.2,,,True,-2.2,,,-0.726,-0.69
53,Mid-island,correctable,True,-2.0,,,True,-2.0,,,-0.553,-0.476
54,Mid-island,correctable,True,-1.8,,,True,-1.8,,,-0.457,-0.667
55,Mid-island,correctable,True,-1.3,,,True,-1.3,,,-0.329,-0.301
56,Mid-island,correctable,True,-1.0,,,False,0.0,,,-0.087,-0.051
57,Mid-island,correctable,True,-0.3,,,True,-0.3,,,0.099,0.379
58,Mid-island,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,0.277,0.551
59,Mid-island,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,0.731,0.412
60,Wimble Shoals Influence,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,1.201,-0.751
61,Wimble Shoals Influence,withheld (outside frozen zone set),False,0.0,,,False,0.0,,,1.646,-1.777
62,Wimble Shoals Influence,correctable,True,0.3,,,True,0.3,,,1.173,-2.264
63,Wimble Shoals Influence,correctable,False,0.0,,,True,1.0,,,0.039,-0.808
64,Wimble Shoals Influence,correctable,False,0.0,,,True,1.5,,,-1.055,-0.187
65,Wimble Shoals Influence,correctable,False,0.0,,,True,1.9,,,-1.566,0.585
66,Wimble Shoals Influence,correctable,False,0.0,,,True,2.3,,,-2.187,2.355
67,Wimble Shoals Influence,correctable,False,0.0,,,True,2.3,,,-1.254,2.022
68,Wimble Shoals Influence,correctable,True,0.5,,,True,3.0,,,-0.088,0.346
69,Wimble Shoals Influence,correctable,True,1.6,,,True,3.8,,,0.633,-0.036
70,Wimble Shoals Influence,correctable,True,2.2,,,True,4.1,,,0.703,0.309
71,Wimble Shoals Influence,correctable,True,3.0,,,True,4.7,,,0.471,0.811
72,Wimble Shoals Influence,correctable,True,3.6,,,True,4.1,,,0.337,1.578
73,Wimble Shoals Influence,correctable,True,3.9,,,True,2.8,,,0.698,1.449
74,Wimble Shoals Influence,correctable,True,3.3,,,True,2.4,,,2.389,0.088
75,Tri-Village / Rodanthe,correctable,True,1.8,,,True,2.3,,,3.995,-0.658
76,Tri-Village / Rodanthe,correctable,False,0.0,,,True,1.5,,,2.2,-0.572
77,Tri-Village / Rodanthe,correctable,False,0.0,,,True,1.2,,,-2.155,-0.133
78,Tri-Village / Rodanthe,correctable,True,-1.2,,,True,0.9,,,-2.682,-0.584
79,Tri-Village / Rodanthe,correctable,True,-2.1,,,True,0.4,,,-1.105,0.181
80,Tri-Village / Rodanthe,correctable,True,-3.5,,,False,0.0,,,0.598,0.181
81,Tri-Village / Rodanthe,correctable,True,-3.8,,,False,0.0,,,-0.226,0.754
82,Tri-Village / Rodanthe,correctable,True,-4.5,,,False,0.0,,,-1.754,-0.411
83,Tri-Village / Rodanthe,correctable,True,-4.8,,,True,-2.6,,,-0.494,-1.164
84,Pea Island NWR,correctable,True,-5.3,,,True,-3.5,,,-0.858,-0.583
85,Pea Island NWR,correctable,True,-5.2,,,True,-3.8,,,-0.02,-0.344
86,Pea Island NWR,correctable,True,-4.8,,,True,-3.7,,,-0.191,-0.344
87,Pea Island NWR,correctable,True,-3.9,,,True,-3.9,,,-0.73,-0.13
88,Pea Island NWR,correctable,True,-3.0,,,True,-3.0,,,-0.568,0.448
89,Pea Island NWR,correctable,True,-1.8,,,True,-1.8,,,-0.092,-0.125
90,Pea Island NWR,locked (solved separately),False,32.8,,,False,57.9,,,0.941,-0.203
