domain,physical_zone,status,eligible_1984_2004,be_pass0_1984_2004,be_final_1984_2004,iteration_added_1984_2004,eligible_2004_2024,be_pass0_2004_2024,be_final_2004_2024,iteration_added_2004_2024,residual_1984_2004,residual_2004_2024
1,Cape Point / Shoal Dynamics,locked (solved separately),False,-41.8,-41.8,0.0,False,50.3,50.3,0.0,0.393,0.181
2,Cape Point / Shoal Dynamics,withheld (outside frozen zone set),False,0.0,0.0,0.0,False,0.0,0.0,0.0,-0.181,-0.243
3,Cape Point / Shoal Dynamics,withheld (outside frozen zone set),False,0.0,0.0,0.0,False,0.0,0.0,0.0,-0.369,0.333
4,Cape Point / Shoal Dynamics,withheld (outside frozen zone set),False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.035,0.329
5,Cape Point / Shoal Dynamics,reserved for groin module,True,1.5,1.5,0.0,False,0.0,0.0,0.0,1.196,-0.358
6,Cape Point / Shoal Dynamics,reserved for groin module,True,2.2,2.2,0.0,False,0.0,0.0,0.0,1.995,-2.586
7,Cape Point / Shoal Dynamics,reserved for groin module,True,0.8,0.8,0.0,False,0.0,0.0,0.0,0.676,-1.878
8,Cape Point / Shoal Dynamics,correctable,True,0.4,1.8,1.4,True,0.4,-2.7,-3.1,0.69,-0.777
9,Cape Point / Shoal Dynamics,correctable,True,0.3,0.0,-0.3,True,0.3,0.0,-0.3,-0.102,-0.109
10,Cape Point / Shoal Dynamics,correctable,True,-1.2,-2.4,-1.2,True,1.5,1.5,0.0,-0.984,0.514
11,Buxton–Avon Transition,correctable,True,-0.8,-1.6,-0.8,True,1.5,1.2,-0.3,-1.436,0.861
12,Buxton–Avon Transition,correctable,True,-0.9,-1.7,-0.8,True,1.8,1.5,-0.3,-1.069,0.513
13,Buxton–Avon Transition,correctable,True,-0.7,-1.0,-0.3,True,1.9,1.6,-0.3,-0.683,0.267
14,Buxton–Avon Transition,correctable,False,0.0,0.0,0.0,True,2.0,2.0,0.0,0.045,0.827
15,Buxton–Avon Transition,correctable,False,0.0,0.0,0.0,True,2.1,2.1,0.0,0.674,0.674
16,Buxton–Avon Transition,correctable,False,0.0,0.0,0.0,True,2.3,2.6,0.3,1.203,0.051
17,Buxton–Avon Transition,correctable,False,0.0,0.0,0.0,True,2.4,2.7,0.3,0.716,0.682
18,Buxton–Avon Transition,correctable,False,0.0,0.0,0.0,True,2.4,2.7,0.3,0.095,0.974
19,Buxton–Avon Transition,correctable,False,0.0,0.0,0.0,True,2.1,2.1,0.0,0.01,1.158
20,Buxton–Avon Transition,correctable,False,0.0,0.0,0.0,True,1.7,1.7,0.0,0.295,1.167
21,Avon,correctable,False,0.0,0.0,0.0,True,1.1,0.7,-0.4,0.653,-0.04
22,Avon,correctable,True,0.3,0.3,0.0,True,0.3,-2.7,-3.0,-0.528,-1.245
23,Avon,withheld (outside frozen zone set),False,0.0,0.0,0.0,False,0.0,0.0,0.0,-1.174,-2.091
24,Avon,withheld (outside frozen zone set),False,0.0,0.0,0.0,False,0.0,0.0,0.0,-0.806,-2.048
25,Avon,withheld (outside frozen zone set),False,0.0,0.0,0.0,False,0.0,0.0,0.0,-0.57,-2.238
26,Avon,withheld (outside frozen zone set),False,0.0,0.0,0.0,False,0.0,0.0,0.0,-0.867,-1.686
27,Avon,correctable,True,0.9,0.9,0.0,True,0.9,-1.8,-2.7,-1.256,-1.349
28,Avon,correctable,True,1.5,1.2,-0.3,True,1.5,1.2,-0.3,-0.401,0.826
29,Avon,correctable,True,2.0,2.3,0.3,True,2.0,2.3,0.3,0.961,2.184
30,Avon,correctable,True,2.1,3.3,1.2,True,2.9,3.2,0.3,1.513,2.721
31,Avon,correctable,True,2.1,3.8,1.7,True,3.3,4.3,1.0,1.283,1.401
32,Mid-island,correctable,True,1.9,3.3,1.4,True,3.6,4.5,0.9,1.493,0.236
33,Mid-island,correctable,True,1.4,1.7,0.3,True,3.5,4.1,0.6,0.231,0.073
34,Mid-island,correctable,True,0.9,1.2,0.3,True,3.5,3.8,0.3,-1.257,1.297
35,Mid-island,correctable,False,0.0,0.0,0.0,True,3.3,2.6,-0.7,-2.029,0.682
36,Mid-island,correctable,False,0.0,0.0,0.0,True,3.2,2.6,-0.6,-1.537,0.554
37,Mid-island,correctable,False,0.0,0.0,0.0,True,2.9,2.2,-0.7,-0.628,0.152
38,Mid-island,correctable,False,0.0,0.0,0.0,True,2.6,1.6,-1.0,-0.73,-0.336
39,Mid-island,correctable,False,0.0,0.0,0.0,True,2.3,2.0,-0.3,-0.532,-0.169
40,Mid-island,correctable,False,0.0,0.0,0.0,True,2.0,2.0,0.0,-0.314,0.033
