Obs_ID,Imagery_Date,Year,Season,domain,overwash
OBS-001,1984-09-19,1984,Fall,1,0
OBS-001,1984-09-19,1984,Fall,2,0
OBS-001,1984-09-19,1984,Fall,3,0
OBS-001,1984-09-19,1984,Fall,4,0
OBS-001,1984-09-19,1984,Fall,5,0
OBS-001,1984-09-19,1984,Fall,6,0
OBS-001,1984-09-19,1984,Fall,7,0
OBS-001,1984-09-19,1984,Fall,8,0
OBS-001,1984-09-19,1984,Fall,9,0
OBS-001,1984-09-19,1984,Fall,10,0
OBS-001,1984-09-19,1984,Fall,11,0
OBS-001,1984-09-19,1984,Fall,12,0
OBS-001,1984-09-19,1984,Fall,13,0
OBS-001,1984-09-19,1984,Fall,14,0
OBS-001,1984-09-19,1984,Fall,15,0
OBS-001,1984-09-19,1984,Fall,16,0
OBS-001,1984-09-19,1984,Fall,17,0
OBS-001,1984-09-19,1984,Fall,18,0
OBS-001,1984-09-19,1984,Fall,19,0
OBS-001,1984-09-19,1984,Fall,20,0
OBS-001,1984-09-19,1984,Fall,21,0
OBS-001,1984-09-19,1984,Fall,22,0
OBS-001,1984-09-19,1984,Fall,23,0
OBS-001,1984-09-19,1984,Fall,24,0
OBS-001,1984-09-19,1984,Fall,25,0
OBS-001,1984-09-19,1984,Fall,26,0
OBS-001,1984-09-19,1984,Fall,27,0
OBS-001,1984-09-19,1984,Fall,28,0
OBS-001,1984-09-19,1984,Fall,29,0
OBS-001,1984-09-19,1984,Fall,30,0
OBS-001,1984-09-19,1984,Fall,31,0
OBS-001,1984-09-19,1984,Fall,32,0
OBS-001,1984-09-19,1984,Fall,33,0
OBS-001,1984-09-19,1984,Fall,34,0
OBS-001,1984-09-19,1984,Fall,35,0
OBS-001,1984-09-19,1984,Fall,36,0
OBS-001,1984-09-19,1984,Fall,37,0
OBS-001,1984-09-19,1984,Fall,38,0
OBS-001,1984-09-19,1984,Fall,39,0
OBS-001,1984-09-19,1984,Fall,40,0
OBS-001,1984-09-19,1984,Fall,41,0
OBS-001,1984-09-19,1984,Fall,42,0
OBS-001,1984-09-19,1984,Fall,43,0
OBS-001,1984-09-19,1984,Fall,44,0
OBS-001,1984-09-19,1984,Fall,45,0
OBS-001,1984-09-19,1984,Fall,46,0
OBS-001,1984-09-19,1984,Fall,47,0
OBS-001,1984-09-19,1984,Fall,48,0
OBS-001,1984-09-19,1984,Fall,49,0
OBS-001,1984-09-19,1984,Fall,50,0
OBS-001,1984-09-19,1984,Fall,51,0
OBS-001,1984-09-19,1984,Fall,52,0
OBS-001,1984-09-19,1984,Fall,53,0
OBS-001,1984-09-19,1984,Fall,54,0
OBS-001,1984-09-19,1984,Fall,55,0
OBS-001,1984-09-19,1984,Fall,56,0
OBS-001,1984-09-19,1984,Fall,57,0
OBS-001,1984-09-19,1984,Fall,58,0
OBS-001,1984-09-19,1984,Fall,59,0
OBS-001,1984-09-19,1984,Fall,60,0
OBS-001,1984-09-19,1984,Fall,61,0
OBS-001,1984-09-19,1984,Fall,62,0
OBS-001,1984-09-19,1984,Fall,63,0
OBS-001,1984-09-19,1984,Fall,64,0
OBS-001,1984-09-19,1984,Fall,65,0
OBS-001,1984-09-19,1984,Fall,66,0
OBS-001,1984-09-19,1984,Fall,67,0
OBS-001,1984-09-19,1984,Fall,68,0
OBS-001,1984-09-19,1984,Fall,69,0
OBS-001,1984-09-19,1984,Fall,70,0
OBS-001,1984-09-19,1984,Fall,71,0
OBS-001,1984-09-19,1984,Fall,72,0
OBS-001,1984-09-19,1984,Fall,73,0
OBS-001,1984-09-19,1984,Fall,74,0
OBS-001,1984-09-19,1984,Fall,75,0
OBS-001,1984-09-19,1984,Fall,76,0
OBS-001,1984-09-19,1984,Fall,77,0
OBS-001,1984-09-19,1984,Fall,78,0
OBS-001,1984-09-19,1984,Fall,79,0
OBS-001,1984-09-19,1984,Fall,80,0
OBS-001,1984-09-19,1984,Fall,81,0
OBS-001,1984-09-19,1984,Fall,82,0
OBS-001,1984-09-19,1984,Fall,83,0
OBS-001,1984-09-19,1984,Fall,84,0
OBS-001,1984-09-19,1984,Fall,85,1
OBS-001,1984-09-19,1984,Fall,86,1
OBS-001,1984-09-19,1984,Fall,87,1
OBS-001,1984-09-19,1984,Fall,88,0
OBS-001,1984-09-19,1984,Fall,89,0
OBS-001,1984-09-19,1984,Fall,90,0
OBS-002,1985-08-23,1985,Summer,1,0
OBS-002,1985-08-23,1985,Summer,2,0
OBS-002,1985-08-23,1985,Summer,3,0
OBS-002,1985-08-23,1985,Summer,4,0
OBS-002,1985-08-23,1985,Summer,5,0
OBS-002,1985-08-23,1985,Summer,6,0
OBS-002,1985-08-23,1985,Summer,7,0
OBS-002,1985-08-23,1985,Summer,8,0
OBS-002,1985-08-23,1985,Summer,9,0
OBS-002,1985-08-23,1985,Summer,10,0
OBS-002,1985-08-23,1985,Summer,11,0
OBS-002,1985-08-23,1985,Summer,12,0
OBS-002,1985-08-23,1985,Summer,13,0
OBS-002,1985-08-23,1985,Summer,14,0
OBS-002,1985-08-23,1985,Summer,15,0
OBS-002,1985-08-23,1985,Summer,16,0
