domain,action,n_cells,shift_m_median,shift_m_p10,shift_m_p90,spread_straddles_zero,overwashed,n_images_overwash,n_images_assessed,overwash_images,reading,road_relocated_1984_2004,median_signed_landward_m,erosion_hotspot,armor,cs_lrr_1984_2004,eroding_fast,dsas_rate_1978_1997_m_yr,unflagged,topo_version,flags
1,remove,-1,-12.4,-54.2,0.6,True,False,0,9,,no overwash seen,False,,,,-4.162511111111112,True,-4.99,False,v2,SPREAD_STRADDLES_ZERO
2,add,1,14.6,-10.8,35.8,True,False,0,9,,"unexplained retreat (rows added, no overwash seen)",False,,,,-4.797818181818182,True,-2.834,False,v2,SPREAD_STRADDLES_ZERO
3,add,3,39.8,27.9,43.2,False,True,2,9,1996-10; 1997-10,"agrees (overwash, rows added)",False,,,,-4.76896,True,-3.68,True,v2,
4,add,2,28.7,22.7,36.2,False,True,2,9,1993-09; 1997-10,"agrees (overwash, rows added)",False,,,,-3.9797,True,-2.972,True,v2,
5,add,6,62.3,42.4,70.8,False,True,1,9,1993-09,"agrees (overwash, rows added)",False,,,,-2.3715230769230766,True,-1.428,True,v2,
6,none,0,8.8,-0.5,74.7,True,False,0,9,,no overwash seen,False,,,"3 jetties, from 1930s and 1970s",-1.3853333333333333,False,-0.033333333333333,False,v2,
7,none,0,5.1,-13.1,8.2,True,False,0,9,,no overwash seen,False,,,,-2.188,True,0.56,False,v2,
8,remove,-1,-10.3,-16.3,21.3,True,False,0,9,,no overwash seen,True,-0.8053478155960172,,,-1.7017375,False,-0.082,False,v2,"ROAD_EXCLUDED_FROM_SPAN,SPREAD_STRADDLES_ZERO"
9,none,0,-4.5,-11.8,12.5,True,True,1,9,1992-10,"overwash, no rows changed",True,18.057725747487048,,,-2.134688888888889,True,-0.922,False,v2,
10,none,0,5.2,1.3,10.4,False,True,1,9,1992-10,"overwash, no rows changed",True,47.80040594088928,Buxton,,-2.73665,True,-1.518,False,v2,
11,add,1,19.9,9.5,24.0,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",True,78.5098281008458,Buxton,,-2.9614000000000003,True,-0.966,False,v2,
12,add,1,17.7,3.0,26.6,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",True,68.52369361934433,Buxton,,-2.3476600000000003,True,-0.802,False,v2,
13,none,0,7.3,2.4,18.7,False,False,0,9,,no overwash seen,True,51.733664040429,Buxton,,-1.7190272727272726,False,-0.526,False,v2,
14,none,0,3.6,0.7,5.8,False,False,0,9,,no overwash seen,True,25.19287235505085,Buxton,,-0.75425,False,0.15,False,v2,
15,remove,-1,-19.1,-29.2,-9.8,False,False,0,9,,no overwash seen,True,-0.9539069231528616,Buxton,,0.1067699999999999,False,-0.092,False,v2,
16,remove,-4,-49.5,-56.7,-14.1,False,False,0,9,,no overwash seen,False,-1.8254749442123763,Buxton,,0.8263999999999999,False,-0.24,False,v2,NEAR_ZERO_NEW(<10m)
17,none,0,0.3,-10.8,11.3,True,False,0,9,,no overwash seen,False,-0.9918780626631692,,,0.44099,False,0.142,False,v2,
18,none,0,7.7,0.4,11.1,False,False,0,9,,no overwash seen,False,-0.8758521262481753,,,-0.06846,False,0.778,True,v2,
19,none,0,-1.6,-2.8,1.0,True,False,0,9,,no overwash seen,False,2.4880133042389576,,,-0.026,False,1.212,False,v2,
20,none,0,-7.3,-15.9,-5.9,False,False,0,9,,no overwash seen,False,1.953655109717706,,,0.35699,False,2.518,True,v2,
21,none,0,-4.6,-12.7,2.1,True,False,0,9,,no overwash seen,False,1.6100158172088022,,,0.7888454545454546,False,2.522,False,v2,
22,remove,-1,-17.8,-25.1,-4.9,False,False,0,9,,no overwash seen,False,0.702473867722446,,,-0.33567,False,2.396,True,v2,
23,remove,-1,-11.6,-23.1,-6.9,False,False,0,9,,no overwash seen,False,,,,-0.9101,False,2.604,True,v2,
24,none,0,-6.6,-16.5,-4.1,False,False,0,9,,no overwash seen,False,-1.1676122464226628,,,-0.4624,False,1.63,True,v2,
25,none,0,-4.7,-8.2,10.5,True,False,0,9,,no overwash seen,False,-1.1362287086967802,,,-0.08396,False,1.59,False,v2,
26,none,0,6.4,0.7,18.6,False,False,0,9,,no overwash seen,False,-0.8750648631751509,,,-0.21547,False,-0.276,True,v2,
27,none,0,-3.9,-10.5,16.1,True,False,0,9,,no overwash seen,False,-0.6284283739132572,,,-0.40674,False,-0.378,False,v2,
28,none,0,-0.0,-6.3,6.4,True,False,0,9,,no overwash seen,False,,,,0.59716,False,0.332,False,v2,
29,none,0,-8.8,-16.5,-0.1,False,False,0,9,,no overwash seen,False,,,,2.07558,False,1.128,True,v2,
30,remove,-1,-12.3,-27.3,-6.3,False,False,0,9,,no overwash seen,False,,,,2.67492,False,2.322,True,v2,
31,remove,-1,-12.7,-29.6,-5.7,False,False,0,9,,no overwash seen,False,,,,2.392309090909091,False,3.452,True,v2,
32,remove,-1,-10.2,-17.0,-3.7,False,False,0,9,,no overwash seen,False,,Avon,,2.43546,False,4.394,False,v2,
33,remove,-1,-13.7,-19.7,-8.3,False,False,0,9,,no overwash seen,False,,Avon,,0.9100545454545454,False,3.516,False,v2,
34,remove,-1,-14.8,-19.5,0.3,True,False,0,9,,no overwash seen,False,,Avon,,-0.90384,False,1.822,False,v2,SPREAD_STRADDLES_ZERO
35,remove,-1,-10.0,-20.1,-0.4,False,False,0,9,,no overwash seen,False,,Avon,,-1.995836363636364,False,1.368,False,v2,
36,remove,-1,-14.1,-19.4,-6.2,False,False,0,9,,no overwash seen,False,,Avon,,-1.81861,False,1.08,False,v2,
37,remove,-1,-15.1,-32.9,-9.1,False,False,0,9,,no overwash seen,False,,,,-1.1721545454545454,False,0.6025,True,v2,
38,remove,-2,-21.3,-37.6,-7.1,False,False,0,9,,no overwash seen,False,,,,-1.44972,False,1.098,True,v2,
39,none,0,-9.1,-12.5,-3.2,False,False,0,9,,no overwash seen,False,,,,-1.35916,False,-0.132,True,v2,
40,none,0,-8.1,-14.1,-4.6,False,False,0,9,,no overwash seen,False,,,,-1.18823,False,0.912,True,v2,
41,none,0,-5.0,-10.4,3.2,True,False,0,9,,no overwash seen,False,,,,-1.80482,False,1.982,False,v2,
42,none,0,-6.2,-11.0,0.4,True,False,0,9,,no overwash seen,False,,,,-1.3797,False,1.4,False,v2,
43,none,0,-5.4,-11.1,7.0,True,False,0,9,,no overwash seen,False,-0.8558534555146528,,,-0.4935699999999999,False,0.754,False,v2,
44,none,0,8.2,-0.4,12.5,True,False,0,9,,no overwash seen,False,-0.7671892906746622,,,-0.11033,False,-0.288,False,v2,
45,add,1,15.6,11.1,23.6,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",False,-1.0615648398361155,,,0.18279,False,-0.04,True,v2,
46,add,1,13.2,12.3,19.8,False,True,1,9,1991-10,"agrees (overwash, rows added)",False,-0.6984912717999935,,,0.4203,False,0.78,True,v2,
47,add,1,13.2,7.9,19.5,False,True,1,9,1991-10,"agrees (overwash, rows added)",False,0.5401719794659714,,,-0.29953,False,0.836,True,v2,
48,add,1,11.0,7.4,32.7,False,True,1,9,1995-10,"agrees (overwash, rows added)",False,,,,-1.23356,False,0.292,True,v2,
49,add,3,34.2,22.8,40.1,False,True,1,9,1995-10,"agrees (overwash, rows added)",False,,,,-1.84465,False,-0.172,True,v2,
50,add,3,33.7,21.3,45.0,False,True,1,8,1995-10,"agrees (overwash, rows added)",False,,,,-1.61236,False,-0.93,True,v2,
51,add,2,26.5,21.3,36.0,False,True,2,9,1989-07; 1995-10,"agrees (overwash, rows added)",False,,,,-1.65727,False,-0.266,True,v2,
52,add,1,13.5,5.5,27.4,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",False,,,,-1.80565,False,0.912,True,v2,
53,add,1,11.4,4.3,23.1,False,True,1,9,1995-10,"agrees (overwash, rows added)",False,,,,-1.5463900000000002,False,0.04,True,v2,
54,add,2,28.0,19.5,29.3,False,True,1,9,1995-10,"agrees (overwash, rows added)",False,,,,-1.35685,False,-0.686,True,v2,
55,none,0,7.1,1.9,13.9,False,False,0,9,,no overwash seen,False,,,,-1.08667,False,-0.784,True,v2,
56,none,0,-8.8,-15.4,5.1,True,True,1,9,1995-10,"overwash, no rows changed",False,,,,-0.6895636363636364,False,-0.704,False,v2,
57,none,0,2.0,-8.1,10.4,True,True,1,9,1995-10,"overwash, no rows changed",False,,,,-0.38116,False,0.618,False,v2,
58,none,0,4.9,-6.0,12.7,True,False,0,9,,no overwash seen,False,,,,-0.09365,False,2.242,False,v2,
59,remove,-1,-15.3,-20.0,-1.2,False,False,0,9,,no overwash seen,False,,,,0.4728,False,1.558,True,v2,
60,none,0,-0.1,-14.3,2.6,True,False,0,9,,no overwash seen,False,,,,1.01612,False,2.492,False,v2,
61,none,0,-8.6,-16.8,0.6,True,False,0,9,,no overwash seen,False,,,,1.5425799999999998,False,2.906,False,v2,
62,remove,-2,-29.6,-41.0,-17.9,False,False,0,9,,no overwash seen,False,,,,1.13127,False,4.12,True,v2,
63,remove,-5,-50.6,-54.1,-40.5,False,False,0,9,,no overwash seen,False,,,,0.06924,False,4.852,True,v2,
64,remove,-5,-58.8,-73.7,-51.7,False,False,0,9,,no overwash seen,False,,,,-0.95142,False,5.034000000000001,True,v2,
65,remove,-4,-40.1,-54.8,-35.5,False,False,0,9,,no overwash seen,False,,,,-1.41967,False,5.017999999999999,True,v2,
66,remove,-5,-53.8,-60.2,-38.4,False,False,0,9,,no overwash seen,False,,,,-2.0193727272727275,True,3.524,True,v2,
67,remove,-5,-52.4,-57.3,-31.9,False,False,0,9,,no overwash seen,False,,,,-1.12786,False,1.034,True,v2,
68,remove,-1,-16.8,-20.8,-7.8,False,False,0,9,,no overwash seen,False,,,,-0.06071,False,1.522,True,v2,
69,none,0,5.2,1.4,7.8,False,False,0,9,,no overwash seen,False,,,,0.5411699999999999,False,2.486,True,v2,
70,none,0,3.2,1.6,5.7,False,False,0,9,,no overwash seen,False,,,,0.47578,False,2.482,True,v2,
71,none,0,6.0,4.5,11.5,False,False,0,9,,no overwash seen,False,,,,0.0495199999999999,False,0.81,True,v2,
72,add,2,25.6,17.1,40.4,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",False,,,,-0.34408,False,-1.872,True,v2,
73,add,5,50.1,38.9,61.5,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",False,,,,-0.2933,False,-1.326,True,v2,
74,add,2,27.2,9.6,48.5,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",False,,,,1.02846,False,-0.3625,True,v2,
75,none,0,5.5,-0.1,13.1,True,False,0,9,,no overwash seen,False,,,,2.21309,False,-0.722,False,v2,
76,none,0,-4.3,-7.6,-0.8,False,False,0,9,,no overwash seen,False,,,,-0.06668,False,0.742,True,v2,
77,none,0,-3.1,-6.8,5.4,True,False,0,9,,no overwash seen,False,,,,-4.92343,True,-0.078,False,v2,
78,add,2,23.4,16.1,26.4,False,False,0,9,,"unexplained retreat (rows added, no overwash seen)",False,,,,-5.94914,True,-1.192,True,v2,
79,add,4,45.8,22.7,68.7,False,True,1,9,1992-10,"agrees (overwash, rows added)",False,,,,-4.752470000000001,True,-2.424,True,v2,
80,add,7,70.3,53.8,79.6,False,True,1,9,1992-10,"agrees (overwash, rows added)",False,,,,-3.3109,True,-1.106,True,v2,
81,add,3,36.8,21.4,53.1,False,True,1,9,1992-10,"agrees (overwash, rows added)",False,,,,-4.26012,True,-0.658,True,v2,
82,add,5,53.2,23.3,67.5,False,True,1,9,1995-10,"agrees (overwash, rows added)",False,,,,-5.78059,True,-1.874,True,v2,
83,add,2,26.9,17.4,49.3,False,True,2,9,1993-09; 1995-10,"agrees (overwash, rows added)",False,,,,-4.37058,True,-2.106,True,v2,
84,add,3,36.3,27.2,60.9,False,True,2,9,1992-10; 1993-09,"agrees (overwash, rows added)",True,33.5647499560027,Rodanthe 'S' Curves,,-4.495481818181818,True,-0.936,False,v2,
85,add,5,58.7,54.1,61.1,False,True,1,9,1992-10,"agrees (overwash, rows added)",True,109.2054898780319,Rodanthe 'S' Curves,,-3.2729666666666666,True,-1.624,False,v2,
86,add,2,26.8,11.2,48.0,False,True,3,9,1992-10; 1993-09; 1995-10,"agrees (overwash, rows added)",True,100.91081690662205,Rodanthe 'S' Curves,,-2.9457916666666666,True,-0.486,False,v2,
