cascade_index,background_erosion_m_per_yr
0,-4.923789473684211
1,-4.923789473684211
2,-4.923789473684211
3,-4.923789473684211
4,-4.923789473684211
5,-4.923789473684211
6,-4.923789473684211
7,-4.923789473684211
8,-4.923789473684211
9,-4.923789473684211
10,-4.923789473684211
11,-4.923789473684211
12,-4.923789473684211
13,-4.923789473684211
14,-4.923789473684211
15,-4.923789473684211
16,-2.795684210526316
17,-3.685578947368421
18,-2.93
19,-2.946315789473684
20,-0.38368421052631574
21,0.0
22,-0.96
23,-0.9856140350877193
24,-1.493684210526316
25,-0.9346315789473686
26,-1.09
27,-0.514
28,0.3621052631578947
29,-0.10456140350877195
30,-0.4223684210526316
31,0.2831578947368421
32,0.7117543859649121
33,1.5705263157894738
34,2.5463157894736845
35,2.4636842105263157
36,2.3858947368421055
37,2.6469473684210527
38,1.6074736842105264
39,1.5658947368421052
40,0.0
41,-0.4773684210526316
42,0.4694736842105263
43,1.129578947368421
44,2.321263157894737
45,3.406
46,4.320210526315789
47,3.426842105263158
48,2.3539473684210526
49,0.0
50,0.0
51,1.2894736842105263
52,1.648421052631579
53,0.0
54,1.5371052631578948
55,1.9943157894736843
56,1.4230263157894738
57,1.2342105263157896
58,0.0
59,0.0
60,0.8736842105263158
61,0.8126315789473684
62,0.0
63,0.0
64,-1.0563157894736843
65,0.0
66,0.0
67,-0.69
68,-0.6690526315789473
69,-0.7294736842105263
70,0.0
71,1.786842105263158
72,2.29178947368421
73,1.5650526315789475
74,2.4851578947368425
75,2.864315789473684
76,4.0495789473684205
77,4.88021052631579
78,5.0
79,5.0
80,3.6104210526315783
81,0.0
82,1.893333333333333
83,2.407157894736842
84,2.431052631578947
85,0.9896052631578947
86,-1.8606315789473682
87,-1.312421052631579
88,-0.4689473684210526
89,0.0
90,0.0
91,0.89
92,0.0
93,-2.4172631578947366
94,-1.5912280701754384
95,-0.8131578947368421
96,-1.8225263157894738
97,-2.560701754385965
98,-1.2005263157894737
99,-1.6079999999999999
100,-1.0563157894736843
101,-0.5557894736842105
102,1.0102631578947368
103,-0.30552631578947365
104,-0.3642105263157895
105,-0.3642105263157895
106,-0.3642105263157895
107,-0.3642105263157895
108,-0.3642105263157895
109,-0.3642105263157895
110,-0.3642105263157895
111,-0.3642105263157895
112,-0.3642105263157895
113,-0.3642105263157895
114,-0.3642105263157895
115,-0.3642105263157895
116,-0.3642105263157895
117,-0.3642105263157895
118,-0.3642105263157895
119,-0.3642105263157895
