Coords,domain_id,reach,z_mean,z_max,z_min,relief_m,slope_avg,road_z,shch_myr,eros_hot,bnour,bnour_yr,bnour_src,armor,editor,edit_date,notes,hotspot,Shape_Length,Shape_Area,MEAN_LRR,STD_LRR,N_TRANSECTS,MIN_LRR,MAX_LRR
3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,-4.990000000000000,0.813879597975032,5,-5.880000000000000,-3.720000000000000
3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,-2.834000000000000,0.134647688431699,5,-3.030000000000000,-2.670000000000000
3900040,3,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,-3.680000000000000,0.451940261539067,5,-4.470000000000000,-3.340000000000000
3900543,4,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,-2.972000000000000,0.700692514588247,5,-3.730000000000000,-2.070000000000000
3901046,5,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,-1.428000000000000,0.913876359252169,5,-2.990000000000000,-0.770000000000000
3901548,6, ,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000, , ,0, ,"3 jetties, from 1930s and 1970s", ,, ,0,5000.000000000000000,1000000.000000000000000,-0.033333333333333,1.048872410416698,3,-1.240000000000000,0.660000000000000
3902050,7,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,0.560000000000000,0.000000000000000,1,0.560000000000000,0.560000000000000
3902555,8,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,-0.082000000000000,0.607017297941335,5,-1.010000000000000,0.420000000000000
3903062,9,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,5000.000000000000000,1000000.000000000000000,-0.922000000000000,0.203887223729198,5,-1.170000000000000,-0.640000000000000
3903566,10, ,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,5 - Buxton, ,0, , , ,, ,1,5000.000000000000000,1000000.000000000000000,-1.518000000000000,0.390858030491891,5,-1.910000000000000,-0.940000000000000
