domain_id,annual_rate_m_per_yr
1,
2,
3,
4,
5,
6,
7,
8,-2.06
9,-1.6
10,-1.515
11,-1.4375
12,-1.074
13,-0.5525
14,-0.6225
15,0.14
16,0.896
17,1.268
18,0.554
19,0.728
20,-1.394
21,-1.396
22,-3.342
23,-4.188
24,-4.814
25,-4.7725
26,-3.142
27,-0.306
28,0.414
29,1.948
30,2.688
31,2.278
32,0.364
33,-0.414
34,-0.138
35,-0.025
36,-0.49
37,-0.54
38,-0.865
39,-0.056
40,-0.644
41,-1.104
42,-1.762
43,-0.132
44,-0.81
45,-0.83
46,-2.32
47,-2.096
48,-1.338
49,-1.13
50,-0.942
51,-1.346
52,-1.842
53,-1.484
54,-1.454
55,-0.662
56,0.448
57,-0.886
58,-1.698
59,-1.16
60,-1.562
61,-1.96
62,-3.03
63,-2.14
64,-0.644
65,-0.918
66,0.258
67,1.896
68,2.126
69,-0.396
70,-0.724
71,-0.544
72,0.73
73,0.096
74,-0.19
75,-1.572
76,-2.304
77,-3.264
78,-3.6375
79,-3.44
80,-3.982
81,-3.214
82,-2.156
83,-2.798
84,-3.094
85,-2.69
86,-2.364
87,-1.63
88,-0.968
89,-0.072
90,0.258
