transect_id,alongshore_m,dist_from_groin_m,domain,origin_y,era,y_lo,y_hi,n_obs,slope_m_yr,intercept,r_squared,se_slope
usa_NC_0032_0017,3389.672309503788,-3389.3315275074856,1.0,3898605.9819825445,Pre-install,1849,1969,3,-5.894647531699994,11560.835604990787,0.999984889689268,0.022913837064832146
usa_NC_0032_0017,3389.672309503788,-3389.3315275074856,1.0,3898605.9819825445,Functional groin,1970,1995,88,-0.5285426626520827,1160.0198277851064,0.004097689442975727,0.8885250415579712
usa_NC_0032_0017,3389.672309503788,-3389.3315275074856,1.0,3898605.9819825445,Deteriorated,1996,2024,475,0.7355922660001053,-1402.303517681629,0.025384147126276235,0.20957623378188867
usa_NC_0032_0017,3389.672309503788,-3389.3315275074856,1.0,3898605.9819825445,1996-2021 (pre-2022 nourishment),1996,2021,422,-0.9717457389925522,2021.2772596631107,0.08617979674743759,0.15440296817123642
usa_NC_0032_0018,3467.454707425136,-3311.5491295861375,1.0,3898673.5521884067,Pre-install,1849,1969,3,-5.898754941024217,11614.59006097985,0.9999788965940505,0.027098248016100744
usa_NC_0032_0018,3467.454707425136,-3311.5491295861375,1.0,3898673.5521884067,Functional groin,1970,1995,89,-0.8301317131148899,1806.726817199944,0.012048771147166848,0.8059048216567185
usa_NC_0032_0018,3467.454707425136,-3311.5491295861375,1.0,3898673.5521884067,Deteriorated,1996,2024,497,2.472203616948394,-4839.652532786682,0.12773715279221154,0.290366633578332
usa_NC_0032_0018,3467.454707425136,-3311.5491295861375,1.0,3898673.5521884067,1996-2021 (pre-2022 nourishment),1996,2021,419,-0.7481049245586003,1618.6459672755363,0.0537572911526204,0.15370113374024924
usa_NC_0032_0019,3522.220034819096,-3256.7838021921775,1.0,3898723.1101145972,Pre-install,1849,1969,3,-5.827863121702237,11463.16975795213,0.9999954944035327,0.012370477613272344
usa_NC_0032_0019,3522.220034819096,-3256.7838021921775,1.0,3898723.1101145972,Functional groin,1970,1995,110,-0.9584350565306569,2043.747760028416,0.018533644192868293,0.6711322530493002
